Source : SiO2_2mm.M1.11h 57mn 22s.spe
Spectrum : 1

Wavelength	Psi	Delta

999.7925	2.059	17.160
999.4089	2.059	17.160
999.0253	2.059	17.160
998.6415	2.059	17.160
998.2578	2.059	17.160
997.8739	2.059	17.160
997.4900	2.059	17.160
997.1060	2.059	17.160
996.7219	2.059	17.160
996.3377	2.059	17.160
995.9535	2.059	17.160
995.5692	2.059	17.160
995.1848	2.059	17.160
994.8003	2.059	17.160
994.4158	2.059	17.160
994.0311	79.086	147.033
993.6464	77.269	146.676
993.2617	68.610	187.125
992.8768	77.984	267.216
992.4919	66.078	160.170
992.1069	67.829	145.324
991.7218	59.443	151.466
991.3367	52.402	151.955
990.9514	37.361	192.466
990.5661	29.327	221.541
990.1807	25.848	169.617
989.7953	15.245	157.753
989.4097	10.025	235.437
989.0241	18.015	286.217
988.6384	30.909	302.454
988.2526	24.417	273.601
987.8668	29.083	267.669
987.4809	23.084	268.371
987.0949	18.947	265.044
986.7088	14.264	266.994
986.3226	13.453	306.535
985.9364	21.359	274.413
985.5501	19.453	252.306
985.1638	30.801	255.931
984.7773	36.098	258.102
984.3907	38.396	253.088
984.0041	32.305	254.387
983.6174	8.995	171.040
983.2307	10.797	252.446
982.8438	15.993	242.565
982.4569	18.970	327.968
982.0699	19.689	300.610
981.6828	38.726	241.378
981.2957	42.826	254.884
980.9084	51.921	261.312
980.5211	75.074	263.946
980.1337	77.873	287.067
979.7463	71.279	7.654
979.3587	63.661	5.042
978.9711	52.518	7.879
978.5834	55.379	12.885
978.1956	22.267	11.438
977.8077	9.153	16.247
977.4199	8.612	33.252
977.0319	11.609	47.252
976.6437	7.241	4.824
976.2556	6.973	295.093
975.8674	17.830	346.215
975.4790	20.350	323.154
975.0906	20.398	258.257
974.7021	20.604	296.178
974.3136	16.779	303.304
973.9250	21.183	294.098
973.5363	30.892	288.353
973.1475	55.059	286.140
972.7586	39.132	300.806
972.3697	81.374	319.979
971.9807	85.739	305.072
971.5916	82.173	298.246
971.2024	85.771	297.045
970.8131	87.627	290.638
970.4238	86.288	267.437
970.0344	68.044	178.367
969.6449	68.187	312.960
969.2553	41.406	339.113
968.8657	36.299	342.387
968.4760	35.371	345.262
968.0861	34.080	345.288
967.6962	31.788	345.238
967.3063	32.130	344.650
966.9163	29.558	342.872
966.5261	9.950	307.853
966.1359	44.477	177.260
965.7457	15.675	178.229
965.3553	34.260	152.397
964.9649	36.069	316.428
964.5743	24.080	307.462
964.1838	14.809	306.632
963.7931	75.546	113.500
963.4023	81.660	84.051
963.0115	78.295	329.668
962.6207	36.424	243.187
962.2297	34.074	231.742
961.8386	23.568	222.052
961.4474	26.488	198.573
961.0562	24.893	191.260
960.6649	25.970	184.510
960.2736	24.807	170.954
959.8821	20.178	194.193
959.4905	17.795	260.664
959.0989	37.007	314.718
958.7073	34.953	296.349
958.3155	33.197	278.534
957.9236	27.066	275.070
957.5317	19.947	274.988
957.1396	12.082	273.514
956.7476	8.498	279.568
956.3554	2.227	305.702
955.9632	10.874	325.203
955.5709	7.171	281.780
955.1784	7.675	202.128
954.7859	17.911	175.215
954.3934	28.804	172.919
954.0007	34.558	173.654
953.6080	28.731	192.046
953.2152	33.670	211.655
952.8223	31.994	206.379
952.4293	24.052	220.263
952.0363	22.411	281.535
951.6432	16.618	246.639
951.2499	15.510	225.232
950.8567	17.164	263.712
950.4633	15.151	254.955
950.0699	16.467	260.743
949.6763	16.786	261.803
949.2827	17.118	262.443
948.8890	16.904	261.797
948.4953	16.862	261.643
948.1014	16.595	261.425
947.7075	16.193	261.812
947.3135	13.726	258.984
946.9194	18.201	262.866
946.5253	7.061	233.249
946.1310	4.912	283.517
945.7367	20.305	197.073
945.3423	74.462	191.084
944.9478	10.505	357.671
944.5532	10.352	4.503
944.1586	10.776	5.287
943.7639	75.965	213.665
943.3691	75.771	221.504
942.9742	32.535	223.203
942.5792	9.045	237.225
942.1841	2.119	291.000
941.7890	10.866	172.721
941.3938	12.569	178.733
940.9985	14.984	57.931
940.6031	14.744	173.418
940.2077	20.436	179.483
939.8122	21.598	188.726
939.4166	19.185	196.284
939.0209	21.165	193.204
938.6251	20.790	196.067
938.2292	18.759	198.501
937.8333	16.145	209.081
937.4373	16.425	232.613
937.0412	13.717	305.523
936.6450	11.479	221.214
936.2487	10.929	220.495
935.8524	11.743	223.460
935.4560	12.438	222.364
935.0594	9.138	219.852
934.6629	6.595	222.196
934.2662	4.539	331.645
933.8694	25.126	329.456
933.4727	8.632	208.551
933.0757	7.912	223.503
932.6787	5.801	194.786
932.2817	0.540	297.229
931.8845	4.002	313.866
931.4873	80.758	140.687
931.0900	51.027	139.127
930.6926	13.080	156.568
930.2951	8.738	110.131
929.8975	12.391	148.467
929.4999	5.294	132.681
929.1022	3.594	15.163
928.7043	6.279	318.798
928.3065	3.982	320.541
927.9085	4.258	328.184
927.5104	4.595	335.491
927.1123	5.650	341.529
926.7141	5.324	346.887
926.3158	3.401	0.394
925.9174	5.149	191.487
925.5190	4.106	182.258
925.1204	4.644	111.933
924.7218	3.232	164.241
924.3231	4.591	166.560
923.9243	6.464	195.073
923.5255	6.530	206.033
923.1265	30.212	202.603
922.7275	1.818	209.324
922.3283	12.334	19.289
921.9291	13.012	21.090
921.5298	14.462	20.888
921.1305	13.810	22.451
920.7311	14.756	21.804
920.3315	13.783	23.850
919.9319	9.011	30.791
919.5322	3.464	151.752
919.1324	25.010	192.844
918.7326	6.647	167.913
918.3326	14.426	128.360
917.9326	3.592	231.588
917.5325	56.858	121.743
917.1323	44.764	111.530
916.7321	47.361	115.409
916.3317	61.090	116.423
915.9313	69.827	116.712
915.5308	76.009	117.729
915.1302	79.748	125.274
914.7295	4.215	326.719
914.3287	6.288	102.071
913.9279	2.403	10.874
913.5270	0.872	117.742
913.1259	4.807	133.934
912.7249	2.776	98.518
912.3237	2.826	32.647
911.9224	5.778	12.728
911.5211	16.205	95.027
911.1196	2.210	98.094
910.7181	20.188	263.545
910.3165	20.009	110.760
909.9149	37.389	144.039
909.5131	31.226	62.463
909.1113	41.228	7.810
908.7093	42.919	359.859
908.3073	43.475	358.131
907.9052	44.585	357.452
907.5031	53.601	0.122
907.1008	39.149	0.697
906.6984	13.078	150.866
906.2960	13.891	48.672
905.8935	72.638	236.149
905.4909	65.369	198.441
905.0883	63.388	192.636
904.6855	67.638	258.521
904.2826	48.854	155.925
903.8797	32.121	121.642
903.4767	27.948	118.138
903.0736	28.835	116.150
902.6704	28.581	115.726
902.2672	28.426	116.199
901.8638	28.661	120.300
901.4604	29.509	127.731
901.0569	37.788	158.874
900.6533	63.329	258.823
900.2496	51.190	185.695
899.8458	18.629	120.535
899.4420	24.804	36.450
899.0380	63.449	213.115
898.6340	62.744	209.675
898.2299	63.260	188.648
897.8257	66.345	217.577
897.4214	22.376	75.506
897.0171	25.814	107.622
896.6127	32.538	134.680
896.2081	30.411	112.669
895.8035	29.990	111.683
895.3989	29.828	110.397
894.9941	26.728	108.888
894.5892	15.746	105.648
894.1843	13.762	291.577
893.7792	5.587	114.724
893.3741	3.610	81.800
892.9689	5.194	355.310
892.5637	8.368	330.270
892.1583	10.076	315.121
891.7528	6.099	340.349
891.3473	5.209	0.947
890.9417	7.428	56.651
890.5359	7.981	82.546
890.1302	8.942	106.164
889.7243	13.269	164.224
889.3184	8.955	7.990
888.9123	16.590	15.066
888.5062	15.886	28.378
888.1000	15.295	78.712
887.6937	18.075	78.106
887.2873	18.516	79.648
886.8808	20.309	82.988
886.4743	13.553	88.432
886.0676	16.778	96.181
885.6609	18.264	105.582
885.2541	17.272	91.003
884.8472	17.647	88.452
884.4402	19.133	84.309
884.0332	22.164	87.307
883.6260	23.383	85.177
883.2188	34.751	84.667
882.8115	39.237	55.109
882.4041	13.894	146.801
881.9966	18.529	171.656
881.5890	21.188	192.742
881.1813	21.977	206.045
880.7736	24.791	209.417
880.3658	28.416	197.204
879.9579	36.255	237.276
879.5499	32.297	158.445
879.1418	37.076	115.274
878.7336	40.024	107.314
878.3253	41.102	103.588
877.9170	41.596	101.870
877.5085	41.361	102.298
877.1000	40.245	104.819
876.6915	38.394	112.320
876.2828	33.152	135.654
875.8740	35.683	236.629
875.4651	28.801	149.909
875.0562	25.368	161.195
874.6472	13.581	166.998
874.2380	45.263	42.083
873.8289	24.875	93.121
873.4196	28.116	103.250
873.0102	32.730	105.412
872.6007	33.169	106.257
872.1912	35.517	89.802
871.7816	27.577	88.335
871.3718	25.571	80.573
870.9620	25.959	101.684
870.5521	31.260	183.030
870.1422	25.124	192.869
869.7321	28.201	117.226
869.3219	39.281	95.341
868.9117	39.150	86.435
868.5013	39.578	81.931
868.0909	39.471	79.688
867.6805	39.418	80.534
867.2699	39.082	80.440
866.8592	39.053	79.486
866.4485	35.614	77.362
866.0376	37.377	73.605
865.6267	34.447	77.184
865.2157	34.381	79.543
864.8046	36.108	81.271
864.3934	36.011	82.977
863.9821	38.273	86.636
863.5707	36.589	85.114
863.1593	33.544	85.629
862.7477	32.840	80.724
862.3361	32.670	76.190
861.9244	36.656	72.735
861.5126	35.090	75.845
861.1008	31.154	77.431
860.6888	30.197	78.323
860.2767	33.210	78.200
859.8646	36.211	81.290
859.4523	33.558	75.035
859.0400	36.853	73.563
858.6276	38.194	73.063
858.2151	41.698	74.739
857.8026	45.523	77.848
857.3899	47.126	79.558
856.9771	48.412	79.095
856.5643	50.014	79.005
856.1514	51.790	79.432
855.7383	54.084	79.864
855.3253	54.845	80.126
854.9120	55.005	79.185
854.4988	54.467	78.296
854.0854	53.838	78.842
853.6719	52.703	78.584
853.2584	51.677	78.393
852.8448	52.524	78.043
852.4311	54.672	77.562
852.0173	55.401	77.267
851.6034	58.225	76.843
851.1894	59.018	76.579
850.7753	57.677	76.740
850.3612	58.735	76.086
849.9470	59.450	76.465
849.5326	59.899	77.156
849.1182	60.265	77.367
848.7037	60.543	77.370
848.2891	61.209	77.559
847.8744	62.392	77.415
847.4597	62.896	77.315
847.0448	63.714	77.345
846.6298	64.737	77.166
846.2148	65.111	77.010
845.7997	65.362	77.046
845.3845	66.168	77.179
844.9692	67.100	77.282
844.5538	67.563	77.355
844.1383	68.306	77.396
843.7227	68.930	77.659
843.3071	69.794	77.400
842.8914	70.666	77.091
842.4755	71.035	77.721
842.0596	71.301	78.435
841.6436	72.032	78.494
841.2275	73.311	78.365
840.8113	74.738	78.040
840.3951	75.294	78.181
839.9787	76.187	77.668
839.5623	77.679	76.716
839.1457	78.684	75.925
838.7291	79.842	74.997
838.3124	80.802	74.023
837.8956	81.958	72.260
837.4787	82.699	71.233
837.0617	83.848	68.372
836.6447	85.031	63.795
836.2275	86.046	57.406
835.8102	86.765	49.809
835.3929	87.454	38.102
834.9755	88.017	1.791
834.5579	87.650	327.600
834.1403	86.970	309.244
833.7227	86.174	300.147
833.3049	84.794	291.547
832.8870	83.414	287.262
832.4691	82.363	284.311
832.0510	81.104	282.520
831.6329	80.017	281.166
831.2146	78.761	279.969
830.7963	77.749	279.324
830.3779	76.640	278.924
829.9594	75.703	278.549
829.5408	74.796	278.382
829.1221	73.862	277.984
828.7034	72.597	277.646
828.2845	71.418	277.315
827.8656	70.510	277.245
827.4465	69.404	277.030
827.0275	68.146	276.879
826.6082	66.987	276.769
826.1889	65.785	276.762
825.7695	64.824	276.764
825.3500	63.549	276.706
824.9305	62.547	276.807
824.5108	61.281	276.815
824.0911	60.215	276.887
823.6713	59.025	276.876
823.2513	57.979	276.904
822.8313	56.883	276.942
822.4112	55.695	276.981
821.9910	54.854	277.178
821.5707	53.871	277.279
821.1503	53.153	277.539
820.7299	52.233	277.714
820.3093	51.342	277.966
819.8886	50.501	278.157
819.4679	49.479	278.227
819.0471	48.622	278.365
818.6262	47.728	278.290
818.2051	46.928	278.348
817.7841	46.099	278.274
817.3629	45.382	278.155
816.9416	44.755	278.083
816.5202	43.973	278.057
816.0988	43.316	278.117
815.6772	42.687	278.300
815.2556	42.166	278.412
814.8338	41.500	278.567
814.4120	40.970	278.707
813.9901	40.424	278.778
813.5681	39.845	278.830
813.1460	39.394	278.922
812.7238	38.700	278.945
812.3015	38.101	278.973
811.8792	37.617	279.028
811.4567	37.146	279.011
811.0341	36.709	278.990
810.6115	36.269	279.042
810.1888	35.785	278.982
809.7659	35.316	278.911
809.3430	34.835	278.838
808.9200	34.430	278.731
808.4969	33.995	278.606
808.0737	33.593	278.458
807.6505	33.187	278.343
807.2271	32.886	278.209
806.8036	32.508	278.051
806.3801	32.100	277.892
805.9564	31.711	277.711
805.5327	31.463	277.523
805.1089	31.096	277.289
804.6850	30.767	277.130
804.2610	30.407	276.914
803.8369	30.062	276.707
803.4127	29.755	276.470
802.9884	29.384	276.250
802.5640	29.090	276.017
802.1396	28.873	275.753
801.7150	28.581	275.507
801.2903	28.289	275.216
800.8657	27.996	274.966
800.4408	27.720	274.671
800.0159	27.451	274.421
799.5909	27.157	274.093
799.1658	26.877	273.781
798.7406	26.606	273.426
798.3153	26.319	273.085
797.8899	26.060	272.693
797.4644	25.778	272.348
797.0389	25.489	271.956
796.6132	25.211	271.561
796.1875	24.883	271.157
795.7617	24.601	270.765
795.3357	24.340	270.340
794.9097	24.066	269.898
794.4836	23.757	269.435
794.0574	23.491	268.997
793.6310	23.204	268.493
793.2047	22.932	267.991
792.7782	22.616	267.488
792.3516	22.326	267.016
791.9249	22.022	266.487
791.4982	21.749	265.957
791.0714	21.467	265.429
790.6444	21.179	264.875
790.2173	20.892	264.273
789.7902	20.610	263.671
789.3630	20.321	263.034
788.9357	20.055	262.442
788.5083	19.751	261.777
788.0807	19.449	261.123
787.6532	19.166	260.444
787.2255	18.876	259.739
786.7977	18.583	258.968
786.3699	18.305	258.246
785.9419	18.018	257.494
785.5139	17.733	256.701
785.0857	17.440	255.873
784.6575	17.163	255.026
784.2291	16.876	254.191
783.8007	16.587	253.342
783.3722	16.295	252.435
782.9435	16.022	251.479
782.5148	15.750	250.537
782.0861	15.469	249.585
