Source : TiO2_SiO2_Si.D1.14h 06mn 27s.spe
Spectrum : 1

Wavelength	Psi	Delta

999.7925	2.225	224.652
999.4089	2.225	224.652
999.0253	2.225	224.652
998.6415	2.225	224.652
998.2578	2.225	224.652
997.8739	2.225	224.652
997.4900	2.225	224.652
997.1060	2.225	224.652
996.7219	2.225	224.652
996.3377	2.225	224.652
995.9535	2.225	224.652
995.5692	2.225	224.652
995.1848	2.225	224.652
994.8003	87.775	44.652
994.4158	87.775	44.652
994.0311	38.683	297.213
993.6464	50.439	276.450
993.2617	57.884	241.685
992.8768	45.369	249.109
992.4919	44.435	211.029
992.1069	43.680	65.348
991.7218	32.362	60.253
991.3367	29.930	49.032
990.9514	28.036	43.696
990.5661	17.149	47.520
990.1807	13.655	41.239
989.7953	6.874	77.340
989.4097	12.115	71.238
989.0241	15.765	78.860
988.6384	27.131	84.120
988.2526	21.592	61.327
987.8668	25.127	52.295
987.4809	18.786	56.222
987.0949	17.409	58.590
986.7088	16.617	61.091
986.3226	16.835	74.014
985.9364	19.726	67.412
985.5501	17.803	63.046
985.1638	21.975	54.128
984.7773	27.301	51.743
984.3907	31.579	43.876
984.0041	26.843	48.749
983.6174	4.198	40.002
983.2307	16.867	223.896
982.8438	23.547	217.291
982.4569	15.722	198.996
982.0699	8.857	119.666
981.6828	38.477	63.428
981.2957	40.432	36.078
980.9084	46.710	56.569
980.5211	49.417	50.983
980.1337	48.524	78.896
979.7463	47.582	100.982
979.3587	48.541	106.649
978.9711	44.780	176.433
978.5834	43.420	185.922
978.1956	40.640	194.388
977.8077	37.633	199.211
977.4199	33.472	207.554
977.0319	25.120	170.569
976.6437	16.832	125.272
976.2556	21.641	128.298
975.8674	24.050	73.874
975.4790	33.853	61.503
975.0906	31.418	77.146
974.7021	32.859	74.955
974.3136	29.758	78.267
973.9250	33.278	76.071
973.5363	41.144	75.504
973.1475	55.550	78.961
972.7586	67.986	108.331
972.3697	76.816	131.023
971.9807	80.702	123.485
971.5916	82.487	94.929
971.2024	88.236	87.424
970.8131	75.661	90.378
970.4238	81.268	302.275
970.0344	67.883	208.314
969.6449	70.194	319.271
969.2553	55.058	343.636
968.8657	49.472	349.758
968.4760	48.019	350.080
968.0861	47.489	349.832
967.6962	47.512	349.997
967.3063	48.908	349.488
966.9163	50.413	345.427
966.5261	58.184	323.213
966.1359	58.548	210.358
965.7457	56.660	315.214
965.3553	54.000	316.321
964.9649	51.823	318.233
