Source : TiO2_SiO2_Si_muestra2.X1.14h 13mn 58s.spe
Spectrum : 1

Wavelength	Psi	Delta

999.7925	2.106	224.529
999.4089	2.106	224.529
999.0253	2.104	224.463
998.6415	2.102	224.410
998.2578	2.101	224.380
997.8739	2.101	224.374
997.4900	2.102	224.406
997.1060	2.105	224.493
996.7219	2.111	224.668
996.3377	2.124	225.018
995.9535	2.152	225.758
995.5692	2.236	227.817
995.1848	3.682	246.023
994.8003	88.168	34.888
994.4158	88.058	39.336
994.0311	45.000	270.000
993.6464	45.000	270.000
993.2617	45.000	270.000
992.8768	45.000	270.000
992.4919	45.000	270.000
992.1069	45.000	270.000
991.7218	45.000	270.000
991.3367	45.000	270.000
990.9514	25.421	42.986
990.5661	14.986	45.092
990.1807	14.443	60.112
989.7953	13.048	93.089
989.4097	12.928	71.860
989.0241	13.177	65.268
988.6384	23.920	66.313
988.2526	22.599	50.508
987.8668	27.066	45.529
987.4809	21.060	52.842
987.0949	20.048	56.156
986.7088	17.739	58.753
986.3226	16.474	72.388
985.9364	16.365	53.690
985.5501	16.270	52.114
985.1638	22.586	39.438
984.7773	28.437	36.709
984.3907	33.317	30.644
984.0041	27.241	32.834
983.6174	5.502	4.248
983.2307	12.251	214.158
982.8438	16.130	206.131
982.4569	13.608	185.233
982.0699	11.675	132.541
981.6828	39.834	60.948
981.2957	48.428	23.704
980.9084	49.498	48.033
980.5211	53.532	45.235
980.1337	52.722	75.006
979.7463	50.194	97.769
979.3587	52.423	99.749
978.9711	44.556	170.808
978.5834	44.343	181.427
978.1956	40.062	189.423
977.8077	36.451	195.204
977.4199	32.580	204.224
977.0319	24.196	171.466
976.6437	16.803	130.934
976.2556	17.885	128.143
975.8674	23.555	63.166
975.4790	37.162	50.729
975.0906	30.116	66.105
974.7021	35.436	63.531
974.3136	32.407	66.505
973.9250	37.065	64.123
973.5363	45.756	64.952
973.1475	58.310	70.356
972.7586	70.591	114.672
972.3697	76.820	139.994
971.9807	81.069	122.259
971.5916	83.850	86.526
971.2024	88.477	61.933
970.8131	63.468	88.639
970.4238	68.572	283.804
970.0344	58.110	219.686
969.6449	61.271	299.791
969.2553	53.508	330.684
968.8657	50.526	339.964
968.4760	49.475	342.619
968.0861	49.063	343.587
967.6962	48.996	343.785
967.3063	49.829	342.361
966.9163	51.263	335.342
966.5261	56.120	304.309
966.1359	52.784	219.232
965.7457	54.649	292.232
965.3553	53.603	292.232
964.9649	53.588	292.334
964.5743	57.322	319.132
964.1838	35.958	91.567
963.7931	60.889	288.023
963.4023	66.072	284.323
963.0115	71.931	320.015
962.6207	71.687	333.217
962.2297	41.563	59.691
961.8386	20.176	14.458
961.4474	19.529	291.682
961.0562	18.654	278.914
960.6649	21.455	274.362
960.2736	25.555	264.930
959.8821	16.265	301.469
959.4905	32.229	52.180
959.0989	50.990	67.231
958.7073	64.270	61.913
958.3155	54.716	66.546
957.9236	53.252	72.719
957.5317	49.919	74.327
957.1396	26.399	67.854
956.7476	13.309	56.107
956.3554	1.960	322.871
955.9632	14.730	103.806
955.5709	10.914	16.369
955.1784	17.876	329.432
954.7859	29.021	317.691
954.3934	39.371	321.484
954.0007	47.814	322.555
953.6080	50.204	338.134
953.2152	61.668	6.425
952.8223	64.005	3.453
952.4293	59.492	23.586
952.0363	52.321	69.153
951.6432	37.890	15.175
951.2499	38.799	12.884
950.8567	24.299	37.633
950.4633	22.355	349.634
950.0699	59.440	270.806
949.6763	74.189	251.164
949.2827	77.216	236.992
948.8890	72.016	241.391
948.4953	73.536	243.830
948.1014	71.085	244.753
947.7075	81.519	235.730
947.3135	20.250	58.981
946.9194	17.180	56.307
946.5253	79.606	233.634
946.1310	53.350	333.824
945.7367	39.677	155.766
945.3423	37.709	155.488
944.9478	37.563	155.371
944.5532	37.498	155.395
944.1586	37.469	155.358
943.7639	37.350	155.424
943.3691	37.506	155.539
942.9742	37.615	155.691
942.5792	38.563	157.387
942.1841	52.744	334.572
941.7890	46.315	125.186
941.3938	35.379	329.631
940.9985	34.688	316.713
940.6031	29.450	322.397
940.2077	21.040	316.592
939.8122	18.816	83.606
939.4166	28.355	111.389
939.0209	25.237	92.769
938.6251	32.865	87.065
938.2292	46.494	130.173
937.8333	41.054	70.286
937.4373	44.385	48.757
937.0412	43.310	18.499
936.6450	41.878	5.608
936.2487	43.904	1.984
935.8524	46.713	2.629
935.4560	54.242	0.985
935.0594	56.284	333.580
934.6629	6.428	33.422
934.2662	43.816	190.154
933.8694	72.118	347.658
933.4727	24.895	164.968
933.0757	27.593	165.391
932.6787	28.726	169.508
932.2817	29.613	175.761
931.8845	29.648	178.165
931.4873	30.195	182.584
931.0900	33.617	188.021
930.6926	30.521	56.049
930.2951	41.668	170.451
929.8975	64.987	81.596
929.4999	77.367	143.519
929.1022	51.414	60.440
928.7043	57.726	67.189
928.3065	60.849	67.178
927.9085	27.482	249.178
927.5104	25.838	249.992
927.1123	23.399	248.326
926.7141	25.706	262.092
926.3158	39.703	253.583
925.9174	73.812	41.620
925.5190	63.149	300.001
925.1204	51.635	283.007
924.7218	56.157	288.280
924.3231	52.029	300.574
923.9243	50.257	348.341
923.5255	44.662	43.920
923.1265	47.632	88.708
922.7275	41.664	45.189
922.3283	31.459	358.841
921.9291	31.374	354.119
921.5298	30.526	339.759
921.1305	30.449	342.048
920.7311	31.418	327.009
920.3315	29.490	345.859
919.9319	32.763	11.672
919.5322	36.255	39.426
919.1324	40.815	68.444
918.7326	35.070	44.289
918.3326	37.554	46.295
917.9326	31.210	36.907
917.5325	11.535	337.063
917.1323	15.315	344.314
916.7321	8.023	271.262
916.3317	19.042	116.179
915.9313	12.435	1.668
915.5308	23.778	332.154
915.1302	28.174	315.876
914.7295	31.170	312.495
914.3287	33.741	317.165
913.9279	32.961	313.861
913.5270	29.517	314.350
913.1259	22.595	329.790
912.7249	14.146	4.081
912.3237	21.243	99.532
911.9224	11.895	28.476
911.5211	31.796	69.582
911.1196	30.035	357.020
910.7181	25.233	218.119
910.3165	6.491	166.049
909.9149	21.552	81.772
909.5131	19.453	45.752
909.1113	30.558	359.019
