Source : TiO2_Si_SP.S1.15h 46mn 25s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	15.809	66.179
829.5408	15.821	66.061
829.1221	15.809	66.066
828.7034	15.825	65.974
828.2845	15.823	66.004
827.8656	15.869	65.926
827.4465	15.894	65.887
827.0275	15.871	65.790
826.6082	15.885	65.774
826.1889	15.887	65.706
825.7695	15.897	65.680
825.3500	15.873	65.634
824.9305	15.848	65.614
824.5108	15.855	65.561
824.0911	15.846	65.484
823.6713	15.858	65.422
823.2513	15.853	65.394
822.8313	15.863	65.370
822.4112	15.892	65.363
821.9910	15.912	65.404
821.5707	15.904	65.364
821.1503	15.908	65.341
820.7299	15.938	65.305
820.3093	15.951	65.296
819.8886	15.984	65.248
819.4679	16.009	65.202
819.0471	16.037	65.185
818.6262	16.061	65.138
818.2051	16.075	65.079
817.7841	16.087	65.053
817.3629	16.093	65.030
816.9416	16.115	65.019
816.5202	16.126	64.981
816.0988	16.141	64.971
815.6772	16.170	64.898
815.2556	16.180	64.859
814.8338	16.199	64.837
814.4120	16.216	64.783
813.9901	16.231	64.805
813.5681	16.256	64.787
813.1460	16.257	64.732
812.7238	16.261	64.708
812.3015	16.308	64.640
811.8792	16.284	64.653
811.4567	16.294	64.633
811.0341	16.308	64.577
810.6115	16.320	64.605
810.1888	16.332	64.539
809.7659	16.354	64.462
809.3430	16.370	64.408
808.9200	16.389	64.303
808.4969	16.405	64.207
808.0738	16.415	64.155
807.6505	16.423	64.124
807.2271	16.418	64.087
806.8036	16.442	64.000
806.3802	16.458	63.955
805.9564	16.474	63.902
805.5327	16.491	63.829
805.1089	16.513	63.741
804.6850	16.535	63.708
804.2610	16.540	63.653
803.8369	16.549	63.612
803.4127	16.569	63.561
802.9884	16.577	63.526
802.5640	16.589	63.490
802.1396	16.589	63.450
801.7150	16.597	63.437
801.2903	16.619	63.375
800.8657	16.628	63.356
800.4408	16.623	63.312
800.0159	16.637	63.293
799.5909	16.643	63.216
799.1658	16.657	63.181
798.7406	16.676	63.117
798.3153	16.707	63.077
797.8899	16.737	63.003
797.4644	16.742	62.979
797.0389	16.763	62.927
796.6132	16.780	62.871
796.1875	16.777	62.817
795.7617	16.793	62.756
795.3357	16.808	62.708
794.9097	16.834	62.650
794.4836	16.848	62.570
794.0574	16.854	62.558
793.6310	16.870	62.530
793.2047	16.889	62.465
792.7782	16.894	62.425
792.3516	16.910	62.409
791.9249	16.909	62.390
791.4982	16.938	62.329
791.0714	16.954	62.302
790.6444	16.966	62.257
790.2173	16.973	62.227
789.7902	16.993	62.177
789.3630	17.006	62.134
788.9357	17.023	62.112
788.5083	17.030	62.076
788.0807	17.034	62.065
787.6532	17.051	62.022
787.2256	17.047	61.983
786.7977	17.044	61.918
786.3699	17.059	61.883
785.9419	17.069	61.846
785.5139	17.083	61.801
785.0857	17.099	61.744
784.6575	17.114	61.677
784.2291	17.111	61.648
783.8007	17.112	61.607
783.3722	17.122	61.562
782.9435	17.141	61.516
782.5148	17.162	61.477
782.0861	17.160	61.474
781.6573	17.159	61.464
781.2282	17.172	61.428
780.7991	17.183	61.404
780.3698	17.194	61.377
779.9407	17.201	61.351
779.5113	17.213	61.325
779.0818	17.237	61.264
778.6523	17.254	61.196
778.2227	17.272	61.144
777.7930	17.285	61.113
777.3632	17.301	61.086
776.9332	17.314	61.033
776.5032	17.325	60.987
776.0731	17.331	60.944
775.6429	17.345	60.886
775.2126	17.356	60.852
774.7822	17.370	60.818
774.3517	17.381	60.791
773.9212	17.396	60.750
773.4905	17.405	60.720
773.0598	17.421	60.689
772.6289	17.431	60.642
772.1980	17.451	60.589
771.7669	17.458	60.544
771.3358	17.465	60.513
770.9046	17.482	60.463
770.4733	17.498	60.417
770.0419	17.512	60.391
769.6104	17.528	60.372
769.1787	17.541	60.344
768.7471	17.534	60.316
768.3152	17.559	60.287
767.8834	17.583	60.227
767.4514	17.602	60.161
767.0193	17.617	60.112
766.5872	17.640	60.060
766.1549	17.651	60.001
765.7224	17.665	59.984
765.2901	17.679	59.954
764.8575	17.692	59.936
764.4249	17.709	59.895
763.9922	17.727	59.871
763.5593	17.753	59.827
763.1264	17.767	59.803
762.6934	17.778	59.757
762.2603	17.784	59.728
761.8271	17.798	59.690
761.3938	17.806	59.645
760.9604	17.821	59.579
760.5269	17.839	59.547
760.0933	17.862	59.510
759.6597	17.882	59.461
759.2259	17.889	59.436
758.7921	17.902	59.414
758.3581	17.920	59.358
757.9240	17.921	59.319
757.4900	17.936	59.285
757.0556	17.948	59.259
756.6213	17.962	59.224
756.1868	17.979	59.159
755.7523	17.986	59.135
755.3177	17.998	59.093
754.8830	18.004	59.070
754.4482	18.011	59.035
754.0132	18.021	59.012
753.5782	18.038	58.974
753.1432	18.048	58.937
752.7079	18.059	58.902
752.2726	18.069	58.857
751.8373	18.074	58.826
751.4018	18.091	58.760
750.9662	18.107	58.717
750.5306	18.117	58.687
750.0948	18.131	58.635
749.6589	18.140	58.605
749.2230	18.142	58.575
748.7869	18.149	58.552
748.3508	18.167	58.508
747.9146	18.180	58.489
747.4782	18.191	58.471
747.0417	18.203	58.433
746.6052	18.212	58.394
746.1686	18.231	58.341
745.7319	18.252	58.284
745.2950	18.270	58.242
744.8582	18.286	58.186
744.4211	18.299	58.148
743.9841	18.309	58.121
743.5468	18.318	58.071
743.1096	18.326	58.039
742.6722	18.334	58.023
742.2347	18.339	57.993
741.7971	18.347	57.937
741.3594	18.353	57.893
740.9215	18.360	57.865
740.4838	18.367	57.832
740.0458	18.373	57.817
739.6077	18.377	57.793
739.1696	18.388	57.744
738.7313	18.396	57.704
738.2930	18.404	57.669
737.8545	18.407	57.629
737.4160	18.421	57.591
736.9773	18.424	57.567
736.5386	18.434	57.533
736.0996	18.443	57.505
735.6608	18.456	57.473
735.2218	18.464	57.439
734.7827	18.459	57.421
734.3434	18.466	57.379
733.9041	18.474	57.327
733.4647	18.476	57.290
733.0252	18.477	57.266
732.5856	18.496	57.216
732.1459	18.503	57.176
731.7061	18.502	57.143
731.2662	18.508	57.119
730.8261	18.515	57.086
730.3861	18.515	57.062
729.9459	18.525	57.023
729.5057	18.530	56.980
729.0653	18.541	56.925
728.6248	18.541	56.881
728.1843	18.541	56.855
727.7436	18.546	56.815
727.3028	18.549	56.780
726.8619	18.558	56.732
726.4210	18.558	56.692
725.9799	18.567	56.648
725.5388	18.575	56.594
725.0975	18.586	56.531
724.6562	18.593	56.480
724.2147	18.591	56.444
723.7732	18.590	56.408
723.3315	18.591	56.375
722.8898	18.599	56.313
722.4479	18.605	56.270
722.0060	18.609	56.221
721.5640	18.629	56.150
721.1218	18.636	56.111
720.6796	18.647	56.064
720.2373	18.654	56.013
719.7949	18.657	55.984
719.3524	18.666	55.937
718.9097	18.673	55.888
718.4670	18.680	55.836
718.0242	18.699	55.778
717.5813	18.706	55.719
717.1383	18.714	55.659
716.6952	18.723	55.608
716.2520	18.734	55.559
715.8087	18.746	55.495
715.3653	18.761	55.425
714.9218	18.767	55.391
714.4782	18.778	55.339
714.0345	18.794	55.265
713.5907	18.805	55.211
713.1469	18.815	55.148
712.7028	18.827	55.087
712.2588	18.845	55.018
711.8146	18.857	54.961
711.3703	18.874	54.892
710.9259	18.892	54.815
710.4814	18.903	54.758
710.0369	18.918	54.695
709.5922	18.931	54.629
709.1474	18.943	54.581
708.7026	18.954	54.519
708.2576	18.966	54.459
707.8125	18.975	54.415
707.3674	18.987	54.346
706.9221	18.999	54.287
706.4767	19.014	54.220
706.0313	19.030	54.148
705.5857	19.046	54.094
705.1401	19.061	54.043
704.6943	19.076	53.987
704.2484	19.087	53.927
703.8025	19.099	53.870
703.3564	19.115	53.790
702.9103	19.134	53.738
702.4641	19.153	53.668
702.0177	19.171	53.610
701.5712	19.187	53.545
701.1247	19.203	53.492
700.6780	19.219	53.438
700.2313	19.236	53.379
699.7844	19.251	53.316
699.3375	19.264	53.255
698.8904	19.279	53.187
698.4433	19.295	53.121
697.9961	19.319	53.056
697.5488	19.335	52.985
697.1013	19.349	52.925
696.6537	19.368	52.865
696.2061	19.387	52.806
695.7584	19.404	52.744
695.3105	19.421	52.680
694.8626	19.440	52.614
694.4146	19.455	52.552
693.9664	19.472	52.492
693.5182	19.494	52.429
693.0699	19.512	52.370
692.6215	19.531	52.316
692.1729	19.547	52.253
691.7243	19.565	52.194
691.2756	19.587	52.133
690.8267	19.604	52.072
690.3778	19.622	52.005
689.9288	19.639	51.942
689.4797	19.660	51.869
689.0304	19.676	51.802
688.5811	19.691	51.736
688.1317	19.705	51.675
687.6821	19.720	51.621
687.2325	19.740	51.548
686.7828	19.753	51.490
686.3329	19.770	51.426
685.8830	19.787	51.380
685.4330	19.805	51.326
684.9828	19.824	51.265
684.5327	19.837	51.204
684.0823	19.854	51.142
683.6319	19.868	51.083
683.1813	19.882	51.023
682.7307	19.900	50.951
682.2800	19.916	50.889
681.8292	19.931	50.828
681.3782	19.946	50.761
680.9272	19.957	50.700
680.4761	19.972	50.632
680.0248	19.985	50.573
679.5735	19.999	50.505
679.1221	20.010	50.438
678.6705	20.023	50.372
678.2189	20.035	50.317
677.7672	20.053	50.255
677.3154	20.066	50.184
676.8634	20.080	50.121
676.4114	20.091	50.056
675.9592	20.103	49.988
675.5070	20.116	49.920
675.0547	20.127	49.864
674.6022	20.140	49.804
674.1497	20.152	49.745
673.6971	20.160	49.684
673.2443	20.173	49.621
672.7915	20.183	49.556
672.3386	20.192	49.493
671.8855	20.202	49.424
671.4324	20.211	49.362
670.9791	20.222	49.300
670.5258	20.233	49.226
670.0723	20.247	49.158
669.6188	20.260	49.096
669.1651	20.270	49.036
668.7114	20.281	48.973
668.2575	20.293	48.912
667.8035	20.305	48.839
667.3495	20.315	48.769
666.8953	20.327	48.707
666.4411	20.337	48.646
665.9868	20.348	48.588
665.5323	20.360	48.519
665.0777	20.368	48.457
664.6230	20.378	48.386
664.1683	20.391	48.320
663.7134	20.403	48.255
663.2584	20.412	48.192
662.8034	20.421	48.127
662.3482	20.432	48.064
661.8929	20.443	47.992
661.4376	20.452	47.922
660.9821	20.464	47.859
660.5265	20.473	47.787
660.0708	20.486	47.720
659.6151	20.498	47.653
659.1592	20.510	47.586
658.7032	20.517	47.511
658.2471	20.526	47.431
657.7909	20.537	47.362
657.3346	20.548	47.294
656.8782	20.562	47.229
656.4218	20.573	47.160
655.9651	20.581	47.093
655.5084	20.590	47.022
655.0516	20.599	46.949
654.5947	20.607	46.880
654.1377	20.616	46.819
653.6806	20.621	46.742
653.2234	20.630	46.667
652.7661	20.638	46.598
652.3087	20.644	46.530
651.8511	20.652	46.469
651.3936	20.661	46.407
650.9358	20.672	46.342
650.4780	20.684	46.277
650.0201	20.695	46.214
649.5620	20.704	46.155
649.1039	20.714	46.089
648.6457	20.722	46.014
648.1873	20.735	45.946
647.7289	20.747	45.866
647.2703	20.759	45.798
646.8117	20.767	45.722
646.3530	20.776	45.648
645.8941	20.787	45.580
645.4351	20.796	45.501
644.9761	20.810	45.429
644.5169	20.819	45.348
644.0577	20.831	45.262
643.5983	20.840	45.186
643.1389	20.852	45.106
642.6793	20.861	45.033
642.2196	20.871	44.953
641.7598	20.885	44.882
641.2999	20.899	44.798
640.8400	20.916	44.720
640.3799	20.929	44.645
639.9197	20.942	44.551
639.4594	20.954	44.477
638.9990	20.966	44.393
638.5385	20.976	44.315
638.0779	20.985	44.239
637.6172	20.994	44.157
637.1564	21.008	44.077
636.6954	21.019	43.994
636.2344	21.034	43.896
635.7733	21.046	43.815
635.3121	21.051	43.731
634.8508	21.065	43.642
634.3893	21.076	43.560
633.9278	21.097	43.471
633.4662	21.118	43.384
633.0044	21.134	43.305
632.5425	21.146	43.230
632.0806	21.159	43.151
631.6186	21.161	43.077
631.1564	21.172	43.008
630.6942	21.176	42.914
630.2318	21.178	42.821
629.7693	21.174	42.738
629.3068	21.187	42.647
628.8441	21.185	42.566
628.3813	21.208	42.481
627.9184	21.227	42.387
627.4554	21.250	42.321
626.9923	21.257	42.236
626.5291	21.258	42.162
626.0658	21.260	42.081
625.6024	21.271	41.999
625.1389	21.284	41.945
624.6753	21.309	41.880
624.2115	21.310	41.808
623.7477	21.315	41.732
623.2838	21.344	41.668
622.8198	21.357	41.567
622.3557	21.352	41.388
621.8914	21.350	41.222
621.4271	21.345	41.051
620.9626	21.335	40.861
620.4980	21.321	40.693
620.0334	21.327	40.516
619.5687	21.348	40.322
619.1038	21.350	40.155
618.6388	21.340	39.991
618.1737	21.346	39.823
617.7086	21.341	39.656
617.2433	21.341	39.494
616.7779	21.346	39.336
616.3124	21.347	39.194
615.8468	21.336	39.056
615.3810	21.343	38.913
614.9153	21.333	38.781
614.4492	21.328	38.650
613.9833	21.326	38.531
613.5172	21.327	38.405
613.0510	21.334	38.285
612.5847	21.339	38.177
612.1182	21.346	38.071
611.6516	21.354	37.957
611.1850	21.364	37.851
610.7183	21.373	37.750
610.2514	21.383	37.646
609.7844	21.392	37.546
609.3173	21.406	37.450
608.8502	21.424	37.355
608.3829	21.437	37.273
607.9156	21.454	37.187
607.4480	21.472	37.101
606.9804	21.492	37.031
606.5127	21.514	36.954
606.0449	21.535	36.883
605.5770	21.554	36.815
605.1089	21.578	36.750
604.6408	21.602	36.685
604.1726	21.632	36.621
603.7042	21.664	36.558
603.2358	21.695	36.495
602.7673	21.723	36.441
602.2986	21.748	36.387
601.8298	21.777	36.332
601.3610	21.806	36.278
600.8920	21.835	36.226
600.4229	21.864	36.176
599.9537	21.897	36.131
599.4844	21.931	36.082
599.0150	21.970	36.042
598.5455	22.003	35.992
598.0759	22.038	35.943
597.6062	22.067	35.906
597.1364	22.104	35.868
596.6664	22.145	35.824
596.1964	22.181	35.784
595.7263	22.219	35.742
595.2560	22.249	35.706
594.7857	22.275	35.669
594.3152	22.305	35.625
593.8447	22.337	35.582
593.3741	22.366	35.539
592.9032	22.406	35.490
592.4323	22.442	35.432
591.9613	22.485	35.386
591.4902	22.528	35.337
591.0190	22.579	35.283
590.5477	22.613	35.231
590.0763	22.665	35.176
589.6048	22.692	35.118
589.1331	22.725	35.054
588.6614	22.744	34.966
588.1896	22.777	34.892
587.7176	22.817	34.817
587.2455	22.858	34.722
586.7734	22.888	34.619
586.3011	22.913	34.469
585.8287	22.920	34.332
585.3563	22.953	34.165
584.8837	22.983	33.983
584.4109	22.983	33.763
583.9382	22.996	33.545
583.4652	23.025	33.384
582.9922	23.051	33.222
582.5191	23.077	33.073
582.0458	23.105	32.943
581.5725	23.139	32.811
581.0991	23.157	32.677
580.6255	23.153	32.563
580.1519	23.166	32.429
579.6780	23.193	32.294
579.2042	23.201	32.164
578.7303	23.221	32.038
578.2561	23.236	31.917
577.7819	23.245	31.797
577.3076	23.255	31.665
576.8332	23.282	31.535
576.3586	23.294	31.412
575.8840	23.319	31.284
575.4093	23.342	31.161
574.9344	23.363	31.033
574.4595	23.386	30.911
573.9844	23.401	30.783
573.5092	23.420	30.647
573.0339	23.441	30.513
572.5586	23.458	30.386
572.0831	23.475	30.255
571.6075	23.497	30.118
571.1318	23.518	29.996
570.6559	23.541	29.866
570.1801	23.563	29.736
569.7040	23.578	29.606
569.2278	23.602	29.477
568.7516	23.621	29.349
568.2753	23.640	29.223
567.7989	23.659	29.087
567.3222	23.674	28.952
566.8455	23.692	28.821
566.3687	23.712	28.689
565.8918	23.730	28.558
565.4149	23.751	28.425
564.9377	23.767	28.293
564.4605	23.781	28.159
563.9832	23.794	28.021
563.5057	23.810	27.883
563.0282	23.824	27.743
562.5505	23.844	27.596
562.0728	23.861	27.460
561.5948	23.877	27.319
561.1169	23.895	27.174
560.6388	23.912	27.024
560.1606	23.928	26.881
559.6823	23.940	26.731
559.2039	23.955	26.580
558.7253	23.968	26.434
558.2467	23.986	26.294
557.7679	24.002	26.143
557.2891	24.019	25.996
556.8102	24.033	25.852
556.3311	24.049	25.706
555.8519	24.065	25.560
555.3726	24.081	25.408
554.8932	24.094	25.258
554.4137	24.105	25.104
553.9341	24.120	24.950
553.4543	24.133	24.803
552.9745	24.145	24.645
552.4946	24.154	24.497
552.0145	24.169	24.345
551.5345	24.183	24.195
551.0541	24.197	24.044
550.5737	24.209	23.894
550.0933	24.220	23.736
549.6126	24.230	23.585
549.1320	24.242	23.428
548.6511	24.252	23.266
548.1702	24.262	23.109
547.6891	24.272	22.951
547.2080	24.282	22.792
546.7267	24.294	22.638
546.2454	24.304	22.483
545.7639	24.313	22.327
545.2823	24.321	22.166
544.8007	24.330	22.003
544.3188	24.339	21.836
543.8369	24.347	21.673
543.3549	24.356	21.504
542.8728	24.361	21.345
542.3905	24.368	21.189
541.9082	24.375	21.025
541.4257	24.383	20.862
540.9431	24.393	20.694
540.4604	24.401	20.533
539.9777	24.408	20.360
539.4948	24.418	20.192
539.0118	24.427	20.016
538.5286	24.432	19.851
538.0454	24.436	19.681
537.5621	24.444	19.510
537.0786	24.451	19.339
536.5950	24.456	19.166
536.1114	24.463	19.001
535.6276	24.471	18.836
535.1437	24.478	18.660
534.6597	24.485	18.482
534.1756	24.493	18.313
533.6913	24.498	18.135
533.2070	24.508	17.954
532.7226	24.518	17.775
532.2380	24.529	17.598
531.7534	24.538	17.422
531.2686	24.552	17.242
530.7837	24.564	17.058
530.2987	24.574	16.872
529.8136	24.583	16.692
529.3284	24.593	16.513
528.8430	24.604	16.325
528.3576	24.620	16.137
527.8720	24.633	15.951
527.3864	24.644	15.766
526.9006	24.659	15.576
526.4147	24.673	15.392
525.9287	24.691	15.194
525.4426	24.706	15.003
524.9564	24.719	14.805
524.4700	24.734	14.609
523.9836	24.752	14.413
523.4971	24.771	14.215
523.0104	24.788	14.017
522.5236	24.807	13.826
522.0367	24.826	13.624
521.5497	24.847	13.422
521.0626	24.866	13.227
520.5754	24.885	13.029
520.0881	24.906	12.829
519.6006	24.928	12.625
519.1131	24.948	12.422
518.6254	24.970	12.221
518.1377	24.990	12.015
517.6498	25.010	11.804
517.1618	25.021	11.599
516.6737	25.039	11.389
516.1855	25.056	11.174
515.6971	25.074	10.958
515.2087	25.087	10.741
514.7202	25.106	10.528
514.2314	25.124	10.316
513.7427	25.141	10.105
513.2538	25.159	9.891
512.7648	25.173	9.678
512.2757	25.189	9.458
511.7864	25.212	9.225
511.2971	25.234	8.996
510.8076	25.250	8.773
510.3181	25.265	8.538
509.8284	25.274	8.315
509.3386	25.287	8.085
508.8488	25.302	7.851
508.3587	25.319	7.624
507.8686	25.330	7.387
507.3784	25.340	7.147
506.8880	25.346	6.912
506.3976	25.355	6.662
505.9070	25.359	6.417
505.4163	25.368	6.170
504.9255	25.378	5.923
504.4346	25.386	5.674
503.9436	25.386	5.435
503.4525	25.386	5.197
502.9612	25.387	4.951
502.4698	25.391	4.695
501.9784	25.395	4.440
501.4868	25.397	4.192
500.9951	25.397	3.942
500.5033	25.399	3.684
500.0114	25.399	3.424
499.5193	25.400	3.160
499.0272	25.397	2.901
498.5349	25.397	2.637
498.0426	25.394	2.372
497.5501	25.397	2.108
497.0575	25.398	1.835
496.5648	25.400	1.563
496.0720	25.399	1.297
495.5790	25.393	1.029
495.0860	25.391	0.739
494.5928	25.386	0.470
494.0995	25.384	0.196
493.6062	25.382	359.914
493.1127	25.378	359.645
492.6190	25.375	359.363
492.1253	25.373	359.082
491.6315	25.367	358.806
491.1375	25.361	358.521
490.6435	25.354	358.231
490.1493	25.351	357.944
489.6550	25.345	357.660
489.1606	25.342	357.369
488.6661	25.336	357.073
488.1714	25.333	356.783
487.6767	25.324	356.483
487.1818	25.319	356.192
486.6869	25.311	355.899
486.1918	25.305	355.609
485.6966	25.296	355.319
485.2013	25.289	355.018
484.7058	25.280	354.727
484.2103	25.272	354.439
483.7146	25.267	354.146
483.2189	25.260	353.846
482.7230	25.252	353.543
482.2270	25.242	353.252
481.7309	25.231	352.947
481.2346	25.215	352.652
480.7383	25.200	352.357
480.2419	25.188	352.057
479.7453	25.174	351.754
479.2486	25.159	351.447
478.7518	25.142	351.146
478.2549	25.125	350.847
477.7579	25.108	350.538
477.2608	25.089	350.244
476.7635	25.068	349.942
476.2662	25.056	349.643
475.7687	25.041	349.334
475.2711	25.024	349.032
474.7734	25.004	348.721
474.2756	24.987	348.415
473.7776	24.966	348.104
473.2796	24.944	347.795
472.7814	24.923	347.481
472.2831	24.900	347.155
471.7848	24.881	346.847
471.2863	24.867	346.529
470.7876	24.841	346.213
470.2889	24.816	345.890
469.7900	24.793	345.571
469.2911	24.769	345.263
468.7920	24.752	344.945
468.2928	24.732	344.633
467.7935	24.705	344.314
467.2941	24.679	343.990
466.7945	24.662	343.674
466.2949	24.638	343.350
465.7951	24.616	343.031
465.2952	24.585	342.723
464.7952	24.562	342.416
464.2951	24.534	342.098
463.7949	24.504	341.768
463.2946	24.469	341.459
462.7941	24.446	341.138
462.2935	24.419	340.819
461.7928	24.388	340.501
461.2921	24.358	340.183
460.7911	24.330	339.860
460.2901	24.306	339.530
459.7889	24.279	339.203
459.2877	24.251	338.873
458.7863	24.223	338.548
458.2848	24.192	338.218
457.7832	24.155	337.866
457.2815	24.125	337.529
456.7796	24.099	337.210
456.2777	24.074	336.891
455.7756	24.040	336.558
455.2734	24.019	336.234
454.7711	23.991	335.908
454.2687	23.964	335.580
453.7662	23.933	335.245
453.2635	23.902	334.904
452.7608	23.871	334.568
452.2579	23.839	334.225
451.7549	23.807	333.886
451.2518	23.775	333.543
450.7485	23.742	333.198
450.2452	23.709	332.853

