Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	15.763	69.794
829.5408	15.771	69.752
829.1221	15.778	69.711
828.7034	15.786	69.669
828.2845	15.793	69.627
827.8656	15.801	69.585
827.4465	15.808	69.543
827.0275	15.816	69.501
826.6082	15.824	69.459
826.1889	15.831	69.418
825.7695	15.838	69.377
825.3500	15.846	69.336
824.9305	15.853	69.295
824.5108	15.860	69.254
824.0911	15.868	69.213
823.6713	15.875	69.172
823.2513	15.883	69.131
822.8313	15.890	69.090
822.4112	15.897	69.048
821.9910	15.905	69.007
821.5707	15.912	68.966
821.1503	15.920	68.924
820.7299	15.927	68.883
820.3093	15.935	68.841
819.8886	15.942	68.799
819.4679	15.950	68.758
819.0471	15.957	68.716
818.6262	15.965	68.674
818.2051	15.972	68.633
817.7841	15.980	68.591
817.3629	15.987	68.549
816.9416	15.995	68.507
816.5202	16.002	68.465
816.0988	16.010	68.423
815.6772	16.018	68.381
815.2556	16.025	68.341
814.8338	16.033	68.300
814.4120	16.041	68.260
813.9901	16.049	68.220
813.5681	16.057	68.179
813.1460	16.065	68.139
812.7238	16.073	68.099
812.3015	16.081	68.058
811.8792	16.089	68.018
811.4567	16.097	67.977
811.0341	16.105	67.936
810.6115	16.113	67.896
810.1888	16.121	67.855
809.7659	16.130	67.815
809.3430	16.138	67.775
808.9200	16.147	67.735
808.4969	16.155	67.695
808.0738	16.164	67.655
807.6505	16.172	67.615
807.2271	16.181	67.575
806.8036	16.189	67.535
806.3802	16.198	67.494
805.9564	16.207	67.454
805.5327	16.215	67.413
805.1089	16.224	67.373
804.6850	16.232	67.332
804.2610	16.241	67.292
803.8369	16.250	67.251
803.4127	16.258	67.210
802.9884	16.267	67.170
802.5640	16.276	67.129
802.1396	16.284	67.088
801.7150	16.293	67.047
801.2903	16.302	67.006
800.8657	16.310	66.965
800.4408	16.319	66.924
800.0159	16.328	66.882
799.5909	16.336	66.839
799.1658	16.343	66.794
798.7406	16.351	66.749
798.3153	16.359	66.704
797.8899	16.366	66.659
797.4644	16.374	66.614
797.0389	16.381	66.569
796.6132	16.389	66.524
796.1875	16.397	66.479
795.7617	16.404	66.433
795.3357	16.412	66.388
794.9097	16.420	66.343
794.4836	16.427	66.298
794.0574	16.435	66.254
793.6310	16.443	66.210
793.2047	16.450	66.165
792.7782	16.458	66.121
792.3516	16.465	66.076
791.9249	16.473	66.032
791.4982	16.481	65.987
791.0714	16.488	65.942
790.6444	16.496	65.898
790.2173	16.503	65.853
789.7902	16.511	65.808
789.3630	16.519	65.764
788.9357	16.527	65.719
788.5083	16.536	65.675
788.0807	16.544	65.631
787.6532	16.552	65.587
787.2256	16.560	65.542
786.7977	16.569	65.498
786.3699	16.577	65.453
785.9419	16.585	65.409
785.5139	16.593	65.364
785.0857	16.602	65.319
784.6575	16.610	65.275
784.2291	16.619	65.231
783.8007	16.628	65.187
783.3722	16.637	65.143
782.9435	16.646	65.099
782.5148	16.655	65.054
782.0861	16.664	65.010
781.6573	16.672	64.966
781.2282	16.681	64.921
780.7991	16.690	64.877
780.3698	16.699	64.832
779.9407	16.708	64.788
779.5113	16.718	64.742
779.0818	16.727	64.694
778.6523	16.736	64.647
778.2227	16.746	64.599
777.7930	16.755	64.552
777.3632	16.764	64.504
776.9332	16.774	64.456
776.5032	16.783	64.409
776.0731	16.793	64.361
775.6429	16.802	64.313
775.2126	16.812	64.265
774.7822	16.821	64.217
774.3517	16.830	64.171
773.9212	16.838	64.125
773.4905	16.847	64.079
773.0598	16.856	64.033
772.6289	16.865	63.986
772.1980	16.874	63.940
771.7669	16.882	63.893
771.3358	16.891	63.847
770.9046	16.900	63.800
770.4733	16.909	63.753
770.0419	16.918	63.706
769.6104	16.927	63.659
769.1787	16.936	63.612
768.7471	16.945	63.565
768.3152	16.954	63.518
767.8834	16.962	63.471
767.4514	16.971	63.424
767.0193	16.980	63.376
766.5872	16.989	63.329
766.1549	16.998	63.282
765.7224	17.007	63.234
765.2901	17.016	63.186
764.8575	17.026	63.139
764.4249	17.035	63.092
763.9922	17.045	63.045
763.5593	17.054	62.998
763.1264	17.064	62.950
762.6934	17.073	62.903
762.2603	17.083	62.856
761.8271	17.092	62.808
761.3938	17.102	62.760
760.9604	17.111	62.713
760.5269	17.121	62.664
760.0933	17.132	62.614
759.6597	17.142	62.564
759.2259	17.152	62.514
758.7921	17.163	62.464
758.3581	17.173	62.414
757.9240	17.184	62.363
757.4900	17.194	62.313
757.0556	17.204	62.262
756.6213	17.215	62.212
756.1868	17.225	62.161
755.7523	17.236	62.112
755.3177	17.246	62.064
754.8830	17.256	62.016
754.4482	17.266	61.967
754.0132	17.276	61.919
753.5782	17.287	61.871
753.1432	17.297	61.822
752.7079	17.307	61.774
752.2726	17.317	61.725
751.8373	17.328	61.676
751.4018	17.338	61.627
750.9662	17.348	61.578
750.5306	17.358	61.529
750.0948	17.368	61.479
749.6589	17.378	61.429
749.2230	17.388	61.380
748.7869	17.398	61.330
748.3508	17.408	61.280
747.9146	17.418	61.230
747.4782	17.428	61.180
747.0417	17.438	61.130
746.6052	17.448	61.080
746.1686	17.459	61.029
745.7319	17.469	60.979
745.2950	17.479	60.928
744.8582	17.489	60.878
744.4211	17.499	60.827
743.9841	17.510	60.776
743.5468	17.520	60.726
743.1096	17.530	60.675
742.6722	17.540	60.624
742.2347	17.551	60.571
741.7971	17.561	60.517
741.3594	17.571	60.462
740.9215	17.581	60.407
740.4838	17.592	60.352
740.0458	17.602	60.297
739.6077	17.613	60.242
739.1696	17.623	60.187
738.7313	17.633	60.132
738.2930	17.644	60.077
737.8545	17.654	60.022
737.4160	17.664	59.968
736.9773	17.673	59.915
736.5386	17.683	59.862
736.0996	17.693	59.808
735.6608	17.703	59.754
735.2218	17.713	59.700
734.7827	17.722	59.646
734.3434	17.732	59.592
733.9041	17.742	59.538
733.4647	17.752	59.483
733.0252	17.762	59.427
732.5856	17.772	59.370
732.1459	17.783	59.313
731.7061	17.793	59.256
731.2662	17.803	59.199
730.8261	17.813	59.142
730.3861	17.824	59.084
729.9459	17.834	59.027
729.5057	17.844	58.969
729.0653	17.855	58.915
728.6248	17.866	58.862
728.1843	17.878	58.808
727.7436	17.889	58.755
727.3028	17.901	58.702
726.8619	17.912	58.648
726.4210	17.923	58.595
725.9799	17.935	58.541
725.5388	17.946	58.488
725.0975	17.958	58.434
724.6562	17.969	58.380
724.2147	17.981	58.325
723.7732	17.992	58.271
723.3315	18.004	58.217
722.8898	18.016	58.162
722.4479	18.027	58.107
722.0060	18.039	58.053
721.5640	18.051	57.998
721.1218	18.062	57.943
720.6796	18.074	57.888
720.2373	18.085	57.832
719.7949	18.096	57.777
719.3524	18.108	57.721
718.9097	18.119	57.665
718.4670	18.130	57.609
718.0242	18.142	57.553
717.5813	18.153	57.497
717.1383	18.165	57.441
716.6952	18.176	57.384
716.2520	18.187	57.327
715.8087	18.198	57.270
715.3653	18.210	57.213
714.9218	18.221	57.156
714.4782	18.232	57.098
714.0345	18.243	57.041
713.5907	18.254	56.983
713.1469	18.265	56.925
712.7028	18.277	56.867
712.2588	18.288	56.809
711.8146	18.299	56.751
711.3703	18.310	56.693
710.9259	18.322	56.634
710.4814	18.333	56.576
710.0369	18.344	56.517
709.5922	18.356	56.459
709.1474	18.367	56.400
708.7026	18.378	56.341
708.2576	18.390	56.281
707.8125	18.403	56.219
707.3674	18.415	56.158
706.9221	18.428	56.096
706.4767	18.440	56.034
706.0313	18.453	55.972
705.5857	18.465	55.910
705.1401	18.478	55.848
704.6943	18.490	55.786
704.2484	18.503	55.725
703.8025	18.515	55.666
703.3564	18.527	55.606
702.9103	18.539	55.546
702.4641	18.551	55.487
702.0177	18.564	55.427
701.5712	18.576	55.367
701.1247	18.588	55.307
700.6780	18.600	55.246
700.2313	18.613	55.186
699.7844	18.626	55.125
699.3375	18.638	55.064
698.8904	18.651	55.003
698.4433	18.664	54.942
697.9961	18.676	54.880
697.5488	18.689	54.819
697.1013	18.702	54.757
696.6537	18.715	54.696
696.2061	18.728	54.634
695.7584	18.741	54.572
695.3105	18.754	54.511
694.8626	18.767	54.449
694.4146	18.780	54.386
693.9664	18.793	54.324
693.5182	18.806	54.262
693.0699	18.819	54.199
692.6215	18.833	54.137
692.1729	18.846	54.074
691.7243	18.859	54.012
691.2756	18.872	53.949
690.8267	18.885	53.886
690.3778	18.899	53.823
689.9288	18.912	53.760
689.4797	18.925	53.697
689.0304	18.938	53.633
688.5811	18.951	53.569
688.1317	18.964	53.505
687.6821	18.977	53.441
687.2325	18.990	53.376
686.7828	19.003	53.311
686.3329	19.016	53.246
685.8830	19.029	53.181
685.4330	19.042	53.116
684.9828	19.055	53.051
684.5327	19.068	52.985
684.0823	19.081	52.919
683.6319	19.094	52.854
683.1813	19.107	52.788
682.7307	19.120	52.721
682.2800	19.133	52.655
681.8292	19.146	52.589
681.3782	19.159	52.522
680.9272	19.173	52.456
680.4761	19.186	52.390
680.0248	19.200	52.323
679.5735	19.214	52.257
679.1221	19.227	52.190
678.6705	19.241	52.123
678.2189	19.255	52.056
677.7672	19.269	51.989
677.3154	19.283	51.922
676.8634	19.297	51.855
676.4114	19.311	51.788
675.9592	19.326	51.721
675.5070	19.340	51.653
675.0547	19.354	51.586
674.6022	19.369	51.518
674.1497	19.383	51.451
673.6971	19.398	51.383
673.2443	19.412	51.314
672.7915	19.427	51.246
672.3386	19.441	51.178
671.8855	19.456	51.109
671.4324	19.470	51.040
670.9791	19.485	50.971
670.5258	19.500	50.902
670.0723	19.514	50.833
669.6188	19.528	50.763
669.1651	19.542	50.693
668.7114	19.556	50.623
668.2575	19.570	50.552
667.8035	19.585	50.482
667.3495	19.599	50.411
666.8953	19.613	50.340
666.4411	19.627	50.269
665.9868	19.642	50.197
665.5323	19.656	50.125
665.0777	19.670	50.052
664.6230	19.685	49.980
664.1683	19.699	49.907
663.7134	19.713	49.834
663.2584	19.728	49.761
662.8034	19.742	49.688
662.3482	19.757	49.614
661.8929	19.771	49.540
661.4376	19.786	49.466
660.9821	19.800	49.392
660.5265	19.815	49.318
660.0708	19.830	49.243
659.6151	19.844	49.168
659.1592	19.859	49.093
658.7032	19.874	49.018
658.2471	19.888	48.943
657.7909	19.903	48.867
657.3346	19.918	48.791
656.8782	19.932	48.715
656.4218	19.947	48.639
655.9651	19.962	48.563
655.5084	19.977	48.486
655.0516	19.992	48.409
654.5947	20.007	48.332
654.1377	20.021	48.255
653.6806	20.036	48.178
653.2234	20.051	48.100
652.7661	20.066	48.022
652.3087	20.081	47.944
651.8511	20.096	47.866
651.3936	20.112	47.787
650.9358	20.127	47.709
650.4780	20.142	47.630
650.0201	20.157	47.550
649.5620	20.173	47.471
649.1039	20.188	47.391
648.6457	20.203	47.311
648.1873	20.219	47.231
647.7289	20.234	47.151
647.2703	20.249	47.071
646.8117	20.265	46.990
646.3530	20.280	46.909
645.8941	20.296	46.828
645.4351	20.312	46.747
644.9761	20.328	46.666
644.5169	20.344	46.586
644.0577	20.360	46.504
643.5983	20.376	46.423
643.1389	20.393	46.342
642.6793	20.409	46.260
642.2196	20.425	46.178
641.7598	20.442	46.097
641.2999	20.459	46.015
640.8400	20.476	45.933
640.3799	20.493	45.851
639.9197	20.510	45.769
639.4594	20.527	45.686
638.9990	20.544	45.604
638.5385	20.562	45.521
638.0779	20.579	45.437
637.6172	20.596	45.354
637.1564	20.613	45.270
636.6954	20.630	45.186
636.2344	20.647	45.102
635.7733	20.665	45.017
635.3121	20.681	44.932
634.8508	20.697	44.846
634.3893	20.713	44.760
633.9278	20.729	44.673
633.4662	20.745	44.587
633.0044	20.761	44.500
632.5425	20.777	44.413
632.0806	20.793	44.325
631.6186	20.809	44.237
631.1564	20.825	44.150
630.6942	20.842	44.061
630.2318	20.858	43.973
629.7693	20.874	43.884
629.3068	20.890	43.795
628.8441	20.907	43.705
628.3813	20.923	43.615
627.9184	20.940	43.525
627.4554	20.956	43.434
626.9923	20.973	43.343
626.5291	20.989	43.252
626.0658	21.006	43.160
625.6024	21.022	43.068
625.1389	21.039	42.975
624.6753	21.056	42.882
624.2115	21.072	42.789
623.7477	21.089	42.695
623.2838	21.106	42.601
622.8198	21.123	42.507
622.3557	21.140	42.413
621.8914	21.156	42.318
621.4271	21.173	42.223
620.9626	21.190	42.128
620.4980	21.207	42.032
620.0334	21.224	41.936
619.5687	21.242	41.841
619.1038	21.260	41.745
618.6388	21.278	41.650
618.1737	21.297	41.554
617.7086	21.315	41.458
617.2433	21.334	41.361
616.7779	21.352	41.265
616.3124	21.370	41.167
615.8468	21.389	41.070
615.3810	21.407	40.972
614.9153	21.426	40.874
614.4492	21.444	40.775
613.9833	21.463	40.677
613.5172	21.481	40.578
613.0510	21.500	40.479
612.5847	21.519	40.380
612.1182	21.538	40.281
611.6516	21.556	40.181
611.1850	21.575	40.081
610.7183	21.594	39.981
610.2514	21.613	39.880
609.7844	21.632	39.780
609.3173	21.651	39.679
608.8502	21.670	39.578
608.3829	21.689	39.477
607.9156	21.708	39.375
607.4480	21.727	39.273
606.9804	21.746	39.170
606.5127	21.765	39.067
606.0449	21.784	38.964
605.5770	21.804	38.860
605.1089	21.823	38.756
604.6408	21.842	38.652
604.1726	21.861	38.547
603.7042	21.881	38.442
603.2358	21.900	38.337
602.7673	21.919	38.231
602.2986	21.939	38.125
601.8298	21.958	38.018
601.3610	21.978	37.911
600.8920	21.997	37.804
600.4229	22.017	37.696
599.9537	22.036	37.588
599.4844	22.056	37.479
599.0150	22.075	37.370
598.5455	22.095	37.260
598.0759	22.114	37.149
597.6062	22.134	37.038
597.1364	22.154	36.927
596.6664	22.173	36.815
596.1964	22.193	36.702
595.7263	22.213	36.588
595.2560	22.233	36.474
594.7857	22.253	36.359
594.3152	22.272	36.244
593.8447	22.292	36.129
593.3741	22.312	36.013
592.9032	22.332	35.896
592.4323	22.352	35.779
591.9613	22.372	35.662
