Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	13.738	92.261
829.5408	13.743	92.228
829.1221	13.748	92.196
828.7034	13.754	92.163
828.2845	13.759	92.131
827.8656	13.764	92.098
827.4465	13.770	92.065
827.0275	13.775	92.033
826.6082	13.781	92.000
826.1889	13.786	91.968
825.7695	13.791	91.937
825.3500	13.796	91.905
824.9305	13.801	91.874
824.5108	13.807	91.842
824.0911	13.812	91.810
823.6713	13.817	91.779
823.2513	13.822	91.747
822.8313	13.828	91.715
822.4112	13.833	91.683
821.9910	13.838	91.651
821.5707	13.843	91.619
821.1503	13.849	91.587
820.7299	13.854	91.556
820.3093	13.859	91.524
819.8886	13.864	91.491
819.4679	13.870	91.459
819.0471	13.875	91.427
818.6262	13.880	91.395
818.2051	13.886	91.363
817.7841	13.891	91.331
817.3629	13.896	91.298
816.9416	13.902	91.266
816.5202	13.907	91.234
816.0988	13.912	91.201
815.6772	13.918	91.169
815.2556	13.923	91.139
814.8338	13.929	91.108
814.4120	13.934	91.078
813.9901	13.940	91.048
813.5681	13.946	91.017
813.1460	13.951	90.987
812.7238	13.957	90.956
812.3015	13.963	90.926
811.8792	13.968	90.895
811.4567	13.974	90.864
811.0341	13.979	90.834
810.6115	13.985	90.803
810.1888	13.991	90.773
809.7659	13.997	90.743
809.3430	14.003	90.713
808.9200	14.009	90.683
808.4969	14.015	90.654
808.0738	14.022	90.624
807.6505	14.028	90.594
807.2271	14.034	90.564
806.8036	14.040	90.534
806.3802	14.046	90.504
805.9564	14.052	90.473
805.5327	14.058	90.443
805.1089	14.065	90.413
804.6850	14.071	90.383
804.2610	14.077	90.353
803.8369	14.083	90.322
803.4127	14.089	90.292
802.9884	14.095	90.262
802.5640	14.102	90.231
802.1396	14.108	90.201
801.7150	14.114	90.170
801.2903	14.120	90.140
800.8657	14.126	90.109
800.4408	14.133	90.078
800.0159	14.139	90.048
799.5909	14.144	90.014
799.1658	14.150	89.980
798.7406	14.155	89.945
798.3153	14.160	89.911
797.8899	14.165	89.876
797.4644	14.170	89.842
797.0389	14.176	89.807
796.6132	14.181	89.772
796.1875	14.186	89.737
795.7617	14.191	89.703
795.3357	14.197	89.668
794.9097	14.202	89.633
794.4836	14.207	89.599
794.0574	14.212	89.565
793.6310	14.217	89.531
793.2047	14.223	89.497
792.7782	14.228	89.464
792.3516	14.233	89.430
791.9249	14.238	89.396
791.4982	14.243	89.362
791.0714	14.248	89.328
790.6444	14.253	89.294
790.2173	14.259	89.260
789.7902	14.264	89.225
789.3630	14.269	89.192
788.9357	14.275	89.159
788.5083	14.281	89.125
788.0807	14.286	89.092
787.6532	14.292	89.059
787.2256	14.298	89.025
786.7977	14.303	88.992
786.3699	14.309	88.958
785.9419	14.315	88.925
785.5139	14.320	88.891
785.0857	14.326	88.857
784.6575	14.332	88.824
784.2291	14.338	88.791
783.8007	14.344	88.758
783.3722	14.351	88.725
782.9435	14.357	88.692
782.5148	14.363	88.659
782.0861	14.369	88.626
781.6573	14.376	88.593
781.2282	14.382	88.560
780.7991	14.388	88.527
780.3698	14.394	88.494
779.9407	14.401	88.461
779.5113	14.407	88.426
779.0818	14.414	88.390
778.6523	14.420	88.354
778.2227	14.427	88.318
777.7930	14.434	88.282
777.3632	14.440	88.245
776.9332	14.447	88.209
776.5032	14.454	88.173
776.0731	14.460	88.137
775.6429	14.467	88.100
775.2126	14.474	88.064
774.7822	14.480	88.028
774.3517	14.486	87.993
773.9212	14.492	87.959
773.4905	14.498	87.924
773.0598	14.504	87.890
772.6289	14.510	87.855
772.1980	14.516	87.820
771.7669	14.522	87.785
771.3358	14.528	87.750
770.9046	14.535	87.716
770.4733	14.541	87.681
770.0419	14.547	87.646
769.6104	14.553	87.611
769.1787	14.559	87.575
768.7471	14.565	87.540
768.3152	14.571	87.505
767.8834	14.577	87.470
767.4514	14.583	87.435
767.0193	14.589	87.399
766.5872	14.596	87.364
766.1549	14.602	87.328
765.7224	14.608	87.293
765.2901	14.614	87.257
764.8575	14.621	87.223
764.4249	14.627	87.188
763.9922	14.634	87.153
763.5593	14.640	87.118
763.1264	14.647	87.083
762.6934	14.653	87.047
762.2603	14.660	87.012
761.8271	14.667	86.977
761.3938	14.673	86.942
760.9604	14.680	86.906
760.5269	14.687	86.870
760.0933	14.694	86.833
759.6597	14.701	86.795
759.2259	14.708	86.758
758.7921	14.716	86.720
758.3581	14.723	86.683
757.9240	14.730	86.645
757.4900	14.738	86.607
757.0556	14.745	86.569
756.6213	14.753	86.531
756.1868	14.760	86.493
755.7523	14.767	86.457
755.3177	14.774	86.421
754.8830	14.781	86.386
754.4482	14.788	86.351
754.0132	14.795	86.315
753.5782	14.803	86.280
753.1432	14.810	86.244
752.7079	14.817	86.209
752.2726	14.824	86.173
751.8373	14.831	86.137
751.4018	14.838	86.101
750.9662	14.845	86.065
750.5306	14.852	86.029
750.0948	14.859	85.992
749.6589	14.866	85.956
749.2230	14.872	85.919
748.7869	14.879	85.882
748.3508	14.886	85.846
747.9146	14.893	85.809
747.4782	14.900	85.772
747.0417	14.907	85.735
746.6052	14.914	85.698
746.1686	14.921	85.661
745.7319	14.928	85.624
745.2950	14.935	85.587
744.8582	14.942	85.550
744.4211	14.949	85.513
743.9841	14.956	85.476
743.5468	14.963	85.438
743.1096	14.970	85.401
742.6722	14.977	85.363
742.2347	14.984	85.324
741.7971	14.991	85.283
741.3594	14.998	85.242
740.9215	15.005	85.201
740.4838	15.012	85.160
740.0458	15.019	85.119
739.6077	15.026	85.077
739.1696	15.033	85.036
738.7313	15.040	84.995
738.2930	15.048	84.953
737.8545	15.055	84.912
737.4160	15.061	84.873
736.9773	15.067	84.833
736.5386	15.074	84.793
736.0996	15.081	84.754
735.6608	15.087	84.714
735.2218	15.094	84.674
734.7827	15.100	84.634
734.3434	15.107	84.594
733.9041	15.113	84.554
733.4647	15.120	84.513
733.0252	15.127	84.471
732.5856	15.134	84.428
732.1459	15.140	84.386
731.7061	15.147	84.343
731.2662	15.154	84.300
730.8261	15.161	84.257
730.3861	15.168	84.214
729.9459	15.175	84.172
729.5057	15.182	84.128
729.0653	15.189	84.088
728.6248	15.197	84.050
728.1843	15.205	84.012
727.7436	15.213	83.973
727.3028	15.220	83.935
726.8619	15.228	83.896
726.4210	15.236	83.857
725.9799	15.244	83.819
725.5388	15.252	83.780
725.0975	15.260	83.741
724.6562	15.268	83.702
724.2147	15.276	83.663
723.7732	15.283	83.624
723.3315	15.291	83.584
722.8898	15.299	83.545
722.4479	15.307	83.506
722.0060	15.315	83.466
721.5640	15.323	83.427
721.1218	15.331	83.387
720.6796	15.339	83.347
720.2373	15.347	83.307
719.7949	15.354	83.267
719.3524	15.362	83.227
718.9097	15.370	83.186
718.4670	15.377	83.146
718.0242	15.385	83.105
717.5813	15.393	83.065
717.1383	15.400	83.024
716.6952	15.408	82.984
716.2520	15.416	82.942
715.8087	15.423	82.901
715.3653	15.430	82.859
714.9218	15.438	82.818
714.4782	15.445	82.776
714.0345	15.453	82.735
713.5907	15.460	82.693
713.1469	15.468	82.651
712.7028	15.475	82.609
712.2588	15.483	82.567
711.8146	15.490	82.525
711.3703	15.498	82.483
710.9259	15.505	82.441
710.4814	15.513	82.398
710.0369	15.520	82.356
709.5922	15.528	82.314
709.1474	15.535	82.271
708.7026	15.543	82.229
708.2576	15.551	82.185
707.8125	15.559	82.140
707.3674	15.568	82.095
706.9221	15.576	82.050
706.4767	15.585	82.005
706.0313	15.593	81.960
705.5857	15.602	81.915
705.1401	15.611	81.870
704.6943	15.619	81.824
704.2484	15.627	81.780
703.8025	15.636	81.738
703.3564	15.644	81.695
702.9103	15.652	81.653
702.4641	15.660	81.610
702.0177	15.668	81.568
701.5712	15.677	81.525
701.1247	15.685	81.482
700.6780	15.693	81.439
700.2313	15.702	81.396
699.7844	15.710	81.352
699.3375	15.719	81.309
698.8904	15.727	81.265
698.4433	15.736	81.222
697.9961	15.744	81.178
697.5488	15.753	81.134
697.1013	15.762	81.091
696.6537	15.770	81.047
696.2061	15.779	81.003
695.7584	15.788	80.959
695.3105	15.797	80.915
694.8626	15.805	80.871
694.4146	15.814	80.827
693.9664	15.823	80.783
693.5182	15.832	80.739
693.0699	15.841	80.695
692.6215	15.850	80.651
692.1729	15.859	80.607
691.7243	15.867	80.562
691.2756	15.876	80.518
690.8267	15.885	80.474
690.3778	15.894	80.429
689.9288	15.903	80.385
689.4797	15.912	80.340
689.0304	15.921	80.296
688.5811	15.930	80.251
688.1317	15.938	80.205
687.6821	15.947	80.159
687.2325	15.955	80.114
686.7828	15.964	80.068
686.3329	15.972	80.022
685.8830	15.981	79.976
685.4330	15.989	79.930
684.9828	15.998	79.884
684.5327	16.007	79.838
684.0823	16.015	79.791
683.6319	16.024	79.745
683.1813	16.033	79.698
682.7307	16.041	79.652
682.2800	16.050	79.605
681.8292	16.059	79.558
681.3782	16.067	79.511
680.9272	16.076	79.465
680.4761	16.085	79.418
680.0248	16.094	79.372
679.5735	16.103	79.325
679.1221	16.113	79.279
678.6705	16.122	79.232
678.2189	16.131	79.185
677.7672	16.140	79.138
677.3154	16.149	79.092
676.8634	16.159	79.045
676.4114	16.169	78.999
675.9592	16.178	78.952
675.5070	16.188	78.906
675.0547	16.197	78.859
674.6022	16.207	78.812
674.1497	16.217	78.765
673.6971	16.226	78.718
673.2443	16.236	78.671
672.7915	16.246	78.624
672.3386	16.256	78.576
671.8855	16.265	78.529
671.4324	16.275	78.481
670.9791	16.285	78.434
670.5258	16.294	78.386
670.0723	16.304	78.338
669.6188	16.313	78.290
669.1651	16.323	78.241
668.7114	16.332	78.193
668.2575	16.341	78.144
667.8035	16.351	78.095
667.3495	16.360	78.046
666.8953	16.369	77.998
666.4411	16.379	77.948
665.9868	16.388	77.898
665.5323	16.398	77.848
665.0777	16.407	77.798
664.6230	16.417	77.748
664.1683	16.426	77.698
663.7134	16.436	77.647
663.2584	16.445	77.597
662.8034	16.455	77.546
662.3482	16.464	77.495
661.8929	16.474	77.444
661.4376	16.483	77.393
660.9821	16.493	77.342
660.5265	16.502	77.291
660.0708	16.512	77.239
659.6151	16.522	77.188
659.1592	16.531	77.136
658.7032	16.541	77.084
658.2471	16.551	77.032
657.7909	16.560	76.980
657.3346	16.570	76.928
656.8782	16.580	76.876
656.4218	16.589	76.824
655.9651	16.599	76.771
655.5084	16.609	76.718
655.0516	16.618	76.666
654.5947	16.628	76.613
654.1377	16.638	76.560
653.6806	16.648	76.507
653.2234	16.657	76.454
