Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	14.279	92.977
829.5408	14.284	92.946
829.1221	14.290	92.915
828.7034	14.295	92.884
828.2845	14.300	92.853
827.8656	14.306	92.822
827.4465	14.311	92.790
827.0275	14.317	92.759
826.6082	14.322	92.728
826.1889	14.327	92.698
825.7695	14.333	92.667
825.3500	14.338	92.637
824.9305	14.343	92.607
824.5108	14.348	92.577
824.0911	14.354	92.546
823.6713	14.359	92.516
823.2513	14.364	92.486
822.8313	14.369	92.455
822.4112	14.375	92.425
821.9910	14.380	92.394
821.5707	14.385	92.364
821.1503	14.391	92.333
820.7299	14.396	92.302
820.3093	14.401	92.272
819.8886	14.406	92.241
819.4679	14.412	92.210
819.0471	14.417	92.180
818.6262	14.422	92.149
818.2051	14.428	92.118
817.7841	14.433	92.087
817.3629	14.438	92.056
816.9416	14.444	92.025
816.5202	14.449	91.994
816.0988	14.454	91.963
815.6772	14.460	91.932
815.2556	14.465	91.903
814.8338	14.471	91.874
814.4120	14.477	91.845
813.9901	14.482	91.816
813.5681	14.488	91.787
813.1460	14.493	91.758
812.7238	14.499	91.728
812.3015	14.505	91.699
811.8792	14.510	91.670
811.4567	14.516	91.641
811.0341	14.522	91.611
810.6115	14.527	91.582
810.1888	14.533	91.553
809.7659	14.539	91.524
809.3430	14.545	91.496
808.9200	14.551	91.467
808.4969	14.557	91.439
808.0738	14.564	91.410
807.6505	14.570	91.381
807.2271	14.576	91.353
806.8036	14.582	91.324
806.3802	14.588	91.295
805.9564	14.594	91.267
805.5327	14.600	91.238
805.1089	14.606	91.209
804.6850	14.612	91.180
804.2610	14.619	91.151
803.8369	14.625	91.122
803.4127	14.631	91.093
802.9884	14.637	91.064
802.5640	14.643	91.035
802.1396	14.649	91.005
801.7150	14.656	90.976
801.2903	14.662	90.947
800.8657	14.668	90.918
800.4408	14.674	90.888
800.0159	14.680	90.859
799.5909	14.686	90.827
799.1658	14.691	90.794
798.7406	14.696	90.761
798.3153	14.701	90.727
797.8899	14.707	90.694
797.4644	14.712	90.661
797.0389	14.717	90.627
796.6132	14.722	90.594
796.1875	14.728	90.560
795.7617	14.733	90.527
795.3357	14.738	90.493
794.9097	14.743	90.460
794.4836	14.749	90.427
794.0574	14.754	90.394
793.6310	14.759	90.362
793.2047	14.764	90.329
792.7782	14.769	90.297
792.3516	14.774	90.264
791.9249	14.779	90.231
791.4982	14.784	90.199
791.0714	14.790	90.166
790.6444	14.795	90.133
790.2173	14.800	90.100
789.7902	14.805	90.067
789.3630	14.811	90.035
788.9357	14.816	90.003
788.5083	14.822	89.971
788.0807	14.828	89.939
787.6532	14.833	89.907
787.2256	14.839	89.874
786.7977	14.844	89.842
786.3699	14.850	89.810
785.9419	14.856	89.778
785.5139	14.861	89.745
785.0857	14.867	89.713
784.6575	14.873	89.680
784.2291	14.879	89.649
783.8007	14.885	89.617
783.3722	14.891	89.586
782.9435	14.898	89.554
782.5148	14.904	89.523
782.0861	14.910	89.491
781.6573	14.916	89.459
781.2282	14.922	89.427
780.7991	14.929	89.395
780.3698	14.935	89.364
779.9407	14.941	89.332
779.5113	14.947	89.298
779.0818	14.954	89.264
778.6523	14.961	89.229
778.2227	14.967	89.194
777.7930	14.974	89.160
777.3632	14.980	89.125
776.9332	14.987	89.090
776.5032	14.994	89.055
776.0731	15.000	89.020
775.6429	15.007	88.986
775.2126	15.013	88.951
774.7822	15.020	88.916
774.3517	15.026	88.883
773.9212	15.032	88.849
773.4905	15.038	88.816
773.0598	15.044	88.783
772.6289	15.050	88.749
772.1980	15.056	88.716
771.7669	15.062	88.682
771.3358	15.068	88.648
770.9046	15.074	88.615
770.4733	15.080	88.581
770.0419	15.086	88.547
769.6104	15.092	88.514
769.1787	15.098	88.480
768.7471	15.104	88.446
768.3152	15.110	88.412
767.8834	15.116	88.378
767.4514	15.122	88.344
767.0193	15.128	88.310
766.5872	15.134	88.275
766.1549	15.140	88.241
765.7224	15.146	88.207
765.2901	15.152	88.173
764.8575	15.159	88.139
764.4249	15.165	88.105
763.9922	15.172	88.072
763.5593	15.178	88.038
