Source : TiO2_Si_Sputtering_50min_muestra2.D1.11h 07mn 53s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	8.946	167.809
829.5408	8.975	167.745
829.1221	8.937	167.671
828.7034	8.954	167.709
828.2845	8.920	167.666
827.8656	8.959	167.630
827.4465	8.957	167.549
827.0275	8.941	167.500
826.6082	8.946	167.533
826.1889	8.951	167.497
825.7695	8.953	167.505
825.3500	8.935	167.486
824.9305	8.919	167.531
824.5108	8.926	167.494
824.0911	8.921	167.452
823.6713	8.925	167.417
823.2513	8.921	167.410
822.8313	8.926	167.424
822.4112	8.947	167.431
821.9910	8.959	167.499
821.5707	8.955	167.451
821.1503	8.956	167.485
820.7299	8.977	167.450
820.3093	8.988	167.494
819.8886	8.995	167.483
819.4679	9.004	167.439
819.0471	9.025	167.443
818.6262	9.039	167.420
818.2051	9.044	167.363
817.7841	9.053	167.311
817.3629	9.048	167.313
816.9416	9.065	167.332
816.5202	9.074	167.335
816.0988	9.084	167.347
815.6772	9.102	167.295
815.2556	9.096	167.298
814.8338	9.108	167.358
814.4120	9.117	167.321
813.9901	9.124	167.361
813.5681	9.130	167.374
813.1460	9.134	167.332
812.7238	9.133	167.344
812.3015	9.163	167.315
811.8792	9.146	167.382
811.4567	9.155	167.394
811.0341	9.158	167.401
810.6115	9.156	167.465
810.1888	9.157	167.433
809.7659	9.171	167.393
809.3430	9.181	167.398
808.9200	9.188	167.380
808.4969	9.195	167.338
808.0738	9.197	167.332
807.6505	9.205	167.379
807.2271	9.204	167.344
806.8036	9.215	167.300
806.3802	9.226	167.276
805.9564	9.238	167.207
805.5327	9.243	167.178
805.1089	9.252	167.090
804.6850	9.264	167.055
804.2610	9.261	167.020
803.8369	9.273	167.018
803.4127	9.279	167.017
802.9884	9.283	167.029
802.5640	9.292	167.046
802.1396	9.290	167.039
801.7150	9.292	167.050
801.2903	9.305	167.035
800.8657	9.304	167.060
800.4408	9.297	167.064
800.0159	9.305	167.037
799.5909	9.312	167.007
799.1658	9.324	167.022
798.7406	9.336	166.980
798.3153	9.351	166.941
797.8899	9.371	166.888
797.4644	9.379	166.909
797.0389	9.395	166.876
796.6132	9.401	166.849
796.1875	9.397	166.854
795.7617	9.407	166.864
795.3357	9.412	166.859
794.9097	9.427	166.821
794.4836	9.431	166.766
794.0574	9.438	166.798
793.6310	9.450	166.738
793.2047	9.457	166.704
792.7782	9.462	166.698
792.3516	9.470	166.724
791.9249	9.470	166.734
791.4982	9.486	166.749
791.0714	9.489	166.742
790.6444	9.495	166.754
790.2173	9.497	166.762
789.7902	9.507	166.730
789.3630	9.512	166.693
788.9357	9.521	166.688
788.5083	9.526	166.688
788.0807	9.526	166.692
787.6532	9.537	166.703
787.2256	9.532	166.701
786.7977	9.531	166.677
786.3699	9.536	166.692
785.9419	9.541	166.674
785.5139	9.547	166.687
785.0857	9.551	166.656
784.6575	9.561	166.616
784.2291	9.560	166.646
783.8007	9.558	166.647
783.3722	9.559	166.625
782.9435	9.566	166.599
782.5148	9.574	166.602
782.0861	9.573	166.643
