Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	9.206	168.666
829.5408	9.210	168.662
829.1221	9.214	168.657
828.7034	9.217	168.653
828.2845	9.221	168.648
827.8656	9.225	168.643
827.4465	9.229	168.639
827.0275	9.232	168.634
826.6082	9.236	168.629
826.1889	9.240	168.623
825.7695	9.243	168.616
825.3500	9.247	168.610
824.9305	9.250	168.604
824.5108	9.254	168.597
824.0911	9.257	168.590
823.6713	9.261	168.584
823.2513	9.264	168.577
822.8313	9.268	168.571
822.4112	9.271	168.564
821.9910	9.275	168.557
821.5707	9.278	168.550
821.1503	9.282	168.544
820.7299	9.285	168.537
820.3093	9.289	168.530
819.8886	9.292	168.523
819.4679	9.296	168.516
819.0471	9.300	168.509
818.6262	9.303	168.502
818.2051	9.307	168.495
817.7841	9.310	168.488
817.3629	9.314	168.481
816.9416	9.317	168.474
816.5202	9.321	168.466
816.0988	9.325	168.459
815.6772	9.328	168.452
815.2556	9.331	168.446
814.8338	9.334	168.440
814.4120	9.337	168.434
813.9901	9.341	168.428
813.5681	9.344	168.422
813.1460	9.347	168.416
812.7238	9.350	168.410
812.3015	9.353	168.404
811.8792	9.356	168.398
811.4567	9.359	168.392
811.0341	9.362	168.386
810.6115	9.366	168.380
810.1888	9.369	168.375
809.7659	9.372	168.371
809.3430	9.375	168.367
808.9200	9.377	168.364
808.4969	9.380	168.360
808.0738	9.383	168.356
807.6505	9.386	168.352
807.2271	9.389	168.349
806.8036	9.392	168.345
806.3802	9.395	168.341
805.9564	9.398	168.337
805.5327	9.401	168.333
805.1089	9.404	168.329
804.6850	9.407	168.325
804.2610	9.410	168.322
803.8369	9.413	168.318
803.4127	9.416	168.314
802.9884	9.419	168.310
802.5640	9.422	168.306
802.1396	9.425	168.302
801.7150	9.428	168.298
801.2903	9.432	168.294
800.8657	9.435	168.290
800.4408	9.438	168.286
800.0159	9.441	168.281
799.5909	9.444	168.273
799.1658	9.448	168.262
798.7406	9.452	168.251
798.3153	9.456	168.241
797.8899	9.460	168.230
797.4644	9.464	168.219
797.0389	9.468	168.208
796.6132	9.472	168.197
796.1875	9.476	168.187
795.7617	9.480	168.176
795.3357	9.483	168.165
794.9097	9.487	168.153
794.4836	9.491	168.142
794.0574	9.495	168.130
793.6310	9.498	168.118
793.2047	9.502	168.106
792.7782	9.505	168.094
792.3516	9.509	168.082
791.9249	9.513	168.070
791.4982	9.516	168.058
791.0714	9.520	168.046
790.6444	9.524	168.034
790.2173	9.527	168.021
789.7902	9.531	168.009
789.3630	9.534	167.999
788.9357	9.538	167.990
788.5083	9.541	167.980
788.0807	9.545	167.971
787.6532	9.548	167.962
787.2256	9.551	167.952
786.7977	9.555	167.943
786.3699	9.558	167.933
785.9419	9.562	167.923
785.5139	9.565	167.914
785.0857	9.569	167.904
784.6575	9.572	167.895
784.2291	9.575	167.888
783.8007	9.579	167.882
783.3722	9.582	167.875
782.9435	9.585	167.868
782.5148	9.589	167.862
782.0861	9.592	167.855
781.6573	9.595	167.848
781.2282	9.599	167.841
780.7991	9.602	167.835
780.3698	9.606	167.828
779.9407	9.609	167.821
779.5113	9.613	167.815
779.0818	9.617	167.809
778.6523	9.621	167.803
778.2227	9.625	167.797
777.7930	9.629	167.791
777.3632	9.633	167.785
776.9332	9.637	167.779
776.5032	9.641	167.773
776.0731	9.645	167.767
775.6429	9.649	167.761
775.2126	9.653	167.755
774.7822	9.657	167.748
774.3517	9.661	167.738
773.9212	9.664	167.729
773.4905	9.668	167.719
773.0598	9.671	167.710
772.6289	9.675	167.700
772.1980	9.678	167.691
771.7669	9.682	167.681
771.3358	9.685	167.671
770.9046	9.689	167.662
770.4733	9.692	167.652
770.0419	9.696	167.642
769.6104	9.699	167.633
769.1787	9.703	167.623
768.7471	9.707	167.613
768.3152	9.710	167.603
767.8834	9.714	167.593
767.4514	9.717	167.584
767.0193	9.721	167.574
766.5872	9.724	167.564
766.1549	9.728	167.554
765.7224	9.731	167.544
765.2901	9.735	167.534
764.8575	9.738	167.526
764.4249	9.742	167.519
763.9922	9.745	167.511
763.5593	9.749	167.503
763.1264	9.752	167.495
762.6934	9.756	167.488
762.2603	9.759	167.480
761.8271	9.763	167.472
761.3938	9.767	167.464
760.9604	9.770	167.456
760.5269	9.774	167.449
760.0933	9.778	167.444
759.6597	9.782	167.439
759.2259	9.786	167.434
758.7921	9.791	167.429
758.3581	9.795	167.423
757.9240	9.799	167.418
757.4900	9.803	167.413
757.0556	9.808	167.407
756.6213	9.812	167.402
756.1868	9.816	167.396
755.7523	9.820	167.391
755.3177	9.823	167.385
754.8830	9.827	167.379
754.4482	9.831	167.373
754.0132	9.834	167.366
753.5782	9.838	167.360
753.1432	9.841	167.354
752.7079	9.845	167.348
752.2726	9.848	167.342
751.8373	9.852	167.336
751.4018	9.856	167.330
750.9662	9.859	167.322
750.5306	9.863	167.314
750.0948	9.867	167.306
749.6589	9.870	167.298
749.2230	9.874	167.290
748.7869	9.878	167.282
748.3508	9.881	167.274
747.9146	9.885	167.266
747.4782	9.888	167.258
747.0417	9.892	167.249
746.6052	9.896	167.241
746.1686	9.899	167.233
745.7319	9.903	167.225
745.2950	9.907	167.217
744.8582	9.911	167.209
744.4211	9.914	167.200
743.9841	9.918	167.192
743.5468	9.922	167.184
743.1096	9.925	167.175
742.6722	9.929	167.167
742.2347	9.933	167.158
741.7971	9.937	167.148
741.3594	9.942	167.137
740.9215	9.946	167.127
740.4838	9.951	167.116
740.0458	9.955	167.106
739.6077	9.960	167.095
739.1696	9.964	167.085
738.7313	9.969	167.074
738.2930	9.973	167.064
737.8545	9.977	167.052
737.4160	9.981	167.040
736.9773	9.985	167.027
736.5386	9.989	167.015
736.0996	9.992	167.002
735.6608	9.996	166.989
735.2218	10.000	166.977
734.7827	10.003	166.964
734.3434	10.007	166.951
733.9041	10.011	166.939
733.4647	10.015	166.926
733.0252	10.019	166.913
732.5856	10.024	166.900
732.1459	10.028	166.887
731.7061	10.032	166.873
731.2662	10.037	166.860
730.8261	10.041	166.847
730.3861	10.045	166.834
729.9459	10.050	166.821
729.5057	10.054	166.807
729.0653	10.058	166.798
728.6248	10.062	166.793
728.1843	10.066	166.787
727.7436	10.069	166.781
727.3028	10.073	166.775
726.8619	10.077	166.769
726.4210	10.081	166.764
725.9799	10.085	166.758
725.5388	10.088	166.752
725.0975	10.092	166.746
724.6562	10.096	166.740
724.2147	10.100	166.734
723.7732	10.104	166.728
723.3315	10.108	166.722
722.8898	10.112	166.716
722.4479	10.115	166.710
722.0060	10.119	166.704
721.5640	10.123	166.698
721.1218	10.127	166.691
720.6796	10.131	166.685
720.2373	10.135	166.677
719.7949	10.139	166.669
719.3524	10.143	166.661
718.9097	10.146	166.653
718.4670	10.150	166.645
718.0242	10.154	166.637
717.5813	10.158	166.629
717.1383	10.162	166.621
716.6952	10.166	166.613
716.2520	10.169	166.603
715.8087	10.173	166.594
715.3653	10.177	166.584
714.9218	10.181	166.574
714.4782	10.185	166.564
714.0345	10.188	166.554
713.5907	10.192	166.544
713.1469	10.196	166.534
712.7028	10.200	166.524
712.2588	10.203	166.514
711.8146	10.207	166.504
711.3703	10.211	166.495
710.9259	10.215	166.485
710.4814	10.219	166.475
710.0369	10.222	166.465
709.5922	10.226	166.455
709.1474	10.230	166.445
708.7026	10.234	166.435
708.2576	10.238	166.426
707.8125	10.243	166.417
707.3674	10.247	166.409
706.9221	10.252	166.401
706.4767	10.257	166.392
706.0313	10.262	166.384
705.5857	10.266	166.375
705.1401	10.271	166.367
704.6943	10.276	166.358
704.2484	10.280	166.350
703.8025	10.284	166.343
703.3564	10.288	166.336
702.9103	10.292	166.329
702.4641	10.296	166.322
702.0177	10.300	166.315
701.5712	10.304	166.308
701.1247	10.308	166.300
700.6780	10.312	166.293
700.2313	10.316	166.287
699.7844	10.320	166.280
699.3375	10.324	166.274
698.8904	10.329	166.267
698.4433	10.333	166.261
697.9961	10.337	166.254
697.5488	10.341	166.248
697.1013	10.345	166.241
696.6537	10.350	166.235
696.2061	10.354	166.229
695.7584	10.358	166.223
695.3105	10.363	166.218
694.8626	10.367	166.212
694.4146	10.371	166.207
693.9664	10.376	166.201
693.5182	10.380	166.196
693.0699	10.384	166.190
692.6215	10.389	166.184
692.1729	10.393	166.179
691.7243	10.397	166.174
691.2756	10.402	166.168
690.8267	10.406	166.163
690.3778	10.410	166.157
689.9288	10.414	166.152
689.4797	10.419	166.146
689.0304	10.423	166.141
688.5811	10.427	166.134
688.1317	10.431	166.127
687.6821	10.436	166.119
687.2325	10.440	166.112
686.7828	10.444	166.104
686.3329	10.448	166.097
685.8830	10.452	166.089
685.4330	10.456	166.082
684.9828	10.460	166.074
684.5327	10.464	166.066
684.0823	10.469	166.059
683.6319	10.473	166.051
683.1813	10.477	166.044
682.7307	10.481	166.036
682.2800	10.485	166.029
681.8292	10.489	166.022
681.3782	10.493	166.014
680.9272	10.498	166.008
680.4761	10.502	166.002
680.0248	10.506	165.997
679.5735	10.511	165.992
679.1221	10.515	165.986
678.6705	10.520	165.981
678.2189	10.524	165.975
677.7672	10.528	165.970
677.3154	10.533	165.965
676.8634	10.537	165.962
676.4114	10.542	165.958
675.9592	10.547	165.955
675.5070	10.551	165.951
675.0547	10.556	165.948
674.6022	10.561	165.944
674.1497	10.565	165.941
673.6971	10.570	165.937
673.2443	10.575	165.934
672.7915	10.579	165.930
672.3386	10.584	165.927
671.8855	10.589	165.923
671.4324	10.594	165.920
670.9791	10.598	165.916
670.5258	10.603	165.913
670.0723	10.608	165.909
669.6188	10.612	165.904
669.1651	10.616	165.898
668.7114	10.621	165.893
668.2575	10.625	165.888
667.8035	10.630	165.883
667.3495	10.634	165.878
666.8953	10.638	165.873
666.4411	10.643	165.868
665.9868	10.648	165.862
665.5323	10.652	165.856
665.0777	10.657	165.851
664.6230	10.661	165.845
664.1683	10.666	165.839
663.7134	10.670	165.834
663.2584	10.675	165.828
662.8034	10.680	165.823
662.3482	10.684	165.817
661.8929	10.689	165.811
661.4376	10.693	165.805
660.9821	10.698	165.800
660.5265	10.703	165.794
660.0708	10.707	165.788
659.6151	10.712	165.783
659.1592	10.716	165.777
658.7032	10.721	165.772
658.2471	10.726	165.766
657.7909	10.730	165.760
657.3346	10.735	165.755
656.8782	10.740	165.749
656.4218	10.744	165.744
655.9651	10.749	165.738
655.5084	10.753	165.733
655.0516	10.758	165.727
654.5947	10.763	165.722
654.1377	10.767	165.717
653.6806	10.772	165.711
653.2234	10.777	165.706
652.7661	10.781	165.701
652.3087	10.786	165.696
651.8511	10.791	165.691
651.3936	10.795	165.686
650.9358	10.800	165.681
650.4780	10.805	165.676
650.0201	10.810	165.671
649.5620	10.815	165.666
649.1039	10.820	165.661
648.6457	10.824	165.657
648.1873	10.829	165.652
647.7289	10.834	165.647
647.2703	10.839	165.643
646.8117	10.844	165.638
646.3530	10.848	165.633
645.8941	10.853	165.629
645.4351	10.858	165.626
644.9761	10.864	165.623
644.5169	10.869	165.621
644.0577	10.874	165.618
643.5983	10.879	165.616
643.1389	10.884	165.613
642.6793	10.890	165.611
642.2196	10.895	165.609
641.7598	10.901	165.609
641.2999	10.907	165.608
640.8400	10.912	165.607
640.3799	10.918	165.607
639.9197	10.924	165.606
639.4594	10.929	165.606
638.9990	10.935	165.605
638.5385	10.941	165.605
638.0779	10.947	165.604
637.6172	10.952	165.604
637.1564	10.958	165.603
636.6954	10.964	165.602
636.2344	10.970	165.602
635.7733	10.976	165.601
635.3121	10.980	165.599
634.8508	10.985	165.597
634.3893	10.990	165.594
633.9278	10.995	165.592
633.4662	11.000	165.590
633.0044	11.005	165.588
632.5425	11.010	165.586
632.0806	11.015	165.585
631.6186	11.020	165.583
631.1564	11.025	165.581
630.6942	11.030	165.580
630.2318	11.035	165.578
629.7693	11.040	165.577
629.3068	11.045	165.576
628.8441	11.050	165.574
628.3813	11.055	165.572
627.9184	11.060	165.570
627.4554	11.065	165.569
626.9923	11.070	165.567
626.5291	11.075	165.566
626.0658	11.080	165.564
625.6024	11.086	165.562
625.1389	11.091	165.560
624.6753	11.096	165.558
624.2115	11.101	165.556
623.7477	11.106	165.554
623.2838	11.112	165.553
622.8198	11.117	165.551
