Source : TiO2_Si_Sputtering_50min_muestra2_sincinta.Z1.13h 53mn 55s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	8.318	168.705
829.5408	8.391	168.654
829.1221	8.370	168.603
828.7034	8.437	168.654
828.2845	8.376	168.614
827.8656	8.397	168.584
827.4465	8.397	168.549
827.0275	8.389	168.478
826.6082	8.412	168.488
826.1889	8.408	168.477
825.7695	8.379	168.478
825.3500	8.323	168.435
824.9305	8.307	168.436
824.5108	8.321	168.452
824.0911	8.320	168.387
823.6713	8.320	168.324
823.2513	8.312	168.297
822.8313	8.303	168.348
822.4112	8.312	168.315
821.9910	8.332	168.367
821.5707	8.306	168.345
821.1503	8.295	168.386
820.7299	8.320	168.398
820.3093	8.341	168.427
819.8886	8.342	168.430
819.4679	8.344	168.422
819.0471	8.361	168.432
818.6262	8.373	168.428
818.2051	8.382	168.368
817.7841	8.402	168.331
817.3629	8.395	168.372
816.9416	8.421	168.383
816.5202	8.436	168.392
816.0988	8.457	168.389
815.6772	8.475	168.332
815.2556	8.467	168.379
814.8338	8.477	168.365
814.4120	8.487	168.345
813.9901	8.495	168.390
813.5681	8.503	168.406
813.1460	8.503	168.368
812.7238	8.502	168.382
812.3015	8.525	168.366
811.8792	8.508	168.417
811.4567	8.512	168.405
811.0341	8.515	168.393
810.6115	8.519	168.479
810.1888	8.517	168.451
809.7659	8.530	168.426
809.3430	8.536	168.398
808.9200	8.545	168.372
808.4969	8.552	168.324
808.0738	8.550	168.292
807.6505	8.553	168.286
807.2271	8.555	168.310
806.8036	8.566	168.265
806.3802	8.577	168.251
805.9564	8.587	168.226
805.5327	8.597	168.235
805.1089	8.608	168.183
804.6850	8.621	168.163
804.2610	8.623	168.154
803.8369	8.632	168.159
803.4127	8.644	168.158
802.9884	8.650	168.139
802.5640	8.658	168.142
802.1396	8.656	168.125
801.7150	8.657	168.124
801.2903	8.667	168.106
800.8657	8.666	168.120
800.4408	8.660	168.121
800.0159	8.666	168.122
799.5909	8.671	168.078
799.1658	8.680	168.070
798.7406	8.689	168.047
798.3153	8.704	168.059
797.8899	8.721	168.029
797.4644	8.729	167.997
797.0389	8.744	167.984
796.6132	8.754	167.975
796.1875	8.755	167.983
795.7617	8.765	167.916
795.3357	8.771	167.879
794.9097	8.782	167.836
794.4836	8.785	167.782
794.0574	8.790	167.789
793.6310	8.798	167.776
793.2047	8.806	167.751
792.7782	8.809	167.744
792.3516	8.815	167.741
791.9249	8.816	167.757
791.4982	8.829	167.718
791.0714	8.836	167.697
790.6444	8.842	167.684
790.2173	8.840	167.688
789.7902	8.847	167.662
789.3630	8.850	167.631
788.9357	8.859	167.628
788.5083	8.860	167.611
788.0807	8.858	167.632
787.6532	8.864	167.575
787.2256	8.860	167.586
786.7977	8.857	167.530
786.3699	8.864	167.518
785.9419	8.866	167.510
785.5139	8.870	167.496
785.0857	8.873	167.470
784.6575	8.879	167.415
784.2291	8.878	167.424
783.8007	8.880	167.424
783.3722	8.884	167.391
782.9435	8.892	167.357
782.5148	8.899	167.338
782.0861	8.894	167.375
781.6573	8.894	167.375
781.2282	8.899	167.357
780.7991	8.898	167.415
780.3698	8.902	167.449
779.9407	8.902	167.456
779.5113	8.901	167.477
779.0818	8.911	167.472
778.6523	8.922	167.432
778.2227	8.932	167.406
777.7930	8.934	167.403
777.3632	8.942	167.394
776.9332	8.949	167.373
776.5032	8.953	167.354
776.0731	8.956	167.373
775.6429	8.960	167.339
775.2126	8.964	167.349
774.7822	8.970	167.347
774.3517	8.971	167.363
773.9212	8.975	167.361
773.4905	8.978	167.394
773.0598	8.985	167.419
772.6289	8.992	167.445
772.1980	9.003	167.443
771.7669	9.004	167.433
771.3358	9.005	167.455
770.9046	9.008	167.456
770.4733	9.014	167.451
770.0419	9.017	167.466
769.6104	9.024	167.486
769.1787	9.029	167.503
768.7471	9.026	167.532
768.3152	9.037	167.552
767.8834	9.048	167.534
767.4514	9.055	167.494
767.0193	9.061	167.512
766.5872	9.068	167.502
766.1549	9.073	167.507
765.7224	9.078	167.542
765.2901	9.083	167.568
764.8575	9.090	167.590
764.4249	9.100	167.584
763.9922	9.111	167.606
763.5593	9.119	167.609
763.1264	9.126	167.630
762.6934	9.132	167.599
762.2603	9.135	167.598
761.8271	9.138	167.603
761.3938	9.140	167.607
760.9604	9.147	167.567
760.5269	9.154	167.551
760.0933	9.163	167.577
759.6597	9.172	167.573
759.2259	9.174	167.581
758.7921	9.180	167.618
758.3581	9.186	167.631
757.9240	9.186	167.620
757.4900	9.192	167.629
757.0556	9.195	167.634
756.6213	9.203	167.646
756.1868	9.211	167.626
755.7523	9.212	167.633
755.3177	9.218	167.620
754.8830	9.219	167.632
754.4482	9.221	167.625
754.0132	9.226	167.635
753.5782	9.234	167.615
753.1432	9.239	167.624
752.7079	9.244	167.628
752.2726	9.248	167.631
751.8373	9.251	167.637
751.4018	9.261	167.590
750.9662	9.267	167.589
750.5306	9.270	167.594
750.0948	9.276	167.587
749.6589	9.283	167.589
749.2230	9.287	167.598
748.7869	9.290	167.617
748.3508	9.297	167.593
747.9146	9.303	167.615
747.4782	9.305	167.647
747.0417	9.308	167.658
746.6052	9.312	167.666
746.1686	9.321	167.641
745.7319	9.330	167.638
745.2950	9.336	167.653
744.8582	9.346	167.608
744.4211	9.349	167.611
743.9841	9.354	167.616
743.5468	9.358	167.605
743.1096	9.362	167.595
742.6722	9.366	167.616
742.2347	9.365	167.613
741.7971	9.368	167.600
741.3594	9.369	167.608
740.9215	9.370	167.631
740.4838	9.374	167.654
740.0458	9.376	167.689
739.6077	9.377	167.747
739.1696	9.380	167.759
738.7313	9.384	167.781
738.2930	9.388	167.783
737.8545	9.391	167.781
737.4160	9.398	167.779
736.9773	9.399	167.784
736.5386	9.401	167.800
736.0996	9.401	167.814
735.6608	9.404	167.843
735.2218	9.408	167.856
734.7827	9.405	167.900
734.3434	9.408	167.893
733.9041	9.412	167.897
733.4647	9.411	167.912
733.0252	9.411	167.936
732.5856	9.420	167.917
732.1459	9.421	167.922
731.7061	9.418	167.927
731.2662	9.418	167.960
730.8261	9.416	167.972
730.3861	9.413	168.006
729.9459	9.415	167.996
729.5057	9.413	168.003
729.0653	9.419	167.979
728.6248	9.419	167.975
728.1843	9.416	168.011
727.7436	9.415	168.021
727.3028	9.413	168.040
726.8619	9.416	168.024
726.4210	9.415	168.040
725.9799	9.417	168.055
725.5388	9.418	168.045
725.0975	9.421	168.029
724.6562	9.422	168.054
724.2147	9.420	168.079
723.7732	9.419	168.085
723.3315	9.418	168.111
722.8898	9.421	168.118
722.4479	9.421	168.132
722.0060	9.421	168.129
721.5640	9.427	168.119
721.1218	9.427	168.128
720.6796	9.428	168.127
720.2373	9.430	168.116
719.7949	9.429	168.115
719.3524	9.433	168.110
718.9097	9.432	168.114
718.4670	9.433	168.093
718.0242	9.441	168.081
717.5813	9.443	168.063
