Source : TiO2_Si_Sputtering_50min_sincinta.Y1.13h 57mn 08s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	7.637	166.212
829.5408	7.685	166.157
829.1221	7.663	166.156
828.7034	7.671	166.132
828.2845	7.642	166.113
827.8656	7.662	166.063
827.4465	7.643	165.986
827.0275	7.614	165.936
826.6082	7.634	165.946
826.1889	7.638	165.902
825.7695	7.655	165.903
825.3500	7.643	165.914
824.9305	7.640	165.924
824.5108	7.628	165.889
824.0911	7.617	165.856
823.6713	7.614	165.796
823.2513	7.606	165.765
822.8313	7.599	165.750
822.4112	7.614	165.733
821.9910	7.647	165.772
821.5707	7.633	165.748
821.1503	7.628	165.727
820.7299	7.646	165.708
820.3093	7.653	165.751
819.8886	7.653	165.722
819.4679	7.674	165.732
819.0471	7.692	165.724
818.6262	7.708	165.712
818.2051	7.709	165.697
817.7841	7.716	165.713
817.3629	7.717	165.749
816.9416	7.732	165.793
816.5202	7.740	165.801
816.0988	7.752	165.836
815.6772	7.770	165.783
815.2556	7.763	165.771
814.8338	7.774	165.794
814.4120	7.784	165.789
813.9901	7.791	165.824
813.5681	7.799	165.863
813.1460	7.801	165.859
812.7238	7.802	165.863
812.3015	7.827	165.808
811.8792	7.813	165.864
811.4567	7.821	165.864
811.0341	7.823	165.884
810.6115	7.829	165.913
810.1888	7.829	165.869
809.7659	7.840	165.848
809.3430	7.844	165.854
808.9200	7.856	165.860
808.4969	7.863	165.814
808.0738	7.865	165.795
807.6505	7.869	165.751
807.2271	7.869	165.741
806.8036	7.880	165.671
806.3802	7.890	165.667
805.9564	7.898	165.623
805.5327	7.902	165.581
805.1089	7.912	165.505
804.6850	7.920	165.496
804.2610	7.921	165.464
803.8369	7.930	165.425
803.4127	7.939	165.348
802.9884	7.940	165.347
802.5640	7.944	165.382
802.1396	7.943	165.349
801.7150	7.941	165.388
801.2903	7.947	165.347
800.8657	7.944	165.363
800.4408	7.938	165.348
800.0159	7.943	165.364
799.5909	7.944	165.364
799.1658	7.951	165.340
798.7406	7.963	165.309
798.3153	7.973	165.318
797.8899	7.989	165.285
797.4644	7.992	165.298
797.0389	8.005	165.291
796.6132	8.016	165.255
796.1875	8.014	165.240
795.7617	8.024	165.228
795.3357	8.029	165.246
794.9097	8.037	165.236
794.4836	8.042	165.220
794.0574	8.049	165.184
793.6310	8.062	165.154
793.2047	8.070	165.119
792.7782	8.074	165.130
792.3516	8.078	165.160
791.9249	8.077	165.142
791.4982	8.089	165.103
791.0714	8.093	165.101
790.6444	8.098	165.107
790.2173	8.101	165.113
789.7902	8.107	165.089
789.3630	8.112	165.054
788.9357	8.119	165.037
788.5083	8.121	165.050
788.0807	8.124	165.087
787.6532	8.132	165.101
787.2256	8.132	165.129
786.7977	8.134	165.097
786.3699	8.142	165.103
785.9419	8.146	165.116
785.5139	8.151	165.130
785.0857	8.159	165.105
784.6575	8.168	165.073
784.2291	8.171	165.055
783.8007	8.173	165.048
783.3722	8.176	165.037
782.9435	8.185	165.018
782.5148	8.194	165.031
782.0861	8.195	165.060
781.6573	8.197	165.067
781.2282	8.201	165.057
780.7991	8.204	165.071
780.3698	8.209	165.081
779.9407	8.208	165.102
779.5113	8.209	165.120
779.0818	8.220	165.106
778.6523	8.232	165.102
778.2227	8.242	165.042
777.7930	8.244	165.024
777.3632	8.252	165.030
776.9332	8.259	165.027
776.5032	8.264	165.027
776.0731	8.266	165.002
775.6429	8.269	164.974
775.2126	8.271	164.981
774.7822	8.278	164.992
774.3517	8.280	165.025
773.9212	8.288	165.007
773.4905	8.290	165.010
