## SPECTRUM TYPE:
LCE

## DATE:
02/07/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
10:07:43

# END TIME:
10:07:43

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
20

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
11 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.144 205.013 -2.43826 -1.13764 0.000 67.35754 11.0000 3.87 2.71967169811788595E18 1.30205409409373307E19 1.240099 
999.4089 1.144 205.013 -2.43826 -1.13764 0.399 67.35753 11.0000 3.86 2.52949741819867955E18 1.2110074944394625E19 1.240575 
999.0253 1.175 205.013 -2.43826 -1.13764 0.229 65.55240 11.0000 3.89 2.34682785489485824E18 1.14952907143050691E19 1.241052 
998.6415 1.201 205.013 -2.43826 -1.13764 0.406 64.13443 11.0000 3.89 2.16781567958188032E18 1.08171185393625989E19 1.241529 
998.2578 1.217 205.013 -2.43826 -1.13764 0.125 63.31608 11.0000 3.94 1.99614109511686554E18 1.00700597619167068E19 1.242006 
997.8739 1.220 205.013 -2.43826 -1.13764 0.310 63.14769 11.0000 3.99 1.8281133158432768E18 9.24339524310820454E18 1.242484 
997.4900 1.203 205.013 -2.43826 -1.13764 0.001 64.02511 11.0000 3.94 1.66741419388567552E18 8.33226184300743885E18 1.242962 
997.1060 1.160 205.013 -2.43826 -1.13764 0.000 66.38487 11.0000 4.05 1.51219998568323482E18 7.32869195060373094E18 1.243440 
996.7219 1.083 205.013 -2.43826 -1.13764 -1.928 71.12108 11.0000 4.04 1.3606318954774528E18 6.2265250022466519E18 1.243920 
996.3377 0.955 205.013 -2.43826 -1.13764 -0.481 80.70658 11.0000 4.07 1.21640895526207488E18 5.02867965155213312E18 1.244399 
995.9535 0.760 205.013 -2.43826 -1.13764 -0.062 101.38352 11.0000 4.01 1.07772157505621197E18 3.76169261165654835E18 1.244879 
995.5692 0.487 205.013 -2.43826 -1.13764 0.560 158.11629 11.0000 4.14 922489156192436224.0000 2.47169664168230912E18 1.245360 
995.1848 0.078 205.013 -2.43826 -1.13764 -0.376 986.30682 11.0000 4.19 756319757728219136.0000 1.46900264772907827E18 1.245841 
994.8003 89.413 205.013 -2.43826 -1.13764 0.009 -131.34720 11.0000 4.24 575675804080406528.0000 1.70274576309367603E18 1.246322 
994.4158 88.136 205.013 -2.43826 -1.13764 0.006 -41.28366 11.0000 4.13 386467720004108288.0000 2.85936657457217536E18 1.246804 
994.0311 90.000 352.546 0.90398 -0.11828 0.006 -698377487809249280.00000 11.0000 4.19 184467436613926912.0000 353997698526871552.0000 1.247287 
993.6464 0.000 280.309 0.06038 -0.33194 0.262 89120717420888064.00000 11.0000 4.24 23980767361105920.0000 46019698403311616.0000 1.247770 
993.2617 0.000 208.501 -1.21520 -0.65983 0.566 827471766501720064.00000 11.0000 4.26 234273646904868864.0000 449577076098334720.0000 1.248253 
992.8768 0.000 190.485 -0.19617 -0.03630 -0.122 834025611717509120.00000 11.0000 4.24 437187847796031488.0000 838974513554128896.0000 1.248737 
992.4919 2.090 243.836 -0.02377 -0.04838 0.013 0.73766 11.0000 4.21 0.8211 0.9943 1.249221 
992.1069 7.060 218.584 -0.11798 -0.09413 -3.822 0.59999 11.0000 4.29 0.5958 0.8451 1.249706 
991.7218 5.685 194.798 -0.08388 -0.02216 -0.353 0.43145 11.0000 4.30 0.5823 0.7907 1.250191 
991.3367 6.972 95.974 -0.00818 0.07814 0.113 0.31644 11.0000 4.38 0.6095 0.8337 1.250677 
990.9514 10.506 83.632 0.03508 0.31436 0.578 0.82352 11.0000 4.40 0.9578 1.0090 1.251163 
990.5661 6.698 89.300 0.00255 0.20883 4.701 0.87692 11.0000 4.40 0.9158 0.9592 1.251650 
990.1807 4.967 74.805 0.04662 0.17164 -11.643 1.01553 11.0000 4.39 0.8235 0.8773 1.252137 
989.7953 3.312 102.303 -0.02151 0.09861 -0.190 0.86904 11.0000 4.48 0.7634 0.8102 1.252625 
989.4097 6.342 106.870 -0.05134 0.16931 -0.911 0.78611 11.0000 4.55 0.7138 0.7891 1.253113 
989.0241 9.677 115.397 -0.10082 0.21234 0.526 0.66918 11.0000 4.47 0.6927 0.8582 1.253601 
988.6384 9.040 119.471 -0.15805 0.27968 0.850 0.98401 11.0000 4.49 0.8210 0.8926 1.254090 
988.2526 8.865 99.784 -0.05404 0.31335 13.965 0.99453 11.0000 4.57 0.7903 0.8717 1.254580 
