## SPECTRUM TYPE:
LCE

## DATE:
02/07/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
10:14:59

# END TIME:
10:14:59

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
20

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
11 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.279 203.796 -2.75371 -1.21427 0.000 67.35752 11.0000 3.92 2.72021540661782118E18 1.45001702311099105E19 1.240099 
999.4089 1.279 203.796 -2.75371 -1.21427 0.508 67.35752 11.0000 3.92 2.53000346842536346E18 1.34862401903934833E19 1.240575 
999.0253 1.279 203.796 -2.75371 -1.21427 0.308 67.35752 11.0000 4.03 2.41181366502083789E18 1.28562266247476019E19 1.241052 
998.6415 1.279 203.796 -2.75371 -1.21427 0.494 67.35752 11.0000 4.03 2.27700309409503642E18 1.2137616611158786E19 1.241529 
998.2578 1.279 203.796 -2.75371 -1.21427 0.123 67.35752 11.0000 4.03 2.12372553818596966E18 1.13205673215351849E19 1.242006 
997.8739 1.279 203.796 -2.75371 -1.21427 0.316 67.35752 11.0000 4.10 1.9501340926368809E18 1.03952337287616922E19 1.242484 
997.4900 1.279 203.796 -2.75371 -1.21427 -0.024 67.35752 11.0000 4.08 1.75438199022996685E18 9.35177300474645709E18 1.242962 
997.1060 1.279 203.796 -2.75371 -1.21427 0.002 67.35751 11.0000 4.14 1.53462246374742426E18 8.18034012237437338E18 1.243440 
996.7219 1.279 203.796 -2.75371 -1.21427 -2.006 67.35752 11.0000 4.12 1.2890090208493568E18 6.87109225355359027E18 1.243920 
996.3377 1.279 203.796 -2.75371 -1.21427 -0.622 67.35752 11.0000 4.13 1.01569482559848448E18 5.41418437116900147E18 1.244399 
995.9535 1.279 203.796 -2.75371 -1.21427 -0.107 67.35752 11.0000 4.06 716526576493133824.0000 3.81946095257989939E18 1.244879 
995.5692 1.279 203.796 -2.75371 -1.21427 0.577 67.35752 11.0000 4.18 393350868952416256.0000 2.09676578795080909E18 1.245360 
995.1848 1.279 203.796 -2.75371 -1.21427 -0.384 67.35752 11.0000 4.22 51708099119022080.0000 275631192668110848.0000 1.245841 
994.8003 1.279 203.796 -2.75371 -1.21427 0.013 67.35752 11.0000 4.36 295474852108697600.0000 1.57503542594319155E18 1.246322 
994.4158 1.279 203.796 -2.75371 -1.21427 0.007 67.35752 11.0000 4.22 629730784999112704.0000 3.35679415619315302E18 1.246804 
994.0311 16.911 118.821 -0.10293 0.18707 0.006 0.31868 11.0000 4.29 0.5328 0.9042 1.247287 
993.6464 22.211 122.682 -0.13562 0.21139 0.298 0.25627 11.0000 4.30 0.5240 0.8176 1.247770 
993.2617 25.918 134.881 -0.20307 0.20391 0.585 0.22617 11.0000 4.29 0.5284 0.7087 1.248253 
992.8768 21.210 114.746 -0.09740 0.21132 -0.095 0.25464 11.0000 4.36 0.5678 0.6369 1.248737 
992.4919 11.053 45.823 0.10466 0.10772 0.085 0.36976 11.0000 4.35 0.7239 0.8071 1.249221 
992.1069 13.767 97.377 -0.02498 0.19297 -5.068 0.37323 11.0000 4.35 0.5994 0.6729 1.249706 
991.7218 11.316 91.290 -0.00466 0.20693 -0.462 0.49646 11.0000 4.41 0.6461 0.7023 1.250191 
991.3367 11.047 79.334 0.04029 0.21391 0.108 0.53620 11.0000 4.51 0.6856 0.7211 1.250677 
990.9514 10.559 80.657 0.04679 0.28437 0.660 0.74615 11.0000 4.45 0.8981 0.9268 1.251163 
990.5661 6.443 91.873 -0.00627 0.19192 5.743 0.83942 11.0000 4.46 0.8668 0.8939 1.251650 
990.1807 6.205 51.083 0.11623 0.14396 -11.238 0.84085 11.0000 4.51 0.7409 0.7884 1.252137 
989.7953 3.034 70.871 0.03008 0.08672 -0.227 0.86340 11.0000 4.51 0.7416 0.8016 1.252625 
989.4097 4.711 100.123 -0.02572 0.14405 -1.018 0.88179 11.0000 4.62 0.7281 0.8076 1.253113 
989.0241 6.598 119.750 -0.10086 0.17647 0.576 0.86691 11.0000 4.60 0.7396 0.8372 1.253601 
988.6384 9.626 130.120 -0.19814 0.23513 0.879 0.88037 11.0000 4.60 0.7589 0.8381 1.254090 
988.2526 9.198 106.159 -0.08301 0.28650 14.267 0.89686 11.0000 4.66 0.7389 0.8236 1.254580 
987.8668 10.198 99.829 -0.05766 0.33279 0.551 0.90840 11.0000 4.60 0.7470 0.8341 1.255070 
987.4809 9.617 102.121 -0.06251 0.29108 -2120.697 0.85326 11.0000 4.59 0.6842 0.7352 1.255560 
987.0949 9.279 104.275 -0.07837 0.30803 0.642 0.94681 11.0000 4.64 0.6599 0.6780 1.256051 
986.7088 4.910 103.304 -0.04115 0.17404 0.554 1.03324 11.0000 4.70 0.7559 0.7688 1.256543 
986.3226 3.841 136.970 -0.10993 0.10261 -1.196 1.11480 11.0000 4.70 0.8946 0.9018 1.257035 
985.9364 5.791 106.326 -0.06076 0.20743 -3.819 1.05470 11.0000 4.69 0.9847 1.0040 1.257527 
