# lams, psi_mean, delta_mean
999.025300 45.000000 203.929048
998.641500 45.000000 203.929048
998.257800 45.000000 203.929048
997.873900 45.000000 203.929048
997.490000 45.000000 203.929048
997.106000 45.000000 203.929048
996.721900 45.000000 203.929048
996.337700 45.000000 203.929048
995.953500 45.000000 203.929048
995.569200 45.000000 203.929048
995.184800 45.000000 203.929048
994.800300 45.000000 203.929048
994.415800 45.000000 203.929048
994.031100 9.062330 29.809608
993.646400 3.442800 218.954379
993.261700 32.434704 218.460487
992.876800 7.099042 156.374234
992.491900 1.372541 99.636055
992.106900 3.821545 161.853401
991.721800 3.582382 136.195474
991.336700 4.122513 92.707180
990.951400 9.013897 79.299332
990.566100 5.830405 91.405245
990.180700 5.231967 65.675015
989.795300 2.830292 86.890736
989.409700 4.596140 108.683338
989.024100 6.257101 122.699956
988.638400 9.097523 130.707375
988.252600 8.503727 109.577487
987.866800 9.440912 103.377379
987.480900 8.127567 107.637682
987.094900 8.751690 109.305480
986.708800 5.393591 109.636732
986.322600 4.147519 145.275961
985.936400 5.517614 106.622598
985.550100 6.582458 92.963954
985.163800 9.266985 87.041971
984.777300 11.535708 85.016306
984.390700 14.125465 78.324242
984.004100 10.721557 77.925931
983.617400 5.818028 66.655440
983.230700 6.871497 74.481742
982.843800 4.277125 222.197079
982.456900 6.877266 46.715025
982.069900 9.105637 72.341749
981.682800 10.963012 85.602707
981.295700 14.183986 107.660432
980.908400 12.520490 104.505951
980.521100 12.321180 71.132674
980.133700 17.841853 109.255002
979.746300 19.247363 116.510026
979.358700 45.000000 135.579743
978.971100 45.000000 149.654128
978.583400 45.000000 154.807561
978.195600 28.890225 154.486787
977.807700 20.909693 156.935902
977.419900 16.280056 162.717741
977.031900 9.994810 167.760790
976.643700 7.399514 163.896335
976.255600 9.568506 181.278285
975.867400 4.668744 117.226250
975.479000 5.581525 118.485829
975.090600 7.450562 81.414259
974.702100 7.257080 95.066653
974.313600 7.843473 96.455638
973.925000 7.067197 93.519304
973.536300 9.491758 91.903187
973.147500 5.668794 106.370023
972.758600 6.056045 114.473107
972.369700 5.176783 123.663836
971.980700 5.441741 118.345834
971.591600 7.345851 105.393024
971.202400 8.084540 97.869970
970.813100 7.500666 94.481837
970.423800 6.719193 89.138721
970.034400 9.528243 47.317325
969.644900 9.142300 90.470565
969.255300 12.697884 117.315491
968.865700 18.261622 131.943157
968.476000 21.524349 137.931641
968.086100 24.582986 138.922903
967.696200 22.870422 137.223912
967.306300 18.600671 132.838032
966.916300 13.230743 127.458129
966.526100 7.856869 128.555954
966.135900 20.687703 4.586318
965.745700 45.000000 358.985124
965.355300 45.000000 156.709257
964.964900 22.975368 146.937411
964.574300 20.308258 142.175294
964.183800 20.342051 143.835073
963.793100 23.283614 147.807918
963.402300 6.193351 29.265264
963.011500 28.231735 44.911214
962.620700 6.835399 122.603452
962.229700 5.524037 140.115314
961.838600 4.577560 113.895578
961.447400 6.125679 199.582869
961.056200 8.396602 209.754720
960.664900 11.383043 217.235023
960.273600 16.840277 228.102023
959.882100 6.537519 207.510474
959.490500 6.717383 100.657982
959.098900 17.750535 66.377383
958.707300 5.440986 74.890483
958.315500 9.193591 85.375889
957.923600 8.919939 85.653172
957.531700 6.606871 89.826212
957.139600 4.807494 89.995426
956.747600 4.040321 87.911238
956.355400 1.456904 94.645078
955.963200 5.279985 111.949839
955.570900 4.668853 46.204463
955.178400 3.708110 16.159412
954.785900 4.056473 354.649354
954.393400 4.266042 355.422691
954.000700 3.790852 0.570333
953.608000 5.062187 65.812579
953.215200 7.576722 66.960085
952.822300 5.717575 53.463605
952.429300 6.139961 39.444326
952.036300 7.942578 49.800437
951.643200 13.540792 16.203957
951.249900 11.213804 19.090654
950.856700 45.000000 294.913238
950.463300 9.932257 27.040128
950.069900 14.955135 63.238653
949.676300 16.753466 69.949709
949.282700 21.726840 72.805684
948.889000 18.404353 69.553940
948.495300 18.659636 74.779473
948.101400 29.586171 177.149312
947.707500 10.220179 76.430244
947.313500 45.000000 54.588582
946.919400 45.000000 345.756940
946.525300 45.000000 1.418697
946.131000 45.000000 213.899764
945.736700 45.000000 186.111766
945.342300 45.000000 354.844431
944.947800 45.000000 356.977316
944.553200 45.000000 352.455376
944.158600 45.000000 158.978654
943.763900 45.000000 279.706069
943.369100 45.000000 169.099300
942.974200 45.000000 324.886942
942.579200 45.000000 37.465784
942.184100 45.000000 18.394487
941.789000 45.000000 27.038814
941.393800 22.155709 233.872022
940.998500 14.448928 309.976757
940.603100 7.301970 292.624293
940.207700 4.005381 222.353523
939.812200 8.896534 153.952881
939.416600 14.503032 140.224182
939.020900 10.353559 141.389961
938.625100 9.160216 131.231537
938.229200 9.819522 137.284925
937.833300 9.020844 84.811712
937.437300 19.999331 53.969940
937.041200 16.060752 3.327588
936.645000 10.196250 338.238285
936.248700 10.215585 332.802697
935.852400 10.229352 328.905428
935.456000 10.243800 322.371822
935.059400 10.421015 298.404225
934.662900 5.497908 277.820409
934.266200 5.872410 233.453804
933.869400 10.547714 335.374104
933.472700 45.000000 148.191779
933.075700 45.000000 129.268475
932.678700 45.000000 139.719293
932.281700 45.000000 358.133201
931.884500 45.000000 162.855442
931.487300 45.000000 22.146780
931.090000 23.441672 57.101644
930.692600 24.520722 94.414688
930.295100 12.181434 109.672479
929.897500 7.060217 91.280074
929.499900 2.972464 72.113774
929.102200 1.872076 297.168032
928.704300 5.166977 330.079616
928.306500 3.972912 12.746396
927.908500 4.852562 12.873866
927.510400 5.318481 17.997815
927.112300 5.686671 30.035586
926.714100 7.630468 16.871045
926.315800 0.741701 5.905129
925.917400 2.132079 359.342431
925.519000 4.223641 319.196768
925.120400 9.340861 265.134702
924.721800 5.383139 288.866893
924.323100 4.817887 307.702859
923.924300 23.004877 72.091647
923.525500 8.967145 336.732836
923.126500 45.000000 183.679671
922.727500 15.826233 320.168380
922.328300 14.801015 46.117418
921.929100 45.000000 73.522270
921.529800 45.000000 89.749717
921.130500 45.000000 87.767330
920.731100 45.000000 93.909095
920.331500 45.000000 82.945819
919.931900 15.848648 31.553662
919.532200 16.402331 332.566102
919.132400 7.253616 223.614360
918.732600 21.644031 320.060120
918.332600 14.851120 317.133484
917.932600 26.102269 306.287023
917.532500 9.352652 94.534908
917.132300 0.371281 154.561998
916.732100 16.535474 319.975026
916.331700 14.351095 313.018845
915.931300 45.000000 318.478890
915.530800 45.000000 140.064947
915.130200 45.000000 139.794046
914.729500 45.000000 354.499764
914.328700 45.000000 36.315224
913.927900 23.136979 349.567436
913.527000 13.400481 339.479996
913.125900 6.377505 151.998395
912.724900 14.112501 352.603500
912.323700 12.560296 358.647980
911.922400 12.186627 3.079532
911.521100 12.184699 36.141886
911.119600 3.573219 15.264678
910.718100 15.181357 251.692181
910.316500 10.715941 82.137706
909.914900 45.000000 146.523299
909.513100 20.852059 58.937679
909.111300 45.000000 1.418982
908.709300 45.000000 355.235905
908.307300 45.000000 349.344226
907.905200 45.000000 354.811075
907.503100 45.000000 357.830413
907.100800 45.000000 0.440532
906.698400 45.000000 6.021664
906.296000 45.000000 18.726368
905.893500 45.000000 67.911537
905.490900 45.000000 27.912999
905.088300 45.000000 29.303255
904.685500 14.181563 21.380877
904.282600 8.437214 252.204645
903.879700 15.565732 264.515503
903.476700 3.970796 346.836811
903.073600 4.446415 75.629652
902.670400 4.823899 0.981238
902.267200 4.591239 8.588109
901.863800 4.994537 9.990695
901.460400 5.731887 346.765753
901.056900 8.069829 347.811383
900.653300 11.362650 338.385871
900.249600 45.000000 235.831988
899.845800 45.000000 351.549335
899.442000 44.591544 350.224356
899.038000 45.000000 348.642456
898.634000 45.000000 348.848547
898.229900 45.000000 344.394987
897.825700 7.261759 321.918955
897.421400 45.000000 344.370240
897.017100 45.000000 343.446567
896.612700 45.000000 340.700252
896.208100 45.000000 337.874271
895.803500 45.000000 337.389589
895.398900 45.000000 337.646051
894.994100 39.792773 336.044589
894.589200 16.182681 331.517557
894.184300 45.000000 164.187069
893.779200 3.089583 294.572151
893.374100 4.824303 215.719154
892.968900 3.155624 238.112847
892.563700 2.843955 356.183618
892.158300 10.072306 4.799241
891.752800 7.314186 351.069047
891.347300 9.051095 348.024032
890.941700 10.083535 341.371476
890.535900 9.708695 338.568343
890.130200 7.241644 333.116999
889.724300 2.169102 341.842103
889.318400 4.905448 311.304966
888.912300 6.093753 294.206089
888.506200 4.661475 320.926843
888.100000 7.377563 311.880084
887.693700 10.275392 312.257513
887.287300 10.601683 311.148570
886.880800 10.953535 311.697474
886.474300 8.339449 314.531812
886.067600 8.021023 303.961107
885.660900 7.173598 291.281154
885.254100 8.066174 292.525010
884.847200 7.248517 287.360305
884.440200 6.225531 280.724132
884.033200 8.859976 288.568889
883.626000 8.648186 287.491749
883.218800 8.486460 288.852041
882.811500 5.989969 261.489025
882.404100 1.397899 313.393945
881.996600 5.119995 356.812959
881.589000 7.821142 12.635984
881.181300 10.882735 27.304459
880.773600 10.407426 44.310208
880.365800 14.511316 34.170363
879.957900 45.000000 314.044218
879.549900 12.523626 91.195989
879.141800 45.000000 123.602674
878.733600 45.000000 132.112154
878.325300 45.000000 133.896010
877.917000 45.000000 136.233652
877.508500 21.758289 187.676647
877.100000 45.000000 138.973213
876.691500 45.000000 126.399505
876.282800 45.000000 113.383365
875.874000 45.000000 90.363580
875.465100 10.126713 149.820169
875.056200 17.028280 172.994314
874.647200 45.000000 222.604443
874.238000 32.137816 214.863154
873.828900 28.858641 212.632517
873.419600 28.806537 211.189847
873.010200 29.195419 210.306430
872.600700 30.655406 208.266060
872.191200 45.000000 219.715377
871.781600 45.000000 242.771210
871.371800 7.151695 173.517328
870.962000 45.000000 116.345278
870.552100 31.138251 289.770757
870.142200 3.791874 269.347328
869.732100 3.941485 268.734086
869.321900 5.558799 269.977219
868.911700 7.809095 268.420698
868.501300 9.394913 267.606774
868.090900 10.870876 269.189469
867.680500 10.803854 266.729808
867.269900 9.549829 267.550733
866.859200 9.033655 265.496820
866.448500 8.026278 261.748974
866.037600 9.098023 257.892642
865.626700 8.202163 259.700597
865.215700 6.873967 262.055492
864.804600 6.744965 263.554568
864.393400 6.149419 263.560498
863.982100 7.007227 264.438351
863.570700 6.205720 263.340103
863.159300 4.083263 263.653127
862.747700 5.436009 257.738625
862.336100 6.217074 253.990639
861.924400 7.382511 251.505570
861.512600 6.782325 251.036908
861.100800 5.303467 255.569925
860.688800 4.927965 257.248997
860.276700 5.580113 254.801307
859.864600 5.448729 255.331355
859.452300 5.921590 251.320803
859.040000 6.680352 249.060694
858.627600 7.670923 247.688812
858.215100 8.023828 246.045438
857.802600 7.549696 246.084856
857.389900 7.682259 246.199914
856.977100 7.697653 246.312087
856.564300 7.970998 244.888254
856.151400 8.151265 244.277809
855.738300 8.096379 244.380777
855.325300 8.350092 244.287717
854.912000 8.658394 242.380928
854.498800 9.006604 239.269476
854.085400 9.155736 239.028216
853.671900 8.929438 238.182424
853.258400 9.095679 235.829078
852.844800 9.074055 233.998503
852.431100 8.917031 231.431155
852.017300 8.880118 232.269165
851.603400 8.798936 231.139329
851.189400 8.894837 230.791917
850.775300 9.080303 231.596182
850.361200 9.130148 228.567113
849.947000 9.247826 227.841040
849.532600 9.324426 228.070545
849.118200 9.592117 227.357988
848.703700 9.317380 226.075678
848.289100 9.394885 224.954718
847.874400 9.179743 223.466600
847.459700 9.571420 222.064875
847.044800 9.736084 220.494843
846.629800 10.015970 219.582843
846.214800 10.513341 218.376336
845.799700 10.541121 217.150239
845.384500 10.606834 216.569995
844.969200 10.492251 215.603827
844.553800 10.357228 214.951855
844.138300 10.483320 213.986580
843.722700 10.388291 213.354379
843.307100 10.573986 212.439929
842.891400 10.565170 211.715999
