# lams, desv_psi, desv_delta
999.025300 0.083261 1.097819
998.641500 0.081525 1.097819
998.257800 0.081819 1.097819
997.873900 0.081990 1.097819
997.490000 0.081505 1.097819
997.106000 0.085454 1.097819
996.721900 0.107531 1.097819
996.337700 0.165506 1.097819
995.953500 0.269263 1.097819
995.569200 0.422190 1.097819
995.184800 0.655472 1.097819
994.800300 50.927266 1.097819
994.415800 50.189991 1.097819
994.031100 31.393223 102.261297
993.646400 16.672341 77.607673
993.261700 21.161324 55.026832
992.876800 16.085196 33.496743
992.491900 5.479344 92.074226
992.106900 5.152286 54.955621
991.721800 3.674297 47.400515
991.336700 3.186579 12.320828
990.951400 0.750216 3.961702
990.566100 0.559172 2.595922
990.180700 0.487826 7.827800
989.795300 0.386959 13.499657
989.409700 1.008799 5.488427
989.024100 1.821787 10.174758
988.638400 0.379561 10.879466
988.252600 0.131184 10.090931
987.866800 0.449144 9.152983
987.480900 0.851338 9.239187
987.094900 0.556617 9.937001
986.708800 0.065818 8.093342
986.322600 0.279573 1.983076
985.936400 0.271266 5.459427
985.550100 0.341557 6.420135
985.163800 0.304394 4.772213
984.777300 0.340971 5.160861
984.390700 0.447858 4.783009
984.004100 0.510543 5.309027
983.617400 0.809899 7.168701
983.230700 0.593675 5.864942
982.843800 1.939125 28.852269
982.456900 2.445286 58.857041
982.069900 1.384712 31.707717
981.682800 1.184389 23.557771
981.295700 1.963482 23.236135
980.908400 0.164974 1.799679
980.521100 5.241056 58.115778
980.133700 3.912978 40.408325
979.746300 4.000068 49.196814
979.358700 4.105729 17.783159
978.971100 3.190478 4.936098
978.583400 3.991550 7.937871
978.195600 3.557876 10.586483
977.807700 6.476858 10.648672
977.419900 7.003967 8.213611
977.031900 0.449247 3.314826
976.643700 6.225795 67.183462
976.255600 2.114834 2.392904
975.867400 0.276323 11.933464
975.479000 0.284937 2.439501
975.090600 0.379758 23.654650
974.702100 0.323265 11.166183
974.313600 0.765050 8.512939
973.925000 0.522598 6.813638
973.536300 1.181413 3.487966
973.147500 2.539947 3.268910
972.758600 5.724745 2.584562
972.369700 5.014554 5.218387
971.980700 6.002145 11.406351
971.591600 7.137496 11.833466
971.202400 6.952600 8.948239
970.813100 9.974871 7.696062
970.423800 8.882871 5.231358
970.034400 8.217682 8.478503
969.644900 6.013630 1.687738
969.255300 3.842848 7.274560
968.865700 3.145910 7.147023
968.476000 3.108820 7.781360
968.086100 2.417000 8.248142
967.696200 1.797839 8.116552
967.306300 2.615471 8.347178
