## SPECTRUM TYPE:
LCE

## DATE:
08/07/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:13:48

# END TIME:
11:13:48

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.278 213.447 -2.50966 -1.65777 0.000 67.35752 8.0000 4.82 2.7202123829608448E18 1.4491838131994624E19 1.240099 
999.4089 1.278 213.447 -2.50966 -1.65777 0.584 67.35752 8.0000 4.81 2.53000044476838707E18 1.3478490832440918E19 1.240575 
999.0253 1.278 213.447 -2.50966 -1.65777 0.394 67.35752 8.0000 4.87 2.4118106413638615E18 1.2848839006120575E19 1.241052 
998.6415 1.278 213.447 -2.50966 -1.65777 0.771 67.35752 8.0000 4.90 2.27700048275492045E18 1.21306424089038029E19 1.241529 
998.2578 1.278 213.447 -2.50966 -1.65777 0.165 67.35752 8.0000 4.95 2.12372306428480717E18 1.13140615112336343E19 1.242006 
997.8739 1.278 213.447 -2.50966 -1.65777 0.424 67.35752 8.0000 4.93 1.95013175617467187E18 1.03892611815996129E19 1.242484 
997.4900 1.278 213.447 -2.50966 -1.65777 -0.019 67.35752 8.0000 4.89 1.7543797912067113E18 9.346398591909888E18 1.242962 
997.1060 1.278 213.447 -2.50966 -1.65777 -0.002 67.35751 8.0000 4.96 1.53462067704102912E18 8.17563971016563098E18 1.243440 
996.7219 1.278 213.447 -2.50966 -1.65777 -2.492 67.35752 8.0000 4.96 1.28900750902086861E18 6.86714390729824666E18 1.243920 
996.3377 1.278 213.447 -2.50966 -1.65777 -0.916 67.35752 8.0000 5.03 1.01569358864790323E18 5.41107330301820928E18 1.244399 
995.9535 1.278 213.447 -2.50966 -1.65777 -0.157 67.35752 8.0000 4.92 716525683139936256.0000 3.8172663273708585E18 1.244879 
