# lams, psi_mean, delta_mean
999.025300 45.000000 215.407009
998.641500 45.000000 215.407009
998.257800 45.000000 215.407009
997.873900 45.000000 215.407009
997.490000 45.000000 215.407009
997.106000 45.000000 215.407009
996.721900 45.000000 215.407009
996.337700 45.000000 215.407009
995.953500 45.000000 215.407009
995.569200 45.000000 215.407009
995.184800 45.000000 215.407009
994.800300 45.000000 215.407009
994.415800 45.000000 215.407009
994.031100 24.418167 152.128078
993.646400 13.821472 132.220302
993.261700 9.327955 76.732985
992.876800 11.328134 92.649548
992.491900 6.479960 27.942694
992.106900 8.735489 87.776742
991.721800 9.134014 79.337116
991.336700 9.136789 62.973502
990.951400 13.006794 49.531098
990.566100 8.609435 50.304130
990.180700 7.151671 41.560739
989.795300 4.019918 71.157841
989.409700 6.961022 69.449250
989.024100 9.045278 76.857632
988.638400 12.212537 81.997922
988.252600 12.403934 60.755860
987.866800 14.020719 53.839203
987.480900 10.864122 58.385231
987.094900 11.070463 62.814893
986.708800 7.406057 61.351740
986.322600 5.520903 79.685343
985.936400 7.314100 59.875787
985.550100 7.173079 53.284415
985.163800 10.551987 48.414386
984.777300 13.149457 46.239455
984.390700 17.541857 38.500287
984.004100 9.490121 44.326911
983.617400 2.717744 80.915218
983.230700 5.312133 13.971423
982.843800 5.215821 324.480592
982.456900 17.987536 8.719837
982.069900 11.626413 21.032683
981.682800 10.851072 49.515732
981.295700 5.167878 76.866634
980.908400 17.821615 96.176745
980.521100 45.000000 100.787092
980.133700 45.000000 107.432098
979.746300 45.000000 112.002839
979.358700 45.000000 113.615286
978.971100 31.593176 153.863026
978.583400 18.555492 174.733009
978.195600 12.923749 196.162078
977.807700 10.520270 205.500166
977.419900 12.327003 208.823892
977.031900 12.704836 154.521250
976.643700 12.149374 146.989363
976.255600 8.184352 137.620231
975.867400 10.558860 64.878835
975.479000 15.821376 74.688686
975.090600 18.092493 40.752275
974.702100 12.982538 55.767791
974.313600 11.614282 55.799835
973.925000 10.898643 52.118656
973.536300 9.311562 47.453953
973.147500 6.923417 51.115984
972.758600 2.856114 101.120269
972.369700 3.076246 114.932708
971.980700 3.910259 89.292577
971.591600 6.141489 66.267762
971.202400 6.683700 51.225628
970.813100 5.587267 45.365149
970.423800 4.711152 33.459045
970.034400 14.760983 331.379982
969.644900 9.411431 36.907782
969.255300 16.131684 75.130785
968.865700 25.455464 87.033615
968.476000 35.949095 94.219140
968.086100 45.000000 95.326431
967.696200 45.000000 94.203748
967.306300 29.188376 89.915891
966.916300 18.022997 86.258014
966.526100 6.281687 58.200953
966.135900 25.458705 310.856261
965.745700 19.424301 342.679214
965.355300 7.994334 16.675535
964.964900 45.000000 290.107956
964.574300 45.000000 83.272104
964.183800 45.000000 82.676497
963.793100 45.000000 286.401177
963.402300 18.321163 357.371820
963.011500 19.694088 19.606916
962.620700 4.555222 19.288623
962.229700 2.349473 310.261685
961.838600 3.903720 342.958980
961.447400 6.858446 239.133763
961.056200 8.885881 230.308593
960.664900 11.474071 226.589332
960.273600 14.981435 221.396729
959.882100 5.022800 240.548189
959.490500 6.600344 21.320744
959.098900 20.535977 26.088722
958.707300 6.267000 7.975153
958.315500 7.505572 21.325033
957.923600 7.645395 21.116075
957.531700 5.064900 26.616528
957.139600 3.703615 29.629304
956.747600 3.217836 28.866930
956.355400 1.106084 48.076779
955.963200 5.380743 64.130715
955.570900 5.073445 354.328564
955.178400 4.363635 303.376571
954.785900 6.464520 276.513259
954.393400 8.999874 257.764347
954.000700 9.751060 251.523442
953.608000 5.033383 253.009815
953.215200 4.106027 270.149754
952.822300 3.982628 291.511693
952.429300 4.991408 327.120003
952.036300 9.060300 6.487345
951.643200 16.305036 334.194598
951.249900 10.037230 321.499129
950.856700 14.732143 266.868931
950.463300 8.274189 317.235199
950.069900 9.315475 348.211715
949.676300 10.867045 358.544367
949.282700 13.883026 0.742462
948.889000 11.145047 356.595160
948.495300 9.498381 4.241162
948.101400 5.391814 20.472535
947.707500 6.242481 10.314171
947.313500 8.369123 10.047009
946.919400 14.068606 3.987080
946.525300 12.839619 7.562519
946.131000 15.187298 37.054141
945.736700 18.552462 353.959212
945.342300 45.000000 336.443309
944.947800 45.000000 155.201860
944.553200 45.000000 146.666590
944.158600 45.000000 116.916630
943.763900 45.000000 313.067233
943.369100 45.000000 323.315616
942.974200 45.000000 327.306880
