# lams, desv_psi, desv_delta
999.025300 0.010408 1.937825
998.641500 0.010408 1.937825
998.257800 0.010408 1.937825
997.873900 0.010408 1.937825
997.490000 0.010408 1.937825
997.106000 0.010408 1.937825
996.721900 0.010408 1.937825
996.337700 0.010408 1.937825
995.953500 0.010408 1.937825
995.569200 0.010408 1.937825
995.184800 0.010408 1.937825
994.800300 0.010408 1.937825
994.415800 0.010408 1.937825
994.031100 8.887998 3.462165
993.646400 6.657195 2.007518
993.261700 11.292370 27.950346
992.876800 16.133976 4.979008
992.491900 17.125177 8.144531
992.106900 4.256116 2.355675
991.721800 1.982532 3.013953
991.336700 2.546207 2.954385
990.951400 1.437214 6.150147
990.566100 1.863983 11.663305
990.180700 0.884954 5.037228
989.795300 0.974178 9.639977
989.409700 0.785259 10.265228
989.024100 0.375746 11.350705
988.638400 2.158190 12.304494
988.252600 0.790800 12.523463
987.866800 1.181677 12.509868
987.480900 0.678997 12.756685
987.094900 0.290211 11.726892
986.708800 0.322308 12.239551
986.322600 0.336161 10.817940
985.936400 0.047721 13.759122
985.550100 0.135220 15.602311
985.163800 0.421894 14.760431
984.777300 0.790980 14.812025
984.390700 0.974934 14.469033
984.004100 0.282196 17.282260
983.617400 1.125865 36.396528
983.230700 1.300452 25.872824
982.843800 0.189391 28.607594
982.456900 0.945146 10.673305
982.069900 1.379020 19.745149
981.682800 3.252628 17.611363
981.295700 10.450798 67.670122
980.908400 5.625515 2.263930
980.521100 1.577786 5.224495
980.133700 3.829490 14.078851
979.746300 8.557118 28.862244
979.358700 10.140170 29.091363
978.971100 14.133578 32.547407
978.583400 15.664803 12.548124
978.195600 4.091812 23.797306
977.807700 2.237067 46.089379
977.419900 2.597828 49.416424
977.031900 3.359046 15.307298
976.643700 1.513322 6.255902
976.255600 1.779490 12.869425
975.867400 0.556148 12.393749
975.479000 2.119895 10.829086
975.090600 0.691388 15.498237
974.702100 0.786342 13.354014
974.313600 0.662812 13.937145
973.925000 0.554822 14.038357
973.536300 0.590066 14.913149
973.147500 0.477165 16.931673
972.758600 1.377318 12.127116
972.369700 2.374669 8.360215
971.980700 6.257198 10.296407
971.591600 1.490836 12.894001
971.202400 1.842142 14.017126
970.813100 0.996231 14.670454
970.423800 0.206352 15.664145
970.034400 1.411027 10.771012
969.644900 1.521368 16.743345
969.255300 1.123719 18.983679
968.865700 0.719588 18.024225
968.476000 1.133736 17.408756
968.086100 0.937337 17.298428
967.696200 2.653875 17.108797
967.306300 0.987813 17.611023
966.916300 0.807871 17.389900
966.526100 1.408594 17.529028
966.135900 0.713616 16.611022
965.745700 0.454138 15.978123
965.355300 13.774353 94.382692
964.964900 20.572028 91.710829
964.574300 4.391383 17.011874
964.183800 3.295916 17.177929
963.793100 41.497387 92.901482
963.402300 2.294288 2.448334
963.011500 7.454444 10.469351
962.620700 8.227216 21.032252
962.229700 3.092018 54.715373
961.838600 0.215181 40.321358
961.447400 1.777079 4.593297
961.056200 0.658410 5.865219
960.664900 0.660879 5.337680
960.273600 1.821299 6.387743
959.882100 1.976595 6.881251
959.490500 0.316255 21.447756
959.098900 1.241766 13.035137
958.707300 1.992438 19.881953
958.315500 5.336322 24.209592
957.923600 4.882571 24.538807
957.531700 3.844775 25.732676
957.139600 2.155582 25.564623
956.747600 1.398974 22.138019
956.355400 0.679103 25.982919
955.963200 1.922463 10.452927
955.570900 0.316323 12.008978
955.178400 0.890774 5.306628
954.785900 2.828473 15.967752
954.393400 3.030797 15.986784
954.000700 5.530384 16.552548
953.608000 1.711107 22.502500
953.215200 5.287233 32.237963
952.822300 9.418166 30.597221
952.429300 8.145699 20.269012
952.036300 7.224689 13.933853
951.643200 3.808760 7.331408
951.249900 4.581158 11.504458
950.856700 22.710397 6.771661
950.463300 1.838677 17.001397
950.069900 2.167028 17.742301
949.676300 2.574343 17.411266
949.282700 1.028980 16.117565
948.889000 1.059741 17.806380
948.495300 0.988219 14.217901
948.101400 0.840199 15.557231
947.707500 1.827002 14.414936
947.313500 5.778970 30.876495
946.919400 11.238576 57.759754
946.525300 5.903209 42.219816
946.131000 6.418443 99.044588
945.736700 6.828475 30.703948
945.342300 7.699049 9.504272
944.947800 4.973433 16.840676
944.553200 3.439529 22.280021
944.158600 34.374534 79.294867
943.763900 1.612810 25.946848
943.369100 1.883589 12.210188
942.974200 7.592712 0.218101
942.579200 7.040882 31.909232
942.184100 2.546041 103.905554
941.789000 3.349734 26.719450
941.393800 5.715251 34.799746
940.998500 5.596958 60.442507
940.603100 3.440588 14.431633
940.207700 1.338862 9.713980
939.812200 1.962811 2.523091
939.416600 2.214907 9.101701
939.020900 4.257863 4.845849
938.625100 2.484006 5.029162
938.229200 1.301027 8.682063
937.833300 3.239525 90.033123
937.437300 6.187270 95.185206
937.041200 4.978435 11.064506
936.645000 1.653363 9.188932
936.248700 0.953513 2.511013
935.852400 0.690323 0.852055
935.456000 1.166211 1.554652
935.059400 2.343114 8.560133
934.662900 0.828551 7.536330
934.266200 0.942393 28.228235
933.869400 14.161143 22.916942
933.472700 1.490499 34.674599
933.075700 1.070643 17.632888
932.678700 1.089266 7.367766
932.281700 39.008706 97.316865
931.884500 1.828321 31.531648
931.487300 3.126213 30.882226
931.090000 9.770343 13.437679
930.692600 2.171108 11.751719
930.295100 1.475940 7.822464
929.897500 1.853038 11.912122
929.499900 0.947745 20.786664
929.102200 1.516134 6.150458
928.704300 1.128580 11.772889
928.306500 1.671145 2.888112
927.908500 1.323157 3.075218
927.510400 1.133751 1.582444
927.112300 0.782026 0.823148
926.714100 0.735187 3.005457
926.315800 0.825782 3.060009
925.917400 0.442133 29.204198
925.519000 0.189447 15.584000
925.120400 1.602809 4.870866
924.721800 0.757768 4.865367
924.323100 0.485190 5.500495
923.924300 1.003873 50.176972
923.525500 1.000310 77.150980
923.126500 8.140742 83.412741
922.727500 2.540788 87.514850
922.328300 28.090311 20.167386
921.929100 24.950499 19.776129
921.529800 22.419686 19.372770
921.130500 23.025377 19.647893
920.731100 21.295130 19.066005
920.331500 22.477800 20.606724
919.931900 9.249957 85.901682
919.532200 0.716059 98.571353
919.132400 7.390245 89.442243
918.732600 1.944275 110.277742
918.332600 3.431732 4.296409
917.932600 2.603827 4.498884
917.532500 6.390816 1.740699
917.132300 0.953720 1.544788
916.732100 0.881741 1.079201
916.331700 3.233158 1.510799
915.931300 4.582465 1.774751
915.530800 4.539545 2.279496
915.130200 1.663267 2.230136
914.729500 0.445755 6.699044
914.328700 0.294588 1.897569
913.927900 0.184072 54.709488
913.527000 0.627951 49.780156
913.125900 1.416429 58.775598
912.724900 1.000680 28.729638
912.323700 0.384275 16.899747
911.922400 5.200277 14.528302
911.521100 18.072537 38.886795
911.119600 13.815061 66.746504
910.718100 6.610157 29.256266
910.316500 10.155843 93.869002
909.914900 9.548483 56.430634
909.513100 11.042278 100.071865
909.111300 9.364149 46.791503
908.709300 6.870967 28.876356
908.307300 4.653140 15.261675
907.905200 3.876949 10.795589
907.503100 14.768910 8.123064
907.100800 9.388027 7.070135
906.698400 4.285542 12.019865
906.296000 2.113228 22.678745
905.893500 4.040898 22.187091
905.490900 6.522125 8.125900
905.088300 7.717518 4.983639
904.685500 24.076048 23.133839
904.282600 7.385711 20.692507
903.879700 1.782298 17.862565
903.476700 3.034141 5.324296
903.073600 0.869607 7.228986
902.670400 0.509325 5.785858
902.267200 1.207299 6.230210
901.863800 1.552743 7.013015
901.460400 3.115239 6.595902
901.056900 8.369242 2.017016
900.653300 24.898328 6.866110
900.249600 13.457290 0.974055
899.845800 6.728304 32.880779
899.442000 2.576746 3.676528
899.038000 2.183323 3.672849
898.634000 2.558641 3.600024
898.229900 0.915720 1.692115
897.825700 3.031733 3.558560
897.421400 4.311537 8.125352
897.017100 3.620839 12.351811
896.612700 2.819566 11.386011
896.208100 3.939901 12.683555
895.803500 3.641289 12.828310
895.398900 3.205701 12.823987
894.994100 2.824491 13.244551
894.589200 1.817051 15.729270
894.184300 1.753063 6.518754
893.779200 1.101405 14.397238
893.374100 0.156532 22.307547
892.968900 0.877111 11.665931
892.563700 0.883613 9.679116
892.158300 0.626161 3.255167
891.752800 0.455349 3.806454
891.347300 0.428395 11.848704
890.941700 0.881919 23.868678
890.535900 2.000643 28.512972
890.130200 2.825246 45.524859
889.724300 1.631959 15.104192
889.318400 1.015848 9.185250
888.912300 2.573508 0.451183
888.506200 2.366327 1.662385
888.100000 2.231933 13.142766
887.693700 2.837205 12.978224
887.287300 2.791731 13.748151
886.880800 2.784062 13.867672
886.474300 1.877763 15.135955
886.067600 1.861803 16.146462
885.660900 1.487998 15.452653
885.254100 1.794617 16.242451
884.847200 1.837926 15.578917
884.440200 2.057862 15.066891
884.033200 2.264964 14.521143
883.626000 2.581746 14.249698
883.218800 4.313214 13.431173
882.811500 4.278804 15.634116
882.404100 3.412986 11.935631
881.996600 2.027897 8.461302
881.589000 1.647809 3.962195
881.181300 5.028832 22.638535
880.773600 5.357277 54.395766
880.365800 2.307226 41.351914
879.957900 0.605974 73.357924
879.549900 0.481951 13.728824
879.141800 1.085739 4.396416
878.733600 4.607113 8.320480
878.325300 6.116481 9.834747
877.917000 6.600396 9.766957
877.508500 6.026693 9.785138
877.100000 3.818039 7.042316
876.691500 0.170994 2.032697
876.282800 4.947438 15.255439
875.874000 1.494259 84.171419
875.465100 9.698576 25.325282
875.056200 10.759740 32.757941
874.647200 4.794314 76.349367
874.238000 0.485908 33.391642
873.828900 21.959320 92.073420
873.419600 21.273221 16.085969
873.010200 5.815936 19.269562
872.600700 1.670496 13.259728
872.191200 6.697610 10.277320
871.781600 4.498125 15.059261
871.371800 2.597361 20.255814
870.962000 1.365008 17.118487
870.552100 1.620955 15.112384
870.142200 0.707661 21.702108
869.732100 0.401632 13.472284
