Source : SiO2_2mm_muestra2.M1.12h 02mn 31s.spe
Spectrum : 1

Wavelength	Psi	Delta

999.7925	0.901	27.769
999.4089	0.901	27.769
999.0253	0.921	27.232
998.6415	0.938	26.807
998.2578	0.948	26.561
997.8739	0.950	26.510
997.4900	0.939	26.774
997.1060	0.912	27.481
996.7219	0.862	28.871
996.3377	0.781	31.573
995.9535	0.662	36.902
995.5692	0.518	48.990
995.1848	0.391	81.993
994.8003	0.568	136.052
994.4158	1.368	161.852
994.0311	0.903	90.000
993.6464	84.669	90.000
993.2617	89.596	90.000
992.8768	89.860	90.000
992.4919	45.000	90.000
992.1069	45.000	90.000
991.7218	45.000	90.000
991.3367	45.000	90.000
990.9514	31.675	50.253
990.5661	56.274	196.046
990.1807	46.534	186.346
989.7953	28.325	128.743
989.4097	4.780	215.184
989.0241	11.635	23.547
988.6384	26.739	14.668
988.2526	4.397	36.656
987.8668	54.832	185.607
987.4809	47.289	281.797
987.0949	79.077	275.227
986.7088	51.094	269.536
986.3226	49.503	278.144
985.9364	65.432	280.916
985.5501	88.638	175.943
985.1638	75.527	255.833
984.7773	74.122	257.053
984.3907	66.231	248.965
984.0041	71.013	263.932
983.6174	74.201	25.220
983.2307	49.344	63.067
982.8438	34.425	93.214
982.4569	53.405	14.066
982.0699	74.590	285.659
981.6828	66.507	238.295
981.2957	62.030	256.134
980.9084	66.756	258.498
980.5211	76.584	259.919
980.1337	79.317	282.344
979.7463	69.836	45.447
979.3587	57.684	18.818
978.9711	43.890	45.575
978.5834	46.732	57.473
978.1956	35.163	65.244
977.8077	26.430	65.372
977.4199	19.690	51.580
977.0319	26.139	57.657
976.6437	26.260	55.118
976.2556	15.767	38.188
975.8674	30.020	359.204
975.4790	38.278	328.059
975.0906	31.711	211.669
974.7021	52.670	292.060
974.3136	43.952	293.011
973.9250	51.647	284.267
973.5363	59.139	276.211
973.1475	80.736	286.352
972.7586	79.377	285.812
972.3697	86.386	56.214
971.9807	87.436	45.216
971.5916	84.843	309.116
971.2024	85.021	298.670
970.8131	87.321	301.188
970.4238	87.015	271.432
970.0344	71.813	341.309
969.6449	79.884	239.200
969.2553	62.579	203.047
968.8657	53.139	196.913
968.4760	50.101	192.062
968.0861	49.682	192.587
967.6962	49.861	195.323
967.3063	53.004	202.318
966.9163	54.809	207.482
966.5261	60.285	234.078
966.1359	59.628	304.801
965.7457	57.470	220.579
965.3553	52.846	179.367
964.9649	48.041	147.877
964.5743	47.102	131.175
964.1838	44.412	123.295
963.7931	56.384	121.113
963.4023	74.252	93.044
963.0115	73.951	307.642
962.6207	68.956	238.015
962.2297	51.431	233.180
961.8386	37.569	221.395
961.4474	36.813	196.808
961.0562	33.226	192.984
960.6649	32.725	186.612
960.2736	30.410	170.974
959.8821	28.428	198.714
959.4905	32.717	277.822
959.0989	50.686	318.310
958.7073	68.838	307.757
958.3155	55.708	285.933
957.9236	52.149	280.840
957.5317	50.083	279.412
957.1396	30.181	275.812
956.7476	19.046	285.159
956.3554	4.790	305.131
955.9632	20.208	337.907
955.5709	12.188	286.428
955.1784	14.423	214.946
954.7859	26.560	191.441
954.3934	35.296	190.798
954.0007	41.899	187.354
953.6080	41.625	204.311
953.2152	50.173	229.070
952.8223	52.400	215.124
952.4293	52.174	215.403
