Source : TiO2_Si_SP_muestra2.D1.10h 43mn 29s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	13.797	93.994
829.5408	13.870	93.945
829.1221	13.911	93.822
828.7034	13.897	93.779
828.2845	13.887	93.701
827.8656	13.922	93.638
827.4465	13.912	93.582
827.0275	13.944	93.468
826.6082	13.904	93.432
826.1889	13.881	93.340
825.7695	13.888	93.297
825.3500	13.923	93.228
824.9305	13.933	93.210
824.5108	13.906	93.177
824.0911	13.880	93.102
823.6713	13.862	93.066
823.2513	13.855	93.041
822.8313	13.830	93.014
822.4112	13.841	93.002
821.9910	13.878	93.042
821.5707	13.856	93.004
821.1503	13.839	92.967
820.7299	13.872	92.944
820.3093	13.876	92.942
819.8886	13.870	92.902
819.4679	13.891	92.874
819.0471	13.928	92.884
818.6262	13.944	92.859
818.2051	13.945	92.809
817.7841	13.969	92.768
817.3629	13.959	92.771
816.9416	14.000	92.771
816.5202	14.011	92.757
816.0988	14.029	92.738
815.6772	14.049	92.689
815.2556	14.050	92.657
814.8338	14.066	92.656
814.4120	14.081	92.613
813.9901	14.088	92.631
813.5681	14.104	92.630
813.1460	14.100	92.590
812.7238	14.095	92.599
812.3015	14.138	92.550
811.8792	14.112	92.585
811.4567	14.126	92.552
811.0341	14.134	92.511
810.6115	14.145	92.541
810.1888	14.149	92.492
809.7659	14.167	92.418
809.3430	14.175	92.389
808.9200	14.191	92.297
808.4969	14.201	92.241
808.0738	14.205	92.184
807.6505	14.212	92.176
807.2271	14.216	92.138
806.8036	14.240	92.052
806.3802	14.257	92.009
805.9564	14.279	91.942
805.5327	14.298	91.891
805.1089	14.315	91.813
804.6850	14.335	91.807
804.2610	14.340	91.746
803.8369	14.354	91.684
803.4127	14.375	91.640
802.9884	14.383	91.611
802.5640	14.397	91.587
802.1396	14.400	91.554
801.7150	14.405	91.543
801.2903	14.429	91.459
800.8657	14.436	91.440
800.4408	14.428	91.389
800.0159	14.438	91.368
799.5909	14.444	91.314
799.1658	14.458	91.278
798.7406	14.473	91.225
798.3153	14.487	91.204
797.8899	14.511	91.151
797.4644	14.520	91.137
797.0389	14.545	91.064
796.6132	14.558	91.009
796.1875	14.557	90.972
795.7617	14.570	90.916
795.3357	14.582	90.862
794.9097	14.593	90.803
794.4836	14.604	90.718
794.0574	14.607	90.720
793.6310	14.620	90.673
793.2047	14.633	90.591
792.7782	14.639	90.546
792.3516	14.642	90.531
791.9249	14.643	90.496
791.4982	14.660	90.448
