Source : TiO2_Si_SP_muestra2.D2.10h 45mn 30s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	13.329	92.572
829.5408	13.334	92.505
829.1221	13.306	92.411
828.7034	13.323	92.393
828.2845	13.333	92.314
827.8656	13.374	92.276
827.4465	13.402	92.220
827.0275	13.375	92.130
826.6082	13.420	92.100
826.1889	13.421	92.013
825.7695	13.416	91.994
825.3500	13.395	91.961
824.9305	13.371	91.959
824.5108	13.366	91.926
824.0911	13.345	91.857
823.6713	13.351	91.814
823.2513	13.350	91.789
822.8313	13.342	91.768
822.4112	13.367	91.741
821.9910	13.407	91.751
821.5707	13.389	91.692
821.1503	13.384	91.668
820.7299	13.413	91.631
820.3093	13.434	91.603
819.8886	13.453	91.582
819.4679	13.472	91.539
819.0471	13.492	91.536
818.6262	13.509	91.493
818.2051	13.518	91.441
817.7841	13.527	91.412
817.3629	13.521	91.407
816.9416	13.537	91.413
816.5202	13.543	91.375
816.0988	13.559	91.363
815.6772	13.586	91.306
815.2556	13.581	91.292
814.8338	13.594	91.288
814.4120	13.610	91.265
813.9901	13.617	91.278
813.5681	13.630	91.267
813.1460	13.625	91.219
812.7238	13.625	91.224
812.3015	13.667	91.161
811.8792	13.638	91.193
811.4567	13.645	91.178
811.0341	13.646	91.144
810.6115	13.656	91.184
810.1888	13.655	91.135
809.7659	13.674	91.077
809.3430	13.685	91.054
808.9200	13.699	90.974
808.4969	13.709	90.899
808.0738	13.711	90.860
807.6505	13.719	90.859
807.2271	13.721	90.828
806.8036	13.746	90.746
806.3802	13.765	90.692
805.9564	13.783	90.626
805.5327	13.791	90.592
805.1089	13.814	90.472
804.6850	13.829	90.436
804.2610	13.833	90.393
803.8369	13.849	90.341
803.4127	13.868	90.304
802.9884	13.877	90.291
802.5640	13.894	90.270
802.1396	13.896	90.230
801.7150	13.900	90.231
801.2903	13.918	90.170
800.8657	13.919	90.164
800.4408	13.914	90.115
800.0159	13.929	90.098
799.5909	13.939	90.029
799.1658	13.953	90.009
798.7406	13.975	89.943
798.3153	13.993	89.904
797.8899	14.020	89.825
797.4644	14.032	89.793
797.0389	14.057	89.731
796.6132	14.070	89.685
796.1875	14.066	89.633
795.7617	14.085	89.585
795.3357	14.098	89.524
794.9097	14.116	89.474
794.4836	14.124	89.397
794.0574	14.127	89.401
793.6310	14.138	89.360
793.2047	14.153	89.291
792.7782	14.156	89.256
792.3516	14.161	89.237
791.9249	14.161	89.204
791.4982	14.177	89.154
791.0714	14.179	89.130
790.6444	14.190	89.095
790.2173	14.191	89.050
789.7902	14.202	88.991
789.3630	14.216	88.946
788.9357	14.231	88.919
788.5083	14.234	88.863
788.0807	14.236	88.852
787.6532	14.250	88.800
787.2256	14.248	88.759
