Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	35.823	75.122
829.5408	35.844	75.119
829.1221	35.865	75.117
828.7034	35.887	75.114
828.2845	35.908	75.111
827.8656	35.929	75.108
827.4465	35.950	75.106
827.0275	35.972	75.103
826.6082	35.993	75.101
826.1889	36.014	75.098
825.7695	36.035	75.096
825.3500	36.057	75.094
824.9305	36.078	75.091
824.5108	36.099	75.089
824.0911	36.121	75.087
823.6713	36.142	75.085
823.2513	36.163	75.082
822.8313	36.185	75.080
822.4112	36.206	75.078
821.9910	36.228	75.076
821.5707	36.250	75.074
821.1503	36.271	75.072
820.7299	36.293	75.070
820.3093	36.315	75.068
819.8886	36.337	75.066
819.4679	36.359	75.064
819.0471	36.381	75.062
818.6262	36.403	75.060
818.2051	36.425	75.058
817.7841	36.447	75.056
817.3629	36.469	75.055
816.9416	36.491	75.053
816.5202	36.513	75.051
816.0988	36.536	75.049
815.6772	36.558	75.048
815.2556	36.580	75.047
814.8338	36.603	75.046
814.4120	36.625	75.045
813.9901	36.648	75.045
813.5681	36.670	75.044
813.1460	36.693	75.044
812.7238	36.715	75.043
812.3015	36.738	75.042
811.8792	36.761	75.042
811.4567	36.784	75.041
811.0341	36.806	75.041
810.6115	36.829	75.040
810.1888	36.852	75.040
809.7659	36.875	75.041
809.3430	36.899	75.041
808.9200	36.922	75.041
808.4969	36.945	75.042
808.0738	36.969	75.042
807.6505	36.992	75.043
807.2271	37.015	75.043
806.8036	37.039	75.044
806.3802	37.062	75.044
805.9564	37.086	75.045
805.5327	37.110	75.045
805.1089	37.133	75.046
804.6850	37.157	75.047
804.2610	37.181	75.047
803.8369	37.205	75.048
803.4127	37.229	75.049
802.9884	37.253	75.050
802.5640	37.277	75.051
802.1396	37.301	75.052
801.7150	37.325	75.052
801.2903	37.349	75.053
800.8657	37.374	75.054
800.4408	37.398	75.055
800.0159	37.422	75.057
799.5909	37.447	75.056
799.1658	37.471	75.055
798.7406	37.495	75.054
798.3153	37.520	75.053
797.8899	37.544	75.052
797.4644	37.569	75.052
797.0389	37.593	75.051
796.6132	37.618	75.050
796.1875	37.643	75.049
795.7617	37.667	75.049
795.3357	37.692	75.048
794.9097	37.717	75.047
794.4836	37.742	75.047
794.0574	37.766	75.046
793.6310	37.791	75.046
793.2047	37.816	75.046
792.7782	37.841	75.046
792.3516	37.866	75.045
791.9249	37.891	75.045
791.4982	37.916	75.045
791.0714	37.941	75.045
790.6444	37.967	75.045
790.2173	37.992	75.045
789.7902	38.017	75.045
789.3630	38.043	75.046
788.9357	38.069	75.046
788.5083	38.094	75.047
788.0807	38.120	75.048
787.6532	38.146	75.049
787.2256	38.172	75.050
786.7977	38.198	75.051
786.3699	38.224	75.052
785.9419	38.250	75.053
785.5139	38.277	75.054
785.0857	38.303	75.055
784.6575	38.329	75.057
784.2291	38.356	75.059
783.8007	38.382	75.061
783.3722	38.409	75.063
782.9435	38.436	75.065
782.5148	38.463	75.067
782.0861	38.490	75.069
781.6573	38.517	75.072
781.2282	38.544	75.074
780.7991	38.571	75.076
780.3698	38.598	75.079
779.9407	38.626	75.081
779.5113	38.653	75.083
779.0818	38.681	75.085
778.6523	38.709	75.087
778.2227	38.737	75.089
777.7930	38.765	75.092
777.3632	38.793	75.094
776.9332	38.822	75.096
776.5032	38.850	75.098
776.0731	38.879	75.101
775.6429	38.907	75.103
775.2126	38.936	75.105
774.7822	38.964	75.108
774.3517	38.992	75.110
773.9212	39.020	75.113
773.4905	39.049	75.115
773.0598	39.077	75.118
772.6289	39.105	75.120
772.1980	39.134	75.123
771.7669	39.162	75.126
771.3358	39.191	75.128
770.9046	39.220	75.131
770.4733	39.249	75.134
770.0419	39.277	75.137
769.6104	39.306	75.140
769.1787	39.335	75.143
768.7471	39.364	75.146
768.3152	39.394	75.149
767.8834	39.423	75.152
767.4514	39.452	75.155
767.0193	39.482	75.158
766.5872	39.511	75.161
766.1549	39.541	75.164
765.7224	39.570	75.168
765.2901	39.600	75.171
764.8575	39.630	75.175
764.4249	39.660	75.179
763.9922	39.690	75.183
763.5593	39.720	75.187
763.1264	39.751	75.192
762.6934	39.781	75.196
762.2603	39.811	75.200
761.8271	39.842	75.205
761.3938	39.873	75.209
760.9604	39.903	75.213
760.5269	39.934	75.218
760.0933	39.966	75.223
759.6597	39.998	75.227
759.2259	40.029	75.232
758.7921	40.061	75.237
758.3581	40.093	75.242
757.9240	40.125	75.247
757.4900	40.157	75.252
757.0556	40.189	75.257
756.6213	40.222	75.262
756.1868	40.254	75.267
755.7523	40.286	75.273
