## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
10:58:02

# END TIME:
10:58:02

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
7

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
30 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.320 226.250 -2.14816 -2.24401 0.000 67.35753 30.0000 6.84 2.72039270286780006E18 1.49510227750562038E19 1.240099 
999.4089 1.320 226.250 -2.14816 -2.24401 1.120 67.35752 30.0000 6.88 2.53016839516952986E18 1.39055686364598108E19 1.240575 
999.0253 1.320 226.250 -2.20731 -2.30581 0.731 69.21237 30.0000 6.96 2.41195687641035571E18 1.32559628731185889E19 1.241052 
998.6415 1.320 226.250 -2.25612 -2.35679 1.941 70.74261 30.0000 7.00 2.27712816354269594E18 1.25150074847184814E19 1.241529 
998.2578 1.320 226.250 -2.28528 -2.38725 0.276 71.65694 30.0000 7.10 2.12383686373828198E18 1.16725517799118602E19 1.242006 
997.8739 1.320 226.250 -2.29137 -2.39361 0.690 71.84802 30.0000 7.19 1.95023524770663629E18 1.07184483658859807E19 1.242484 
997.4900 1.320 226.250 -2.25997 -2.36081 -0.083 70.86339 30.0000 7.11 1.75447764774158336E18 9.64254325275833139E18 1.242962 
997.1060 1.320 226.250 -2.17963 -2.27689 0.011 68.34444 30.0000 7.33 1.53471770894218035E18 8.43469069698360934E18 1.243440 
996.7219 1.320 226.250 -2.03448 -2.12527 -3.110 63.79314 30.0000 7.34 1.28910935128539136E18 7.08473780819093094E18 1.243920 
996.3377 1.320 226.250 -1.79285 -1.87285 -2.112 56.21645 30.0000 7.41 1.01580965584411034E18 5.58253609405592371E18 1.244399 
995.9535 1.320 226.250 -1.42720 -1.49088 -1.105 44.75123 30.0000 7.25 716672948978581504.0000 3.93823734543784346E18 1.244879 
995.5692 1.320 226.250 -0.89367 -0.93354 1.046 28.02178 30.0000 7.53 393583106424045568.0000 2.1619981635593175E18 1.245360 
995.1848 1.320 226.250 -0.13578 -0.14183 -0.742 4.25736 30.0000 7.67 53110045163913216.0000 284459188707393536.0000 1.245841 
994.8003 88.680 46.250 0.91169 0.95237 0.020 -28.58675 30.0000 7.69 295641977876119552.0000 1.62403488675712205E18 1.246322 
994.4158 88.680 46.250 2.32547 2.42923 0.014 -72.91719 30.0000 7.50 629761640044167168.0000 3.46116529745978982E18 1.246804 
994.0311 57.632 281.828 0.00000 0.00000 0.011 0.00000 30.0000 7.69 6983510522855424.0000 6983510522855424.0000 1.247287 
993.6464 52.836 285.523 0.00000 0.00000 0.914 0.00000 30.0000 7.75 5422490700480512.0000 5422490700480512.0000 1.247770 
993.2617 39.451 289.594 0.00000 0.00000 1.180 0.00000 30.0000 7.75 3971015898038272.0000 3971015898038272.0000 1.248253 
992.8768 40.512 264.930 0.00000 0.00000 -0.604 0.00000 30.0000 7.81 2574313739780096.0000 2574313739780096.0000 1.248737 
992.4919 35.526 224.052 0.00000 0.00000 0.361 0.00000 30.0000 7.68 438181052809216.0000 438181052809216.0000 1.249221 
992.1069 46.514 81.598 0.00000 0.00000 -10.075 0.00000 30.0000 7.79 1725337889144832.0000 1725337889144832.0000 1.249706 
991.7218 31.365 75.857 0.00000 0.00000 -1.305 0.00000 30.0000 7.94 3888856931762176.0000 3888856931762176.0000 1.250191 
991.3367 28.113 63.075 0.00000 0.00000 0.389 0.00000 30.0000 8.14 5970217142321152.0000 5970217142321152.0000 1.250677 
