## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:08:44

# END TIME:
11:08:44

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
7

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
31 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.598 223.012 -2.75098 -2.56639 0.000 67.35753 31.0000 7.38 2.72173960461182566E18 1.80115672670404608E19 1.240099 
999.4089 1.598 223.012 -2.75098 -2.56639 1.237 67.35753 31.0000 7.46 2.53142101379147366E18 1.67521019861904916E19 1.240575 
999.0253 1.598 223.012 -2.75098 -2.56639 0.789 67.35753 31.0000 7.60 2.41316496481137459E18 1.59695223860976681E19 1.241052 
998.6415 1.598 223.012 -2.75098 -2.56639 1.756 67.35753 31.0000 7.57 2.27827893990011699E18 1.50768926671807447E19 1.241529 
998.2578 1.598 223.012 -2.75098 -2.56639 0.330 67.35753 31.0000 7.67 2.12491548464513024E18 1.40619840611155968E19 1.242006 
997.8739 1.598 223.012 -2.75098 -2.56639 0.842 67.35753 31.0000 7.67 1.9512267323169833E18 1.29125699986013553E19 1.242484 
997.4900 1.598 223.012 -2.75098 -2.56639 -0.119 67.35753 31.0000 7.62 1.75536495362519859E18 1.16164217113138954E19 1.242962 
997.1060 1.598 223.012 -2.75098 -2.56639 -0.018 67.35753 31.0000 7.78 1.53548228184034509E18 1.01613115304407204E19 1.243440 
996.7219 1.598 223.012 -2.75098 -2.56639 -3.877 67.35753 31.0000 7.81 1.28973126254985216E18 8.53501288668096102E18 1.243920 
996.3377 1.598 223.012 -2.75098 -2.56639 -1.842 67.35753 31.0000 7.91 1.0162638915853353E18 6.72529701171049267E18 1.244399 
995.9535 1.598 223.012 -2.75098 -2.56639 -1.044 67.35753 31.0000 7.79 716928035676225536.0000 4.74439102458599834E18 1.244879 
995.5692 1.598 223.012 -2.75098 -2.56639 1.163 67.35753 31.0000 7.99 393571286674046976.0000 2.60452396850950963E18 1.245360 
995.1848 1.598 223.012 -2.75098 -2.56639 -0.820 67.35753 31.0000 8.13 51737068673433600.0000 342378746839302144.0000 1.245841 
994.8003 1.598 223.012 -2.75098 -2.56639 0.029 67.35754 31.0000 8.23 295640431687892992.0000 1.95644982486577971E18 1.246322 
994.4158 1.598 223.012 -2.75098 -2.56639 0.017 67.35753 31.0000 8.17 630083590792675328.0000 4.16968399332887757E18 1.246804 
994.0311 38.647 121.276 -0.19338 0.31835 0.011 0.08398 31.0000 8.22 0.5393 0.6359 1.247287 
993.6464 34.273 110.049 -0.13164 0.36072 1.048 0.15090 31.0000 8.28 0.5469 0.6726 1.247770 
993.2617 40.874 94.400 -0.03064 0.39830 1.344 0.05793 31.0000 8.34 0.5474 0.7095 1.248253 
992.8768 50.560 83.239 0.05584 0.47097 -0.665 -0.09322 31.0000 8.32 0.5615 0.7289 1.248737 
992.4919 54.043 30.000 0.26154 0.15100 0.375 -0.09862 31.0000 8.27 0.5938 0.7340 1.249221 
992.1069 46.096 75.178 0.08986 0.33958 -8.495 -0.01344 31.0000 8.45 0.5733 0.6726 1.249706 
991.7218 28.412 68.951 0.13349 0.34686 -1.462 0.24298 31.0000 8.63 0.6203 0.6682 1.250191 
991.3367 26.055 54.032 0.22833 0.31465 0.508 0.30254 31.0000 8.69 0.6402 0.7031 1.250677 
990.9514 25.158 51.446 0.32275 0.40498 1.682 0.42968 31.0000 8.65 0.7660 0.8394 1.251163 
990.5661 14.865 62.353 0.16163 0.30855 16.286 0.60990 31.0000 8.72 0.7712 0.8324 1.251650 
990.1807 12.329 49.698 0.20662 0.24362 -24.020 0.69585 31.0000 8.74 0.7648 0.8411 1.252137 
989.7953 6.353 80.553 0.02862 0.17202 -0.563 0.77341 31.0000 8.75 0.7198 0.8010 1.252625 
989.4097 10.750 84.182 0.03456 0.33913 -1.963 0.86536 31.0000 8.93 0.7307 0.8071 1.253113 
989.0241 14.049 93.478 -0.02701 0.44437 1.450 0.83384 31.0000 9.04 0.7387 0.8222 1.253601 
988.6384 24.714 100.212 -0.10872 0.60353 1.786 0.52508 31.0000 9.02 0.7145 0.7864 1.254090 
988.2526 20.224 76.535 0.14314 0.59780 28.638 0.72102 31.0000 9.17 0.7264 0.8084 1.254580 
987.8668 23.145 68.102 0.25737 0.64028 1.289 0.65969 31.0000 9.01 0.7339 0.8295 1.255070 
987.4809 16.838 70.981 0.18154 0.52665 -4365.420 0.83605 31.0000 9.04 0.7122 0.7663 1.255560 
987.0949 16.328 74.029 0.15003 0.52422 1.802 0.85079 31.0000 9.20 0.6732 0.6947 1.256051 
986.7088 13.570 71.598 0.13251 0.39830 1.370 0.81890 31.0000 9.26 0.6827 0.7053 1.256543 
986.3226 10.408 85.903 0.02047 0.28575 -2.466 0.75356 31.0000 9.31 0.7011 0.7245 1.257035 
985.9364 14.270 76.516 0.08637 0.36022 -8.444 0.68108 31.0000 9.38 0.7470 0.7906 1.257527 
985.5501 14.359 71.603 0.11162 0.33561 81.569 0.64552 31.0000 9.35 0.8001 0.8979 1.258020 
985.1638 22.097 70.668 0.15888 0.45287 -2.856 0.49364 31.0000 9.46 0.8513 1.0011 1.258513 
984.7773 27.445 69.455 0.20403 0.54440 1.195 0.40873 31.0000 9.42 0.9057 1.0543 1.259007 
984.3907 31.093 61.315 0.39302 0.71832 -1.465 0.43198 31.0000 9.64 0.9338 1.0841 1.259502 
984.0041 24.565 60.141 0.23750 0.41371 -1.363 0.41278 31.0000 9.62 0.7498 0.8600 1.259997 
983.6174 7.221 58.174 0.05860 0.09442 0.880 0.43151 31.0000 9.88 0.5993 0.7533 1.260492 
983.2307 9.616 231.877 -0.11997 -0.15287 0.891 0.55706 31.0000 9.93 0.6166 0.7757 1.260988 
982.8438 15.465 233.062 -0.34506 -0.45894 0.702 0.95823 31.0000 9.98 0.7993 0.9838 1.261484 
982.4569 12.731 208.688 -0.28270 -0.15470 0.850 0.67680 31.0000 10.08 0.7938 1.0116 1.261981 
982.0699 10.263 153.146 -0.13863 0.07019 -2.388 0.41504 31.0000 10.10 0.7358 0.9632 1.262478 
981.6828 30.438 90.400 -0.00282 0.40415 -0.018 0.22518 31.0000 10.17 0.7766 0.9769 1.262976 
981.2957 36.890 76.492 0.09689 0.40333 -0.009 0.12066 31.0000 10.19 0.7421 0.9402 1.263474 
980.9084 44.410 73.640 0.31354 1.06806 0.005 0.02291 31.0000 10.27 0.9354 1.1273 1.263973 
980.5211 51.096 59.991 1.13507 1.96526 0.010 -0.49036 31.0000 10.32 1.2099 1.3537 1.264472 
980.1337 49.475 85.366 0.13118 1.61833 -0.002 -0.25574 31.0000 10.43 0.9784 1.1807 1.264972 
979.7463 47.630 101.184 -0.27860 1.40904 -0.002 -0.13224 31.0000 10.38 0.9013 1.0227 1.265472 
979.3587 51.474 108.900 -0.69799 2.03868 11.155 -0.49545 31.0000 10.51 0.8721 0.9215 1.265973 
978.9711 45.313 187.004 -2.58422 -0.31748 6.084 -0.02842 31.0000 10.60 0.9486 1.1627 1.266474 
978.5834 45.453 195.831 -2.18756 -0.62030 2.479 -0.03595 31.0000 10.47 1.2075 1.5063 1.266976 
978.1956 40.584 204.175 -2.06454 -0.92674 6.912 0.35160 31.0000 10.61 1.4220 1.7896 1.267478 
977.8077 36.710 207.615 -1.57488 -0.82384 -3.259 0.52920 31.0000 10.77 1.4867 1.8528 1.267981 
977.4199 32.679 213.388 -1.12190 -0.73942 4.656 0.61635 31.0000 10.83 1.4959 1.8007 1.268484 
977.0319 22.987 181.528 -0.64959 -0.01733 2.519 0.62808 31.0000 11.08 1.1297 1.3410 1.268988 
976.6437 12.156 141.031 -0.19714 0.15947 1.595 0.56129 31.0000 10.93 0.8156 1.2460 1.269493 
976.2556 17.877 140.007 -0.37702 0.31628 -8.142 0.68349 31.0000 10.97 0.9675 1.1271 1.269997 
975.8674 20.468 88.208 0.01894 0.60522 1.446 0.69812 31.0000 11.11 0.9031 0.9767 1.270502 
975.4790 32.733 78.267 0.21639 1.04193 1.287 0.48573 31.0000 11.18 1.0656 1.1395 1.271008 
975.0906 24.786 92.347 -0.02357 0.57518 -1.971 0.49043 31.0000 11.17 0.8620 0.8941 1.271515 
974.7021 28.057 89.398 0.00595 0.56658 -23.142 0.38055 31.0000 11.29 0.8300 0.8984 1.272021 
974.3136 25.859 93.517 -0.03149 0.51250 1.409 0.40526 31.0000 11.26 0.7535 0.8198 1.272529 
973.9250 28.366 92.062 -0.01666 0.46272 0.034 0.30377 31.0000 11.39 0.6628 0.7226 1.273036 
973.5363 34.238 91.070 -0.00720 0.38537 0.075 0.15201 31.0000 11.46 0.5946 0.6337 1.273545 
973.1475 47.161 98.147 -0.03811 0.26618 -6.544 -0.02032 31.0000 11.36 0.5214 0.5429 1.274053 
972.7586 53.993 134.280 -0.06764 0.06936 -3.171 -0.03145 31.0000 11.62 0.5020 0.5369 1.274563 
972.3697 70.876 150.332 -0.08156 0.04646 -1.317 -0.11907 31.0000 11.76 0.5037 0.5379 1.275073 
971.9807 77.244 129.776 -0.08464 0.10167 -0.876 -0.27719 31.0000 11.78 0.5162 0.5521 1.275583 
971.5916 80.936 107.380 -0.04576 0.14620 -1.338 -0.46794 31.0000 11.74 0.5918 0.6214 1.276094 
971.2024 87.520 113.017 -0.02280 0.05367 0.654 -0.67196 31.0000 12.14 0.6601 0.6942 1.276605 
970.8131 66.048 112.263 -0.20766 0.50727 0.093 -0.49521 31.0000 11.83 1.0872 1.1074 1.277117 
970.4238 15.556 306.758 41.31801 -55.31582 0.043 114.39685 31.0000 11.83 2.0619 2.0703 1.277629 
970.0344 43.335 19.579 7.02952 2.50014 0.028 0.43412 31.0000 12.27 5.4652 6.6352 1.278142 
969.6449 29.326 145.722 -3.12670 2.13110 0.018 2.30500 31.0000 12.19 3.2028 3.3370 1.278656 
969.2553 34.449 167.119 -9.31780 2.13082 0.005 3.68859 31.0000 12.31 7.4136 8.7000 1.279170 
968.8657 35.582 171.503 -13.71046 2.04819 -4.266 4.72880 31.0000 12.40 10.8832 13.0183 1.279684 
968.4760 36.123 172.823 -16.18754 2.03825 1.520 5.22370 31.0000 12.56 12.9938 15.6309 1.280199 
968.0861 36.334 173.269 -17.50388 2.06595 0.553 5.50036 31.0000 12.84 13.6730 16.4817 1.280714 
967.6962 36.436 173.375 -18.75724 2.17846 0.113 5.81924 31.0000 12.87 12.9031 15.5583 1.281230 
967.3063 36.440 172.743 -16.82631 2.14279 1.464 5.22490 31.0000 12.70 10.6444 12.8448 1.281747 
966.9163 36.221 169.614 -12.07338 2.21286 1.819 3.88376 31.0000 12.84 7.0884 8.4579 1.282264 
966.5261 34.213 149.356 -3.61809 2.14346 -7.370 1.66281 31.0000 12.89 2.7036 2.9014 1.282782 
966.1359 49.227 17.837 6.55400 2.10898 1.487 -1.02335 31.0000 12.65 5.4330 6.4753 1.283300 
965.7457 73.052 130.994 -1.79750 2.06824 -1.017 -4.07836 31.0000 12.79 2.8893 2.9158 1.283818 
965.3553 51.009 132.962 -2.16082 2.32031 1.381 -0.67495 31.0000 13.11 1.5880 1.6067 1.284337 
964.9649 47.963 137.182 -6.90999 6.40268 11.914 -0.97789 31.0000 13.16 1.0978 1.1721 1.284857 
964.5743 62.089 3.348 0.49873 0.02918 3.785 -0.33923 31.0000 12.91 0.5709 0.8524 1.285377 
964.1838 53.651 110.969 -0.32004 0.83510 -1.700 -0.27858 31.0000 13.18 1.8226 1.9893 1.285898 
963.7931 71.175 334.814 0.49872 -0.23453 1.331 -0.71433 31.0000 13.30 0.6396 1.0681 1.286419 
963.4023 75.718 310.147 0.34870 -0.41341 0.174 -0.99346 31.0000 13.48 0.6734 1.0460 1.286941 
963.0115 75.070 344.705 0.32971 -0.09017 1.588 -0.59543 31.0000 13.52 0.6056 0.9713 1.287463 
962.6207 56.048 49.255 0.08051 0.09345 2.275 -0.05008 31.0000 13.66 0.5555 0.7621 1.287986 
962.2297 29.434 111.781 -0.09375 0.23462 2.032 0.15261 31.0000 13.63 0.6331 0.7445 1.288509 
961.8386 13.493 63.394 0.10476 0.20915 1.888 0.45939 31.0000 13.76 0.7520 0.9839 1.289033 
961.4474 6.508 289.507 0.03650 -0.10302 1.575 0.47281 31.0000 13.92 0.7259 0.9759 1.289558 
961.0562 8.970 270.538 0.00164 -0.17417 2.502 0.53796 31.0000 13.81 0.7861 1.0981 1.290083 
960.6649 13.648 269.813 -0.00094 -0.28724 0.021 0.55662 31.0000 14.14 0.7236 0.9768 1.290608 
960.2736 21.356 269.725 -0.00256 -0.53383 0.026 0.57825 31.0000 13.87 0.6509 0.8061 1.291134 
