# lams, psi_mean, delta_mean
999.792500 45.000000 224.479426
999.408900 45.000000 224.479426
999.025300 45.000000 224.483661
998.641500 45.000000 224.486945
998.257800 45.000000 224.488928
997.873900 45.000000 224.489329
997.490000 45.000000 224.487248
997.106000 45.000000 224.481697
996.721900 45.000000 224.470969
996.337700 45.000000 224.450695
995.953500 45.000000 224.413133
995.569200 45.000000 224.335184
995.184800 45.000000 224.120200
994.800300 9.788052 222.170202
994.415800 45.000000 45.484324
994.031100 5.488671 122.719196
993.646400 4.702017 105.190124
993.261700 4.213947 77.302009
992.876800 5.338576 81.577752
992.491900 3.271615 42.785651
992.106900 4.339776 75.783885
991.721800 4.581678 69.591058
991.336700 4.706063 57.363012
990.951400 21.443892 53.982571
990.566100 13.544043 60.346626
990.180700 11.401010 49.075264
989.795300 6.049063 79.063397
989.409700 10.477403 80.288693
989.024100 13.951949 90.214252
988.638400 19.097357 97.334385
988.252600 18.857770 73.485738
987.866800 21.261889 65.375065
987.480900 15.530927 68.395863
987.094900 14.442016 71.868629
986.708800 11.789471 70.297294
986.322600 8.363455 84.393072
985.936400 11.594716 73.217135
985.550100 10.908268 68.203362
985.163800 16.576676 67.847621
984.777300 20.587806 66.804342
984.390700 24.886160 59.696711
984.004100 14.157491 56.861955
983.617400 4.213950 47.981212
983.230700 3.330706 233.387601
982.843800 15.166268 230.755003
982.456900 6.779951 198.458132
982.069900 4.601329 114.038636
981.682800 14.270762 81.175643
981.295700 13.867827 69.717684
980.908400 45.000000 71.168564
980.521100 45.000000 59.148576
980.133700 45.000000 82.105000
979.746300 45.000000 96.329902
979.358700 45.000000 101.894756
978.971100 45.000000 182.377587
978.583400 45.000000 194.100260
978.195600 45.000000 203.958083
977.807700 45.000000 208.202324
977.419900 45.000000 214.544849
977.031900 21.101511 185.925849
976.643700 7.455528 152.584518
976.255600 14.372086 142.074754
975.867400 18.604139 86.814809
975.479000 45.000000 75.393995
975.090600 18.435035 89.089599
974.702100 18.017464 86.916587
974.313600 16.151473 90.663324
973.925000 14.407849 89.774142
973.536300 11.922936 89.516716
973.147500 8.257422 94.934877
972.758600 2.972299 127.746241
972.369700 2.650051 149.364945
971.980700 3.570809 129.978267
971.591600 4.105025 106.436636
971.202400 1.401614 114.365742
970.813100 14.769257 108.599226
970.423800 45.000000 302.205684
970.034400 45.000000 49.757858
969.644900 45.000000 148.445583
969.255300 45.000000 168.587607
968.865700 45.000000 172.560518
968.476000 45.000000 173.188179
968.086100 45.000000 173.339687
967.696200 45.000000 173.612289
967.306300 45.000000 173.135418
966.916300 45.000000 170.464257
966.526100 45.000000 151.147766
966.135900 45.000000 17.804423
965.745700 45.000000 135.061443
965.355300 45.000000 138.765990
964.964900 45.000000 356.727371
964.574300 16.918547 0.487389
964.183800 29.994801 104.029878
963.793100 18.084708 332.530541
963.402300 18.386605 306.462687
963.011500 9.882489 341.127483
962.620700 3.504788 41.399989
962.229700 6.506773 109.846661
961.838600 6.686098 55.945537
961.447400 4.305773 293.290203
961.056200 6.185055 274.971092
960.664900 9.646291 273.832493
960.273600 18.201779 271.393587
959.882100 4.298964 289.072041
959.490500 12.460401 81.533691
959.098900 39.545646 85.517637
958.707300 7.081599 85.982396
958.315500 13.810645 91.560623
957.923600 14.072854 95.160632
957.531700 9.286086 99.435410
957.139600 6.231591 98.290924
956.747600 4.692995 94.769477
956.355400 0.411446 209.980753
955.963200 8.385194 136.949772
955.570900 5.933177 46.377997
955.178400 9.479898 359.599102
954.785900 14.413854 350.323117
954.393400 17.242787 357.895034
954.000700 17.751671 359.244914
953.608000 13.791240 18.475645
953.215200 12.651599 43.975260
952.822300 9.921764 42.362591
952.429300 8.329855 52.843642
952.036300 9.906830 86.057295
951.643200 13.755800 39.081846
951.249900 12.490716 38.982993
950.856700 27.522714 70.481480
950.463300 9.372063 356.414397
950.069900 45.000000 281.468088
949.676300 45.000000 272.641437
949.282700 45.000000 271.451227
948.889000 45.000000 85.137107
948.495300 45.000000 271.259937
948.101400 45.000000 35.021194
947.707500 45.000000 284.394153
947.313500 15.190608 144.590550
946.919400 34.509060 117.859286
946.525300 27.447665 156.249608
946.131000 33.826331 330.726599
945.736700 26.036326 153.590333
945.342300 45.000000 149.341406
944.947800 45.000000 150.637120
944.553200 45.000000 151.086579
944.158600 45.000000 152.775378
943.763900 45.000000 153.771509
943.369100 45.000000 154.486572
942.974200 45.000000 154.881216
942.579200 45.000000 162.966615
942.184100 45.000000 313.671788
941.789000 8.002582 233.119989
941.393800 30.425476 356.184703
940.998500 29.919024 337.001165
940.603100 15.547210 347.306015
940.207700 6.999042 354.444650
939.812200 8.387165 113.160531
939.416600 19.316847 132.404971
939.020900 13.354895 117.626600
