# lams, psi_mean, delta_mean
999.792500 45.000000 223.027777
999.408900 45.000000 223.027777
999.025300 45.000000 223.026466
998.641500 45.000000 223.025433
998.257800 45.000000 223.024830
997.873900 45.000000 223.024712
997.490000 45.000000 223.025366
997.106000 45.000000 223.027091
996.721900 45.000000 223.030315
996.337700 45.000000 223.036034
995.953500 45.000000 223.045686
995.569200 45.000000 223.062223
995.184800 45.000000 223.092929
994.800300 45.000000 223.159547
994.415800 45.000000 223.374563
994.031100 7.796818 116.496738
993.646400 8.003644 106.157924
993.261700 8.247972 91.761171
992.876800 9.564529 80.886059
992.491900 6.061049 31.931152
992.106900 7.348149 73.408916
991.721800 7.835080 67.632134
991.336700 8.215466 53.776145
990.951400 19.338506 53.280586
990.566100 11.554973 63.053474
990.180700 9.528657 50.445018
989.795300 4.923882 79.937359
989.409700 10.014287 83.953429
989.024100 13.380879 93.639938
988.638400 18.893526 100.514498
988.252600 18.940583 76.489265
987.866800 21.713971 68.228461
987.480900 16.451851 71.559937
987.094900 15.558684 74.366138
986.708800 12.246622 72.233426
986.322600 8.606433 85.949376
985.936400 11.431340 75.716488
985.550100 10.759642 70.316266
985.163800 15.669174 69.608910
984.777300 19.501085 68.473984
984.390700 27.137181 60.902255
984.004100 14.438643 58.921081
983.617400 3.573303 52.251041
983.230700 4.816630 235.415357
982.843800 16.534340 233.348515
982.456900 8.371696 205.276740
982.069900 4.341542 140.020305
981.682800 12.741158 88.102812
981.295700 12.705487 75.070676
980.908400 45.000000 73.761204
980.521100 45.000000 60.676310
980.133700 45.000000 85.593923
979.746300 45.000000 101.059783
979.358700 45.000000 108.725452
978.971100 45.000000 184.546898
978.583400 45.000000 194.267176
978.195600 45.000000 203.589557
977.807700 45.000000 207.509856
977.419900 45.000000 213.987057
977.031900 19.904910 181.738478
976.643700 7.208261 140.948077
976.255600 14.671966 140.164439
975.867400 18.523947 88.502646
975.479000 45.000000 78.201161
975.090600 18.097873 91.424102
974.702100 17.559267 88.830305
974.313600 15.702577 92.749184
973.925000 13.984699 91.448634
973.536300 11.562516 90.510614
973.147500 8.010278 95.617840
972.758600 2.768092 127.902938
972.369700 2.605120 149.365549
971.980700 3.796581 128.938355
971.591600 4.419637 107.974700
971.202400 1.671095 117.589180
970.813100 17.507684 111.811175
970.423800 45.000000 307.154607
970.034400 28.363687 25.876385
969.644900 45.000000 340.995417
969.255300 45.000000 354.294333
968.865700 45.000000 356.500977
968.476000 45.000000 354.474843
968.086100 45.000000 353.946717
967.696200 45.000000 354.672757
967.306300 45.000000 354.796828
966.916300 45.000000 354.679013
966.526100 45.000000 338.337787
966.135900 45.000000 197.259815
965.745700 45.000000 324.638335
965.355300 45.000000 339.536120
964.964900 45.000000 131.126608
964.574300 14.456599 5.028343
964.183800 32.701907 109.060390
963.793100 16.689056 332.604809
963.402300 16.821546 306.946979
963.011500 9.427662 341.612705
962.620700 3.350759 44.575286
962.229700 6.885129 111.851919
961.838600 6.585974 60.287137
961.447400 3.698573 288.860897
961.056200 5.710880 271.519157
960.664900 9.270706 269.993393
960.273600 17.154232 269.305363
959.882100 3.943086 282.279085
959.490500 12.409135 85.603947
959.098900 37.838397 88.024930
958.707300 7.150957 94.702005
958.315500 14.039833 96.281001
957.923600 14.478090 99.090324
957.531700 9.550081 102.241836
957.139600 6.165964 99.792070
956.747600 4.521223 96.666958
956.355400 0.387758 251.163452
955.963200 7.674782 140.152581
955.570900 6.034000 47.417164
955.178400 9.216685 6.713718
954.785900 13.568654 358.149798
954.393400 16.382162 6.452352
954.000700 16.875432 9.365741
