# lams, desv_psi, desv_delta
999.792500 0.121025 0.143563
999.408900 0.121025 0.143563
999.025300 0.121025 0.143563
998.641500 0.121025 0.143563
998.257800 0.121025 0.143563
997.873900 0.121025 0.143563
997.490000 0.121025 0.143563
997.106000 0.121025 0.143563
996.721900 0.121025 0.143563
996.337700 0.121025 0.143563
995.953500 0.121025 0.143563
995.569200 0.121025 0.143563
995.184800 0.121025 0.143563
994.800300 49.939477 103.805590
994.415800 49.939477 103.805590
994.031100 5.347066 84.921977
993.646400 5.606367 93.832578
993.261700 14.789162 70.866458
992.876800 3.962850 99.869893
992.491900 8.362510 95.566549
992.106900 1.114607 5.729077
991.721800 0.762820 5.329689
991.336700 0.678230 5.404268
990.951400 0.545309 2.261468
990.566100 1.094100 1.675234
990.180700 0.967676 0.967006
989.795300 0.960899 1.374994
989.409700 1.127506 0.526913
989.024100 1.002791 0.294232
988.638400 1.760803 0.324577
988.252600 0.323608 0.085407
987.866800 0.395659 0.134179
987.480900 2.375426 0.933270
987.094900 0.239450 0.304436
986.708800 0.253544 0.770520
986.322600 0.244313 0.981574
985.936400 0.940435 0.901203
985.550100 0.193194 1.678282
985.163800 0.583577 1.575400
984.777300 0.799116 1.306611
984.390700 0.474131 0.735844
984.004100 0.527287 1.437343
983.617400 1.783268 6.454669
983.230700 1.056168 3.331085
982.843800 0.730417 0.283285
982.456900 0.667272 4.008378
982.069900 1.770975 12.611301
981.682800 3.479653 2.062714
981.295700 2.368977 1.222206
980.908400 0.463403 0.286047
980.521100 0.246711 0.779193
980.133700 0.268475 0.563757
979.746300 0.207505 0.277366
979.358700 0.263989 0.746420
978.971100 0.316877 2.270344
978.583400 0.174646 1.528785
978.195600 0.116914 0.794915
977.807700 0.224135 0.364452
977.419900 0.358555 0.520770
977.031900 0.557922 0.267975
976.643700 0.771619 2.642492
976.255600 0.413946 0.569827
975.867400 0.447451 0.257062
975.479000 0.513310 0.535288
975.090600 0.803104 0.790696
974.702100 1.008501 0.670843
974.313600 0.754948 0.737521
973.925000 1.011415 0.657633
973.536300 1.272135 0.812597
973.147500 1.876498 2.430746
972.758600 2.772504 5.554771
972.369700 2.426263 5.734103
971.980700 0.919257 0.788354
971.591600 0.437687 3.244415
971.202400 0.577864 5.405795
970.813100 18.380026 2.580552
970.423800 4.060258 98.249016
970.034400 9.630557 103.034524
969.644900 20.869649 100.273256
969.255300 11.999607 102.323580
968.865700 9.926938 102.648568
968.476000 8.988541 103.175928
