# lams, desv_psi, desv_delta
999.792500 0.154862 1.497218
999.408900 0.154862 1.497218
999.025300 0.154862 1.497218
998.641500 0.154862 1.497218
998.257800 0.154862 1.497218
997.873900 0.154862 1.497218
997.490000 0.154862 1.497218
997.106000 0.154862 1.497218
996.721900 0.154862 1.497218
996.337700 0.154862 1.497218
995.953500 0.154862 1.497218
995.569200 0.154862 1.497218
995.184800 0.154862 1.497218
994.800300 50.205602 103.490974
994.415800 50.205602 103.490974
994.031100 7.392342 168.887610
993.646400 6.500273 103.518406
993.261700 8.678351 94.878597
992.876800 5.128558 177.875408
992.491900 9.540594 177.653096
992.106900 2.024939 3.328785
991.721800 1.243387 3.328947
991.336700 0.733037 3.212077
990.951400 0.596785 3.025965
990.566100 0.352535 5.503549
990.180700 0.867590 5.282846
989.795300 0.830140 10.134241
989.409700 0.484182 4.037453
989.024100 0.322058 2.010737
988.638400 0.638573 0.745725
988.252600 0.509919 1.645399
987.866800 0.410943 1.758333
987.480900 0.165025 1.032506
987.094900 0.102471 0.908194
986.708800 0.318986 1.064392
986.322600 0.662142 0.672910
985.936400 0.759895 0.797848
985.550100 0.836178 1.419291
985.163800 0.637546 1.425633
984.777300 0.480179 1.129737
984.390700 0.418584 0.958523
984.004100 0.420978 0.461912
983.617400 1.730771 4.177294
983.230700 1.803044 9.924326
982.843800 0.745658 1.672885
982.456900 0.063319 3.383336
982.069900 1.683705 4.926809
981.682800 1.651175 1.917319
981.295700 1.853822 2.534280
980.908400 0.798734 1.963083
980.521100 0.770666 1.980976
980.133700 0.963830 1.529186
979.746300 1.192729 1.080403
979.358700 0.643017 1.458622
978.971100 0.479695 1.694591
978.583400 0.296501 0.667177
978.195600 0.113899 0.961293
977.807700 0.335479 1.480908
977.419900 0.332271 2.132528
977.031900 0.344885 1.583451
976.643700 0.488556 1.829271
976.255600 0.191792 0.746050
975.867400 0.482807 1.093231
975.479000 0.513051 1.478474
975.090600 0.515863 0.914300
974.702100 0.836464 0.889570
974.313600 0.887823 1.449235
973.925000 1.232300 1.421348
973.536300 1.882930 1.673959
973.147500 0.985494 0.914688
972.758600 2.623140 5.447525
972.369700 1.533264 8.203765
971.980700 0.853754 3.061161
971.591600 0.337793 1.826328
971.202400 0.161017 7.944011
970.813100 4.472199 1.688979
970.423800 6.809746 5.828212
970.034400 5.694838 101.557648
969.644900 3.010032 4.621172
969.255300 0.917193 2.325272
968.865700 0.508583 1.698627
968.476000 0.357816 1.252054
968.086100 0.243119 1.007533
967.696200 0.163500 1.015784
967.306300 0.181364 1.209860
966.916300 0.224447 1.769852
966.526100 1.675819 4.507744
966.135900 1.415693 2.499816
965.745700 3.104379 6.895691
965.355300 1.955700 7.425397
964.964900 1.969822 97.103834
964.574300 1.760044 3.258004
964.183800 3.646227 4.914343
963.793100 0.701442 2.490652
963.402300 1.274719 1.336662
963.011500 1.152887 3.253670
962.620700 1.388039 7.597629
962.229700 2.455652 1.878217
961.838600 0.694758 2.874477
961.447400 0.424759 3.958308
961.056200 0.341861 1.590443
960.664900 0.329248 1.667474
960.273600 1.085420 1.557420
959.882100 1.389010 8.118617
959.490500 0.989901 1.343069
959.098900 0.692527 0.893063
958.707300 1.931315 2.410000
958.315500 0.605792 1.092915
957.923600 0.547619 0.395007
957.531700 2.218569 0.196899
957.139600 2.174229 1.797006
956.747600 1.099691 1.613005
956.355400 0.450870 25.807565
955.963200 0.984226 1.665428
955.570900 0.554636 1.751898
955.178400 1.101883 1.247935
954.785900 1.789188 0.925510
954.393400 1.496773 0.628378
954.000700 0.766500 1.040630
953.608000 1.224180 1.918968
953.215200 1.997735 3.304515
952.822300 2.989279 2.789066
952.429300 4.085037 2.043003
952.036300 2.814199 1.073355
951.643200 1.541835 2.031614
951.249900 1.741180 1.194282
950.856700 0.951683 4.710933
950.463300 4.047926 11.702274
950.069900 3.368607 5.958156
949.676300 0.391616 1.226701
949.282700 30.669949 104.213799
948.889000 28.710152 103.457808
948.495300 28.318923 103.784890
948.101400 21.605343 90.988840
947.707500 12.103411 26.188504
947.313500 8.802855 49.968006
946.919400 4.531905 39.425083
946.525300 11.657733 54.024089
946.131000 2.495390 89.623791
945.736700 6.976201 25.539420
945.342300 3.469623 5.398561
944.947800 4.900345 13.368727
944.553200 5.020698 16.346971
944.158600 4.881660 16.991356
943.763900 4.048612 15.908511
943.369100 3.792644 11.314160
942.974200 1.626812 3.497824
942.579200 6.103221 13.356961
942.184100 1.443590 81.547394
941.789000 6.620908 87.079825
941.393800 6.021032 1.070090
940.998500 3.795419 2.836419
940.603100 1.864507 3.874712
940.207700 1.526202 7.008113
939.812200 1.072979 5.523479
939.416600 0.541962 1.593663
939.020900 0.574589 3.072971
