## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:
esta muestra tiene una region con TiO2 recocido sobre SiO2 y una region donde 
solo hay SiO2. Esta medicion es en esta ultima region.

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:18:04

# END TIME:
11:18:04

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
12

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
18 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 2.157 195.545 -4.89542 -1.36179 0.000 67.35753 18.0000 5.99 2.72522478159396864E18 2.42012734731635917E19 1.240099 
999.4089 2.157 195.545 -4.89542 -1.36179 0.648 67.35753 18.0000 5.95 2.53466237407015731E18 2.2508990937597739E19 1.240575 
999.0253 2.157 195.545 -4.89542 -1.36179 0.401 67.35753 18.0000 6.11 2.4162548673633321E18 2.1457475191397417E19 1.241052 
998.6415 2.157 195.545 -4.89542 -1.36179 0.813 67.35753 18.0000 6.16 2.28119621912651366E18 2.02580927234472673E19 1.241529 
998.2578 2.157 195.545 -4.89542 -1.36179 0.184 67.35753 18.0000 6.11 2.12763636360701542E18 1.88944080339352945E19 1.242006 
997.8739 2.157 195.545 -4.89542 -1.36179 0.504 67.35753 18.0000 6.16 1.95372523505215078E18 1.73499966181657805E19 1.242484 
997.4900 2.157 195.545 -4.89542 -1.36179 -0.006 67.35753 18.0000 6.16 1.75761263027027968E18 1.56084251753499853E19 1.242962 
997.1060 2.157 195.545 -4.89542 -1.36179 -0.008 67.35753 18.0000 6.25 1.53744848350871552E18 1.36532648027456799E19 1.243440 
996.7219 2.157 195.545 -4.89542 -1.36179 -3.222 67.35753 18.0000 6.23 1.29138272901477171E18 1.14680843985873797E19 1.243920 
996.3377 2.157 195.545 -4.89542 -1.36179 -0.572 67.35753 18.0000 6.27 1.01756523231628493E18 9.03645670940029747E18 1.244399 
995.9535 2.157 195.545 -4.89542 -1.36179 -0.045 67.35753 18.0000 6.26 717845990446465024.0000 6.37480953841503437E18 1.244879 
995.5692 2.157 195.545 -4.89542 -1.36179 0.884 67.35753 18.0000 6.47 394075240956690432.0000 3.49957316276335411E18 1.245360 
995.1848 2.157 195.545 -4.89542 -1.36179 -0.588 67.35753 18.0000 6.55 51803318543974400.0000 460038104602902528.0000 1.245841 
994.8003 2.157 195.545 -4.89542 -1.36179 0.018 67.35754 18.0000 6.61 296018972925493248.0000 2.62878744135545651E18 1.246322 
994.4158 2.157 195.545 -4.89542 -1.36179 0.009 67.35753 18.0000 6.55 630890426169032704.0000 5.6026027310186496E18 1.246804 
994.0311 34.390 191.469 -46.93890 -9.52362 0.012 18.59712 18.0000 6.58 1.0593 318339083665408.0000 1.247287 
993.6464 57.272 13.681 5.83548 1.42049 0.444 -2.74259 18.0000 6.65 0.8960 247180921143296.0000 1.247770 
993.2617 60.514 21.208 1.01885 0.39535 0.877 -0.65739 18.0000 6.65 0.6371 181016329191424.0000 1.248253 
992.8768 25.095 163.120 -0.10197 0.03094 -0.111 0.08881 18.0000 6.68 0.5922 117348522524672.0000 1.248737 
992.4919 24.755 180.721 -0.50018 -0.00630 0.115 0.42707 18.0000 6.69 1.2729 58674261262336.0000 1.249221 
992.1069 18.247 95.156 -0.01051 0.11642 -6.183 0.15801 18.0000 6.81 0.6035 3745165606912.0000 1.249706 
991.7218 11.773 109.731 -0.04002 0.11158 -0.217 0.27203 18.0000 6.85 0.6434 47438765228032.0000 1.250191 
991.3367 11.524 122.606 -0.07176 0.11218 0.177 0.31300 18.0000 7.02 0.6988 96125914710016.0000 1.250677 
990.9514 7.640 177.175 -0.16464 0.00812 0.942 0.60337 18.0000 7.02 0.9282 139819514593280.0000 1.251163 
990.5661 5.459 214.421 -0.14298 -0.09797 7.615 0.89859 18.0000 6.93 0.8937 179767953326080.0000 1.251650 
990.1807 2.092 181.968 -0.07732 -0.00266 -16.765 1.05745 18.0000 7.02 0.7856 215971205742592.0000 1.252137 
989.7953 0.958 255.252 -0.00880 -0.03341 -0.322 1.03309 18.0000 7.06 0.7797 247180921143296.0000 1.252625 
989.4097 3.219 227.750 -0.07702 -0.08479 -1.608 1.01534 18.0000 7.20 0.7628 242187367350272.0000 1.253113 
989.0241 4.908 230.458 -0.10721 -0.12986 0.795 0.97332 18.0000 7.24 0.7674 237193813557248.0000 1.253601 
988.6384 7.497 233.806 -0.15619 -0.21345 1.200 0.98751 18.0000 7.18 0.7814 230951867121664.0000 1.254090 
988.2526 7.512 214.038 -0.21082 -0.14240 23.001 0.94789 18.0000 7.30 0.7583 254671260221440.0000 1.254580 
987.8668 8.294 209.176 -0.24768 -0.13829 0.858 0.95224 18.0000 7.30 0.7568 0.8377 1.255070 
987.4809 7.587 202.250 -0.22156 -0.09064 -3268.251 0.88268 18.0000 7.34 0.6828 0.7311 1.255560 
987.0949 7.077 200.035 -0.22961 -0.08373 1.006 0.96915 18.0000 7.44 0.6681 0.6813 1.256051 
986.7088 4.411 194.138 -0.16071 -0.04048 0.849 1.06776 18.0000 7.57 0.7567 0.7685 1.256543 
986.3226 3.739 273.892 0.00789 -0.11594 -1.856 0.88534 18.0000 7.42 0.7729 0.7866 1.257035 
985.9364 4.719 208.898 -0.12963 -0.07155 -6.859 0.89070 18.0000 7.56 0.8809 0.8926 1.257527 
985.5501 6.329 183.397 -0.19780 -0.01174 67.429 0.88224 18.0000 7.59 1.0001 1.0354 1.258020 
985.1638 7.892 186.132 -0.26713 -0.02870 -1.712 0.95041 18.0000 7.68 1.1554 1.1958 1.258513 
984.7773 9.347 187.808 -0.32844 -0.04504 0.911 0.97974 18.0000 7.73 1.2309 1.2674 1.259007 
984.3907 11.192 186.253 -0.39107 -0.04285 -0.482 0.95526 18.0000 7.83 1.1220 1.1695 1.259502 
984.0041 7.788 176.529 -0.29230 0.01773 -0.177 1.05058 18.0000 7.86 1.0276 1.0627 1.259997 
983.6174 6.958 162.990 -0.25321 0.07746 0.471 1.06868 18.0000 8.02 0.8199 0.8613 1.260492 
983.2307 5.448 167.597 -0.22154 0.04872 0.455 1.17827 18.0000 8.09 0.7661 0.8077 1.260988 
