## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:21:13

# END TIME:
11:21:13

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
12

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
18 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 2.293 195.401 -5.20841 -1.43475 0.000 67.35753 18.0000 6.05 2.7262297352217559E18 2.57119210858673603E19 1.240099 
999.4089 2.293 195.401 -5.20841 -1.43475 0.735 67.35753 18.0000 6.03 2.53559695895376691E18 2.39140062691978117E19 1.240575 
999.0253 2.293 195.401 -5.20841 -1.43475 0.401 67.35753 18.0000 6.16 2.41714602153764454E18 2.27968540768657736E19 1.241052 
998.6415 2.293 195.401 -5.20841 -1.43475 0.607 67.35753 18.0000 6.09 2.2820373455217623E18 2.15226036631571005E19 1.241529 
998.2578 2.293 195.401 -5.20841 -1.43475 0.179 67.35753 18.0000 6.25 2.1284208651534336E18 2.00737991814692209E19 1.242006 
997.8739 2.293 195.401 -5.20841 -1.43475 0.507 67.35753 18.0000 6.29 1.95444555260729754E18 1.84329847851995628E19 1.242484 
997.4900 2.293 195.401 -5.20841 -1.43475 0.003 67.35753 18.0000 6.23 1.75826065493590016E18 1.65827046277455544E19 1.242962 
997.1060 2.293 195.401 -5.20841 -1.43475 -0.008 67.35753 18.0000 6.32 1.53801541919178752E18 1.45055028625046241E19 1.243440 
996.7219 2.293 195.401 -5.20841 -1.43475 -3.317 67.35753 18.0000 6.34 1.29185881754959872E18 1.21839247423858278E19 1.243920 
996.3377 2.293 195.401 -5.20841 -1.43475 -0.910 67.35753 18.0000 6.36 1.01794044065926349E18 9.60051552029822157E18 1.244399 
995.9535 2.293 195.401 -5.20841 -1.43475 0.104 67.35753 18.0000 6.42 718110697870852096.0000 6.77272884382112154E18 1.244879 
995.5692 2.293 195.401 -5.20841 -1.43475 0.898 67.35753 18.0000 6.51 394220548290248704.0000 3.71802385809198285E18 1.245360 
995.1848 2.293 195.401 -5.20841 -1.43475 -0.584 67.35753 18.0000 6.62 51822418263539712.0000 488795796867645440.0000 1.245841 
994.8003 2.293 195.401 -5.20841 -1.43475 0.020 67.35754 18.0000 6.71 296128133814288384.0000 2.79287965619637453E18 1.246322 
994.4158 2.293 195.401 -5.20841 -1.43475 0.011 67.35753 18.0000 6.60 631123041597784064.0000 5.95231724763978138E18 1.246804 
994.0311 27.473 155.815 -0.54702 0.24566 0.011 0.42073 18.0000 6.66 0.7457 1599610908835840.0000 1.247287 
