## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:
Como aclare en el SiO2_Si_M1 esta muestra de TiO2 es la misma solo que en la 
region donde si se deposito el TiO2.

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:23:55

# END TIME:
11:23:55

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
19

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
12 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 2.322 196.101 -5.25732 -1.51752 0.000 67.35753 12.0000 4.14 2.72645540998335693E18 2.60392325033167421E19 1.240099 
999.4089 2.322 196.101 -5.25732 -1.51752 0.433 67.35752 12.0000 4.13 2.53580696567467213E18 2.42184324516266639E19 1.240575 
999.0253 2.322 196.101 -5.25732 -1.51752 0.253 67.35752 12.0000 4.23 2.41734613265389978E18 2.3087059175900971E19 1.241052 
998.6415 2.322 196.101 -5.25732 -1.51752 0.539 67.35752 12.0000 4.21 2.2822263240827863E18 2.17965887666593464E19 1.241529 
998.2578 2.322 196.101 -5.25732 -1.51752 0.129 67.35753 12.0000 4.37 2.12859719933073818E18 2.03293388779038966E19 1.242006 
997.8739 2.322 196.101 -5.25732 -1.51752 0.345 67.35752 12.0000 4.35 1.95460745569448755E18 1.86676381587530056E19 1.242484 
997.4900 2.322 196.101 -5.25732 -1.51752 -0.010 67.35752 12.0000 4.38 1.75840634022658048E18 1.67938020641855242E19 1.242962 
997.1060 2.322 196.101 -5.25732 -1.51752 -0.002 67.35752 12.0000 4.41 1.53814268766270259E18 1.46901592433198367E19 1.243440 
996.7219 2.322 196.101 -5.25732 -1.51752 -2.320 67.35752 12.0000 4.37 1.29196588249435341E18 1.23390262506464215E19 1.243920 
996.3377 2.322 196.101 -5.25732 -1.51752 -0.383 67.35752 12.0000 4.45 1.01802469073774182E18 9.7227295362604073E18 1.244399 
995.9535 2.322 196.101 -5.25732 -1.51752 0.013 67.35752 12.0000 4.41 718170140218228736.0000 6.85894649835736269E18 1.244879 
995.5692 2.322 196.101 -5.25732 -1.51752 0.616 67.35752 12.0000 4.52 394253190041698304.0000 3.76535426025494938E18 1.245360 
995.1848 2.322 196.101 -5.25732 -1.51752 -0.409 67.35752 12.0000 4.58 51826708935868416.0000 495017074175770624.0000 1.245841 
994.8003 2.322 196.101 -5.25732 -1.51752 0.013 67.35753 12.0000 4.64 296152666667483136.0000 2.82843318931423232E18 1.246322 
994.4158 2.322 196.101 -5.25732 -1.51752 0.007 67.35752 12.0000 4.59 631175337119580160.0000 6.02809009146796442E18 1.246804 
994.0311 33.481 155.112 -1.04554 0.48505 0.008 0.49016 12.0000 4.65 2.5478 1599611177271296.0000 1.247287 
993.6464 31.477 155.066 -0.99329 0.46180 0.271 0.55924 12.0000 4.69 2.2090 320357214978048.0000 1.247770 
993.2617 26.159 154.979 -0.85718 0.40010 0.610 0.73063 12.0000 4.68 1.6007 1999083132682240.0000 1.248253 
992.8768 4.041 340.157 0.23668 -0.08541 -0.037 1.77212 12.0000 4.71 1.0170 3717099847417856.0000 1.248737 
992.4919 53.128 158.581 -2.56391 1.00577 0.061 -0.80309 12.0000 4.75 2.7860 19974215172096.0000 1.249221 
992.1069 3.845 22.115 0.12778 0.05193 -4.613 1.02159 12.0000 4.83 0.7635 78648476434432.0000 1.249706 
991.7218 4.122 47.620 0.06517 0.07143 -0.286 0.66732 12.0000 4.87 0.6413 177271168040960.0000 1.250191 
991.3367 21.951 99.511 -0.01875 0.11194 0.131 0.11794 12.0000 4.96 0.5603 272148690108416.0000 1.250677 
990.9514 67.463 154.250 -0.24408 0.11773 0.627 -0.27028 12.0000 4.94 0.8472 1.2672 1.251163 
990.5661 10.319 173.874 -0.18762 0.02014 6.105 0.50100 12.0000 4.91 0.7300 0.7708 1.251650 
990.1807 4.631 134.171 -0.07982 0.08217 -11.831 0.70248 12.0000 4.96 0.6723 0.7368 1.252137 
989.7953 1.850 167.675 -0.05504 0.01203 -0.233 0.87118 12.0000 5.10 0.7293 0.7860 1.252625 
989.4097 3.054 179.810 -0.11485 0.00038 -1.167 1.07327 12.0000 5.12 0.7758 0.8661 1.253113 
989.0241 4.554 188.285 -0.16517 -0.02405 0.580 1.04101 12.0000 5.10 0.7821 0.8596 1.253601 
988.6384 7.735 196.668 -0.23424 -0.07013 0.924 0.88346 12.0000 5.08 0.7457 0.7932 1.254090 
988.2526 9.104 174.572 -0.23761 0.02258 15.652 0.72561 12.0000 5.10 0.6863 0.7491 1.254580 
987.8668 10.251 169.027 -0.26275 0.05095 0.613 0.71577 12.0000 5.15 0.6851 0.7493 1.255070 
987.4809 7.562 162.396 -0.22599 0.07171 -2303.523 0.87719 12.0000 5.19 0.6856 0.7393 1.255560 
987.0949 7.229 163.797 -0.25491 0.07407 0.671 1.02953 12.0000 5.24 0.6848 0.6990 1.256051 
986.7088 4.328 167.649 -0.16904 0.03701 0.601 1.13673 12.0000 5.31 0.7785 0.7867 1.256543 
986.3226 3.710 223.138 -0.08508 -0.07973 -1.318 0.89534 12.0000 5.29 0.7872 0.8059 1.257035 
985.9364 5.026 167.020 -0.16428 0.03787 -4.481 0.95115 12.0000 5.35 0.8991 0.9144 1.257527 
