## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:26:52

# END TIME:
11:26:52

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
19

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
12 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.873 198.470 -4.18196 -1.39679 0.000 67.35753 12.0000 4.39 2.72331932794303283E18 2.10429043321444762E19 1.240099 
999.4089 1.873 198.470 -4.18196 -1.39679 0.547 67.35753 12.0000 4.34 2.5328899613261824E18 1.95714719011569664E19 1.240575 
999.0253 1.873 198.470 -4.18196 -1.39679 0.276 67.35753 12.0000 4.46 2.41456546774725427E18 1.86571840021961114E19 1.241052 
998.6415 1.873 198.470 -4.18196 -1.39679 0.597 67.35753 12.0000 4.47 2.2796012400714711E18 1.7614323611529642E19 1.241529 
998.2578 1.873 198.470 -4.18196 -1.39679 0.128 67.35753 12.0000 4.53 2.1261487243746345E18 1.64286069736011203E19 1.242006 
997.8739 1.873 198.470 -4.18196 -1.39679 0.345 67.35753 12.0000 4.52 1.9523590918546391E18 1.50857470343192248E19 1.242484 
997.4900 1.873 198.470 -4.18196 -1.39679 -0.012 67.35753 12.0000 4.46 1.75638365114833306E18 1.35714578391042621E19 1.242962 
997.1060 1.873 198.470 -4.18196 -1.39679 -0.004 67.35753 12.0000 4.53 1.53637357345361101E18 1.18714545328881664E19 1.243440 
996.7219 1.873 198.470 -4.18196 -1.39679 -2.328 67.35752 12.0000 4.59 1.29047975509046067E18 9.97145116109124403E18 1.243920 
996.3377 1.873 198.470 -4.18196 -1.39679 -0.255 67.35753 12.0000 4.64 1.01685371085416038E18 7.85716011986635981E18 1.244399 
