## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:30:06

# END TIME:
11:30:06

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
19

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
12 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 2.158 196.401 -4.87607 -1.43517 0.000 67.35753 12.0000 4.24 2.72522945451838669E18 2.42087215649301463E19 1.240099 
999.4089 2.158 196.401 -4.87607 -1.43517 0.461 67.35753 12.0000 4.24 2.53466677211666842E18 2.25159200598759834E19 1.240575 
999.0253 2.100 196.401 -4.87607 -1.43517 0.308 69.21238 12.0000 4.31 2.41588350731105075E18 2.14402876256320225E19 1.241052 
998.6415 2.055 196.401 -4.87607 -1.43517 0.626 70.74262 12.0000 4.31 2.2805736206672855E18 2.02246301865675325E19 1.241529 
998.2578 2.029 196.401 -4.87607 -1.43517 0.124 71.65694 12.0000 4.39 2.12691192288326451E18 1.88540779474284708E19 1.242006 
997.8739 2.023 196.401 -4.87607 -1.43517 0.353 71.84803 12.0000 4.39 1.95303295504351232E18 1.73112498284029542E19 1.242484 
997.4900 2.051 196.401 -4.87607 -1.43517 -0.002 70.86340 12.0000 4.44 1.75711702540405965E18 1.55816311764927119E19 1.242962 
997.1060 2.127 196.401 -4.87607 -1.43517 -0.001 68.34445 12.0000 4.45 1.53732162735466086E18 1.36492592818856919E19 1.243440 
996.7219 2.278 196.401 -4.87607 -1.43517 -2.303 63.79315 12.0000 4.47 1.29182102183739392E18 1.14991873835139072E19 1.243920 
996.3377 2.583 196.401 -4.87607 -1.43517 -0.332 56.21645 12.0000 4.58 1.01886945926525747E18 9.12136264656460186E18 1.244399 
995.9535 3.240 196.401 -4.87607 -1.43517 0.002 44.75123 12.0000 4.53 720513130777542656.0000 6.54364999422050304E18 1.244879 
995.5692 5.023 196.401 -4.87607 -1.43517 0.627 28.69431 12.0000 4.61 399267409740955648.0000 3.81713163719645594E18 1.245360 
995.1848 23.927 196.401 -4.87607 -1.43517 -0.423 4.60003 12.0000 4.70 77789305203851264.0000 1.45099594580099072E18 1.245841 
994.8003 85.815 196.401 -4.87607 -1.43517 0.011 -34.54232 12.0000 4.68 298448550025494528.0000 2.77970338372701389E18 1.246322 
994.4158 88.676 196.401 -4.87607 -1.43517 0.007 -109.89912 12.0000 4.65 629732434266554368.0000 5.53053524137607168E18 1.246804 
994.0311 45.000 196.401 -4.87607 -1.43517 0.008 0.00000 12.0000 4.74 14186994238226432.0000 336417332232454144.0000 1.247287 
993.6464 45.000 196.401 -4.87607 -1.43517 0.282 0.00000 12.0000 4.77 1844309154332672.0000 43734930420662272.0000 1.247770 
993.2617 45.000 196.401 -4.87607 -1.43517 0.630 0.00000 12.0000 4.82 18017482296000512.0000 427249843228901376.0000 1.248253 
992.8768 45.000 196.401 -4.87607 -1.43517 -0.099 0.00000 12.0000 4.82 33623175099056128.0000 797308657858510848.0000 1.248737 
992.4919 32.969 153.471 -1.38499 0.69142 0.106 0.69122 12.0000 4.85 14.0168 19974219366400.0000 1.249221 
992.1069 32.119 153.394 -1.36182 0.68214 -3.916 0.73506 12.0000 4.86 10.8048 78648493211648.0000 1.249706 
991.7218 31.973 153.361 -1.28441 0.64429 -0.359 0.70254 12.0000 4.93 6.1299 177271201595392.0000 1.250191 
991.3367 55.971 334.500 7.94053 -3.78751 0.137 -3.54404 12.0000 5.10 0.9373 272148740440064.0000 1.250677 
990.9514 33.010 153.554 -1.66334 0.82735 0.712 0.82637 12.0000 5.07 11.0206 14.1773 1.251163 
990.5661 6.738 134.046 -0.12537 0.12961 6.646 0.75244 12.0000 5.03 0.6252 0.7295 1.251650 
990.1807 7.487 143.187 -0.16447 0.12310 -12.083 0.76812 12.0000 5.07 0.6554 0.7122 1.252137 
989.7953 6.165 141.868 -0.15617 0.12259 -0.250 0.90831 12.0000 5.07 0.7073 0.7883 1.252625 
989.4097 5.846 144.310 -0.16429 0.11801 -1.222 0.97751 12.0000 5.20 0.7456 1.0465 1.253113 
989.0241 5.763 157.393 -0.19200 0.07995 0.613 1.01997 12.0000 5.16 0.7536 0.8188 1.253601 
988.6384 4.919 156.540 -0.16681 0.07239 0.908 1.04872 12.0000 5.18 0.6949 0.7453 1.254090 
988.2526 6.710 159.556 -0.19305 0.07196 16.330 0.86343 12.0000 5.24 0.6475 0.7124 1.254580 
987.8668 8.235 175.664 -0.26745 0.02028 0.604 0.90727 12.0000 5.18 0.6488 0.7146 1.255070 
987.4809 7.785 155.916 -0.27206 0.12161 -2345.226 1.06947 12.0000 5.19 0.6850 0.7404 1.255560 
987.0949 7.097 157.640 -0.25287 0.10402 0.699 1.08108 12.0000 5.32 0.6932 0.7083 1.256051 
986.7088 3.581 157.008 -0.12812 0.05436 0.587 1.10768 12.0000 5.41 0.7588 0.7690 1.256543 
986.3226 3.504 198.376 -0.12638 -0.04198 -1.345 1.08341 12.0000 5.40 0.8499 0.8575 1.257035 
985.9364 5.290 163.135 -0.18162 0.05506 -4.105 1.01616 12.0000 5.43 0.9303 0.9476 1.257527 
985.5501 6.667 147.830 -0.19724 0.12406 48.419 0.98310 12.0000 5.39 1.0360 1.0794 1.258020 
985.1638 8.166 146.941 -0.25140 0.16363 -1.293 1.02374 12.0000 5.53 1.1710 1.2196 1.258513 
984.7773 9.527 146.909 -0.29963 0.19526 0.612 1.03552 12.0000 5.53 1.2190 1.2575 1.259007 
984.3907 11.217 143.844 -0.32990 0.24106 -0.237 0.98963 12.0000 5.58 1.0889 1.1193 1.259502 
984.0041 8.907 138.338 -0.25025 0.22267 -0.208 1.04246 12.0000 5.61 1.0103 1.0350 1.259997 
983.6174 7.361 130.833 -0.17956 0.20778 0.299 1.04510 12.0000 5.73 0.8092 0.8394 1.260492 
983.2307 3.836 122.226 -0.08268 0.13116 0.346 1.15099 12.0000 5.82 0.7426 0.7848 1.260988 
982.8438 4.009 331.307 0.14309 -0.07831 0.315 1.15797 12.0000 5.75 0.8030 0.8552 1.261484 
982.4569 2.231 255.251 -0.01936 -0.07355 0.301 0.97473 12.0000 5.79 0.7566 0.8064 1.261981 
982.0699 5.443 147.510 -0.13131 0.08362 -1.656 0.80951 12.0000 5.92 0.7004 0.7656 1.262478 
