# lams, psi_mean, delta_mean
999.792500 45.000000 195.754087
999.408900 45.000000 195.754087
999.025300 45.000000 195.754087
998.641500 45.000000 195.754087
998.257800 45.000000 195.754087
997.873900 45.000000 195.754087
997.490000 45.000000 195.754087
997.106000 45.000000 195.754087
996.721900 45.000000 195.754087
996.337700 45.000000 195.754087
995.953500 45.000000 195.754087
995.569200 45.000000 195.754087
995.184800 45.000000 195.754087
994.800300 45.000000 195.754087
994.415800 45.000000 195.754087
994.031100 45.000000 190.696392
993.646400 45.000000 19.695823
993.261700 11.581661 41.571243
992.876800 11.633468 3.651853
992.491900 45.000000 354.370129
992.106900 11.376085 16.494576
991.721800 7.107979 22.969235
991.336700 2.541616 81.501956
990.951400 9.328823 182.465151
990.566100 5.306866 217.582690
990.180700 2.909759 177.697646
989.795300 1.163016 219.136772
989.409700 3.186370 219.351513
989.024100 4.648518 227.317004
988.638400 7.192074 233.252956
988.252600 7.154874 212.291977
987.866800 8.039738 208.282355
987.480900 6.870773 202.397278
987.094900 6.988737 198.237916
986.708800 4.549109 193.794279
986.322600 3.380117 261.417650
985.936400 4.703744 207.628478
985.550100 6.044894 185.974450
985.163800 8.139734 189.301817
984.777300 10.139953 190.417511
984.390700 12.044037 188.385943
984.004100 8.651211 180.204205
983.617400 7.443710 169.956322
983.230700 6.432698 172.312173
982.843800 12.461573 214.011734
982.456900 4.600242 336.624646
982.069900 1.898338 108.402114
981.682800 7.370810 171.385769
981.295700 10.618493 175.828358
980.908400 10.692689 171.495832
980.521100 15.930267 172.799006
980.133700 21.225287 148.335829
979.746300 22.285647 152.092429
979.358700 26.350477 146.764203
978.971100 40.420727 22.492157
978.583400 10.925535 30.872323
978.195600 4.315511 40.588871
977.807700 1.807191 93.401151
977.419900 1.908536 130.774620
977.031900 3.851414 166.631793
976.643700 6.234049 189.400514
976.255600 9.662655 204.669777
975.867400 2.849738 212.952921
975.479000 6.761389 196.863610
975.090600 6.521302 208.493344
974.702100 4.834103 210.563161
974.313600 4.598581 217.321102
973.925000 4.282725 220.377922
973.536300 2.652130 196.733478
973.147500 6.070083 245.709895
972.758600 3.873798 343.558173
972.369700 1.957745 245.737057
971.980700 3.777055 209.672803
971.591600 5.655825 210.638630
971.202400 6.880467 206.164689
970.813100 7.061766 206.030901
970.423800 6.871343 205.648920
970.034400 7.903153 188.633042
969.644900 7.438601 209.855599
969.255300 8.327840 225.711019
968.865700 9.730075 243.302147
968.476000 11.291324 251.493178
968.086100 12.867816 258.174317
967.696200 11.315312 253.421699
967.306300 9.715926 247.030036
966.916300 6.432980 233.038671
966.526100 3.379144 180.655671
966.135900 11.444209 173.701454
965.745700 5.751846 174.551360
965.355300 5.544056 144.191955
964.964900 7.228808 104.057765
964.574300 12.120646 78.869052
964.183800 13.659289 72.879036
963.793100 7.874264 92.807342
963.402300 3.733189 147.576152
963.011500 2.091131 81.195103
962.620700 4.392372 178.699326
962.229700 17.444835 201.090969
961.838600 16.490647 192.965559
961.447400 20.326071 189.627297
961.056200 19.660049 187.633642
960.664900 20.750129 187.494211
960.273600 17.509243 185.162037
959.882100 13.626192 188.775875
959.490500 8.563973 197.018577
959.098900 3.402009 322.900545
958.707300 2.896541 231.792612
958.315500 6.502696 206.331257
957.923600 6.083313 206.517635
957.531700 4.573812 202.028061
957.139600 3.192715 195.269578
956.747600 2.686626 196.630091
956.355400 0.768701 188.128089
955.963200 2.743536 232.429825
955.570900 1.621224 230.255388
955.178400 2.595618 130.832076
954.785900 5.972650 117.921592
954.393400 10.453161 120.217681
954.000700 11.472982 124.881174
953.608000 10.665416 156.811544
953.215200 9.605534 144.591869
952.822300 15.041324 69.636740
952.429300 45.000000 25.176481
952.036300 45.000000 344.050203
951.643200 45.000000 6.604624
951.249900 45.000000 197.925148
950.856700 45.000000 185.618474
950.463300 8.471072 30.047776
950.069900 7.218310 174.585851
949.676300 9.759623 182.709264
949.282700 10.845557 180.799412
948.889000 10.507322 182.974719
948.495300 11.422037 175.331671
948.101400 13.256318 177.892838
947.707500 7.598908 171.540201
947.313500 7.519072 157.576104
946.919400 5.217602 112.054588
946.525300 10.529333 150.429033
946.131000 45.000000 151.295035
945.736700 5.328165 129.048219
945.342300 45.000000 153.634250
944.947800 45.000000 153.274318
944.553200 45.000000 153.662752
944.158600 45.000000 154.496435
943.763900 45.000000 333.062110
943.369100 45.000000 332.308023
942.974200 45.000000 336.922718
942.579200 6.900044 18.254929
942.184100 23.855246 137.292434
941.789000 6.974501 89.440640
941.393800 6.927117 122.157987
940.998500 17.845629 37.744434
940.603100 8.600775 118.012731
940.207700 15.702334 158.450689
939.812200 22.725060 172.900812
939.416600 23.492020 181.911876
939.020900 24.066510 176.197219
938.625100 21.589707 176.782766
938.229200 16.522014 179.988091
937.833300 14.550142 176.875303
937.437300 13.367009 168.728951
937.041200 4.187039 354.702277
936.645000 2.356506 191.354606
936.248700 2.652305 198.616558
935.852400 2.556367 213.992616
935.456000 2.230945 228.456573
935.059400 2.478913 287.659218
934.662900 3.078990 245.635466
934.266200 5.064121 312.846899
933.869400 6.934822 353.557659
933.472700 45.000000 193.349658
933.075700 45.000000 190.141743
932.678700 45.000000 180.967853
932.281700 45.000000 57.532607
931.884500 45.000000 81.688580
931.487300 45.000000 105.989759
931.090000 18.814206 117.794687
930.692600 11.728217 142.149339
930.295100 5.951470 116.982061
929.897500 8.906544 136.603141
929.499900 4.590974 118.834075
929.102200 3.349947 3.374151
928.704300 4.283015 319.150731
928.306500 1.055337 330.044793
927.908500 2.109298 344.307451
927.510400 2.443842 350.856070
927.112300 3.495669 348.533746
926.714100 3.044121 0.007203
926.315800 1.403513 15.993608
925.917400 4.208179 155.502914
925.519000 3.294207 138.681914
925.120400 2.103475 83.424919
924.721800 2.024986 119.909568
924.323100 2.579989 121.083574
923.924300 3.669504 150.434075
923.525500 4.441142 166.391255
923.126500 45.000000 187.075765
922.727500 2.996305 148.131713
922.328300 9.108012 17.691487
921.929100 10.834846 19.653720
921.529800 13.050568 17.028014
921.130500 13.932988 18.617269
920.731100 14.598745 16.206380
920.331500 12.098976 19.859621
919.931900 4.212531 34.144517
919.532200 3.805677 140.843192
919.132400 22.400011 178.880523
918.732600 9.784841 149.538676
918.332600 45.000000 123.241296
917.932600 9.961518 223.490260
917.532500 45.000000 121.822007
917.132300 45.000000 292.949789
916.732100 45.000000 295.089302
916.331700 45.000000 113.708124
915.931300 45.000000 112.477174
915.530800 34.752543 111.992839
915.130200 45.000000 120.256559
914.729500 1.310914 43.423287
914.328700 14.167489 298.905304
913.927900 2.071146 341.142813
913.527000 2.249836 175.015392
913.125900 2.734919 140.027425
912.724900 2.106420 87.297803
912.323700 2.962797 29.326110
911.922400 5.316210 21.949416
911.521100 8.497048 102.208444
911.119600 0.922097 62.184797
910.718100 23.540426 238.620776
910.316500 45.000000 23.304683
909.914900 45.000000 44.517068
909.513100 45.000000 24.113295
909.111300 45.000000 12.423895
908.709300 45.000000 5.841850
908.307300 45.000000 3.371558
907.905200 45.000000 3.239897
907.503100 45.000000 6.784239
907.100800 45.000000 6.123661
906.698400 45.000000 15.537905
906.296000 45.000000 30.240470
905.893500 45.000000 221.196296
905.490900 12.409039 39.195828
905.088300 14.357807 32.725243
904.685500 18.572263 226.113411
904.282600 2.624673 258.593860
903.879700 22.051855 192.870752
903.476700 45.000000 138.133500
903.073600 45.000000 134.059981
902.670400 45.000000 132.521678
902.267200 45.000000 134.175387
901.863800 45.000000 140.388446
901.460400 45.000000 142.226800
901.056900 16.290361 305.300565
900.653300 9.295752 192.559216
900.249600 5.835084 159.027227
899.845800 45.000000 44.993228
