# lams, psi_mean, delta_mean
999.792500 45.000000 196.817306
999.408900 45.000000 196.817343
999.025300 45.000000 196.817380
998.641500 45.000000 196.817417
998.257800 45.000000 196.817417
997.873900 45.000000 196.817417
997.490000 45.000000 196.817380
997.106000 45.000000 196.817380
996.721900 45.000000 196.817380
996.337700 45.000000 196.817417
995.953500 45.000000 196.817380
995.569200 45.000000 196.817380
995.184800 45.000000 196.817417
994.800300 45.000000 196.817417
994.415800 45.000000 196.817380
994.031100 11.313234 147.208907
993.646400 13.878095 149.406538
993.261700 16.039691 152.370407
992.876800 1.755694 158.023716
992.491900 10.350135 154.406593
992.106900 2.661176 98.360134
991.721800 3.317245 108.548907
991.336700 4.386595 111.859773
990.951400 6.443836 137.699642
990.566100 4.452015 163.457473
990.180700 2.836279 113.249333
989.795300 1.011229 128.515284
989.409700 3.100015 166.746519
989.024100 4.787767 176.893982
988.638400 7.302699 184.251389
988.252600 7.046430 163.736125
987.866800 7.785298 159.516238
987.480900 7.005432 156.955850
987.094900 7.609543 155.220185
986.708800 4.717672 154.787095
986.322600 2.825900 206.446234
985.936400 4.701060 157.545337
985.550100 6.236522 140.035581
985.163800 8.371900 139.219877
984.777300 10.297975 139.561354
984.390700 11.966187 134.442035
984.004100 9.731864 130.932719
983.617400 6.709926 138.798437
983.230700 5.759067 131.293178
982.843800 5.517330 245.900738
982.456900 0.395289 4.239462
982.069900 5.419194 121.997955
981.682800 8.955921 142.153991
981.295700 19.743628 156.817342
980.908400 12.753312 144.216699
980.521100 14.847231 46.464929
980.133700 14.647598 72.745982
979.746300 45.000000 25.463239
979.358700 45.000000 240.571921
978.971100 45.000000 216.734318
978.583400 19.653759 164.717091
978.195600 18.923290 179.685605
977.807700 19.605980 181.816539
977.419900 18.543791 182.744689
977.031900 7.803429 192.385898
976.643700 2.195012 261.081593
976.255600 9.130416 200.353303
975.867400 4.078175 154.365111
975.479000 9.876576 148.474425
975.090600 6.379994 154.080380
974.702100 6.185922 150.173080
974.313600 5.930585 149.762759
973.925000 5.215177 151.612147
973.536300 4.351222 142.460577
973.147500 3.331403 182.634627
972.758600 3.062590 357.860553
972.369700 1.557954 138.430654
971.980700 4.428228 148.979016
971.591600 7.056082 148.340771
971.202400 8.185925 143.312504
970.813100 8.015706 141.899988
970.423800 7.663263 140.359752
970.034400 8.064564 107.613139
969.644900 7.850302 139.927676
969.255300 10.319439 162.583236
968.865700 13.357402 178.349700
968.476000 17.561271 187.378282
968.086100 18.431912 190.695378
967.696200 26.052827 188.211869
967.306300 14.768325 181.299875
966.916300 9.781920 170.457321
966.526100 6.352506 159.586653
966.135900 45.000000 211.274258
965.745700 14.418148 172.317906
965.355300 14.382819 170.422193
964.964900 14.060807 170.499708
964.574300 13.836644 170.876247
964.183800 13.666740 171.159126
963.793100 13.447203 171.079855
963.402300 13.908963 172.845592
963.011500 45.000000 211.472893
962.620700 5.964748 156.756036
962.229700 11.521301 173.924054
961.838600 10.979450 167.337629
961.447400 13.573263 187.824173
961.056200 16.171534 193.517950
960.664900 15.150685 200.130285
960.273600 14.789526 215.144037
959.882100 10.512273 194.684007
959.490500 8.152174 155.319127
959.098900 8.527366 80.651692
958.707300 3.274717 106.815521
958.315500 7.534761 130.962235
957.923600 7.336109 131.080236
957.531700 5.701980 133.759564
957.139600 4.364032 131.429828
956.747600 3.587076 132.625716
956.355400 1.379699 138.101250
955.963200 4.048885 161.797006
955.570900 2.292567 90.160070
955.178400 3.329383 64.237117
954.785900 5.167553 57.795224
954.393400 7.136074 64.094965
954.000700 7.793860 77.213785
953.608000 9.448121 109.168425
953.215200 11.077403 107.871684
952.822300 8.840426 96.185264
952.429300 6.347039 81.421016
952.036300 4.001218 87.382923
951.643200 8.811908 38.347908
951.249900 8.728012 50.004003
950.856700 35.047537 328.941388
950.463300 6.554317 50.995230
950.069900 10.970758 105.695876
949.676300 14.460290 118.215590
949.282700 15.925193 118.238225
948.889000 11.196208 126.877017
948.495300 14.572866 118.721750
948.101400 45.000000 93.020603
947.707500 5.754517 88.772756
947.313500 45.000000 95.136162
946.919400 45.000000 94.783848
946.525300 45.000000 97.472483
946.131000 45.000000 15.637581
945.736700 45.000000 137.419154
945.342300 45.000000 346.799536
944.947800 16.155246 257.926231
944.553200 45.000000 173.074538
944.158600 45.000000 173.219078
943.763900 45.000000 172.556304
943.369100 45.000000 170.557396
942.974200 45.000000 165.335159
942.579200 45.000000 130.783667
942.184100 45.000000 14.773702
941.789000 45.000000 89.879584
941.393800 45.000000 275.950836
940.998500 15.631115 7.555611
940.603100 5.505999 16.278722
940.207700 5.477013 144.088789
939.812200 14.441453 156.057865
939.416600 19.547386 159.725123
939.020900 16.678323 154.357842
938.625100 15.413966 150.647809
938.229200 13.805440 156.972232
937.833300 12.635982 130.137504
937.437300 16.950009 101.715351
937.041200 10.627947 27.989375
936.645000 5.590212 17.903251
936.248700 5.368532 9.350754
935.852400 5.313492 3.028573
935.456000 5.542725 354.244040
935.059400 6.891903 323.036477
934.662900 2.925331 282.316037
934.266200 5.519980 269.909241
933.869400 9.649470 355.482115
933.472700 45.000000 165.384783
933.075700 45.000000 156.519998
932.678700 45.000000 163.551026
932.281700 45.000000 184.918509
931.884500 45.000000 345.735337
931.487300 45.000000 49.284633
931.090000 20.230078 73.064211
930.692600 20.606546 118.850734
930.295100 6.939422 120.084214
929.897500 6.442585 101.280203
929.499900 3.531039 74.823222
929.102200 2.774067 351.540246
928.704300 3.734129 355.005119
928.306500 3.138356 37.546651
927.908500 3.690053 25.749151
927.510400 4.157979 25.141102
927.112300 4.569656 23.298689
926.714100 5.644338 10.766134
926.315800 1.753051 295.883473
925.917400 1.880141 130.016613
925.519000 0.151340 317.582829
925.120400 6.991646 271.153238
924.721800 3.021892 277.264286
924.323100 1.683986 312.341699
923.924300 3.766264 65.371082
923.525500 7.196074 74.704986
923.126500 23.464441 116.663966
922.727500 8.610976 64.334756
922.328300 10.387282 1.099056
921.929100 13.900029 359.457813
921.529800 15.658506 349.544961
921.130500 16.701114 351.767308
920.731100 16.592865 346.084181
920.331500 15.690601 355.406102
919.931900 11.635222 19.931728
919.532200 11.822658 58.709825
919.132400 20.773550 101.510471
918.732600 13.253784 65.398981
918.332600 12.560005 75.303380
917.932600 9.407275 46.398325
917.532500 45.000000 112.694285
917.132300 16.906851 120.454339
916.732100 12.602135 104.239324
916.331700 24.784115 124.350973
915.931300 45.000000 320.268961
915.530800 45.000000 132.728077
915.130200 8.890943 267.332437
914.729500 7.529162 354.372429
914.328700 4.774179 46.725397
913.927900 6.998744 1.825055
913.527000 4.973285 4.226471
913.125900 11.491364 63.514136
912.724900 8.477710 54.700610
912.323700 9.325079 27.521802
911.922400 9.350623 27.412981
911.521100 12.088112 67.862334
911.119600 20.298462 0.880221
910.718100 43.422402 220.693701
910.316500 18.498098 50.148388
909.914900 45.000000 74.599748
909.513100 45.000000 35.832272
909.111300 45.000000 9.091825
908.709300 45.000000 357.868888
908.307300 45.000000 351.774289
907.905200 45.000000 354.779397
907.503100 45.000000 3.989154
907.100800 45.000000 7.521601
906.698400 45.000000 24.433945
906.296000 45.000000 49.377210
905.893500 45.000000 73.323961
905.490900 45.000000 52.672616
905.088300 45.000000 48.625229
904.685500 27.772723 33.871029
904.282600 5.291844 33.754091
903.879700 18.590697 204.271075
903.476700 9.012584 84.198820
903.073600 9.071337 85.239262
902.670400 9.605756 81.862674
902.267200 9.801550 82.558309
901.863800 9.043108 83.060254
901.460400 9.488997 81.612513
901.056900 4.002204 8.216223
900.653300 35.869869 276.964195
900.249600 45.000000 128.580178
899.845800 45.000000 52.981780
899.442000 45.000000 231.696822
899.038000 33.882969 238.460204
898.634000 27.044414 238.754575
898.229900 7.610229 329.116589
897.825700 45.000000 234.627495
897.421400 45.000000 60.764029
897.017100 45.000000 65.650757
896.612700 45.000000 67.223205
896.208100 45.000000 66.010664
895.803500 45.000000 64.278731
895.398900 45.000000 62.746867
894.994100 45.000000 55.440457
894.589200 22.981390 22.047830
894.184300 45.000000 303.062779
893.779200 11.469594 358.407241
893.374100 3.410184 209.993426
892.968900 6.070188 296.913104
892.563700 5.115890 305.300575
892.158300 5.379673 349.845403
891.752800 6.014411 357.027624
891.347300 7.128455 11.437080
890.941700 8.557228 21.028285
890.535900 8.485286 26.678590
890.130200 5.847785 31.335551
889.724300 2.551578 98.710085
889.318400 3.855653 340.685974
888.912300 7.009404 329.789531
888.506200 5.266671 343.592654
888.100000 9.118941 13.629367
887.693700 12.312443 14.569523
887.287300 12.874545 15.396471
886.880800 13.633468 18.935900
886.474300 10.236451 23.590858
886.067600 8.814437 24.227256
885.660900 6.920236 27.519113
885.254100 8.210926 15.146216
884.847200 6.963117 10.433245
884.440200 5.734872 2.895068
884.033200 9.360987 12.473434
883.626000 9.333405 11.357445
883.218800 9.926133 13.224773
882.811500 7.450157 348.268370
882.404100 5.502504 54.783321
881.996600 6.638945 87.050848
881.589000 7.522995 119.052889
881.181300 9.218643 340.402964
880.773600 45.000000 121.051182
880.365800 45.000000 122.351409
879.957900 45.000000 122.283824
879.549900 45.000000 122.907526
879.141800 45.000000 125.635896
878.733600 24.265304 123.447594
878.325300 25.348365 121.749437
877.917000 23.853770 119.108997
877.508500 25.489947 119.548064
877.100000 31.535987 116.963192
876.691500 45.000000 116.477749
876.282800 45.000000 114.922642
875.874000 45.000000 111.828643
875.465100 45.000000 109.505521
875.056200 45.000000 102.396449
874.647200 21.929249 68.709119
874.238000 45.000000 342.813607
873.828900 45.000000 61.584128
873.419600 45.000000 63.395575
873.010200 45.000000 62.585933
872.600700 45.000000 63.369786
872.191200 23.092893 34.984865
871.781600 10.749851 5.349696
871.371800 10.355287 318.179173
870.962000 4.116485 357.948308
870.552100 0.904130 65.164832
870.142200 1.377666 138.201491
869.732100 2.193828 9.537837
869.321900 5.738647 357.370111
868.911700 9.224538 350.472692
868.501300 12.159004 347.918653
868.090900 15.227793 347.839425
867.680500 14.457193 345.918538
867.269900 12.693951 346.402181
866.859200 12.074076 344.107188
866.448500 10.928346 340.023380
866.037600 11.893569 333.988288
865.626700 11.604223 340.121526
865.215700 10.614221 345.594683
864.804600 10.945760 348.612012
864.393400 10.354836 350.490621
863.982100 11.438451 351.063309
863.570700 10.419322 349.123233
863.159300 7.460638 348.991322
862.747700 8.740321 340.150251
862.336100 9.249885 332.651876
861.924400 10.026962 326.931395
861.512600 9.668662 330.866294
861.100800 7.570280 333.515067
860.688800 7.022542 335.455875
860.276700 7.394793 333.550383
859.864600 7.712415 334.688730
859.452300 7.508612 329.931384
859.040000 8.151756 327.421006
858.627600 8.571707 325.466917
858.215100 9.408743 325.220102
857.802600 10.605839 327.100961
857.389900 11.677019 327.379118
856.977100 11.210884 326.738783
856.564300 11.118684 325.428942
856.151400 11.580648 324.745234
855.738300 11.306299 324.220556
855.325300 11.835409 323.978502
854.912000 12.258147 322.706843
854.498800 11.751201 319.157468
854.085400 11.758898 319.088052
853.671900 11.802628 319.314175
853.258400 11.545771 317.238038
852.844800 11.313034 314.473444
852.431100 10.778969 312.360539
852.017300 11.417509 311.483794
851.603400 11.067599 310.681343
851.189400 11.264524 310.766573
850.775300 11.920729 311.097650
850.361200 11.168389 309.911221
849.947000 11.325101 310.562296
849.532600 11.839472 310.530217
849.118200 12.025653 309.694631
848.703700 12.035209 308.782083
848.289100 12.008579 308.132822
847.874400 11.850789 307.065458
847.459700 11.896109 305.851810
847.044800 11.884917 304.779723
846.629800 11.927945 303.821563
846.214800 11.898775 302.630230
845.799700 11.874643 301.582027
845.384500 11.868580 300.656186
844.969200 12.071108 299.718702
844.553800 12.439091 298.989917
844.138300 12.187742 298.085281
843.722700 12.028157 297.265526
843.307100 11.975363 296.291322
842.891400 12.130666 295.435648
842.475500 12.051770 294.469383
842.059600 12.282464 293.915004
841.643600 12.236978 292.982184
841.227500 11.983016 292.149170
840.811300 11.671368 291.361391
840.395100 11.769356 290.735266
839.978700 11.761104 289.876031
839.562300 11.602569 289.074589
839.145700 11.644463 288.420742
838.729100 11.705273 287.702406
838.312400 11.733373 286.833474
837.895600 11.739094 286.010388
837.478700 11.880559 285.228138
837.061700 11.909199 284.324719
836.644700 11.920962 283.564337
836.227500 12.007920 282.671376
835.810200 12.086922 281.740095
835.392900 12.039996 280.942455
834.975500 12.106147 280.121119
834.557900 12.147712 279.265590
834.140300 12.081481 278.392456
833.722700 12.121304 277.681476
833.304900 12.192934 276.895517
832.887000 12.248784 276.108863
832.469100 12.137877 275.117211
832.051000 12.187605 274.322113
831.632900 12.208966 273.563856
831.214600 12.180389 272.609080
830.796300 12.296314 271.974665
830.377900 12.368887 271.268883
829.959400 12.342286 270.497567
829.540800 12.395081 269.688442
829.122100 12.313651 268.679480
828.703400 12.339162 267.939310
828.284500 12.265115 266.927928
827.865600 12.305995 266.106858
827.446500 12.286165 265.238723
827.027500 12.259541 264.247827
826.608200 12.269900 263.489283
826.188900 12.253374 262.687437
825.769500 12.236345 261.864095
825.350000 12.186572 260.920380
824.930500 12.159089 260.053060
824.510800 12.192990 259.223492
824.091100 12.184446 258.370713
823.671300 12.193528 257.426691
823.251300 12.175094 256.579414
822.831300 12.179366 255.723082
822.411200 12.199171 254.953920
821.991000 12.208679 254.229569
821.570700 12.203333 253.398948
821.150300 12.202251 252.577204
820.729900 12.232121 251.845498
820.309300 12.243969 251.051433
819.888600 12.246722 250.186838
819.467900 12.266664 249.375316
819.047100 12.285161 248.643307
818.626200 12.297432 247.821865
818.205100 12.308260 246.966069
817.784100 12.329495 246.189868
817.362900 12.325400 245.331773
816.941600 12.345897 244.585127
816.520200 12.366763 243.752999
816.098800 12.384837 242.959950
815.677200 12.414707 242.143043
815.255600 12.412968 241.272209
814.833800 12.433552 240.452735
814.412000 12.464808 239.689617
813.990100 12.489563 238.975900
813.568100 12.505803 238.182122
813.146000 12.517793 237.255391
812.723800 12.524172 236.397260
812.301500 12.578231 235.702206
811.879200 12.566784 234.776011
811.456700 12.583188 233.937461
811.034100 12.593906 233.083880
810.611500 12.607297 232.321497
810.188800 12.624860 231.476403
809.765900 12.646101 230.600980
809.343000 12.670815 229.748339
808.920000 12.704933 228.910085
808.496900 12.731245 228.016023
808.073700 12.753590 227.139621
807.650500 12.777564 226.335946
807.227100 12.794442 225.432433
806.803600 12.829684 224.544348
806.380100 12.856531 223.662989
805.956400 12.890379 222.819419
805.532700 12.917373 221.993206
805.108900 12.948731 221.089586
804.685000 12.977470 220.278255
804.261000 13.003653 219.375154
803.836900 13.032962 218.600141
803.412700 13.073830 217.778134
802.988400 13.108202 216.973570
802.564000 13.138842 216.132545
802.139600 13.163331 215.242014
801.715000 13.189660 214.388822
801.290300 13.219580 213.502812
800.865700 13.244928 212.704817
800.440800 13.256948 211.768661
800.015900 13.288197 210.973128
799.590900 13.324046 210.114919
799.165800 13.363762 209.329879
798.740600 13.411473 208.466189
798.315300 13.457619 207.640796
797.889900 13.517151 206.813475
797.464400 13.556793 205.989704
797.038900 13.614277 205.178107
796.613200 13.663949 204.371377
796.187500 13.688917 203.497655
795.761700 13.733406 202.694621
795.335700 13.776871 201.917332
794.909700 13.826356 201.097989
794.483600 13.863194 200.234570
794.057400 13.908112 199.437923
793.631000 13.968490 198.570435
793.204700 14.016039 197.740724
792.778200 14.054972 196.862466
792.351600 14.100167 196.076023
791.924900 14.142618 195.238681
791.498200 14.197706 194.438721
791.071400 14.243143 193.677385
790.644400 14.291669 192.866707
790.217300 14.331495 192.071703
789.790200 14.378826 191.246872
789.363000 14.431549 190.444663
788.935700 14.483546 189.685923
788.508300 14.530595 188.850310
788.080700 14.580990 188.065749
787.653200 14.638657 187.253624
787.225500 14.682237 186.480708
786.797700 14.729928 185.655106
786.369900 14.788553 184.887031
785.941900 14.841737 184.101224
785.513900 14.892929 183.312074
785.085700 14.947383 182.493448
784.657500 15.003699 181.706521
784.229100 15.046815 180.965613
783.800700 15.086960 180.202908
783.372200 15.137861 179.428732
782.943500 15.192764 178.655692
782.514800 15.255275 177.901946
782.086100 15.306539 177.184922
781.657200 15.351569 176.443498
781.228200 15.406664 175.664177
780.799100 15.463805 174.904213
780.369900 15.517605 174.124900
779.940700 15.564328 173.372264
779.511300 15.620138 172.584072
779.081800 15.685621 171.821490
778.652300 15.759160 171.048019
778.222700 15.824712 170.264160
777.793000 15.884751 169.513754
777.363200 15.949196 168.769740
776.933200 16.004646 168.004973
776.503200 16.064781 167.244265
776.073100 16.121456 166.494339
775.642900 16.181888 165.747508
775.212600 16.243430 165.017298
774.782200 16.303505 164.281905
774.351700 16.363292 163.558287
773.921200 16.428553 162.823045
773.490500 16.492436 162.104093
773.059800 16.559825 161.359345
772.628900 16.627543 160.618058
772.198000 16.695962 159.881996
771.766900 16.754702 159.152469
771.335800 16.810084 158.441352
770.904600 16.873415 157.708222
770.473300 16.941715 156.985251
770.041900 17.007504 156.289592
769.610400 17.072988 155.567140
769.178700 17.133590 154.850546
768.747100 17.184802 154.164371
768.315200 17.264889 153.480455
767.883400 17.344138 152.735414
767.451400 17.409095 152.017747
767.019300 17.476825 151.294667
766.587200 17.544824 150.581655
766.154900 17.613235 149.862826
765.722500 17.678389 149.157938
765.290100 17.750585 148.477064
764.857500 17.820575 147.781091
764.424900 17.892116 147.092547
763.992200 17.966700 146.427905
763.559300 18.043190 145.739938
763.126400 18.110339 145.078228
762.693400 18.185898 144.368951
762.260300 18.246668 143.678988
761.827100 18.322562 142.996092
761.393800 18.387179 142.329018
760.960400 18.455255 141.635798
760.526900 18.529911 140.955825
760.093300 18.606343 140.269757
759.659700 18.682061 139.589653
759.225900 18.745722 138.930409
758.792100 18.810627 138.276432
758.358100 18.884717 137.585692
757.924000 18.942804 136.911863
757.489900 19.005355 136.243534
757.055600 19.062086 135.570502
756.621300 19.138504 134.907129
756.186800 19.209786 134.222832
755.752300 19.267798 133.583051
755.317700 19.345676 132.924335
754.883000 19.407423 132.254935
754.448200 19.468694 131.620946
754.013200 19.537097 130.965337
753.578200 19.613299 130.298092
753.143100 19.678320 129.649708
752.707900 19.746148 128.995940
752.272600 19.819594 128.336033
751.837300 19.877113 127.678611
751.401800 19.952555 127.014704
750.966200 20.020370 126.373584
750.530600 20.088523 125.739098
750.094800 20.154817 125.069560
749.658900 20.231865 124.411625
749.223000 20.298594 123.766584
748.786900 20.358913 123.141143
748.350800 20.442227 122.504313
747.914600 20.516665 121.906304
747.478200 20.585862 121.295367
747.041700 20.657007 120.664043
746.605200 20.726369 120.018556
746.168600 20.809303 119.391776
745.731900 20.890085 118.775128
745.295000 20.971496 118.153133
744.858200 21.054866 117.519260
744.421100 21.124906 116.900543
743.984100 21.206698 116.306590
743.546800 21.278246 115.688317
743.109600 21.350916 115.088348
742.672200 21.422206 114.495789
742.234700 21.483115 113.892839
741.797100 21.555942 113.275134
741.359400 21.621372 112.665798
740.921600 21.694164 112.064299
740.483800 21.767995 111.460096
740.045800 21.836553 110.892635
739.607700 21.904096 110.331042
739.169600 21.994052 109.752086
738.731300 22.066014 109.178118
738.293000 22.141580 108.587103
737.854500 22.214239 108.004512
737.416000 22.295947 107.420902
736.977300 22.367948 106.835538
736.538600 22.438420 106.260724
736.099700 22.511556 105.690136
735.660800 22.593141 105.136609
735.221800 22.672252 104.575162
734.782700 22.740251 104.035074
734.343400 22.826771 103.456644
733.904100 22.916756 102.879948
733.464700 22.995386 102.305648
733.025200 23.074340 101.753446
732.585600 23.164486 101.192230
732.145900 23.248519 100.621936
731.706100 23.323393 100.058220
731.266200 23.398916 99.518576
730.826200 23.467978 98.964568
730.386100 23.537966 98.431088
729.945900 23.617911 97.879341
729.505700 23.699733 97.327120
729.065300 23.804078 96.764525
728.624800 23.862846 96.213065
728.184300 23.945923 95.662743
