# lams, desv_psi, desv_delta
999.792500 0.974110 0.351553
999.408900 1.025349 0.351553
999.025300 1.076599 0.351553
998.641500 1.127885 0.351553
998.257800 1.158430 0.351553
997.873900 1.164770 0.351553
997.490000 1.131919 0.351553
997.106000 1.047214 0.351553
996.721900 0.894594 0.351553
996.337700 0.639289 0.351553
995.953500 0.255735 0.351553
995.569200 0.308953 0.351553
995.184800 1.129037 0.351553
994.800300 49.493399 0.351553
994.415800 46.969226 0.351553
994.031100 34.278134 36.644422
993.646400 28.664773 71.375277
993.261700 30.563886 71.367772
992.876800 25.603170 93.411635
992.491900 17.357698 99.728645
992.106900 9.359588 44.478597
991.721800 2.271005 50.676868
991.336700 3.255144 62.235968
990.951400 5.717327 3.762939
990.566100 0.315875 6.163476
990.180700 0.984549 13.180986
989.795300 0.799053 30.967396
989.409700 1.158278 7.805665
989.024100 0.809192 2.781237
988.638400 0.633354 0.501593
988.252600 0.540476 2.159655
987.866800 0.514168 2.000627
987.480900 0.106566 1.880899
987.094900 0.237551 3.377641
986.708800 0.224519 1.687033
986.322600 0.090556 20.212527
985.936400 0.304635 1.049217
985.550100 0.391676 2.794642
985.163800 0.410880 2.857330
984.777300 0.255942 2.225763
984.390700 0.136475 1.962034
984.004100 0.398698 4.130194
983.617400 0.632218 8.423199
983.230700 0.920166 7.011313
982.843800 0.822763 4.367708
982.456900 0.931749 5.926288
982.069900 0.392430 32.321419
981.682800 1.596641 3.304758
981.295700 1.665655 2.400253
980.908400 1.989924 2.963676
980.521100 2.752528 6.598664
980.133700 2.558444 8.242831
979.746300 5.010302 11.646282
979.358700 1.582844 16.664241
978.971100 2.909503 10.400743
978.583400 3.210991 7.352294
978.195600 7.398231 8.776830
977.807700 2.122487 38.429340
977.419900 0.120387 26.117686
977.031900 0.980258 7.606561
976.643700 0.720711 3.718582
976.255600 0.548359 1.734077
975.867400 0.341603 5.962249
975.479000 0.325861 1.134805
975.090600 0.132500 1.809632
974.702100 0.227487 3.352841
974.313600 0.167888 4.570204
973.925000 0.271681 3.774528
973.536300 0.415498 2.551520
973.147500 1.458979 1.908209
972.758600 13.046439 20.667870
972.369700 1.760571 23.888049
971.980700 2.006985 10.502863
971.591600 3.405761 3.727354
971.202400 3.653529 1.063438
970.813100 4.719759 0.842676
970.423800 5.160811 1.886500
970.034400 4.429506 1.688396
969.644900 1.872440 3.843283
969.255300 1.284074 4.747178
968.865700 0.701498 5.676682
968.476000 0.967182 2.787249
968.086100 0.262645 2.315604
967.696200 0.197703 4.876003
967.306300 0.221308 2.920087
966.916300 0.349532 1.420335
966.526100 0.131594 0.651938
966.135900 0.149754 1.524688
965.745700 0.167435 2.489804
965.355300 0.430658 2.274363
964.964900 0.397506 7.308534
964.574300 1.893629 5.905117
964.183800 2.092825 4.343791
963.793100 1.375840 4.872925
963.402300 6.364017 8.916234
963.011500 4.323494 6.785272
962.620700 0.234359 5.167592
962.229700 1.258026 1.154540
961.838600 1.106325 1.071051
961.447400 0.823583 1.366356
961.056200 0.053314 1.787911
960.664900 0.320354 2.003306
960.273600 0.609894 2.821668
959.882100 0.575490 2.925803
959.490500 0.484432 3.578713
959.098900 1.270390 16.925684
958.707300 0.758027 7.941865
958.315500 1.091913 2.933121
957.923600 1.267503 2.572969
957.531700 0.767878 3.588068
957.139600 0.375411 3.403070
956.747600 0.244709 3.753821
956.355400 0.105133 7.140844
955.963200 0.226677 3.796473
955.570900 0.093831 7.841328
955.178400 0.238823 7.753180
954.785900 0.652767 5.880412
954.393400 2.926311 4.894646
954.000700 3.837348 4.002040
953.608000 1.501283 3.654567
953.215200 5.226207 1.479513
952.822300 4.811141 12.020243
952.429300 28.617115 97.430228
952.036300 16.202075 100.780112
951.643200 14.129720 101.084269
951.249900 9.716627 102.001092
950.856700 2.277075 5.903717
950.463300 1.690979 9.673889
950.069900 0.699424 4.612776
949.676300 0.562018 4.346914
949.282700 1.025727 5.968488
948.889000 1.147045 8.080174
948.495300 1.035096 4.654415
948.101400 1.110500 2.986497
947.707500 0.755554 2.551241
947.313500 0.301027 0.503663
946.919400 0.616549 22.816924
946.525300 0.271508 0.523389
946.131000 0.666509 0.600564
945.736700 1.111930 10.484671
945.342300 34.844006 103.889564
944.947800 0.740541 0.256848
944.553200 0.654438 0.473215
944.158600 34.761851 103.058812
943.763900 0.394473 1.149622
943.369100 0.453478 1.088398
942.974200 0.872423 1.956002
942.579200 2.998888 3.590232
942.184100 0.745432 2.163506
941.789000 0.926075 8.859197
941.393800 0.263439 8.213613
940.998500 3.182753 4.202637
940.603100 0.671924 5.179203
940.207700 0.953434 2.117163
939.812200 0.689538 1.039716
939.416600 0.669100 1.530007
939.020900 0.648822 1.323517
938.625100 0.499610 1.438484
938.229200 0.694798 2.337722
937.833300 0.603155 1.886882
937.437300 0.530619 1.944266
937.041200 2.367970 4.246013
936.645000 0.435045 6.920360
936.248700 0.509033 5.926444
935.852400 0.421699 7.237130
935.456000 0.436153 7.067629
935.059400 0.533203 4.976660
934.662900 0.458451 1.870103
934.266200 0.449916 6.692312
933.869400 4.185583 4.324022
933.472700 0.615695 4.208830
933.075700 0.357527 3.697386
932.678700 0.280611 6.855400
932.281700 1.614575 10.537985
931.884500 1.508685 5.620662
931.487300 2.123488 6.042707
931.090000 5.750057 4.831277
930.692600 1.249265 3.200921
930.295100 1.534018 4.180948
929.897500 0.436756 1.867668
929.499900 0.431593 3.528804
929.102200 0.436569 5.158788
928.704300 0.386790 1.384403
928.306500 0.367514 15.824111
927.908500 0.588455 7.610040
927.510400 0.749473 4.972696
927.112300 0.947180 3.445340
926.714100 0.968826 1.344233
926.315800 0.825387 13.310921
925.917400 0.763352 9.655902
925.519000 0.814138 19.835883
925.120400 1.521238 65.590368
924.721800 1.801697 37.182673
924.323100 1.477912 21.581998
923.924300 0.623859 11.400148
923.525500 0.197216 2.283210
923.126500 2.065810 1.728080
922.727500 0.484731 6.516499
922.328300 1.426689 1.749309
921.929100 1.542755 1.756403
921.529800 1.454497 0.912506
921.130500 1.601442 1.194588
920.731100 1.772547 0.549401
920.331500 1.945574 0.978814
919.931900 1.740414 5.496778
919.532200 0.493693 7.696975
919.132400 1.750654 1.176025
918.732600 0.526143 3.202140
918.332600 0.608284 3.114120
917.932600 0.690678 27.014076
917.532500 2.663100 2.225735
917.132300 4.179120 103.220931
916.732100 3.766197 102.996984
916.331700 11.156544 1.359177
915.931300 11.791876 2.253615
915.530800 10.271529 3.324432
915.130200 5.148071 5.761271
914.729500 47.640363 92.833013
914.328700 43.009059 100.588076
913.927900 51.341047 13.236252
913.527000 0.442247 9.045977
913.125900 0.112067 1.635225
912.724900 0.128697 10.195327
912.323700 0.073528 2.824228
911.922400 0.815252 6.230054
911.521100 6.922201 29.683470
911.119600 0.904976 55.672835
910.718100 2.734975 16.459477
910.316500 0.899502 13.041983
909.914900 2.957960 25.450038
909.513100 2.654877 5.026723
909.111300 2.932009 6.693440
908.709300 2.441229 10.245745
908.307300 2.813143 17.120308
907.905200 0.303385 13.305127
907.503100 4.269995 8.455216
907.100800 1.576659 7.606735
906.698400 0.903899 2.879386
906.296000 5.230786 1.868121
905.893500 33.590261 90.757178
905.490900 33.102727 102.416463
905.088300 33.838149 102.657553
