# lams, desv_psi, desv_delta
999.792500 0.224554 1.358317
999.408900 0.224554 1.358317
999.025300 0.224554 1.358317
998.641500 0.224554 1.358317
998.257800 0.224554 1.358317
997.873900 0.224554 1.358317
997.490000 0.224554 1.358317
997.106000 0.224554 1.358317
996.721900 0.224554 1.358317
996.337700 0.224554 1.358317
995.953500 0.224554 1.358317
995.569200 0.224554 1.358317
995.184800 0.224554 1.358317
994.800300 0.224554 1.358317
994.415800 0.224554 1.358317
994.031100 5.520495 97.936467
993.646400 2.267792 95.499621
993.261700 17.092971 41.963287
992.876800 17.098918 104.808300
992.491900 25.192554 95.752710
992.106900 8.425739 61.145143
991.721800 4.999692 46.778446
991.336700 6.365361 22.860419
990.951400 33.697356 27.144771
990.566100 3.038834 31.600551
990.180700 1.054950 42.351588
989.795300 0.512478 57.878843
989.409700 0.369016 28.506204
989.024100 0.499089 19.702444
988.638400 0.651120 17.900852
988.252600 0.906225 18.636379
987.866800 1.268157 18.752488
987.480900 0.439411 15.850640
987.094900 0.389169 16.787075
986.708800 0.309167 20.150204
986.322600 0.443235 36.113117
985.936400 0.112010 17.754290
985.550100 0.061098 14.128716
985.163800 0.401152 14.617204
984.777300 0.897549 14.821441
984.390700 1.525346 15.932152
984.004100 0.789662 13.733571
983.617400 0.826503 10.048677
983.230700 0.194320 18.755081
982.843800 2.623751 42.220207
982.456900 1.470810 120.743348
982.069900 1.971506 19.920568
981.682800 1.536928 11.638687
981.295700 5.009322 7.867167
980.908400 0.432014 10.442252
980.521100 2.819983 70.973133
980.133700 3.905507 60.426360
979.746300 6.942428 77.291313
979.358700 29.145350 87.768346
978.971100 36.755708 75.262894
978.583400 8.844265 73.778605
978.195600 12.895295 84.381591
977.807700 15.974780 41.154459
977.419900 12.428350 27.991670
977.031900 2.256551 19.542276
976.643700 3.524520 84.590055
976.255600 1.336566 8.408653
975.867400 0.871880 7.667541
975.479000 1.958811 11.291556
975.090600 0.298138 5.962294
974.702100 0.308046 7.576908
974.313600 0.617262 10.514870
973.925000 0.639163 11.809035
973.536300 2.762044 32.721311
973.147500 0.334515 29.879119
972.758600 30.176775 66.255863
972.369700 1.135875 33.892263
971.980700 5.924668 12.980335
971.591600 5.651260 14.825844
971.202400 6.833311 18.102686
970.813100 9.224763 19.687789
970.423800 9.412207 21.214145
970.034400 10.084031 28.071390
969.644900 3.209824 23.080002
969.255300 0.776434 17.408519
968.865700 4.557671 17.734618
968.476000 2.213236 13.679562
968.086100 1.738179 11.681730
967.696200 9.843905 13.015221
967.306300 5.043787 13.950699
966.916300 38.001330 12.473170
966.526100 24.907195 81.081117
966.135900 17.695325 46.027432
965.745700 4.836716 16.145179
965.355300 4.736063 12.842528
964.964900 4.500155 10.320553
964.574300 4.074346 8.602989
964.183800 4.083178 8.305899
963.793100 4.293457 10.912250
963.402300 5.162443 15.283887
963.011500 5.806602 65.156847
962.620700 25.181730 84.066712
962.229700 40.236790 9.507652
961.838600 38.329715 10.763705
961.447400 8.923806 2.206033
961.056200 4.664883 3.070756
960.664900 1.440709 4.466363
960.273600 1.089265 7.026840
959.882100 0.775098 3.379252
959.490500 1.501886 17.355526
959.098900 4.665619 7.166657
958.707300 2.061736 28.912285
958.315500 0.309815 21.877268
957.923600 0.526476 20.087519
957.531700 0.488292 18.886227
957.139600 0.469198 17.427425
956.747600 0.304619 16.006899
956.355400 0.261982 6.649989
955.963200 0.273984 10.830444
955.570900 0.461307 15.572199
955.178400 0.364560 11.251571
954.785900 0.494727 10.475342
954.393400 0.796503 12.089466
954.000700 0.966382 9.077744
953.608000 1.083075 11.437019
953.215200 1.684257 7.996784
952.822300 1.242736 3.117287
952.429300 1.267884 5.160335
