Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	8.822	168.897
829.5408	8.824	168.888
829.1221	8.825	168.879
828.7034	8.827	168.870
828.2845	8.828	168.861
827.8656	8.830	168.852
827.4465	8.832	168.842
827.0275	8.833	168.833
826.6082	8.835	168.824
826.1889	8.836	168.817
825.7695	8.838	168.810
825.3500	8.839	168.803
824.9305	8.841	168.797
824.5108	8.842	168.790
824.0911	8.844	168.783
823.6713	8.846	168.776
823.2513	8.847	168.770
822.8313	8.849	168.763
822.4112	8.850	168.756
821.9910	8.852	168.749
821.5707	8.854	168.742
821.1503	8.855	168.735
820.7299	8.857	168.729
820.3093	8.858	168.722
819.8886	8.860	168.715
819.4679	8.861	168.708
819.0471	8.863	168.701
818.6262	8.865	168.695
818.2051	8.866	168.688
817.7841	8.868	168.681
817.3629	8.870	168.674
816.9416	8.871	168.667
816.5202	8.873	168.660
816.0988	8.874	168.654
815.6772	8.876	168.647
815.2556	8.878	168.642
814.8338	8.880	168.637
814.4120	8.882	168.631
813.9901	8.885	168.626
813.5681	8.887	168.621
813.1460	8.889	168.616
812.7238	8.891	168.611
812.3015	8.893	168.606
811.8792	8.895	168.600
811.4567	8.897	168.595
811.0341	8.899	168.590
810.6115	8.902	168.585
810.1888	8.904	168.580
809.7659	8.907	168.574
809.3430	8.909	168.569
808.9200	8.912	168.563
808.4969	8.914	168.558
808.0738	8.917	168.552
807.6505	8.920	168.547
807.2271	8.922	168.542
806.8036	8.925	168.536
806.3802	8.928	168.531
805.9564	8.930	168.525
805.5327	8.933	168.520
805.1089	8.936	168.514
804.6850	8.938	168.509
804.2610	8.941	168.503
803.8369	8.944	168.498
803.4127	8.946	168.493
802.9884	8.949	168.487
802.5640	8.952	168.482
802.1396	8.954	168.476
801.7150	8.957	168.471
801.2903	8.960	168.465
800.8657	8.962	168.460
800.4408	8.965	168.454
800.0159	8.968	168.449
799.5909	8.970	168.443
799.1658	8.971	168.437
798.7406	8.972	168.431
798.3153	8.974	168.424
797.8899	8.975	168.418
797.4644	8.977	168.412
797.0389	8.978	168.406
796.6132	8.979	168.400
796.1875	8.981	168.394
795.7617	8.982	168.387
795.3357	8.983	168.381
794.9097	8.985	168.375
794.4836	8.986	168.370
794.0574	8.988	168.366
793.6310	8.989	168.362
793.2047	8.991	168.358
792.7782	8.992	168.354
792.3516	8.994	168.350
791.9249	8.995	168.346
791.4982	8.997	168.342
791.0714	8.998	168.338
790.6444	9.000	168.334
790.2173	9.001	168.330
789.7902	9.003	168.326
789.3630	9.004	168.322
788.9357	9.006	168.317
788.5083	9.008	168.313
788.0807	9.010	168.308
787.6532	9.012	168.303
787.2256	9.014	168.299
786.7977	9.016	168.294
786.3699	9.018	168.290
785.9419	9.020	168.285
785.5139	9.023	168.281
785.0857	9.025	168.276
784.6575	9.027	168.272
784.2291	9.029	168.266
783.8007	9.032	168.261
783.3722	9.034	168.256
782.9435	9.037	168.251
782.5148	9.039	168.246
782.0861	9.042	168.241
781.6573	9.045	168.236
781.2282	9.047	168.231
780.7991	9.050	168.225
780.3698	9.052	168.220
779.9407	9.055	168.215
779.5113	9.057	168.208
779.0818	9.060	168.198
778.6523	9.062	168.189
778.2227	9.065	168.179
777.7930	9.067	168.170
777.3632	9.070	168.160
776.9332	9.072	168.151
776.5032	9.075	168.141
776.0731	9.077	168.132
775.6429	9.080	168.122
775.2126	9.082	168.113
774.7822	9.085	168.105
774.3517	9.087	168.100
773.9212	9.089	168.095
773.4905	9.092	168.091
773.0598	9.094	168.086
772.6289	9.096	168.081
772.1980	9.099	168.077
771.7669	9.101	168.072
771.3358	9.103	168.068
770.9046	9.105	168.063
770.4733	9.108	168.058
770.0419	9.110	168.054
769.6104	9.112	168.049
769.1787	9.115	168.045
768.7471	9.117	168.040
768.3152	9.119	168.036
767.8834	9.122	168.031
767.4514	9.124	168.026
767.0193	9.126	168.022
766.5872	9.129	168.017
766.1549	9.131	168.013
765.7224	9.133	168.008
765.2901	9.136	168.004
764.8575	9.138	167.999
764.4249	9.141	167.994
763.9922	9.144	167.989
763.5593	9.147	167.984
763.1264	9.149	167.979
762.6934	9.152	167.974
762.2603	9.155	167.969
761.8271	9.158	167.964
761.3938	9.160	167.959
760.9604	9.163	167.954
760.5269	9.166	167.948
760.0933	9.169	167.938
759.6597	9.172	167.928
759.2259	9.175	167.918
758.7921	9.178	167.908
758.3581	9.181	167.898
757.9240	9.184	167.888
757.4900	9.187	167.878
757.0556	9.190	167.868
756.6213	9.194	167.858
756.1868	9.197	167.849
755.7523	9.200	167.841
755.3177	9.203	167.836
754.8830	9.206	167.831
754.4482	9.209	167.825
754.0132	9.213	167.820
753.5782	9.216	167.815
753.1432	9.219	167.810
752.7079	9.222	167.804
752.2726	9.226	167.799
751.8373	9.229	167.794
751.4018	9.232	167.788
750.9662	9.235	167.784
750.5306	9.238	167.779
750.0948	9.241	167.774
749.6589	9.244	167.769
749.2230	9.247	167.764
748.7869	9.250	167.759
748.3508	9.253	167.754
747.9146	9.256	167.749
747.4782	9.259	167.745
747.0417	9.262	167.740
746.6052	9.265	167.735
746.1686	9.268	167.730
745.7319	9.271	167.725
745.2950	9.274	167.720
744.8582	9.277	167.716
744.4211	9.280	167.711
