Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	7.934	163.829
829.5408	7.936	163.837
829.1221	7.938	163.846
828.7034	7.939	163.855
828.2845	7.941	163.864
827.8656	7.943	163.873
827.4465	7.945	163.882
827.0275	7.947	163.891
826.6082	7.949	163.900
826.1889	7.952	163.907
825.7695	7.954	163.915
825.3500	7.956	163.922
824.9305	7.959	163.930
824.5108	7.961	163.937
824.0911	7.963	163.945
823.6713	7.966	163.952
823.2513	7.968	163.960
822.8313	7.970	163.967
822.4112	7.973	163.975
821.9910	7.975	163.982
821.5707	7.977	163.990
821.1503	7.980	163.997
820.7299	7.982	164.005
820.3093	7.985	164.013
819.8886	7.987	164.020
819.4679	7.990	164.028
819.0471	7.992	164.036
818.6262	7.994	164.043
818.2051	7.997	164.051
817.7841	7.999	164.059
817.3629	8.002	164.066
816.9416	8.004	164.074
816.5202	8.007	164.082
816.0988	8.009	164.089
815.6772	8.012	164.097
815.2556	8.014	164.101
814.8338	8.017	164.104
814.4120	8.019	164.108
813.9901	8.022	164.112
813.5681	8.024	164.116
813.1460	8.027	164.119
812.7238	8.029	164.123
812.3015	8.032	164.127
811.8792	8.034	164.131
811.4567	8.037	164.134
811.0341	8.039	164.138
810.6115	8.042	164.142
810.1888	8.044	164.145
809.7659	8.046	164.146
809.3430	8.048	164.147
808.9200	8.051	164.149
808.4969	8.053	164.150
808.0738	8.055	164.152
807.6505	8.057	164.153
807.2271	8.060	164.154
806.8036	8.062	164.156
806.3802	8.064	164.157
805.9564	8.066	164.159
805.5327	8.069	164.160
805.1089	8.071	164.162
804.6850	8.073	164.163
804.2610	8.076	164.165
803.8369	8.078	164.167
803.4127	8.080	164.168
802.9884	8.082	164.170
802.5640	8.085	164.171
802.1396	8.087	164.173
801.7150	8.089	164.175
801.2903	8.092	164.176
800.8657	8.094	164.178
800.4408	8.096	164.180
800.0159	8.099	164.182
799.5909	8.102	164.189
799.1658	8.105	164.199
798.7406	8.108	164.209
798.3153	8.111	164.218
797.8899	8.114	164.228
797.4644	8.118	164.238
797.0389	8.121	164.247
796.6132	8.124	164.257
796.1875	8.127	164.267
795.7617	8.131	164.276
795.3357	8.134	164.286
794.9097	8.137	164.296
794.4836	8.141	164.304
794.0574	8.144	164.312
793.6310	8.148	164.320
793.2047	8.151	164.327
792.7782	8.155	164.335
792.3516	8.158	164.343
791.9249	8.162	164.351
791.4982	8.166	164.358
791.0714	8.169	164.366
790.6444	8.173	164.374
790.2173	8.176	164.381
789.7902	8.180	164.389
789.3630	8.183	164.395
788.9357	8.187	164.400
788.5083	8.190	164.406
788.0807	8.193	164.411
787.6532	8.196	164.417
787.2256	8.200	164.422
786.7977	8.203	164.427
786.3699	8.206	164.433
785.9419	8.210	164.438
785.5139	8.213	164.444
785.0857	8.216	164.449
784.6575	8.220	164.454
784.2291	8.223	164.457
783.8007	8.225	164.460
783.3722	8.228	164.464
782.9435	8.231	164.467
782.5148	8.234	164.470
782.0861	8.237	164.473
781.6573	8.240	164.476
781.2282	8.243	164.479
780.7991	8.246	164.483
780.3698	8.249	164.486
779.9407	8.252	164.489
779.5113	8.255	164.495
779.0818	8.258	164.502
778.6523	8.260	164.510
778.2227	8.263	164.517
777.7930	8.266	164.524
777.3632	8.268	164.532
776.9332	8.271	164.539
776.5032	8.274	164.547
776.0731	8.276	164.554
775.6429	8.279	164.562
775.2126	8.282	164.569
774.7822	8.285	164.576
774.3517	8.288	164.581
773.9212	8.292	164.586
773.4905	8.295	164.590
773.0598	8.299	164.595
772.6289	8.302	164.600
772.1980	8.306	164.605
771.7669	8.309	164.610
771.3358	8.313	164.615
770.9046	8.316	164.619
770.4733	8.320	164.624
770.0419	8.323	164.629
769.6104	8.327	164.634
769.1787	8.331	164.639
768.7471	8.334	164.643
768.3152	8.338	164.648
767.8834	8.341	164.653
767.4514	8.345	164.658
767.0193	8.349	164.663
766.5872	8.352	164.667
766.1549	8.356	164.672
765.7224	8.360	164.677
765.2901	8.363	164.682
764.8575	8.367	164.685
764.4249	8.370	164.688
763.9922	8.373	164.691
763.5593	8.377	164.695
763.1264	8.380	164.698
762.6934	8.384	164.701
762.2603	8.387	164.705
761.8271	8.391	164.708
761.3938	8.394	164.711
760.9604	8.397	164.715
760.5269	8.401	164.719
760.0933	8.403	164.725
759.6597	8.406	164.732
759.2259	8.409	164.738
758.7921	8.412	164.745
758.3581	8.415	164.751
757.9240	8.417	164.758
757.4900	8.420	164.765
757.0556	8.423	164.771
756.6213	8.426	164.778
756.1868	8.429	164.785
755.7523	8.432	164.789
755.3177	8.435	164.791
754.8830	8.438	164.793
754.4482	8.442	164.795
754.0132	8.445	164.797
753.5782	8.448	164.799
753.1432	8.452	164.802
752.7079	8.455	164.804
752.2726	8.458	164.806
751.8373	8.461	164.808
751.4018	8.465	164.810
750.9662	8.468	164.814
750.5306	8.472	164.817
750.0948	8.476	164.820
749.6589	8.479	164.823
749.2230	8.483	164.826
748.7869	8.487	164.830
748.3508	8.490	164.833
747.9146	8.494	164.836
747.4782	8.498	164.839
747.0417	8.501	164.842
746.6052	8.505	164.845
746.1686	8.509	164.849
745.7319	8.513	164.852
745.2950	8.516	164.855
744.8582	8.520	164.858
744.4211	8.524	164.861
743.9841	8.528	164.865
743.5468	8.532	164.868
743.1096	8.536	164.871
742.6722	8.539	164.874
742.2347	8.543	164.880
741.7971	8.547	164.889
741.3594	8.551	164.898
740.9215	8.555	164.907
740.4838	8.559	164.915
740.0458	8.563	164.924
739.6077	8.566	164.933
739.1696	8.570	164.942
738.7313	8.574	164.951
738.2930	8.578	164.960
737.8545	8.583	164.968
737.4160	8.587	164.973
736.9773	8.592	164.978
736.5386	8.596	164.983
736.0996	8.601	164.988
735.6608	8.606	164.994
735.2218	8.610	164.999
734.7827	8.615	165.004
734.3434	8.620	165.009
733.9041	8.625	165.014
733.4647	8.629	165.020
733.0252	8.634	165.029
732.5856	8.638	165.038
732.1459	8.643	165.047
731.7061	8.647	165.056
731.2662	8.652	165.065
730.8261	8.657	165.074
730.3861	8.661	165.083
729.9459	8.666	165.092
729.5057	8.670	165.101
729.0653	8.675	165.105
728.6248	8.678	165.107
728.1843	8.682	165.108
727.7436	8.686	165.110
727.3028	8.689	165.111
726.8619	8.693	165.112
726.4210	8.697	165.114
725.9799	8.701	165.115
725.5388	8.705	165.117
725.0975	8.708	165.118
724.6562	8.712	165.120
724.2147	8.716	165.121
723.7732	8.720	165.123
723.3315	8.724	165.125
722.8898	8.728	165.127
722.4479	8.732	165.129
722.0060	8.735	165.130
721.5640	8.739	165.132
721.1218	8.743	165.134
720.6796	8.747	165.136
720.2373	8.752	165.138
719.7949	8.756	165.140
719.3524	8.760	165.142
718.9097	8.765	165.145
718.4670	8.769	165.147
718.0242	8.773	165.149
717.5813	8.778	165.151
717.1383	8.782	165.153
716.6952	8.786	165.155
716.2520	8.791	165.158
715.8087	8.796	165.161
715.3653	8.800	165.163
714.9218	8.805	165.166
714.4782	8.810	165.169
714.0345	8.815	165.171
713.5907	8.820	165.174
713.1469	8.824	165.176
712.7028	8.829	165.179
712.2588	8.834	165.182
711.8146	8.839	165.184
711.3703	8.844	165.187
