#Lam(nm)  R%(0-100)  T%(0-100)
300.000  48.851  3.047  
301.504  49.792  3.133  
303.008  50.763  3.211  
304.511  51.760  3.283  
306.015  52.780  3.350  
307.519  53.818  3.412  
309.023  54.874  3.467  
310.526  55.944  3.518  
312.030  57.022  3.565  
313.534  58.110  3.606  
315.038  59.204  3.644  
316.541  60.300  3.677  
318.045  61.372  3.713  
319.549  61.674  3.912  
321.053  62.017  4.117  
322.556  62.404  4.329  
324.060  62.841  4.549  
325.564  63.331  4.776  
327.068  63.878  5.011  
328.571  64.487  5.255  
330.075  65.162  5.505  
331.579  65.910  5.764  
333.083  66.735  6.031  
334.586  67.644  6.306  
336.090  68.644  6.589  
337.594  69.741  6.880  
339.098  70.942  7.180  
340.602  72.255  7.486  
342.105  73.689  7.799  
343.609  75.253  8.119  
345.113  75.416  8.419  
346.617  75.047  8.722  
348.120  74.667  9.037  
349.624  74.276  9.364  
351.128  73.873  9.703  
352.632  73.460  10.056  
354.135  73.034  10.422  
355.639  72.590  10.808  
357.143  72.119  11.220  
358.647  71.613  11.669  
360.150  71.060  12.172  
361.654  70.438  12.753  
363.158  69.748  13.418  
364.662  68.979  14.185  
366.165  68.107  15.081  
367.669  67.160  16.092  
369.173  66.143  17.212  
370.677  65.038  18.469  
372.180  63.855  19.856  
373.684  62.605  21.363  
375.188  61.317  22.971  
376.692  59.976  24.697  
378.195  58.575  26.547  
379.699  57.155  28.488  
381.203  55.702  30.533  
382.707  54.210  32.693  
384.211  52.677  34.976  
385.714  51.113  37.373  
387.218  49.525  39.881  
388.722  48.247  42.142  
390.226  47.333  44.064  
391.729  46.439  46.015  
393.233  45.537  48.028  
394.737  44.627  50.101  
396.241  43.728  52.219  
397.744  42.830  54.391  
399.248  41.951  56.601  
400.752  40.902  58.343  
402.256  39.691  59.561  
403.759  38.510  60.752  
405.263  37.342  61.928  
406.767  36.198  63.082  
408.271  35.059  64.231  
409.774  33.920  65.379  
411.278  32.792  66.517  
412.782  31.675  67.645  
414.286  30.586  68.744  
415.789  29.517  69.824  
417.293  28.468  70.883  
418.797  27.432  71.931  
420.301  26.411  72.963  
421.805  25.457  73.929  
423.308  24.518  74.880  
424.812  23.597  75.813  
426.316  22.711  76.711  
427.820  21.843  77.592  
429.323  20.989  78.458  
