# Lambda(nm) R(%)
3.000000000000000000e+02 4.369457801091002347e-01
3.015037593984962427e+02 4.377644115665917934e-01
3.030075187969924855e+02 4.385863439403310804e-01
3.045112781954887282e+02 4.393576198879904360e-01
3.060150375939849710e+02 4.400358462326786069e-01
3.075187969924812137e+02 4.405882207904802672e-01
3.090225563909774564e+02 4.409814993897690494e-01
3.105263157894736992e+02 4.411784808802622915e-01
3.120300751879699419e+02 4.411493580552102722e-01
3.135338345864661846e+02 4.408685494615900424e-01
3.150375939849624274e+02 4.402959511307437679e-01
3.165413533834586701e+02 4.394233379827258146e-01
3.180451127819549129e+02 4.381995738520574890e-01
3.195488721804510988e+02 4.365416492595759479e-01
3.210526315789473983e+02 4.354677881621545898e-01
3.225563909774435842e+02 4.350633747063990531e-01
3.240601503759398270e+02 4.354023424867486947e-01
3.255639097744360697e+02 4.365745859931318695e-01
3.270676691729323124e+02 4.386751080341404485e-01
3.285714285714285552e+02 4.418073628882708270e-01
3.300751879699247979e+02 4.460893188715905344e-01
3.315789473684210407e+02 4.516352015695144217e-01
3.330827067669172834e+02 4.585253837510988029e-01
3.345864661654135261e+02 4.669108258752776019e-01
3.360902255639097689e+02 4.768879053777933530e-01
3.375939849624060116e+02 4.885541940260139104e-01
3.390977443609022544e+02 5.020076245293751960e-01
3.406015037593984971e+02 5.173763990088883213e-01
3.421052631578947398e+02 5.346990704019275453e-01
3.436090225563909826e+02 5.540753339250941156e-01
3.451127819548872253e+02 5.670420311495839583e-01
3.466165413533834680e+02 5.765300055817668134e-01
3.481203007518797108e+02 5.851469329698673061e-01
3.496240601503759535e+02 5.929813536402931406e-01
3.511278195488721963e+02 6.000271448313714284e-01
3.526315789473684390e+02 6.063153575699943287e-01
3.541353383458646817e+02 6.118680739904739374e-01
3.556390977443609245e+02 6.166060640206388888e-01
3.571428571428571672e+02 6.204552280680875054e-01
3.586466165413534100e+02 6.232574746760464190e-01
3.601503759398495959e+02 6.248457460057590396e-01
3.616541353383458954e+02 6.249274729958809171e-01
3.631578947368420813e+02 6.235455136177032731e-01
3.646616541353383809e+02 6.205846578344764719e-01
3.661654135338345668e+02 6.158162362119002919e-01
3.676691729323308095e+02 6.096882736822176740e-01
3.691729323308270523e+02 6.023935698265504568e-01
3.706766917293232950e+02 5.937786530626434356e-01
3.721804511278195378e+02 5.840326107045579196e-01
3.736842105263157805e+02 5.734114485275236817e-01
3.751879699248120232e+02 5.623556046428606070e-01
3.766917293233082660e+02 5.506949111935625085e-01
3.781954887218045087e+02 5.383680951463017950e-01
3.796992481203007515e+02 5.259043273429069298e-01
3.812030075187969942e+02 5.130997602239202315e-01
3.827067669172932369e+02 4.998831582810195351e-01
3.842105263157894797e+02 4.862312932429249668e-01
3.857142857142857224e+02 4.722030507647138609e-01
3.872180451127819651e+02 4.578224294119785931e-01
3.887218045112782079e+02 4.460417736169146607e-01
3.902255639097744506e+02 4.374840950965005471e-01
3.917293233082706934e+02 4.291220501707932455e-01
