# ========================================================
# RESULTADOS DE AJUSTE ELIPSOMÉTRICO (AUTORANGE + TMM)
# ========================================================
# Archivo de origen: Al2O3_nanotubes.1-med1.txt
# Espesores óptimos (nm): [np.float64(46.83087024981132), np.float64(0.7435628560243361)]
# Error mínimo (Chi2 Red / MSE): 9.933377e-05
# Parámetros de dispersión optimizados:
#   Capa 'Al2O3_nanotube': {'model': 'bruggeman_EMA', 'linked_to': 'Al2O3', 'f_air': 0.3205407591312116, 'f_optimized': True}
#   Capa 'Al2O3': {'model': 'cauchy', 'A': 1.8757403804638302, 'B': -6.170224393245633, 'C': 4.317002230537311}
# ========================================================
# Wavelength_nm	Is_exp	Is_fit	Ic_exp	Ic_fit	Psi_exp_deg	Psi_fit_deg	Delta_exp_deg	Delta_fit_deg
829.9594	0.555822	0.576640	-0.118174	-0.118612	17.3140	18.0329	102.0030	101.6234
829.5408	0.557446	0.576864	-0.118265	-0.118506	17.3700	18.0399	101.9780	101.6088
829.1221	0.557577	0.577088	-0.117368	-0.118399	17.3680	18.0469	101.8870	101.5942
828.7034	0.557025	0.577312	-0.117485	-0.118292	17.3500	18.0539	101.9100	101.5797
828.2845	0.556947	0.577536	-0.116738	-0.118184	17.3420	18.0609	101.8380	101.5651
827.8656	0.557146	0.577760	-0.116627	-0.118077	17.3480	18.0679	101.8230	101.5505
827.4465	0.556774	0.577985	-0.115880	-0.117969	17.3300	18.0750	101.7570	101.5359
827.0275	0.556835	0.578209	-0.114879	-0.117861	17.3250	18.0820	101.6570	101.5212
826.6082	0.557393	0.578425	-0.115015	-0.117779	17.3450	18.0889	101.6590	101.5093
826.1889	0.558449	0.578640	-0.114582	-0.117699	17.3780	18.0959	101.5950	101.4975
825.7695	0.559580	0.578852	-0.114631	-0.117629	17.4170	18.1027	101.5770	101.4867
825.3500	0.560115	0.579061	-0.114160	-0.117567	17.4320	18.1096	101.5200	101.4768
824.9305	0.560399	0.579271	-0.114055	-0.117505	17.4410	18.1164	101.5040	101.4669
