# lams, psi_mean, delta_mean
999.792500 1.311000 208.852000
999.408900 1.311000 208.852000
999.025300 1.311000 208.852000
998.641500 1.311000 208.852000
998.257800 1.311000 208.852000
997.873900 1.311000 208.852000
997.490000 1.311000 208.852000
997.106000 1.311000 208.852000
996.721900 1.311000 208.852000
996.337700 1.311000 208.852000
995.953500 1.311000 208.852000
995.569200 1.311000 208.852000
995.184800 1.311000 208.852000
994.800300 1.311000 208.852000
994.415800 1.311000 208.852000
994.031100 11.573000 272.155000
993.646400 5.637000 190.149000
993.261700 20.958000 130.268000
992.876800 30.183000 125.667000
992.491900 10.526000 74.830000
992.106900 16.097000 114.205000
991.721800 13.202000 103.554000
991.336700 12.788000 83.710000
990.951400 13.395000 73.409000
990.566100 7.824000 82.828000
990.180700 6.118000 54.616000
989.795300 3.035000 68.982000
989.409700 5.520000 102.075000
989.024100 8.273000 117.284000
988.638400 12.134000 125.965000
988.252600 11.150000 105.291000
987.866800 11.833000 99.150000
987.480900 10.513000 103.714000
987.094900 10.198000 104.770000
986.708800 5.852000 102.418000
986.322600 4.360000 127.661000
985.936400 6.797000 104.324000
985.550100 8.208000 94.453000
985.163800 11.375000 90.736000
984.777300 14.185000 89.200000
984.390700 18.938000 82.177000
984.004100 13.334000 85.196000
983.617400 5.958000 73.559000
983.230700 6.180000 78.081000
982.843800 5.373000 216.860000
982.456900 9.532000 30.389000
982.069900 11.917000 64.695000
981.682800 16.095000 83.524000
981.295700 18.865000 101.297000
980.908400 20.958000 115.179000
980.521100 40.385000 130.289000
980.133700 40.315000 128.735000
979.746300 39.125000 144.312000
979.358700 58.136000 157.483000
978.971100 60.802000 154.013000
978.583400 62.023000 143.035000
978.195600 42.002000 129.686000
977.807700 21.468000 129.905000
977.419900 11.720000 145.276000
977.031900 11.241000 165.350000
976.643700 13.553000 167.857000
976.255600 11.997000 179.093000
975.867400 7.562000 144.612000
975.479000 12.593000 153.739000
975.090600 8.952000 105.142000
974.702100 10.486000 117.990000
974.313600 11.188000 115.974000
973.925000 10.796000 113.570000
973.536300 13.971000 102.936000
973.147500 10.703000 119.967000
972.758600 10.186000 110.226000
972.369700 10.990000 131.780000
971.980700 20.567000 134.610000
971.591600 37.662000 124.545000
971.202400 50.409000 113.958000
970.813100 67.226000 109.393000
970.423800 72.307000 101.689000
970.034400 63.944000 49.262000
969.644900 40.622000 105.030000
969.255300 30.085000 139.855000
968.865700 25.895000 153.108000
968.476000 25.885000 160.344000
968.086100 24.190000 162.261000
967.696200 20.408000 160.403000
967.306300 22.453000 156.410000
966.916300 21.673000 150.990000
966.526100 15.470000 132.963000
966.135900 20.011000 35.990000
965.745700 16.835000 28.008000
965.355300 52.250000 180.754000
964.964900 33.721000 165.468000
964.574300 24.791000 157.538000
964.183800 20.170000 157.546000
963.793100 15.574000 165.195000
963.402300 80.455000 19.295000
963.011500 67.292000 71.401000
962.620700 18.893000 128.859000
962.229700 15.469000 152.656000
961.838600 9.406000 140.493000
961.447400 10.257000 184.985000
961.056200 10.813000 198.864000
960.664900 12.561000 210.155000
960.273600 15.429000 231.633000
959.882100 9.222000 198.575000
959.490500 11.383000 128.530000
959.098900 23.683000 88.724000
958.707300 10.863000 109.334000
958.315500 17.664000 119.154000
957.923600 16.490000 119.248000
957.531700 12.000000 123.160000
957.139600 7.727000 121.110000
956.747600 5.618000 123.496000
956.355400 1.722000 138.476000
955.963200 6.021000 151.116000
955.570900 3.766000 81.566000
955.178400 5.110000 48.452000
954.785900 8.912000 36.219000
954.393400 15.928000 41.553000
954.000700 23.326000 48.569000
953.608000 19.738000 86.001000
953.215200 32.209000 91.360000
952.822300 26.787000 81.297000
952.429300 19.693000 74.212000
952.036300 13.621000 91.096000
951.643200 13.299000 47.249000
951.249900 14.381000 52.602000
950.856700 52.198000 324.086000
950.463300 9.864000 65.331000
950.069900 13.833000 105.563000
949.676300 17.240000 116.076000
949.282700 18.220000 119.333000
948.889000 13.438000 129.491000
948.495300 17.251000 119.808000
948.101400 74.185000 161.200000
947.707500 22.508000 85.035000
947.313500 19.393000 97.594000
946.919400 71.496000 278.397000
946.525300 71.329000 293.586000
946.131000 60.341000 203.902000
945.736700 66.828000 320.708000
945.342300 54.873000 346.562000
944.947800 51.989000 350.819000
944.553200 50.907000 352.460000
944.158600 50.780000 352.688000
943.763900 38.821000 172.506000
943.369100 36.953000 170.393000
942.974200 32.761000 165.193000
942.579200 16.904000 130.366000
942.184100 30.263000 12.678000
941.789000 11.634000 69.106000
941.393800 39.124000 330.952000
940.998500 18.555000 10.954000
940.603100 11.871000 21.093000
940.207700 7.050000 114.958000
939.812200 17.515000 151.170000
939.416600 20.653000 159.797000
939.020900 18.682000 151.544000
938.625100 19.156000 148.162000
938.229200 19.646000 156.782000
937.833300 17.725000 131.018000
937.437300 21.084000 108.655000
937.041200 17.277000 40.872000
936.645000 12.045000 38.516000
936.248700 10.960000 35.312000
935.852400 12.386000 30.272000
935.456000 16.474000 21.938000
935.059400 19.912000 342.255000
934.662900 2.984000 289.040000
934.266200 16.472000 274.727000
933.869400 67.514000 4.645000
933.472700 11.438000 170.472000
933.075700 14.169000 164.790000
932.678700 15.130000 171.543000
932.281700 14.316000 207.253000
931.884500 13.417000 221.263000
931.487300 73.683000 63.240000
931.090000 55.625000 86.269000
930.692600 26.444000 127.870000
930.295100 14.297000 128.340000
929.897500 16.693000 110.796000
929.499900 8.657000 92.650000
929.102200 3.459000 16.962000
928.704300 4.042000 0.812000
928.306500 3.089000 36.318000
927.908500 3.309000 20.669000
927.510400 3.599000 14.943000
927.112300 4.566000 8.634000
926.714100 7.502000 343.571000
926.315800 6.330000 287.472000
925.917400 6.939000 158.004000
925.519000 2.952000 200.521000
925.120400 14.462000 270.703000
924.721800 11.766000 265.051000
924.323100 4.380000 265.823000
923.924300 8.377000 109.149000
923.525500 13.962000 105.429000
923.126500 24.530000 133.008000
922.727500 13.137000 98.310000
922.328300 9.755000 39.064000
921.929100 12.119000 35.128000
921.529800 13.001000 20.024000
921.130500 13.115000 23.781000
920.731100 13.809000 14.373000
920.331500 13.882000 25.937000
919.931900 13.678000 54.322000
919.532200 15.721000 90.197000
919.132400 22.278000 121.670000
918.732600 16.468000 93.978000
918.332600 22.086000 99.607000
917.932600 10.295000 76.138000
917.532500 60.848000 123.387000
917.132300 12.118000 98.439000
916.732100 53.214000 91.081000
916.331700 80.082000 130.203000
915.931300 8.203000 321.521000
