## SPECTRUM TYPE:
LCE

## DATE:
18/08/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
14:22:18

# END TIME:
14:22:18

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.377 213.838 -2.69091 -1.80399 0.000 67.35753 8.0000 7.33 2.72064559054218854E18 1.55712440901451121E19 1.240099 
999.4089 1.377 213.838 -2.69091 -1.80399 0.971 67.35753 8.0000 7.32 2.53040341577996698E18 1.44824197153910948E19 1.240575 
999.0253 1.377 213.838 -2.69091 -1.80399 0.595 67.35754 8.0000 7.41 2.41219492067776922E18 1.38058682205879665E19 1.241052 
998.6415 1.377 213.838 -2.69091 -1.80399 1.420 67.35754 8.0000 7.49 2.27736318415313306E18 1.30341770841450086E19 1.241529 
998.2578 1.377 213.838 -2.69091 -1.80399 0.259 67.35753 8.0000 7.58 2.12406130154930176E18 1.21567756012727828E19 1.242006 
997.8739 1.377 213.838 -2.69091 -1.80399 0.689 67.35753 8.0000 7.62 1.95044236820951859E18 1.11630919676702228E19 1.242484 
997.4900 1.377 213.838 -2.69091 -1.80399 -0.040 67.35753 8.0000 7.61 1.75465934203807334E18 1.00425532795246346E19 1.242962 
997.1060 1.377 213.838 -2.69091 -1.80399 -0.002 67.35753 8.0000 7.64 1.53486518093925581E18 8.78459213058146304E18 1.243440 
996.7219 1.377 213.838 -2.69091 -1.80399 -3.886 67.35753 8.0000 7.70 1.28921284281735578E18 7.3786345175163863E18 1.243920 
996.3377 1.377 213.838 -2.69091 -1.80399 -1.118 67.35754 8.0000 7.84 1.01585542301561651E18 5.81411028529577984E18 1.244399 
995.9535 1.377 213.838 -2.69091 -1.80399 -0.580 67.35754 8.0000 7.74 716639826190794752.0000 4.10159041358698906E18 1.244879 
995.5692 1.377 213.838 -2.69091 -1.80399 1.128 67.35753 8.0000 7.90 393413094438600704.0000 2.25164629437421978E18 1.245360 
995.1848 1.377 213.838 -2.69091 -1.80399 -0.775 67.35753 8.0000 8.00 51716272441786368.0000 295991072817938432.0000 1.245841 
994.8003 1.377 213.838 -2.69091 -1.80399 0.022 67.35754 8.0000 8.07 295521581352878080.0000 1.69137750005723955E18 1.246322 
994.4158 1.377 213.838 -2.69091 -1.80399 0.014 67.35753 8.0000 8.00 629830359520903168.0000 3.60474832190780211E18 1.246804 
994.0311 39.236 153.626 -0.45945 0.22782 0.013 0.10461 8.0000 8.11 0.5646 0.6750 1.247287 
993.6464 30.239 131.977 -0.23200 0.25787 0.691 0.19643 8.0000 8.18 0.5348 0.6940 1.247770 
993.2617 32.091 82.664 0.03624 0.28151 1.163 0.13733 8.0000 8.17 0.5452 0.7912 1.248253 
992.8768 53.814 104.651 -0.09448 0.36138 -0.351 -0.11869 8.0000 8.22 0.5427 0.7572 1.248737 
992.4919 59.656 46.922 0.10918 0.11677 0.192 -0.08975 8.0000 8.29 0.5710 0.7435 1.249221 
992.1069 33.694 97.154 -0.03424 0.27277 -7.795 0.11450 8.0000 8.32 0.5614 0.6594 1.249706 
991.7218 16.049 88.261 0.00885 0.29173 -0.970 0.46530 8.0000 8.44 0.6509 0.6775 1.250191 
991.3367 15.059 70.774 0.09877 0.28323 0.341 0.51709 8.0000 8.60 0.6859 0.7179 1.250677 
990.9514 18.248 63.729 0.18994 0.38481 1.388 0.58002 8.0000 8.61 0.8102 0.8501 1.251163 
990.5661 9.967 71.391 0.09264 0.27513 12.376 0.80048 8.0000 8.57 0.8428 0.8710 1.251650 
