# ========================================================
# RESULTADOS DE AJUSTE ELIPSOMÉTRICO (AUTORANGE + TMM)
# ========================================================
# Archivo de origen: Al2O3_nanotubes.6-med1.txt
# Espesores óptimos (nm): [np.float64(2.5149052966864254), np.float64(65.83748673597474)]
# Error mínimo (Chi2 Red / MSE): 4.155165e-04
# Parámetros de dispersión optimizados:
#   Capa 'Al2O3_nanotube': {'model': 'bruggeman_EMA', 'linked_to': 'Al2O3', 'f_air': 0.6464419793083392, 'f_optimized': True}
#   Capa 'Al2O3': {'model': 'cauchy', 'A': 1.5560651281889257, 'B': 0.9148028283820722, 'C': -8.394564645964824}
# ========================================================
# Wavelength_nm	Is_exp	Is_fit	Ic_exp	Ic_fit	Psi_exp_deg	Psi_fit_deg	Delta_exp_deg	Delta_fit_deg
829.9594	0.693641	0.725507	0.036644	0.027477	21.9980	23.2772	86.9760	87.8311
829.5408	0.693931	0.725730	0.037327	0.027676	22.0110	23.2868	86.9210	87.8161
829.1221	0.693548	0.725953	0.037913	0.027875	21.9970	23.2964	86.8710	87.8010
828.7034	0.693631	0.726176	0.038221	0.028075	22.0010	23.3060	86.8460	87.7860
828.2845	0.693054	0.726399	0.038651	0.028275	21.9790	23.3156	86.8080	87.7709
827.8656	0.694129	0.726622	0.039209	0.028475	22.0230	23.3252	86.7670	87.7559
827.4465	0.694823	0.726845	0.039820	0.028675	22.0520	23.3349	86.7200	87.7408
827.0275	0.695030	0.727069	0.040586	0.028875	22.0620	23.3445	86.6580	87.7257
826.6082	0.694863	0.727290	0.040857	0.029051	22.0560	23.3541	86.6350	87.7126
826.1889	0.695288	0.727511	0.041308	0.029225	22.0740	23.3636	86.6000	87.6996
825.7695	0.695676	0.727731	0.041538	0.029390	22.0900	23.3730	86.5830	87.6873
825.3500	0.696043	0.727950	0.041694	0.029547	22.1050	23.3825	86.5720	87.6757
824.9305	0.695644	0.728169	0.041658	0.029704	22.0890	23.3919	86.5730	87.6641
824.5108	0.695320	0.728389	0.042028	0.029861	22.0770	23.4014	86.5410	87.6524
824.0911	0.695307	0.728609	0.042661	0.030018	22.0780	23.4108	86.4890	87.6408
823.6713	0.695279	0.728829	0.043110	0.030176	22.0780	23.4203	86.4520	87.6291
823.2513	0.695446	0.729049	0.043254	0.030334	22.0850	23.4298	86.4410	87.6174
822.8313	0.695796	0.729269	0.043276	0.030492	22.0990	23.4393	86.4410	87.6057
822.4112	0.696278	0.729489	0.043172	0.030651	22.1180	23.4488	86.4520	87.5940
821.9910	0.697181	0.729709	0.042739	0.030809	22.1530	23.4583	86.4920	87.5823
821.5707	0.696773	0.729930	0.042861	0.030968	22.1370	23.4678	86.4800	87.5706
821.1503	0.696619	0.730150	0.042924	0.031127	22.1310	23.4773	86.4740	87.5589
820.7299	0.697157	0.730371	0.043141	0.031287	22.1530	23.4869	86.4590	87.5471
820.3093	0.697516	0.730592	0.042992	0.031446	22.1670	23.4964	86.4730	87.5354
819.8886	0.698579	0.730813	0.043192	0.031606	22.2100	23.5060	86.4620	87.5236
819.4679	0.699081	0.731034	0.043542	0.031766	22.2310	23.5155	86.4360	87.5119
819.0471	0.699728	0.731255	0.043582	0.031926	22.2570	23.5251	86.4360	87.5001
818.6262	0.700113	0.731476	0.043802	0.032087	22.2730	23.5347	86.4200	87.4883
818.2051	0.700383	0.731698	0.044261	0.032248	22.2850	23.5443	86.3840	87.4765
817.7841	0.700671	0.731919	0.044426	0.032408	22.2970	23.5539	86.3720	87.4647
817.3629	0.700506	0.732141	0.044281	0.032570	22.2900	23.5636	86.3830	87.4529
816.9416	0.701218	0.732363	0.044055	0.032731	22.3180	23.5732	86.4050	87.4410
816.5202	0.701284	0.732585	0.044195	0.032893	22.3210	23.5828	86.3940	87.4292
816.0988	0.701568	0.732807	0.044028	0.033055	22.3320	23.5925	86.4090	87.4173
815.6772	0.702201	0.733035	0.044634	0.033233	22.3590	23.6025	86.3630	87.4042
815.2556	0.702299	0.733266	0.044653	0.033416	22.3630	23.6125	86.3620	87.3908
814.8338	0.702829	0.733498	0.044526	0.033603	22.3840	23.6227	86.3750	87.3770
814.4120	0.703135	0.733733	0.044792	0.033795	22.3970	23.6329	86.3550	87.3629
813.9901	0.703238	0.733967	0.044330	0.033988	22.4000	23.6432	86.3930	87.3487
813.5681	0.703867	0.734202	0.044197	0.034181	22.4250	23.6535	86.4070	87.3345
813.1460	0.703868	0.734436	0.044580	0.034374	22.4260	23.6638	86.3760	87.3203
