# ========================================================
# RESULTADOS DE AJUSTE ELIPSOMÉTRICO (AUTORANGE + TMM)
# ========================================================
# Archivo de origen: Al2O3_nanotubes.8-med1.txt
# Espesores óptimos (nm): [np.float64(42.0776645249414), np.float64(904.9481874976871)]
# Error mínimo (Chi2 Red / MSE): 1.891272e-01
# Parámetros de dispersión optimizados:
#   Capa 'Al2O3_nanotube': {'model': 'bruggeman_EMA', 'linked_to': 'Al2O3', 'f_air': 0.6908546104937516, 'f_optimized': True}
#   Capa 'Al2O3': {'model': 'cauchy', 'A': 1.64825619343925, 'B': -6.292636942714054, 'C': -2.627949642401626}
# ========================================================
# Wavelength_nm	Is_exp	Is_fit	Ic_exp	Ic_fit	Psi_exp_deg	Psi_fit_deg	Delta_exp_deg	Delta_fit_deg
829.9594	0.700899	-0.819726	-0.003841	0.173748	22.2500	28.4615	90.3140	-78.0328
829.5408	0.701325	-0.817982	-0.003146	0.171226	22.2670	28.3450	90.2570	-78.1771
829.1221	0.700955	-0.816226	-0.002288	0.168695	22.2520	28.2288	90.1870	-78.3227
828.7034	0.701006	-0.814459	-0.002166	0.166154	22.2540	28.1129	90.1770	-78.4696
828.2845	0.700459	-0.812679	-0.001650	0.163603	22.2320	27.9972	90.1350	-78.6177
827.8656	0.701655	-0.810887	-0.001151	0.161043	22.2800	27.8818	90.0940	-78.7671
827.4465	0.702451	-0.809083	-0.000625	0.158473	22.3120	27.7667	90.0510	-78.9179
827.0275	0.702774	-0.807267	0.000196	0.155895	22.3250	27.6519	89.9840	-79.0699
826.6082	0.702600	-0.805451	0.000441	0.153311	22.3180	27.5380	89.9640	-79.2231
826.1889	0.703022	-0.803625	0.000920	0.150719	22.3350	27.4244	89.9250	-79.3776
825.7695	0.703369	-0.801791	0.001191	0.148120	22.3490	27.3114	89.9030	-79.5334
825.3500	0.703765	-0.799949	0.001486	0.145514	22.3650	27.1988	89.8790	-79.6904
824.9305	0.703418	-0.798095	0.001559	0.142898	22.3510	27.0865	89.8730	-79.8488
824.5108	0.703193	-0.796228	0.002062	0.140273	22.3420	26.9743	89.8320	-80.0086
824.0911	0.703439	-0.794348	0.002824	0.137640	22.3520	26.8624	89.7700	-80.1698
823.6713	0.703313	-0.792455	0.003142	0.134997	22.3470	26.7507	89.7440	-80.3323
823.2513	0.703536	-0.790548	0.003254	0.132345	22.3560	26.6391	89.7350	-80.4963
822.8313	0.703957	-0.788628	0.003452	0.129684	22.3730	26.5278	89.7190	-80.6617
822.4112	0.704552	-0.786694	0.003271	0.127014	22.3970	26.4167	89.7340	-80.8285
821.9910	0.705446	-0.784746	0.002795	0.124336	22.4330	26.3057	89.7730	-80.9968
821.5707	0.705000	-0.782785	0.002904	0.121649	22.4150	26.1949	89.7640	-81.1666
821.1503	0.704777	-0.780809	0.002903	0.118953	22.4060	26.0842	89.7640	-81.3378
820.7299	0.705321	-0.778819	0.003078	0.116249	22.4280	25.9738	89.7500	-81.5105
820.3093	0.705792	-0.776814	0.002846	0.113536	22.4470	25.8635	89.7690	-81.6848
819.8886	0.706804	-0.774795	0.003109	0.110814	22.4880	25.7533	89.7480	-81.8605
819.4679	0.707493	-0.772762	0.003532	0.108085	22.5160	25.6433	89.7140	-82.0378
819.0471	0.708233	-0.770713	0.003473	0.105347	22.5460	25.5334	89.7190	-82.2166
818.6262	0.708798	-0.768649	0.003810	0.102601	22.5690	25.4237	89.6920	-82.3970
818.2051	0.709116	-0.766570	0.004121	0.099846	22.5820	25.3140	89.6670	-82.5790
817.7841	0.709411	-0.764475	0.004235	0.097084	22.5940	25.2046	89.6580	-82.7625
817.3629	0.709313	-0.762365	0.004098	0.094314	22.5900	25.0952	89.6690	-82.9476
816.9416	0.710003	-0.760239	0.003854	0.091535	22.6180	24.9860	89.6890	-83.1344
816.5202	0.710247	-0.758097	0.004103	0.088749	22.6280	24.8768	89.6690	-83.3229
816.0988	0.710469	-0.755939	0.003956	0.085956	22.6370	24.7678	89.6810	-83.5129
815.6772	0.711276	-0.753754	0.004494	0.083143	22.6700	24.6584	89.6380	-83.7055
815.2556	0.711375	-0.751550	0.004433	0.080319	22.6740	24.5489	89.6430	-83.8999
814.8338	0.711915	-0.749326	0.004349	0.077485	22.6960	24.4395	89.6500	-84.0962
814.4120	0.712330	-0.747082	0.004575	0.074640	22.7130	24.3299	89.6320	-84.2946
813.9901	0.712431	-0.744820	0.004103	0.071788	22.7170	24.2205	89.6700	-84.4947
813.5681	0.713044	-0.742541	0.003858	0.068929	22.7420	24.1111	89.6900	-84.6965
813.1460	0.713165	-0.740244	0.004182	0.066063	22.7470	24.0018	89.6640	-84.9002
812.7238	0.713189	-0.737929	0.004145	0.063189	22.7480	23.8925	89.6670	-85.1057
812.3015	0.714261	-0.735596	0.004775	0.060309	22.7920	23.7834	89.6170	-85.3130
811.8792	0.713409	-0.733245	0.004296	0.057423	22.7570	23.6743	89.6550	-85.5221
811.4567	0.713751	-0.730874	0.004385	0.054529	22.7710	23.5653	89.6480	-85.7332
811.0341	0.714238	-0.728485	0.004637	0.051629	22.7910	23.4563	89.6280	-85.9461
810.6115	0.714194	-0.726077	0.003764	0.048724	22.7890	23.3474	89.6980	-86.1609
810.1888	0.714192	-0.723650	0.004138	0.045812	22.7890	23.2385	89.6680	-86.3776
809.7659	0.714921	-0.721203	0.004679	0.042893	22.8190	23.1297	89.6250	-86.5964
809.3430	0.715505	-0.718737	0.004920	0.039969	22.8430	23.0210	89.6060	-86.8171
808.9200	0.716035	-0.716252	0.005836	0.037039	22.8650	22.9122	89.5330	-87.0397
808.4969	0.716613	-0.713746	0.006516	0.034104	22.8890	22.8036	89.4790	-87.2644
808.0737	0.717024	-0.711220	0.006796	0.031163	22.9060	22.6949	89.4570	-87.4911
807.6505	0.717172	-0.708674	0.006672	0.028217	22.9120	22.5864	89.4670	-87.7199
807.2271	0.717244	-0.706107	0.006735	0.025265	22.9150	22.4778	89.4620	-87.9508
806.8036	0.718016	-0.703519	0.007369	0.022309	22.9470	22.3693	89.4120	-88.1837
806.3801	0.718692	-0.700911	0.007664	0.019348	22.9750	22.2608	89.3890	-88.4188
805.9564	0.719343	-0.698281	0.008111	0.016381	23.0020	22.1523	89.3540	-88.6561
805.5327	0.720016	-0.695631	0.008571	0.013409	23.0300	22.0439	89.3180	-88.8957
805.1089	0.720854	-0.692960	0.009336	0.010432	23.0650	21.9355	89.2580	-89.1375
804.6850	0.721336	-0.690270	0.009418	0.007436	23.0850	21.8273	89.2520	-89.3828
804.2610	0.721477	-0.687560	0.009709	0.004430	23.0910	21.7192	89.2290	-89.6308
803.8369	0.721981	-0.684828	0.010018	0.001420	23.1120	21.6111	89.2050	-89.8812
803.4127	0.722773	-0.682073	0.010282	-0.001593	23.1450	21.5030	89.1850	-90.1338
802.9884	0.723208	-0.679296	0.010250	-0.004610	23.1630	21.3949	89.1880	-90.3888
802.5640	0.723616	-0.676496	0.010344	-0.007630	23.1800	21.2869	89.1810	-90.6462
802.1396	0.723662	-0.673674	0.010522	-0.010654	23.1820	21.1789	89.1670	-90.9060
801.7150	0.723763	-0.670827	0.010220	-0.013680	23.1860	21.0709	89.1910	-91.1683
801.2903	0.724454	-0.667957	0.010698	-0.016710	23.2150	20.9629	89.1540	-91.4331
