#Lam(nm)  R%(0-100)  T%(0-100)
300.000  37.999  0.000  
301.504  37.234  0.000  
303.008  36.462  0.000  
304.511  35.688  0.000  
306.015  34.905  0.001  
307.519  34.117  0.001  
309.023  33.324  0.001  
310.526  32.526  0.001  
312.030  31.723  0.001  
313.534  30.917  0.002  
315.038  30.108  0.002  
316.541  29.296  0.003  
318.045  28.462  0.004  
319.549  26.967  0.005  
321.053  25.472  0.008  
322.556  23.979  0.011  
324.060  22.492  0.017  
325.564  21.015  0.024  
327.068  19.553  0.035  
328.571  18.110  0.050  
330.075  16.687  0.072  
331.579  15.291  0.103  
333.083  13.925  0.147  
334.586  12.597  0.208  
336.090  11.311  0.293  
337.594  10.077  0.412  
339.098  8.909  0.578  
340.602  7.821  0.807  
342.105  6.843  1.126  
343.609  6.023  1.567  
345.113  5.656  1.801  
346.617  5.403  1.937  
348.120  5.150  2.084  
349.624  4.894  2.242  
351.128  4.643  2.412  
352.632  4.392  2.593  
354.135  4.144  2.788  
355.639  3.899  2.996  
357.143  3.653  3.223  
358.647  3.412  3.468  
360.150  3.174  3.729  
361.654  2.941  4.010  
363.158  2.714  4.329  
364.662  2.485  4.720  
366.165  2.262  5.145  
367.669  2.047  5.608  
369.173  1.840  6.110  
370.677  1.646  6.671  
372.180  1.465  7.302  
373.684  1.296  7.989  
375.188  1.137  8.740  
376.692  0.991  9.558  
378.195  0.861  10.449  
379.699  0.745  11.419  
381.203  0.644  12.512  
382.707  0.554  13.802  
384.211  0.484  15.220  
385.714  0.431  16.822  
387.218  0.373  18.965  
388.722  0.318  21.294  
390.226  0.264  23.776  
391.729  0.228  26.550  
393.233  0.224  29.266  
394.737  0.233  32.076  
396.241  0.260  35.030  
397.744  0.294  38.065  
399.248  0.338  41.290  
400.752  0.338  43.744  
402.256  0.313  45.280  
403.759  0.307  46.595  
405.263  0.326  47.908  
406.767  0.367  49.187  
408.271  0.432  50.496  
409.774  0.496  51.468  
411.278  0.564  52.325  
412.782  0.642  53.164  
414.286  0.727  53.978  
415.789  0.818  54.804  
417.293  0.907  55.613  
418.797  0.998  56.378  
420.301  1.060  57.198  
421.805  1.113  58.056  
423.308  1.117  59.063  
424.812  1.109  60.107  
426.316  1.041  61.071  
427.820  0.970  62.049  
429.323  0.905  63.025  
430.827  0.841  64.018  
432.331  0.795  64.936  
433.835  0.753  65.850  
435.338  0.743  66.591  
436.842  0.736  67.325  
438.346  0.747  68.020  
439.850  0.761  68.704  
441.353  0.788  69.359  
442.857  0.820  69.975  
444.361  0.858  70.596  
445.865  0.894  71.171  
447.368  0.922  71.685  
448.872  0.952  72.203  
450.376  0.981  72.730  
451.880  1.011  73.231  
453.383  1.044  73.717  
454.887  1.078  74.203  
456.391  1.112  74.685  
457.895  1.163  74.958  
459.398  1.218  75.214  
460.902  1.273  75.464  
462.406  1.331  75.724  
463.910  1.388  75.973  
465.414  1.446  76.208  
466.917  1.503  76.471  
468.421  1.554  76.715  
469.925  1.600  76.981  
471.429  1.646  77.252  
472.932  1.693  77.492  
474.436  1.735  77.768  
475.940  1.775  78.043  
477.444  1.815  78.317  
478.947  1.856  78.555  
480.451  1.911  78.881  
481.955  1.962  79.181  
483.459  2.013  79.477  
484.962  2.061  79.777  
486.466  2.108  80.104  
487.970  2.152  80.405  
489.474  2.194  80.717  
490.977  2.234  81.028  
492.481  2.271  81.327  
493.985  2.319  81.608  
