#Lam(nm)  R%(0-100)  T%(0-100)
300.000  37.981  0.000  
301.504  37.213  0.001  
303.008  36.439  0.001  
304.511  35.661  0.001  
306.015  34.874  0.001  
307.519  34.081  0.002  
309.023  33.283  0.002  
310.526  32.480  0.003  
312.030  31.671  0.003  
313.534  30.858  0.004  
315.038  30.041  0.005  
316.541  29.221  0.006  
318.045  28.377  0.008  
319.549  26.864  0.011  
321.053  25.347  0.016  
322.556  23.827  0.022  
324.060  22.309  0.031  
325.564  20.795  0.044  
327.068  19.288  0.061  
328.571  17.794  0.086  
330.075  16.311  0.119  
331.579  14.845  0.165  
333.083  13.397  0.227  
334.586  11.973  0.312  
336.090  10.574  0.429  
337.594  9.207  0.587  
339.098  7.876  0.801  
340.602  6.584  1.093  
342.105  5.346  1.491  
343.609  4.179  2.033  
345.113  3.703  2.320  
346.617  3.455  2.486  
348.120  3.212  2.665  
349.624  2.974  2.857  
351.128  2.744  3.062  
352.632  2.520  3.280  
354.135  2.304  3.513  
355.639  2.096  3.760  
357.143  1.898  4.030  
358.647  1.711  4.317  
360.150  1.533  4.623  
361.654  1.367  4.948  
363.158  1.217  5.316  
364.662  1.090  5.765  
366.165  0.979  6.249  
367.669  0.883  6.770  
369.173  0.804  7.330  
370.677  0.745  7.949  
372.180  0.706  8.637  
373.684  0.687  9.378  
375.188  0.688  10.176  
376.692  0.712  11.034  
378.195  0.759  11.954  
379.699  0.832  12.941  
381.203  0.934  14.038  
382.707  1.074  15.317  
384.211  1.243  16.699  
385.714  1.446  18.236  
387.218  1.669  20.286  
388.722  1.919  22.476  
390.226  2.197  24.774  
391.729  2.497  27.311  
393.233  2.751  29.750  
394.737  2.988  32.243  
396.241  3.210  34.837  
397.744  3.413  37.474  
399.248  3.634  40.250  
400.752  3.833  42.381  
402.256  4.006  43.768  
403.759  4.135  44.966  
405.263  4.254  46.172  
406.767  4.370  47.359  
408.271  4.485  48.581  
409.774  4.540  49.510  
411.278  4.563  50.348  
412.782  4.575  51.181  
414.286  4.569  52.006  
415.789  4.545  52.855  
417.293  4.482  53.712  
418.797  4.422  54.527  
420.301  4.276  55.435  
421.805  4.110  56.389  
423.308  3.872  57.509  
424.812  3.628  58.666  
426.316  3.357  59.732  
427.820  3.105  60.802  
429.323  2.917  61.838  
430.827  2.747  62.878  
432.331  2.632  63.826  
433.835  2.535  64.759  
435.338  2.523  65.488  
436.842  2.518  66.207  
438.346  2.534  66.883  
439.850  2.554  67.547  
441.353  2.586  68.183  
442.857  2.624  68.783  
444.361  2.661  69.390  
445.865  2.691  69.955  
447.368  2.702  70.471  
448.872  2.715  70.990  
450.376  2.722  71.520  
451.880  2.729  72.027  
453.383  2.736  72.521  
454.887  2.744  73.016  
456.391  2.752  73.507  
457.895  2.793  73.779  
459.398  2.836  74.037  
460.902  2.876  74.292  
462.406  2.917  74.556  
463.910  2.954  74.813  
465.414  2.990  75.059  
466.917  3.023  75.331  
468.421  3.047  75.591  
469.925  3.062  75.874  
471.429  3.075  76.164  
472.932  3.087  76.427  
474.436  3.096  76.722  
475.940  3.103  77.017  
477.444  3.108  77.312  
478.947  3.111  77.576  
480.451  3.126  77.926  
481.955  3.136  78.254  
483.459  3.143  78.580  
484.962  3.149  78.909  
486.466  3.153  79.263  
487.970  3.154  79.595  
489.474  3.152  79.938  
490.977  3.148  80.280  
492.481  3.139  80.612  
493.985  3.140  80.929  
495.489  3.146  81.237  
496.992  3.147  81.573  
498.496  3.145  81.871  
500.000  3.141  82.196  
501.504  3.133  82.497  
503.008  3.124  82.797  
504.511  3.113  83.099  
