#Lam(nm)  R%(0-100)  T%(0-100)
300.000  11.548  0.000  
301.504  12.008  0.000  
303.008  12.450  0.000  
304.511  12.873  0.000  
306.015  13.271  0.000  
307.519  13.616  0.000  
309.023  13.928  0.000  
310.526  14.199  0.000  
312.030  14.421  0.000  
313.534  14.592  0.000  
315.038  14.707  0.001  
316.541  14.778  0.001  
318.045  14.802  0.001  
319.549  14.419  0.002  
321.053  13.978  0.003  
322.556  13.481  0.004  
324.060  12.934  0.007  
325.564  12.339  0.011  
327.068  11.707  0.016  
328.571  11.048  0.024  
330.075  10.369  0.036  
331.579  9.672  0.055  
333.083  8.970  0.081  
334.586  8.267  0.120  
336.090  7.568  0.178  
337.594  6.885  0.261  
339.098  6.228  0.382  
340.602  5.612  0.556  
342.105  5.062  0.808  
343.609  4.625  1.169  
345.113  4.446  1.366  
346.617  4.323  1.481  
348.120  4.207  1.605  
349.624  4.096  1.739  
351.128  3.995  1.882  
352.632  3.905  2.036  
354.135  3.827  2.201  
355.639  3.764  2.377  
357.143  3.715  2.568  
358.647  3.685  2.773  
360.150  3.675  2.992  
361.654  3.688  3.226  
363.158  3.723  3.489  
364.662  3.781  3.814  
366.165  3.868  4.171  
367.669  3.984  4.551  
369.173  4.134  4.964  
370.677  4.318  5.425  
372.180  4.534  5.945  
373.684  4.790  6.512  
375.188  5.086  7.131  
376.692  5.426  7.804  
378.195  5.812  8.537  
379.699  6.244  9.335  
381.203  6.720  10.235  
382.707  7.229  11.302  
384.211  7.785  12.479  
385.714  8.373  13.814  
387.218  8.888  15.631  
388.722  9.345  17.630  
390.226  9.719  19.789  
391.729  10.082  22.226  
393.233  10.468  24.650  
394.737  10.848  27.202  
396.241  11.258  29.924  
397.744  11.653  32.756  
399.248  12.046  35.807  
400.752  11.941  38.219  
402.256  11.356  39.835  
403.759  10.772  41.270  
405.263  10.203  42.722  
406.767  9.629  44.179  
408.271  9.072  45.699  
409.774  8.564  46.893  
411.278  8.082  47.976  
412.782  7.604  49.051  
414.286  7.121  50.117  
415.789  6.654  51.199  
417.293  6.193  52.271  
418.797  5.787  53.285  
420.301  5.413  54.318  
421.805  5.081  55.368  
423.308  4.847  56.478  
424.812  4.668  57.593  
426.316  4.633  58.500  
427.820  4.633  59.400  
429.323  4.664  60.280  
430.827  4.711  61.167  
432.331  4.747  61.995  
433.835  4.787  62.819  
435.338  4.798  63.516  
436.842  4.809  64.209  
438.346  4.794  64.896  
439.850  4.779  65.573  
441.353  4.745  66.248  
442.857  4.707  66.886  
444.361  4.655  67.552  
445.865  4.608  68.165  
447.368  4.564  68.713  
448.872  4.520  69.267  
450.376  4.474  69.837  
451.880  4.425  70.381  
453.383  4.372  70.914  
454.887  4.318  71.452  
456.391  4.264  71.989  
457.895  4.215  72.334  
459.398  4.163  72.664  
460.902  4.109  72.994  
462.406  4.054  73.335  
463.910  3.997  73.671  
465.414  3.939  73.991  
466.917  3.884  74.340  
468.421  3.831  74.662  
469.925  3.778  75.002  
471.429  3.723  75.352  
472.932  3.666  75.668  
474.436  3.618  76.014  
475.940  3.574  76.356  
477.444  3.526  76.699  
478.947  3.472  77.008  
480.451  3.403  77.436  
481.955  3.334  77.831  
483.459  3.266  78.222  
484.962  3.200  78.613  
486.466  3.137  79.033  
487.970  3.076  79.419  
489.474  3.014  79.819  
490.977  2.953  80.215  
492.481  2.895  80.593  
493.985  2.829  80.971  
495.489  2.760  81.346  
496.992  2.694  81.751  
498.496  2.628  82.104  
500.000  2.565  82.488  
501.504  2.504  82.836  
503.008  2.444  83.182  
504.511  2.386  83.526  
506.015  2.330  83.867  
507.519  2.276  84.206  
509.023  2.223  84.543  
510.526  2.173  84.877  
512.030  2.136  85.028  
513.534  2.103  85.137  
515.038  2.072  85.244  
516.541  2.041  85.350  
518.045  2.011  85.453  
519.549  1.982  85.556  
521.053  1.954  85.658  
522.556  1.927  85.758  
524.060  1.901  85.856  
525.564  1.876  85.954  
527.068  1.851  86.050  
528.571  1.827  86.148  
530.075  1.796  86.272  
531.579  1.767  86.395  
533.083  1.738  86.516  
534.586  1.711  86.635  
536.090  1.685  86.752  
537.594  1.661  86.866  
539.098  1.637  86.980  
540.602  1.614  87.095  
542.105  1.593  87.209  
543.609  1.573  87.322  
545.113  1.553  87.431  
546.617  1.534  87.538  
