#Lam(nm)  R%(0-100)  T%(0-100)
300.000  4.572  0.000  
301.504  4.539  0.000  
303.008  4.506  0.000  
304.511  4.472  0.000  
306.015  4.438  0.000  
307.519  4.403  0.000  
309.023  4.366  0.000  
310.526  4.330  0.000  
312.030  4.293  0.000  
313.534  4.256  0.000  
315.038  4.218  0.000  
316.541  4.180  0.000  
318.045  4.141  0.000  
319.549  4.102  0.000  
321.053  4.063  0.000  
322.556  4.023  0.000  
324.060  3.983  0.000  
325.564  3.943  0.000  
327.068  3.902  0.000  
328.571  3.862  0.000  
330.075  3.821  0.000  
331.579  3.782  0.000  
333.083  3.742  0.001  
334.586  3.702  0.001  
336.090  3.662  0.003  
337.594  3.623  0.006  
339.098  3.584  0.012  
340.602  3.546  0.024  
342.105  3.508  0.050  
343.609  3.472  0.101  
345.113  3.439  0.165  
346.617  3.411  0.249  
348.120  3.393  0.375  
349.624  3.391  0.565  
351.128  3.384  0.749  
352.632  3.379  0.953  
354.135  3.385  1.210  
355.639  3.409  1.534  
357.143  3.460  1.943  
358.647  3.555  2.456  
360.150  3.701  3.051  
361.654  3.713  3.286  
363.158  3.750  3.552  
364.662  3.809  3.877  
366.165  3.896  4.230  
367.669  4.015  4.612  
369.173  4.168  5.028  
370.677  4.355  5.491  
372.180  4.575  6.013  
373.684  4.834  6.582  
375.188  5.134  7.202  
376.692  5.479  7.878  
378.195  5.869  8.614  
379.699  6.307  9.415  
381.203  6.789  10.321  
382.707  7.304  11.392  
384.211  7.865  12.573  
385.714  8.460  13.915  
387.218  8.979  15.741  
388.722  9.437  17.746  
390.226  9.806  19.907  
391.729  10.170  22.353  
393.233  10.559  24.788  
394.737  10.938  27.345  
396.241  11.343  30.065  
397.744  11.739  32.905  
399.248  12.130  35.961  
400.752  12.020  38.375  
402.256  11.428  39.991  
403.759  10.841  41.434  
405.263  10.269  42.895  
406.767  9.688  44.352  
408.271  9.121  45.860  
409.774  8.608  47.049  
411.278  8.122  48.133  
412.782  7.641  49.210  
