#Lam(nm)  R%(0-100)  T%(0-100)
300.000  37.824  2.039  
301.504  37.295  2.228  
303.008  36.763  2.427  
304.511  36.228  2.635  
306.015  35.687  2.857  
307.519  35.142  3.090  
309.023  34.592  3.335  
310.526  34.037  3.593  
312.030  33.476  3.866  
313.534  32.909  4.153  
315.038  32.338  4.456  
316.541  31.761  4.774  
318.045  31.167  5.117  
319.549  30.191  5.701  
321.053  29.218  6.344  
322.556  28.250  7.051  
324.060  27.290  7.829  
325.564  26.346  8.684  
327.068  25.422  9.625  
328.571  24.527  10.658  
330.075  23.666  11.796  
331.579  22.852  13.047  
333.083  22.103  14.426  
334.586  21.431  15.944  
336.090  20.858  17.619  
337.594  20.413  19.469  
339.098  20.124  21.515  
340.602  20.038  23.784  
342.105  20.201  26.304  
343.609  20.675  29.111  
345.113  20.653  30.465  
346.617  20.373  31.251  
348.120  20.101  32.046  
349.624  19.817  32.855  
351.128  19.534  33.676  
352.632  19.246  34.512  
354.135  18.953  35.361  
355.639  18.631  36.248  
357.143  18.277  37.183  
358.647  17.880  38.187  
360.150  17.431  39.296  
361.654  16.903  40.566  
363.158  16.336  41.967  
364.662  15.734  43.495  
366.165  15.041  45.279  
367.669  14.365  47.160  
369.173  13.693  49.135  
370.677  13.038  51.226  
372.180  12.397  53.392  
373.684  11.774  55.615  
375.188  11.226  57.843  
376.692  10.727  60.077  
378.195  10.259  62.329  
379.699  9.855  64.544  
381.203  9.493  66.745  
382.707  9.156  68.951  
384.211  8.869  71.138  
385.714  8.596  73.333  
387.218  8.352  75.523  
388.722  8.102  77.618  
390.226  7.836  79.586  
391.729  7.599  81.543  
393.233  7.375  83.519  
394.737  7.157  85.486  
396.241  6.963  87.468  
397.744  6.778  89.454  
399.248  6.617  91.427  
400.752  6.322  92.654  
402.256  5.902  93.103  
403.759  5.515  93.513  
405.263  5.153  93.908  
406.767  4.826  94.243  
408.271  4.512  94.584  
409.774  4.207  94.912  
411.278  3.919  95.230  
412.782  3.647  95.524  
414.286  3.396  95.785  
415.789  3.166  96.037  
417.293  2.952  96.267  
418.797  2.752  96.500  
420.301  2.555  96.707  
421.805  2.371  96.911  
423.308  2.197  97.100  
424.812  2.038  97.291  
426.316  1.897  97.441  
427.820  1.768  97.588  
429.323  1.647  97.724  
430.827  1.535  97.866  
432.331  1.432  97.977  
433.835  1.339  98.088  
435.338  1.259  98.180  
436.842  1.185  98.269  
438.346  1.109  98.366  
439.850  1.043  98.450  
441.353  0.989  98.527  
442.857  0.942  98.578  
444.361  0.896  98.649  
445.865  0.858  98.701  
447.368  0.832  98.735  
448.872  0.812  98.767  
450.376  0.794  98.810  
451.880  0.783  98.834  
453.383  0.778  98.847  
454.887  0.779  98.858  
456.391  0.784  98.872  
457.895  0.792  98.878  
459.398  0.805  98.875  
460.902  0.821  98.870  
462.406  0.840  98.867  
463.910  0.863  98.859  
465.414  0.890  98.841  
466.917  0.922  98.832  
468.421  0.961  98.802  
469.925  1.003  98.770  
471.429  1.044  98.744  
472.932  1.088  98.701  
474.436  1.147  98.658  
475.940  1.214  98.606  
477.444  1.278  98.557  
478.947  1.331  98.505  
480.451  1.385  98.471  
481.955  1.453  98.411  
483.459  1.526  98.345  
484.962  1.598  98.280  
486.466  1.667  98.230  
487.970  1.740  98.165  
489.474  1.812  98.106  
490.977  1.886  98.044  
492.481  1.963  97.974  
493.985  2.043  97.901  
495.489  2.124  97.826  
496.992  2.202  97.766  
498.496  2.283  97.686  
500.000  2.363  97.617  
501.504  2.454  97.527  
503.008  2.547  97.434  
504.511  2.635  97.346  
506.015  2.714  97.267  
507.519  2.794  97.187  
509.023  2.889  97.092  
510.526  2.993  96.988  
512.030  3.100  96.881  
513.534  3.194  96.787  
515.038  3.285  96.696  
516.541  3.378  96.604  
518.045  3.476  96.507  
519.549  3.575  96.407  
521.053  3.675  96.307  
522.556  3.774  96.209  
524.060  3.874  96.109  
525.564  3.974  96.008  
527.068  4.086  95.897  
528.571  4.198  95.785  
530.075  4.308  95.674  
531.579  4.403  95.580  
533.083  4.498  95.485  
534.586  4.592  95.391  
536.090  4.685  95.298  
537.594  4.778  95.205  
539.098  4.871  95.112  
540.602  4.976  95.007  
542.105  5.081  94.902  
543.609  5.186  94.798  
545.113  5.285  94.699  
546.617  5.384  94.601  
548.120  5.482  94.502  
549.624  5.594  94.390  
551.128  5.713  94.271  
552.632  5.833  94.152  
554.135  5.939  94.045  
555.639  6.027  93.958  
557.143  6.115  93.869  
558.647  6.205  93.779  
560.150  6.313  93.671  
561.654  6.422  93.563  
563.158  6.531  93.454  
564.662  6.629  93.356  
566.165  6.723  93.262  
567.669  6.816  93.169  
569.173  6.913  93.072  
570.677  7.017  92.969  
572.180  7.120  92.866  
573.684  7.224  92.761  
575.188  7.326  92.660  
576.692  7.427  92.559  
578.195  7.528  92.458  
579.699  7.627  92.359  
581.203  7.716  92.270  
582.707  7.806  92.180  
584.211  7.895  92.091  
585.714  7.987  91.999  
587.218  8.081  91.905  
588.722  8.175  91.812  
590.226  8.268  91.719  
591.729  8.366  91.621  
593.233  8.463  91.523  
594.737  8.561  91.425  
596.241  8.658  91.328  
597.744  8.754  91.233  
599.248  8.849  91.138  
600.752  8.943  91.044  
602.256  9.036  90.951  
603.759  9.127  90.860  
605.263  9.217  90.770  
606.767  9.307  90.681  
608.271  9.397  90.591  
609.774  9.487  90.501  
611.278  9.577  90.411  
612.782  9.666  90.322  
614.286  9.756  90.232  
615.789  9.847  90.141  
617.293  9.937  90.051  
618.797  10.027  89.961  
620.301  10.116  89.872  
621.805  10.201  89.787  
623.308  10.286  89.702  
624.812  10.370  89.618  
626.316  10.455  89.533  
627.820  10.545  89.443  
629.323  10.634  89.354  
630.827  10.722  89.266  
632.331  10.810  89.178  
633.835  10.895  89.093  
635.338  10.979  89.009  
636.842  11.062  88.927  
638.346  11.144  88.845  
639.850  11.227  88.762  
641.353  11.308  88.681  
642.857  11.390  88.599  
644.361  11.471  88.518  
645.865  11.551  88.438  
647.368  11.632  88.357  
648.872  11.712  88.277  
650.376  11.791  88.198  
651.880  11.871  88.119  
653.383  11.949  88.040  
654.887  12.026  87.963  
656.391  12.104  87.886  
657.895  12.180  87.809  
659.398  12.256  87.734  
660.902  12.333  87.656  
662.406  12.409  87.580  
663.910  12.485  87.505  
665.414  12.560  87.429  
666.917  12.635  87.354  
668.421  12.710  87.280  
669.925  12.784  87.205  
671.429  12.858  87.132  
672.932  12.931  87.059  
674.436  13.004  86.986  
675.940  13.076  86.913  
677.444  13.149  86.841  
678.947  13.222  86.769  
680.451  13.293  86.697  
681.955  13.364  86.626  
683.459  13.435  86.555  
684.962  13.504  86.486  
686.466  13.574  86.416  
687.970  13.644  86.347  
689.474  13.712  86.279  
690.977  13.781  86.210  
692.481  13.848  86.143  
693.985  13.916  86.075  
695.489  13.982  86.008  
696.992  14.050  85.941  
698.496  14.118  85.873  
700.000  14.186  85.805  
701.504  14.252  85.739  
703.008  14.320  85.671  
704.511  14.385  85.605  
706.015  14.450  85.541  
707.519  14.515  85.475  
709.023  14.579  85.411  
710.526  14.644  85.347  
712.030  14.707  85.284  
713.534  14.771  85.220  
715.038  14.835  85.156  
716.541  14.898  85.093  
718.045  14.961  85.030  
719.549  15.024  84.967  
721.053  15.086  84.905  
722.556  15.148  84.844  
724.060  15.209  84.783  
725.564  15.271  84.721  
727.068  15.331  84.660  
728.571  15.391  84.600  
730.075  15.451  84.540  
731.579  15.512  84.480  
733.083  15.572  84.420  
734.586  15.631  84.361  
736.090  15.690  84.302  
737.594  15.748  84.244  
739.098  15.806  84.186  
740.602  15.864  84.128  
742.105  15.922  84.070  
743.609  15.979  84.013  
745.113  16.035  83.957  
746.617  16.091  83.901  
748.120  16.147  83.845  
749.624  16.202  83.790  
751.128  16.257  83.735  
752.632  16.311  83.681  
754.135  16.366  83.627  
755.639  16.419  83.573  
757.143  16.474  83.518  
758.647  16.530  83.462  
760.150  16.585  83.407  
761.654  16.640  83.353  
763.158  16.694  83.298  
764.662  16.748  83.244  
766.165  16.801  83.191  
767.669  16.854  83.139  
769.173  16.906  83.086  
770.677  16.958  83.035  
772.180  17.009  82.983  
773.684  17.060  82.932  
775.188  17.111  82.881  
776.692  17.161  82.832  
778.195  17.211  82.782  
779.699  17.260  82.733  
781.203  17.309  82.684  
782.707  17.358  82.635  
784.211  17.407  82.586  
785.714  17.455  82.538  
787.218  17.503  82.490  
788.722  17.551  82.442  
790.226  17.597  82.396  
791.729  17.644  82.349  
793.233  17.691  82.302  
794.737  17.738  82.255  
796.241  17.784  82.209  
797.744  17.830  82.163  
799.248  17.876  82.118  
800.752  17.921  82.072  
802.256  17.967  82.026  
803.759  18.011  81.982  
805.263  18.056  81.937  
806.767  18.101  81.892  
808.271  18.146  81.847  
809.774  18.191  81.803  
811.278  18.235  81.758  
812.782  18.279  81.714  
814.286  18.323  81.670  
815.789  18.366  81.627  
817.293  18.410  81.583  
818.797  18.454  81.540  
820.301  18.496  81.497  
821.805  18.539  81.454  
823.308  18.582  81.412  
824.812  18.624  81.370  
826.316  18.666  81.327  
827.820  18.708  81.285  
829.323  18.751  81.243  
830.827  18.793  81.201  
832.331  18.834  81.159  
833.835  18.876  81.118  
835.338  18.917  81.076  
836.842  18.958  81.036  
838.346  18.999  80.995  
839.850  19.039  80.955  
841.353  19.080  80.914  
842.857  19.120  80.875  
844.361  19.160  80.834  
845.865  19.200  80.795  
847.368  19.239  80.756  
848.872  19.278  80.716  
850.376  19.317  80.678  
851.880  19.355  80.639  
853.383  19.394  80.601  
854.887  19.432  80.562  
856.391  19.470  80.524  
857.895  19.508  80.486  
859.398  19.545  80.449  
860.902  19.583  80.412  
862.406  19.620  80.375  
863.910  19.657  80.338  
865.414  19.693  80.301  
866.917  19.730  80.265  
868.421  19.766  80.228  
869.925  19.802  80.192  
871.429  19.837  80.157  
872.932  19.873  80.121  
874.436  19.908  80.086  
875.940  19.944  80.051  
877.444  19.978  80.016  
878.947  20.013  79.981  
880.451  20.048  79.947  
881.955  20.082  79.913  
883.459  20.116  79.878  
884.962  20.150  79.845  
886.466  20.183  79.811  
887.970  20.217  79.777  
889.474  20.250  79.744  
890.977  20.283  79.711  
892.481  20.316  79.678  
893.985  20.349  79.645  
895.489  20.381  79.613  
896.992  20.413  79.581  
898.496  20.446  79.549  
900.000  20.478  79.517  
