#Lam(nm)  R%(0-100)  T%(0-100)
300.000  40.296  2.014  
301.504  39.823  2.183  
303.008  39.348  2.357  
304.511  38.869  2.538  
306.015  38.387  2.729  
307.519  37.902  2.927  
309.023  37.414  3.133  
310.526  36.923  3.348  
312.030  36.429  3.572  
313.534  35.932  3.806  
315.038  35.434  4.049  
316.541  34.934  4.303  
318.045  34.426  4.573  
319.549  33.674  5.023  
321.053  32.950  5.510  
322.556  32.258  6.037  
324.060  31.605  6.608  
325.564  31.004  7.227  
327.068  30.461  7.897  
328.571  29.991  8.622  
330.075  29.606  9.408  
331.579  29.321  10.259  
333.083  29.163  11.183  
334.586  29.150  12.183  
336.090  29.309  13.268  
337.594  29.676  14.448  
339.098  30.285  15.731  
340.602  31.192  17.125  
342.105  32.446  18.645  
343.609  34.114  20.301  
345.113  34.584  21.116  
346.617  34.536  21.607  
348.120  34.508  22.101  
349.624  34.482  22.593  
351.128  34.473  23.087  
352.632  34.474  23.583  
354.135  34.490  24.076  
355.639  34.501  24.582  
357.143  34.503  25.110  
358.647  34.486  25.674  
360.150  34.434  26.307  
361.654  34.317  27.053  
363.158  34.161  27.898  
364.662  33.972  28.840  
366.165  33.669  29.997  
367.669  33.360  31.248  
369.173  33.037  32.594  
370.677  32.694  34.066  
372.180  32.338  35.630  
373.684  31.978  37.271  
375.188  31.657  38.962  
376.692  31.366  40.694  
378.195  31.092  42.473  
379.699  30.874  44.254  
381.203  30.701  46.047  
382.707  30.550  47.870  
384.211  30.448  49.702  
385.714  30.368  51.560  
387.218  30.333  53.427  
388.722  30.250  55.262  
390.226  30.095  57.046  
391.729  29.988  58.828  
393.233  29.899  60.646  
394.737  29.813  62.484  
396.241  29.771  64.342  
397.744  29.738  66.228  
399.248  29.742  68.113  
400.752  29.309  69.524  
402.256  28.431  70.425  
403.759  27.596  71.278  
405.263  26.781  72.122  
406.767  25.994  72.914  
408.271  25.218  73.714  
409.774  24.448  74.502  
411.278  23.699  75.280  
412.782  22.960  76.038  
414.286  22.244  76.760  
415.789  21.555  77.468  
417.293  20.885  78.151  
418.797  20.233  78.836  
420.301  19.572  79.504  
421.805  18.927  80.172  
423.308  18.293  80.819  
424.812  17.679  81.467  
426.316  17.089  82.063  
427.820  16.520  82.651  
429.323  15.961  83.223  
430.827  15.418  83.799  
432.331  14.877  84.347  
433.835  14.357  84.886  
435.338  13.872  85.383  
436.842  13.392  85.879  
438.346  12.885  86.412  
439.850  12.391  86.925  
441.353  11.934  87.407  
442.857  11.477  87.867  
444.361  11.025  88.348  
445.865  10.575  88.813  
447.368  10.172  89.225  
448.872  9.784  89.628  
450.376  9.376  90.065  
451.880  8.966  90.489  
453.383  8.588  90.876  
454.887  8.236  91.242  
456.391  7.896  91.607  
457.895  7.566  91.956  
459.398  7.243  92.290  
460.902  6.935  92.611  
462.406  6.638  92.929  
463.910  6.352  93.233  
465.414  6.074  93.522  
466.917  5.787  93.838  
468.421  5.491  94.145  
469.925  5.211  94.437  
471.429  4.962  94.705  
472.932  4.718  94.950  
474.436  4.441  95.249  
475.940  4.163  95.547  
477.444  3.915  95.814  
