%En este archivo se guardan los datos de reflectividad y transmitancia 
%usando todos los archivos correctos de indices de refracción, el Palik para el Si, el SiO2 y
%el rutilo.
#Lam(nm)  R%(0-100)  T%(0-100)
300.000  43.695  1.778  
301.504  43.776  1.926  
303.008  43.859  2.079  
304.511  43.936  2.240  
306.015  44.004  2.409  
307.519  44.059  2.587  
309.023  44.098  2.773  
310.526  44.118  2.968  
312.030  44.115  3.176  
313.534  44.087  3.393  
315.038  44.030  3.623  
316.541  43.942  3.867  
318.045  43.820  4.130  
319.549  43.654  4.619  
321.053  43.547  5.157  
322.556  43.506  5.745  
324.060  43.540  6.388  
325.564  43.657  7.086  
327.068  43.868  7.844  
328.571  44.181  8.662  
330.075  44.609  9.540  
331.579  45.164  10.476  
333.083  45.853  11.472  
334.586  46.691  12.520  
336.090  47.689  13.618  
337.594  48.855  14.759  
339.098  50.201  15.936  
340.602  51.738  17.135  
342.105  53.470  18.348  
343.609  55.408  19.557  
345.113  56.704  19.836  
346.617  57.653  19.803  
348.120  58.515  19.786  
349.624  59.298  19.784  
351.128  60.003  19.799  
352.632  60.632  19.832  
354.135  61.187  19.886  
355.639  61.661  19.971  
357.143  62.046  20.099  
358.647  62.326  20.287  
360.150  62.485  20.556  
361.654  62.493  20.939  
363.158  62.355  21.439  
364.662  62.058  22.074  
366.165  61.582  22.874  
367.669  60.969  23.803  
369.173  60.239  24.849  
370.677  59.378  26.039  
372.180  58.403  27.356  
373.684  57.341  28.782  
375.188  56.236  30.282  
376.692  55.069  31.877  
378.195  53.837  33.573  
379.699  52.590  35.326  
381.203  51.310  37.157  
382.707  49.988  39.077  
384.211  48.623  41.096  
385.714  47.220  43.210  
387.218  45.782  45.421  
388.722  44.604  47.422  
390.226  43.748  49.125  
391.729  42.912  50.845  
393.233  42.066  52.615  
394.737  41.210  54.436  
396.241  40.360  56.294  
397.744  39.509  58.197  
399.248  38.671  60.133  
400.752  37.780  61.596  
402.256  36.850  62.533  
403.759  35.947  63.443  
405.263  35.060  64.337  
406.767  34.204  65.200  
408.271  33.350  66.062  
409.774  32.488  66.931  
411.278  31.633  67.794  
412.782  30.785  68.649  
414.286  29.964  69.479  
415.789  29.160  70.291  
417.293  28.372  71.087  
418.797  27.593  71.874  
420.301  26.820  72.656  
421.805  26.110  73.375  
423.308  25.407  74.087  
424.812  24.720  74.784  
426.316  24.066  75.447  
427.820  23.424  76.100  
429.323  22.787  76.746  
430.827  22.159  77.383  
432.331  21.542  78.011  
433.835  20.942  78.620  
435.338  20.372  79.200  
436.842  19.802  79.780  
438.346  19.206  80.386  
439.850  18.622  80.980  
441.353  18.131  81.481  
442.857  17.656  81.967  
444.361  17.170  82.464  
445.865  16.692  82.952  
447.368  16.265  83.389  
448.872  15.852  83.812  
450.376  15.410  84.265  
451.880  14.969  84.717  
453.383  14.561  85.135  
454.887  14.178  85.529  
456.391  13.805  85.913  
457.895  13.441  86.286  
459.398  13.088  86.650  
460.902  12.769  86.980  
462.406  12.475  87.283  
463.910  12.194  87.575  
465.414  11.922  87.858  
466.917  11.634  88.156  
468.421  11.337  88.462  
469.925  11.057  88.753  
471.429  10.807  89.013  
472.932  10.567  89.263  
474.436  10.284  89.556  
475.940  10.003  89.848  
477.444  9.752  90.108  
478.947  9.545  90.325  
480.451  9.343  90.537  
481.955  9.133  90.756  
483.459  8.928  90.971  
484.962  8.734  91.175  
486.466  8.550  91.368  
487.970  8.374  91.554  
489.474  8.206  91.731  
490.977  8.045  91.901  
492.481  7.891  92.064  
493.985  7.741  92.224  
495.489  7.598  92.375  
496.992  7.462  92.521  
498.496  7.332  92.659  
500.000  7.208  92.792  
501.504  7.111  92.889  
503.008  7.020  92.980  
504.511  6.936  93.064  
506.015  6.862  93.138  
507.519  6.792  93.208  
509.023  6.721  93.279  
510.526  6.653  93.347  
512.030  6.591  93.409  
513.534  6.533  93.467  
515.038  6.481  93.519  
516.541  6.431  93.569  
518.045  6.386  93.614  
519.549  6.344  93.656  
521.053  6.314  93.686  
522.556  6.289  93.711  
524.060  6.268  93.732  
525.564  6.250  93.750  
527.068  6.237  93.763  
528.571  6.228  93.772  
530.075  6.222  93.778  
531.579  6.217  93.783  
533.083  6.214  93.786  
534.586  6.212  93.788  
536.090  6.210  93.790  
537.594  6.209  93.791  
539.098  6.211  93.789  
540.602  6.221  93.779  
542.105  6.234  93.766  
543.609  6.249  93.751  
545.113  6.263  93.737  
546.617  6.280  93.720  
548.120  6.299  93.701  
549.624  6.326  93.674  
551.128  6.359  93.641  
552.632  6.395  93.605  
554.135  6.426  93.574  
555.639  6.448  93.552  
557.143  6.472  93.528  
558.647  6.499  93.501  
560.150  6.536  93.464  
561.654  6.579  93.421  
563.158  6.624  93.376  
564.662  6.665  93.335  
566.165  6.705  93.295  
567.669  6.746  93.254  
569.173  6.790  93.210  
570.677  6.838  93.162  
572.180  6.888  93.112  
573.684  6.940  93.060  
575.188  6.993  93.007  
576.692  7.046  92.954  
578.195  7.101  92.899  
579.699  7.155  92.845  
581.203  7.204  92.796  
582.707  7.253  92.747  
584.211  7.303  92.697  
585.714  7.356  92.644  
587.218  7.411  92.589  
588.722  7.468  92.532  
590.226  7.526  92.474  
591.729  7.586  92.414  
593.233  7.649  92.351  
594.737  7.712  92.288  
