Source : prueba_SiO2.P2.12h 05mn 44s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	9.114	136.027
829.5408	9.139	135.932
829.1221	9.124	135.865
828.7034	9.143	135.860
828.2845	9.079	135.854
827.8656	9.097	135.819
827.4465	9.116	135.757
827.0275	9.099	135.715
826.6082	9.111	135.727
826.1889	9.131	135.636
825.7695	9.137	135.599
825.3500	9.126	135.556
824.9305	9.105	135.493
824.5108	9.100	135.419
824.0911	9.082	135.322
823.6713	9.074	135.281
823.2513	9.069	135.271
822.8313	9.064	135.269
822.4112	9.094	135.260
821.9910	9.127	135.297
821.5707	9.105	135.245
821.1503	9.092	135.248
820.7299	9.112	135.239
820.3093	9.127	135.239
819.8886	9.134	135.209
819.4679	9.155	135.192
819.0471	9.180	135.178
818.6262	9.196	135.139
818.2051	9.204	135.092
817.7841	9.212	135.047
817.3629	9.211	135.070
816.9416	9.226	135.058
816.5202	9.236	135.018
816.0988	9.254	134.987
815.6772	9.275	134.951
815.2556	9.275	134.949
814.8338	9.286	134.954
814.4120	9.297	134.922
813.9901	9.309	134.972
813.5681	9.319	134.971
813.1460	9.321	134.917
812.7238	9.320	134.914
812.3015	9.353	134.843
811.8792	9.336	134.878
811.4567	9.344	134.880
811.0341	9.346	134.845
810.6115	9.351	134.922
810.1888	9.359	134.841
809.7659	9.371	134.787
809.3430	9.383	134.770
808.9200	9.390	134.703
808.4969	9.399	134.627
808.0738	9.400	134.595
807.6505	9.407	134.618
807.2271	9.402	134.631
806.8036	9.415	134.599
806.3802	9.428	134.616
805.9564	9.441	134.579
805.5327	9.448	134.573
805.1089	9.459	134.507
804.6850	9.474	134.504
804.2610	9.476	134.510
803.8369	9.491	134.498
803.4127	9.509	134.453
802.9884	9.516	134.468
802.5640	9.528	134.452
802.1396	9.526	134.422
801.7150	9.525	134.468
801.2903	9.537	134.446
800.8657	9.536	134.474
800.4408	9.529	134.468
800.0159	9.540	134.460
799.5909	9.550	134.400
799.1658	9.561	134.422
798.7406	9.575	134.388
798.3153	9.593	134.392
797.8899	9.613	134.323
797.4644	9.622	134.298
797.0389	9.633	134.268
796.6132	9.642	134.230
796.1875	9.642	134.208
795.7617	9.655	134.171
795.3357	9.661	134.140
794.9097	9.675	134.066
794.4836	9.678	133.993
794.0574	9.685	134.017
793.6310	9.701	134.000
793.2047	9.713	133.929
792.7782	9.717	133.903
792.3516	9.723	133.886
791.9249	9.722	133.851
791.4982	9.732	133.824
791.0714	9.735	133.821
790.6444	9.737	133.835
790.2173	9.742	133.825
789.7902	9.753	133.825
789.3630	9.760	133.800
788.9357	9.769	133.797
788.5083	9.778	133.787
788.0807	9.780	133.796
787.6532	9.793	133.768
787.2256	9.788	133.769
786.7977	9.789	133.722
786.3699	9.798	133.734
785.9419	9.805	133.711
785.5139	9.809	133.692
785.0857	9.816	133.646
784.6575	9.824	133.590
784.2291	9.826	133.586
783.8007	9.826	133.584
783.3722	9.829	133.579
782.9435	9.837	133.572
782.5148	9.848	133.552
782.0861	9.848	133.567
781.6573	9.849	133.579
781.2282	9.856	133.560
780.7991	9.858	133.591
780.3698	9.864	133.592
779.9407	9.862	133.603
779.5113	9.864	133.595
779.0818	9.875	133.553
778.6523	9.889	133.496
778.2227	9.902	133.443
777.7930	9.908	133.434
777.3632	9.917	133.450
776.9332	9.922	133.443
776.5032	9.926	133.450
776.0731	9.931	133.433
775.6429	9.938	133.403
775.2126	9.946	133.386
774.7822	9.953	133.407
774.3517	9.961	133.426
773.9212	9.969	133.421
773.4905	9.975	133.438
773.0598	9.984	133.432
772.6289	9.993	133.424
772.1980	10.002	133.390
771.7669	10.007	133.378
771.3358	10.011	133.393
770.9046	10.016	133.388
770.4733	10.022	133.388
770.0419	10.032	133.397
769.6104	10.045	133.408
769.1787	10.050	133.414
768.7471	10.051	133.389
768.3152	10.066	133.383
767.8834	10.077	133.355
767.4514	10.085	133.308
767.0193	10.091	133.311
766.5872	10.102	133.293
766.1549	10.111	133.257
765.7224	10.119	133.254
765.2901	10.126	133.240
764.8575	10.139	133.230
764.4249	10.146	133.216
763.9922	10.155	133.224
763.5593	10.167	133.212
763.1264	10.173	133.225
762.6934	10.175	133.211
762.2603	10.179	133.205
761.8271	10.186	133.215
761.3938	10.192	133.207
760.9604	10.203	133.167
760.5269	10.210	133.179
760.0933	10.222	133.159
759.6597	10.235	133.127
759.2259	10.239	133.142
758.7921	10.249	133.160
758.3581	10.258	133.114
757.9240	10.258	133.097
757.4900	10.264	133.096
757.0556	10.268	133.118
756.6213	10.280	133.110
756.1868	10.290	133.088
755.7523	10.296	133.085
755.3177	10.309	133.066
754.8830	10.315	133.074
754.4482	10.317	133.088
754.0132	10.324	133.088
753.5782	10.333	133.078
753.1432	10.340	133.078
752.7079	10.347	133.082
752.2726	10.355	133.068
751.8373	10.356	133.069
751.4018	10.368	133.032
750.9662	10.378	133.017
750.5306	10.384	133.005
750.0948	10.390	132.985
749.6589	10.399	132.988
749.2230	10.404	132.989
748.7869	10.410	132.999
748.3508	10.421	132.975
747.9146	10.431	132.977
747.4782	10.439	132.979
747.0417	10.447	132.965
746.6052	10.455	132.967
746.1686	10.468	132.937
745.7319	10.481	132.912
745.2950	10.491	132.921
744.8582	10.502	132.902
744.4211	10.508	132.905
743.9841	10.519	132.898
743.5468	10.527	132.879
743.1096	10.534	132.880
742.6722	10.538	132.889
742.2347	10.541	132.914
741.7971	10.547	132.907
741.3594	10.552	132.887
740.9215	10.560	132.891
740.4838	10.565	132.875
740.0458	10.567	132.905
739.6077	10.570	132.913
739.1696	10.578	132.898
738.7313	10.584	132.902
738.2930	10.588	132.903
737.8545	10.591	132.913
737.4160	10.599	132.904
736.9773	10.602	132.933
736.5386	10.604	132.947
736.0996	10.612	132.946
735.6608	10.619	132.954
735.2218	10.625	132.949
734.7827	10.625	132.970
734.3434	10.631	132.966
733.9041	10.636	132.948
733.4647	10.637	132.941
733.0252	10.640	132.949
732.5856	10.650	132.939
732.1459	10.651	132.949
731.7061	10.648	132.955
731.2662	10.654	132.962
730.8261	10.654	132.960
730.3861	10.653	132.977
729.9459	10.656	132.973
729.5057	10.656	132.969
729.0653	10.661	132.966
728.6248	10.659	132.979
728.1843	10.659	132.996
