Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	20.771	86.310
829.5408	20.780	86.305
829.1221	20.788	86.300
828.7034	20.797	86.296
828.2845	20.805	86.291
827.8656	20.814	86.286
827.4465	20.822	86.282
827.0275	20.831	86.277
826.6082	20.840	86.272
826.1889	20.849	86.267
825.7695	20.858	86.262
825.3500	20.867	86.257
824.9305	20.876	86.252
824.5108	20.885	86.247
824.0911	20.894	86.242
823.6713	20.903	86.237
823.2513	20.912	86.232
822.8313	20.921	86.227
822.4112	20.930	86.222
821.9910	20.939	86.217
821.5707	20.948	86.211
821.1503	20.957	86.206
820.7299	20.967	86.201
820.3093	20.976	86.196
819.8886	20.985	86.191
819.4679	20.994	86.186
819.0471	21.003	86.181
818.6262	21.013	86.176
818.2051	21.022	86.171
817.7841	21.031	86.166
817.3629	21.041	86.160
816.9416	21.050	86.155
816.5202	21.059	86.150
816.0988	21.069	86.145
815.6772	21.078	86.140
815.2556	21.087	86.133
814.8338	21.097	86.127
814.4120	21.106	86.120
813.9901	21.116	86.113
813.5681	21.125	86.107
813.1460	21.135	86.100
812.7238	21.144	86.093
812.3015	21.154	86.087
811.8792	21.163	86.080
811.4567	21.173	86.073
811.0341	21.182	86.067
810.6115	21.192	86.060
810.1888	21.202	86.053
809.7659	21.211	86.045
809.3430	21.220	86.037
808.9200	21.230	86.029
808.4969	21.239	86.022
808.0738	21.249	86.014
807.6505	21.258	86.006
807.2271	21.268	85.998
806.8036	21.277	85.991
806.3802	21.287	85.983
805.9564	21.297	85.975
805.5327	21.306	85.967
805.1089	21.316	85.959
804.6850	21.325	85.952
804.2610	21.335	85.944
803.8369	21.345	85.936
803.4127	21.354	85.928
802.9884	21.364	85.920
802.5640	21.374	85.913
802.1396	21.383	85.905
801.7150	21.393	85.897
801.2903	21.403	85.889
800.8657	21.412	85.881
800.4408	21.422	85.873
800.0159	21.432	85.866
799.5909	21.442	85.860
799.1658	21.452	85.855
798.7406	21.463	85.851
798.3153	21.473	85.846
797.8899	21.483	85.841
797.4644	21.494	85.837
797.0389	21.504	85.832
796.6132	21.514	85.827
796.1875	21.525	85.823
795.7617	21.535	85.818
795.3357	21.546	85.813
794.9097	21.556	85.808
794.4836	21.567	85.803
794.0574	21.578	85.798
793.6310	21.588	85.793
793.2047	21.599	85.787
792.7782	21.610	85.782
792.3516	21.621	85.776
791.9249	21.632	85.771
791.4982	21.643	85.766
791.0714	21.653	85.760
790.6444	21.664	85.755
790.2173	21.675	85.749
789.7902	21.686	85.744
789.3630	21.697	85.737
788.9357	21.708	85.731
788.5083	21.718	85.724
788.0807	21.729	85.718
787.6532	21.740	85.711
787.2256	21.751	85.705
786.7977	21.762	85.698
786.3699	21.772	85.692
785.9419	21.783	85.685
785.5139	21.794	85.678
785.0857	21.805	85.672
784.6575	21.816	85.665
784.2291	21.826	85.658
783.8007	21.837	85.650
783.3722	21.848	85.642
782.9435	21.858	85.635
782.5148	21.869	85.627
782.0861	21.880	85.619
781.6573	21.890	85.612
781.2282	21.901	85.604
780.7991	21.912	85.596
780.3698	21.922	85.589
779.9407	21.933	85.581
779.5113	21.944	85.574
779.0818	21.954	85.568
778.6523	21.964	85.561
778.2227	21.975	85.555
777.7930	21.985	85.548
777.3632	21.996	85.542
776.9332	22.006	85.535
776.5032	22.017	85.529
776.0731	22.027	85.522
775.6429	22.038	85.516
775.2126	22.048	85.509
774.7822	22.059	85.503
774.3517	22.070	85.495
773.9212	22.082	85.488
773.4905	22.093	85.481
773.0598	22.104	85.474
772.6289	22.116	85.467
772.1980	22.127	85.460
771.7669	22.138	85.453
771.3358	22.150	85.445
770.9046	22.161	85.438
770.4733	22.173	85.431
770.0419	22.184	85.424
769.6104	22.195	85.416
769.1787	22.207	85.409
768.7471	22.218	85.402
768.3152	22.230	85.395
767.8834	22.242	85.387
767.4514	22.253	85.380
767.0193	22.265	85.373
766.5872	22.276	85.365
766.1549	22.288	85.358
765.7224	22.300	85.351
765.2901	22.311	85.343
764.8575	22.323	85.335
764.4249	22.334	85.327
763.9922	22.346	85.319
763.5593	22.357	85.311
763.1264	22.369	85.303
762.6934	22.380	85.295
762.2603	22.392	85.287
761.8271	22.403	85.279
761.3938	22.415	85.271
760.9604	22.426	85.263
760.5269	22.438	85.255
760.0933	22.449	85.247
759.6597	22.460	85.240
759.2259	22.471	85.233
758.7921	22.482	85.225
758.3581	22.493	85.218
757.9240	22.504	85.211
757.4900	22.515	85.203
757.0556	22.526	85.196
756.6213	22.537	85.189
756.1868	22.549	85.181
755.7523	22.560	85.173
755.3177	22.572	85.164
754.8830	22.583	85.156
754.4482	22.595	85.147
754.0132	22.607	85.138
753.5782	22.618	85.129
753.1432	22.630	85.120
752.7079	22.642	85.112
752.2726	22.653	85.103
751.8373	22.665	85.094
751.4018	22.677	85.085
750.9662	22.689	85.077
750.5306	22.701	85.068
750.0948	22.713	85.060
749.6589	22.725	85.051
749.2230	22.737	85.043
748.7869	22.749	85.034
748.3508	22.761	85.026
747.9146	22.773	85.017
747.4782	22.786	85.009
747.0417	22.798	85.001
746.6052	22.810	84.992
746.1686	22.822	84.983
745.7319	22.834	84.975
745.2950	22.847	84.966
744.8582	22.859	84.958
744.4211	22.871	84.949
743.9841	22.884	84.941
743.5468	22.896	84.932
743.1096	22.908	84.924
742.6722	22.921	84.915
742.2347	22.933	84.907
741.7971	22.945	84.901
741.3594	22.958	84.894
740.9215	22.970	84.887
740.4838	22.982	84.881
740.0458	22.995	84.874
739.6077	23.007	84.867
739.1696	23.020	84.861
738.7313	23.032	84.854
738.2930	23.045	84.847
737.8545	23.057	84.840
737.4160	23.071	84.832
736.9773	23.084	84.825
736.5386	23.097	84.817
736.0996	23.110	84.809
735.6608	23.123	84.801
735.2218	23.137	84.793
734.7827	23.150	84.785
734.3434	23.163	84.777
733.9041	23.176	84.769
733.4647	23.190	84.762
733.0252	23.203	84.755
732.5856	23.216	84.749
732.1459	23.229	84.742
731.7061	23.242	84.735
731.2662	23.255	84.728
730.8261	23.269	84.722
730.3861	23.282	84.715
729.9459	23.295	84.708
729.5057	23.308	84.701
729.0653	23.321	84.693
728.6248	23.334	84.683
728.1843	23.347	84.674
727.7436	23.359	84.664
727.3028	23.372	84.654
726.8619	23.385	84.645
726.4210	23.398	84.635
725.9799	23.411	84.625
725.5388	23.423	84.616
725.0975	23.436	84.606
724.6562	23.449	84.596
724.2147	23.462	84.587
723.7732	23.475	84.577
723.3315	23.488	84.568
722.8898	23.501	84.558
722.4479	23.514	84.548
722.0060	23.527	84.539
721.5640	23.540	84.529
721.1218	23.553	84.520
720.6796	23.566	84.510
720.2373	23.579	84.501
719.7949	23.593	84.491
719.3524	23.606	84.482
718.9097	23.619	84.472
718.4670	23.633	84.463
718.0242	23.646	84.453
717.5813	23.660	84.444
717.1383	23.673	84.435
716.6952	23.687	84.425
716.2520	23.700	84.416
715.8087	23.714	84.407
715.3653	23.728	84.398
714.9218	23.742	84.388
714.4782	23.756	84.379
714.0345	23.770	84.370
713.5907	23.784	84.361
713.1469	23.798	84.351
712.7028	23.812	84.342
712.2588	23.826	84.333
711.8146	23.840	84.323
711.3703	23.854	84.314
710.9259	23.868	84.305
710.4814	23.882	84.295
710.0369	23.896	84.286
709.5922	23.910	84.277
709.1474	23.924	84.267
708.7026	23.939	84.258
708.2576	23.953	84.249
707.8125	23.966	84.241
707.3674	23.980	84.233
706.9221	23.993	84.225
706.4767	24.007	84.217
706.0313	24.021	84.209
705.5857	24.034	84.201
705.1401	24.048	84.193
704.6943	24.062	84.185
704.2484	24.076	84.176
703.8025	24.090	84.166
703.3564	24.104	84.156
702.9103	24.118	84.146
702.4641	24.132	84.137
702.0177	24.146	84.127
701.5712	24.160	84.117
701.1247	24.174	84.107
700.6780	24.189	84.097
700.2313	24.203	84.087
699.7844	24.217	84.077
699.3375	24.231	84.068
698.8904	24.245	84.058
698.4433	24.259	84.048
697.9961	24.273	84.039
697.5488	24.287	84.029
697.1013	24.302	84.019
696.6537	24.316	84.009
696.2061	24.330	84.000
695.7584	24.344	83.990
695.3105	24.358	83.980
694.8626	24.372	83.970
694.4146	24.387	83.960
693.9664	24.401	83.950
693.5182	24.415	83.941
693.0699	24.429	83.931
692.6215	24.444	83.921
692.1729	24.458	83.911
691.7243	24.472	83.901
691.2756	24.487	83.891
690.8267	24.501	83.881
690.3778	24.516	83.871
689.9288	24.530	83.861
689.4797	24.544	83.851
689.0304	24.559	83.841
688.5811	24.574	83.831
688.1317	24.589	83.821
687.6821	24.603	83.811
687.2325	24.618	83.802
686.7828	24.633	83.792
686.3329	24.648	83.782
685.8830	24.663	83.772
685.4330	24.679	83.762
684.9828	24.694	83.752
684.5327	24.709	83.743
684.0823	24.724	83.733
683.6319	24.739	83.723
683.1813	24.754	83.713
682.7307	24.770	83.703
682.2800	24.785	83.693
681.8292	24.800	83.684
681.3782	24.815	83.674
680.9272	24.830	83.664
680.4761	24.846	83.654
680.0248	24.861	83.644
679.5735	24.876	83.634
679.1221	24.891	83.624
678.6705	24.906	83.614
678.2189	24.921	83.604
677.7672	24.936	83.594
677.3154	24.951	83.584
676.8634	24.966	83.573
676.4114	24.981	83.563
675.9592	24.996	83.553
675.5070	25.011	83.543
675.0547	25.026	83.533
674.6022	25.041	83.523
674.1497	25.056	83.513
673.6971	25.071	83.503
673.2443	25.086	83.493
672.7915	25.101	83.483
672.3386	25.116	83.473
671.8855	25.132	83.463
671.4324	25.147	83.453
670.9791	25.162	83.443
670.5258	25.177	83.433
670.0723	25.193	83.423
669.6188	25.208	83.413
669.1651	25.224	83.402
668.7114	25.240	83.392
668.2575	25.256	83.382
667.8035	25.272	83.372
667.3495	25.287	83.362
666.8953	25.303	83.352
666.4411	25.319	83.342
665.9868	25.335	83.332
665.5323	25.351	83.323
665.0777	25.367	83.313
664.6230	25.383	83.304
664.1683	25.399	83.294
663.7134	25.415	83.284
663.2584	25.431	83.275
662.8034	25.448	83.265
662.3482	25.464	83.256
661.8929	25.480	83.246
661.4376	25.496	83.237
660.9821	25.513	83.227
660.5265	25.529	83.217
660.0708	25.545	83.208
659.6151	25.562	83.198
659.1592	25.578	83.189
658.7032	25.594	83.180
658.2471	25.611	83.170
657.7909	25.627	83.161
657.3346	25.644	83.151
656.8782	25.661	83.142
656.4218	25.677	83.132
655.9651	25.694	83.123
655.5084	25.711	83.113
655.0516	25.727	83.104
654.5947	25.744	83.095
654.1377	25.761	83.085
653.6806	25.778	83.076
653.2234	25.794	83.066
652.7661	25.811	83.057
652.3087	25.828	83.048
651.8511	25.845	83.038
651.3936	25.862	83.029
650.9358	25.879	83.020
650.4780	25.896	83.011
650.0201	25.913	83.002
649.5620	25.930	82.992
649.1039	25.947	82.983
648.6457	25.964	82.974
648.1873	25.981	82.965
647.7289	25.998	82.956
647.2703	26.015	82.947
646.8117	26.032	82.938
646.3530	26.050	82.928
645.8941	26.067	82.919
645.4351	26.084	82.910
644.9761	26.101	82.901
644.5169	26.118	82.892
644.0577	26.135	82.883
643.5983	26.152	82.874
643.1389	26.169	82.865
642.6793	26.186	82.856
642.2196	26.203	82.847
641.7598	26.220	82.838
641.2999	26.236	82.830
640.8400	26.253	82.821
640.3799	26.270	82.812
639.9197	26.287	82.803
639.4594	26.304	82.794
638.9990	26.321	82.786
638.5385	26.338	82.777
638.0779	26.355	82.768
637.6172	26.372	82.760
637.1564	26.389	82.751
636.6954	26.406	82.742
636.2344	26.423	82.734
635.7733	26.440	82.725
635.3121	26.458	82.716
