Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	16.590	97.755
829.5408	16.598	97.754
829.1221	16.606	97.753
828.7034	16.614	97.752
828.2845	16.623	97.751
827.8656	16.631	97.750
827.4465	16.639	97.749
827.0275	16.647	97.748
826.6082	16.655	97.747
826.1889	16.663	97.746
825.7695	16.672	97.744
825.3500	16.680	97.742
824.9305	16.689	97.740
824.5108	16.697	97.738
824.0911	16.706	97.736
823.6713	16.715	97.734
823.2513	16.723	97.732
822.8313	16.732	97.730
822.4112	16.740	97.728
821.9910	16.749	97.726
821.5707	16.757	97.724
821.1503	16.766	97.722
820.7299	16.775	97.720
820.3093	16.783	97.718
819.8886	16.792	97.716
819.4679	16.801	97.714
819.0471	16.810	97.712
818.6262	16.818	97.709
818.2051	16.827	97.707
817.7841	16.836	97.705
817.3629	16.845	97.703
816.9416	16.854	97.700
816.5202	16.862	97.698
816.0988	16.871	97.696
815.6772	16.880	97.693
815.2556	16.889	97.689
814.8338	16.898	97.685
814.4120	16.906	97.681
813.9901	16.915	97.676
813.5681	16.924	97.672
813.1460	16.933	97.668
812.7238	16.942	97.663
812.3015	16.951	97.659
811.8792	16.960	97.655
811.4567	16.968	97.650
811.0341	16.977	97.646
810.6115	16.986	97.642
810.1888	16.995	97.637
809.7659	17.004	97.631
809.3430	17.012	97.626
808.9200	17.021	97.620
808.4969	17.030	97.615
808.0738	17.038	97.609
807.6505	17.047	97.603
807.2271	17.056	97.598
806.8036	17.065	97.592
806.3802	17.073	97.587
805.9564	17.082	97.581
805.5327	17.091	97.575
805.1089	17.100	97.570
804.6850	17.108	97.564
804.2610	17.117	97.558
803.8369	17.126	97.552
803.4127	17.135	97.547
802.9884	17.144	97.541
802.5640	17.153	97.535
802.1396	17.161	97.529
801.7150	17.170	97.523
801.2903	17.179	97.518
800.8657	17.188	97.512
800.4408	17.197	97.506
800.0159	17.206	97.500
799.5909	17.216	97.496
799.1658	17.225	97.494
798.7406	17.235	97.491
798.3153	17.245	97.488
797.8899	17.255	97.485
797.4644	17.265	97.483
797.0389	17.275	97.480
796.6132	17.285	97.477
796.1875	17.295	97.474
795.7617	17.305	97.471
795.3357	17.315	97.468
794.9097	17.325	97.465
794.4836	17.335	97.461
794.0574	17.345	97.457
793.6310	17.355	97.453
793.2047	17.366	97.449
792.7782	17.376	97.445
792.3516	17.386	97.441
791.9249	17.396	97.436
791.4982	17.407	97.432
791.0714	17.417	97.428
790.6444	17.428	97.423
790.2173	17.438	97.419
789.7902	17.448	97.415
789.3630	17.458	97.409
788.9357	17.468	97.404
788.5083	17.478	97.399
788.0807	17.488	97.393
787.6532	17.499	97.388
787.2256	17.509	97.382
786.7977	17.519	97.377
786.3699	17.529	97.371
785.9419	17.539	97.366
785.5139	17.549	97.360
785.0857	17.559	97.355
784.6575	17.569	97.349
784.2291	17.579	97.342
783.8007	17.589	97.336
783.3722	17.599	97.329
782.9435	17.609	97.323
782.5148	17.619	97.316
782.0861	17.628	97.310
781.6573	17.638	97.303
781.2282	17.648	97.296
780.7991	17.658	97.290
780.3698	17.668	97.283
779.9407	17.678	97.276
779.5113	17.688	97.270
779.0818	17.697	97.266
778.6523	17.707	97.261
778.2227	17.717	97.256
777.7930	17.726	97.251
777.3632	17.736	97.246
776.9332	17.746	97.241
776.5032	17.756	97.236
776.0731	17.766	97.231
775.6429	17.775	97.226
775.2126	17.785	97.221
774.7822	17.795	97.216
774.3517	17.806	97.209
773.9212	17.816	97.202
773.4905	17.827	97.196
773.0598	17.837	97.189
772.6289	17.848	97.182
772.1980	17.858	97.176
771.7669	17.869	97.169
771.3358	17.879	97.162
770.9046	17.890	97.155
770.4733	17.901	97.148
770.0419	17.911	97.141
769.6104	17.922	97.134
769.1787	17.933	97.127
768.7471	17.943	97.120
768.3152	17.954	97.113
767.8834	17.965	97.106
767.4514	17.975	97.099
767.0193	17.986	97.092
766.5872	17.997	97.085
766.1549	18.008	97.077
765.7224	18.019	97.070
765.2901	18.029	97.063
764.8575	18.040	97.055
764.4249	18.050	97.047
763.9922	18.061	97.039
763.5593	18.071	97.031
763.1264	18.082	97.023
762.6934	18.093	97.015
762.2603	18.103	97.008
761.8271	18.114	97.000
761.3938	18.124	96.991
760.9604	18.135	96.983
760.5269	18.145	96.976
760.0933	18.156	96.969
759.6597	18.166	96.963
759.2259	18.176	96.957
758.7921	18.186	96.950
758.3581	18.196	96.944
757.9240	18.206	96.937
757.4900	18.217	96.931
757.0556	18.227	96.924
756.6213	18.237	96.917
756.1868	18.247	96.911
755.7523	18.258	96.903
755.3177	18.268	96.894
754.8830	18.279	96.885
754.4482	18.289	96.877
754.0132	18.300	96.868
753.5782	18.310	96.859
753.1432	18.321	96.850
752.7079	18.332	96.841
752.2726	18.342	96.832
751.8373	18.353	96.823
751.4018	18.364	96.814
750.9662	18.374	96.805
750.5306	18.385	96.797
750.0948	18.396	96.788
749.6589	18.407	96.779
749.2230	18.418	96.770
748.7869	18.429	96.761
748.3508	18.440	96.752
747.9146	18.451	96.743
747.4782	18.462	96.734
747.0417	18.473	96.725
746.6052	18.485	96.716
746.1686	18.496	96.707
745.7319	18.507	96.698
745.2950	18.518	96.689
744.8582	18.529	96.680
744.4211	18.540	96.670
743.9841	18.551	96.661
743.5468	18.563	96.652
743.1096	18.574	96.642
742.6722	18.585	96.633
742.2347	18.596	96.625
741.7971	18.608	96.618
741.3594	18.619	96.611
740.9215	18.631	96.604
740.4838	18.642	96.597
740.0458	18.653	96.590
739.6077	18.665	96.583
739.1696	18.676	96.575
738.7313	18.688	96.568
738.2930	18.700	96.561
737.8545	18.711	96.553
737.4160	18.723	96.544
736.9773	18.735	96.535
736.5386	18.747	96.525
736.0996	18.759	96.516
735.6608	18.772	96.507
735.2218	18.784	96.497
734.7827	18.796	96.488
734.3434	18.808	96.478
733.9041	18.820	96.468
733.4647	18.832	96.460
733.0252	18.844	96.452
732.5856	18.856	96.444
732.1459	18.868	96.436
731.7061	18.881	96.428
731.2662	18.893	96.420
730.8261	18.905	96.412
730.3861	18.917	96.404
729.9459	18.929	96.396
729.5057	18.942	96.388
729.0653	18.953	96.378
728.6248	18.965	96.367
728.1843	18.976	96.357
727.7436	18.987	96.346
727.3028	18.998	96.335
726.8619	19.010	96.324
726.4210	19.021	96.314
725.9799	19.032	96.303
725.5388	19.044	96.292
725.0975	19.055	96.281
724.6562	19.066	96.270
724.2147	19.078	96.259
723.7732	19.089	96.248
723.3315	19.101	96.238
722.8898	19.112	96.227
722.4479	19.124	96.216
722.0060	19.135	96.205
721.5640	19.147	96.194
721.1218	19.158	96.183
720.6796	19.170	96.172
720.2373	19.182	96.161
719.7949	19.193	96.150
719.3524	19.205	96.139
718.9097	19.217	96.128
718.4670	19.229	96.116
718.0242	19.241	96.105
717.5813	19.253	96.094
717.1383	19.265	96.083
716.6952	19.277	96.072
716.2520	19.289	96.060
715.8087	19.301	96.049
715.3653	19.314	96.038
714.9218	19.326	96.026
714.4782	19.338	96.015
714.0345	19.351	96.003
713.5907	19.363	95.992
713.1469	19.375	95.980
712.7028	19.388	95.969
712.2588	19.400	95.957
711.8146	19.413	95.946
711.3703	19.425	95.934
710.9259	19.437	95.922
710.4814	19.450	95.910
710.0369	19.462	95.899
709.5922	19.475	95.887
709.1474	19.487	95.875
708.7026	19.500	95.863
708.2576	19.512	95.853
707.8125	19.524	95.843
707.3674	19.536	95.834
706.9221	19.549	95.824
706.4767	19.561	95.814
706.0313	19.573	95.805
705.5857	19.585	95.795
705.1401	19.597	95.786
704.6943	19.610	95.776
704.2484	19.622	95.765
703.8025	19.634	95.753
703.3564	19.646	95.741
702.9103	19.659	95.729
702.4641	19.671	95.716
702.0177	19.683	95.704
701.5712	19.695	95.692
701.1247	19.708	95.680
700.6780	19.720	95.667
700.2313	19.732	95.655
699.7844	19.745	95.644
699.3375	19.757	95.632
698.8904	19.769	95.620
698.4433	19.781	95.608
697.9961	19.794	95.596
697.5488	19.806	95.584
697.1013	19.818	95.572
696.6537	19.830	95.560
696.2061	19.843	95.548
695.7584	19.855	95.536
695.3105	19.867	95.524
694.8626	19.879	95.513
694.4146	19.891	95.501
693.9664	19.904	95.489
693.5182	19.916	95.477
693.0699	19.928	95.465
692.6215	19.941	95.452
692.1729	19.953	95.440
691.7243	19.965	95.428
691.2756	19.978	95.415
690.8267	19.990	95.403
690.3778	20.002	95.391
689.9288	20.015	95.378
689.4797	20.027	95.366
689.0304	20.040	95.354
688.5811	20.052	95.341
688.1317	20.065	95.328
687.6821	20.078	95.316
687.2325	20.091	95.303
686.7828	20.104	95.290
686.3329	20.116	95.278
685.8830	20.129	95.265
685.4330	20.142	95.252
684.9828	20.155	95.239
684.5327	20.168	95.226
684.0823	20.181	95.214
683.6319	20.194	95.201
683.1813	20.207	95.188
682.7307	20.220	95.175
682.2800	20.233	95.162
681.8292	20.246	95.149
681.3782	20.259	95.136
680.9272	20.272	95.123
680.4761	20.285	95.110
680.0248	20.298	95.098
679.5735	20.311	95.085
679.1221	20.323	95.072
678.6705	20.336	95.059
678.2189	20.349	95.046
677.7672	20.362	95.033
677.3154	20.375	95.021
676.8634	20.387	95.008
676.4114	20.400	94.996
675.9592	20.412	94.983
675.5070	20.425	94.970
675.0547	20.438	94.958
674.6022	20.450	94.945
674.1497	20.463	94.932
673.6971	20.476	94.920
673.2443	20.488	94.907
672.7915	20.501	94.894
672.3386	20.514	94.882
671.8855	20.526	94.869
671.4324	20.539	94.856
670.9791	20.552	94.844
670.5258	20.565	94.831
670.0723	20.578	94.818
669.6188	20.591	94.805
669.1651	20.604	94.792
668.7114	20.617	94.778
668.2575	20.631	94.765
667.8035	20.644	94.751
667.3495	20.657	94.738
666.8953	20.670	94.725
666.4411	20.684	94.711
665.9868	20.697	94.699
665.5323	20.711	94.686
665.0777	20.724	94.673
664.6230	20.737	94.660
664.1683	20.751	94.647
663.7134	20.764	94.634
663.2584	20.778	94.621
662.8034	20.792	94.608
662.3482	20.805	94.595
661.8929	20.819	94.582
661.4376	20.832	94.569
660.9821	20.846	94.556
660.5265	20.860	94.543
660.0708	20.873	94.530
659.6151	20.887	94.517
659.1592	20.901	94.504
658.7032	20.914	94.491
658.2471	20.928	94.478
657.7909	20.942	94.465
657.3346	20.956	94.452
656.8782	20.970	94.439
656.4218	20.983	94.426
655.9651	20.997	94.412
655.5084	21.011	94.399
655.0516	21.025	94.386
654.5947	21.039	94.373
654.1377	21.053	94.360
653.6806	21.067	94.347
653.2234	21.081	94.333
652.7661	21.095	94.320
652.3087	21.109	94.307
651.8511	21.123	94.294
651.3936	21.137	94.281
650.9358	21.151	94.268
650.4780	21.165	94.256
650.0201	21.179	94.243
649.5620	21.193	94.230
649.1039	21.207	94.217
648.6457	21.222	94.204
648.1873	21.236	94.191
647.7289	21.250	94.178
647.2703	21.264	94.165
646.8117	21.278	94.152
646.3530	21.293	94.139
645.8941	21.307	94.126
645.4351	21.321	94.113
644.9761	21.335	94.101
644.5169	21.349	94.088
644.0577	21.363	94.076
643.5983	21.377	94.063
643.1389	21.391	94.051
642.6793	21.405	94.038
642.2196	21.419	94.026
641.7598	21.432	94.014
641.2999	21.446	94.002
640.8400	21.460	93.990
640.3799	21.473	93.979
639.9197	21.487	93.967
639.4594	21.501	93.955
638.9990	21.515	93.943
638.5385	21.529	93.931
638.0779	21.543	93.919
637.6172	21.557	93.908
637.1564	21.570	93.896
636.6954	21.584	93.884
636.2344	21.598	93.872
635.7733	21.613	93.860
635.3121	21.627	93.847
634.8508	21.642	93.833
634.3893	21.657	93.820
633.9278	21.671	93.807
633.4662	21.686	93.793
633.0044	21.701	93.780
632.5425	21.716	93.766
632.0806	21.731	93.753
631.6186	21.745	93.739
631.1564	21.760	93.726
630.6942	21.775	93.712
630.2318	21.790	93.699
629.7693	21.805	93.685
629.3068	21.820	93.672
628.8441	21.835	93.659
628.3813	21.850	93.645
627.9184	21.866	93.632
627.4554	21.881	93.619
626.9923	21.896	93.606
626.5291	21.911	93.593
626.0658	21.926	93.580
625.6024	21.942	93.567
625.1389	21.957	93.554
624.6753	21.972	93.541
624.2115	21.988	93.529
623.7477	22.003	93.516
623.2838	22.019	93.503
622.8198	22.034	93.490
622.3557	22.050	93.477
621.8914	22.065	93.464
621.4271	22.081	93.451
620.9626	22.097	93.439
620.4980	22.112	93.426
620.0334	22.128	93.413
619.5687	22.143	93.401
619.1038	22.158	93.390
618.6388	22.174	93.379
618.1737	22.189	93.368
617.7086	22.204	93.357
617.2433	22.219	93.346
616.7779	22.234	93.335
616.3124	22.250	93.323
615.8468	22.265	93.312
615.3810	22.281	93.301
614.9153	22.296	93.290
614.4492	22.312	93.279
613.9833	22.327	93.268
613.5172	22.343	93.257
613.0510	22.358	93.246
612.5847	22.373	93.235
612.1182	22.389	93.224
611.6516	22.404	93.213
611.1850	22.420	93.202
610.7183	22.436	93.191
610.2514	22.451	93.180
609.7844	22.467	93.169
609.3173	22.482	93.158
608.8502	22.498	93.147
608.3829	22.513	93.136
607.9156	22.529	93.125
607.4480	22.545	93.114
606.9804	22.561	93.103
606.5127	22.576	93.092
606.0449	22.592	93.081
605.5770	22.608	93.070
605.1089	22.624	93.060
604.6408	22.640	93.049
604.1726	22.656	93.038
603.7042	22.672	93.027
603.2358	22.688	93.017
602.7673	22.704	93.006
602.2986	22.720	92.996
601.8298	22.736	92.985
601.3610	22.753	92.974
600.8920	22.769	92.964
600.4229	22.785	92.953
599.9537	22.802	92.943
599.4844	22.818	92.932
599.0150	22.834	92.921
598.5455	22.851	92.911
598.0759	22.868	92.901
597.6062	22.884	92.891
597.1364	22.901	92.880
596.6664	22.918	92.870
596.1964	22.935	92.860
595.7263	22.952	92.850
595.2560	22.969	92.840
594.7857	22.986	92.830
594.3152	23.004	92.820
593.8447	23.021	92.810
593.3741	23.038	92.800
592.9032	23.056	92.790
592.4323	23.073	92.780
591.9613	23.091	92.770
591.4902	23.108	92.760
591.0190	23.126	92.750
590.5477	23.143	92.740
590.0763	23.161	92.729
589.6048	23.178	92.718
589.1331	23.195	92.707
588.6614	23.212	92.696
588.1896	23.230	92.685
587.7176	23.247	92.674
587.2455	23.264	92.663
586.7734	23.282	92.652
586.3011	23.299	92.641
585.8287	23.317	92.630
585.3563	23.334	92.619
584.8837	23.352	92.608
584.4109	23.370	92.598
583.9382	23.387	92.588
583.4652	23.405	92.578
582.9922	23.423	92.568
582.5191	23.441	92.559
582.0458	23.459	92.549
581.5725	23.477	92.540
581.0991	23.495	92.532
580.6255	23.513	92.523
580.1519	23.531	92.515
579.6780	23.549	92.506
579.2042	23.567	92.497
578.7303	23.585	92.489
578.2561	23.604	92.480
577.7819	23.622	92.471
