Source : SiO2_Marcela.M1.11h 13mn 13s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	20.518	86.687
829.5408	20.505	86.682
829.1221	20.495	86.661
828.7034	20.495	86.652
828.2845	20.466	86.649
827.8656	20.501	86.625
827.4465	20.541	86.609
827.0275	20.528	86.543
826.6082	20.522	86.534
826.1889	20.529	86.483
825.7695	20.540	86.455
825.3500	20.548	86.500
824.9305	20.534	86.541
824.5108	20.516	86.489
824.0911	20.527	86.454
823.6713	20.532	86.403
823.2513	20.528	86.439
822.8313	20.541	86.421
822.4112	20.556	86.410
821.9910	20.601	86.440
821.5707	20.578	86.442
821.1503	20.571	86.454
820.7299	20.598	86.425
820.3093	20.622	86.430
819.8886	20.699	86.389
819.4679	20.695	86.368
819.0471	20.708	86.352
818.6262	20.703	86.377
818.2051	20.718	86.375
817.7841	20.700	86.377
817.3629	20.690	86.384
816.9416	20.694	86.404
816.5202	20.700	86.406
816.0988	20.704	86.414
815.6772	20.741	86.374
815.2556	20.732	86.369
814.8338	20.754	86.373
814.4120	20.769	86.387
813.9901	20.762	86.416
813.5681	20.797	86.410
813.1460	20.815	86.378
812.7238	20.828	86.378
812.3015	20.863	86.338
811.8792	20.833	86.365
811.4567	20.828	86.324
811.0341	20.848	86.339
810.6115	20.845	86.436
810.1888	20.839	86.407
809.7659	20.866	86.381
809.3430	20.893	86.356
808.9200	20.893	86.309
808.4969	20.915	86.262
808.0738	20.932	86.211
807.6505	20.944	86.205
807.2271	20.929	86.201
806.8036	20.962	86.129
806.3802	20.996	86.077
805.9564	21.034	86.045
805.5327	21.061	86.027
805.1089	21.098	85.983
804.6850	21.116	85.947
804.2610	21.133	85.900
803.8369	21.166	85.845
803.4127	21.208	85.867
802.9884	21.190	85.885
802.5640	21.205	85.843
802.1396	21.192	85.825
801.7150	21.220	85.839
801.2903	21.265	85.785
800.8657	21.274	85.783
800.4408	21.276	85.755
800.0159	21.303	85.779
799.5909	21.316	85.723
799.1658	21.340	85.701
798.7406	21.353	85.681
798.3153	21.390	85.703
797.8899	21.431	85.678
797.4644	21.451	85.693
797.0389	21.463	85.656
796.6132	21.466	85.610
796.1875	21.461	85.585
795.7617	21.488	85.539
795.3357	21.510	85.492
794.9097	21.542	85.481
794.4836	21.572	85.429
794.0574	21.569	85.452
793.6310	21.596	85.434
793.2047	21.620	85.383
792.7782	21.638	85.343
792.3516	21.650	85.329
791.9249	21.651	85.329
791.4982	21.676	85.310
791.0714	21.697	85.315
790.6444	21.714	85.312
790.2173	21.723	85.292
789.7902	21.737	85.266
789.3630	21.756	85.278
788.9357	21.772	85.284
788.5083	21.777	85.285
788.0807	21.788	85.267
787.6532	21.796	85.251
787.2256	21.786	85.265
786.7977	21.780	85.256
786.3699	21.786	85.240
785.9419	21.795	85.252
785.5139	21.821	85.255
785.0857	21.823	85.213
784.6575	21.821	85.210
784.2291	21.812	85.229
783.8007	21.817	85.222
783.3722	21.824	85.198
782.9435	21.842	85.152
782.5148	21.854	85.151
782.0861	21.843	85.187
781.6573	21.849	85.186
781.2282	21.859	85.180
780.7991	21.864	85.233
780.3698	21.857	85.258
779.9407	21.859	85.270
779.5113	21.866	85.252
779.0818	21.890	85.212
778.6523	21.917	85.188
778.2227	21.938	85.147
777.7930	21.944	85.175
777.3632	21.963	85.179
776.9332	21.969	85.193
776.5032	21.985	85.183
776.0731	22.013	85.169
775.6429	22.023	85.145
775.2126	22.032	85.131
774.7822	22.048	85.143
774.3517	22.045	85.168
773.9212	22.053	85.163
773.4905	22.069	85.159
773.0598	22.076	85.160
772.6289	22.093	85.132
772.1980	22.114	85.103
771.7669	22.125	85.063
771.3358	22.135	85.049
770.9046	22.145	85.022
770.4733	22.170	85.025
770.0419	22.170	85.030
769.6104	22.195	85.013
769.1787	22.215	85.028
768.7471	22.206	85.024
768.3152	22.236	85.029
767.8834	22.249	84.995
767.4514	22.286	84.937
767.0193	22.305	84.947
766.5872	22.336	84.917
766.1549	22.345	84.902
765.7224	22.362	84.925
765.2901	22.389	84.909
764.8575	22.414	84.923
764.4249	22.431	84.894
763.9922	22.451	84.893
763.5593	22.477	84.876
763.1264	22.503	84.884
762.6934	22.512	84.860
762.2603	22.527	84.866
761.8271	22.534	84.878
761.3938	22.550	84.888
760.9604	22.575	84.871
760.5269	22.607	84.868
760.0933	22.638	84.852
759.6597	22.663	84.851
759.2259	22.674	84.871
758.7921	22.682	84.872
758.3581	22.703	84.849
757.9240	22.710	84.833
757.4900	22.724	84.829
757.0556	22.743	84.828
756.6213	22.755	84.839
756.1868	22.775	84.813
755.7523	22.792	84.812
755.3177	22.811	84.819
754.8830	22.834	84.820
754.4482	22.843	84.832
754.0132	22.855	84.850
753.5782	22.873	84.832
753.1432	22.883	84.834
752.7079	22.889	84.858
752.2726	22.901	84.868
751.8373	22.910	84.854
751.4018	22.937	84.838
750.9662	22.952	84.833
750.5306	22.976	84.831
750.0948	22.991	84.823
749.6589	23.001	84.818
749.2230	23.004	84.848
748.7869	23.014	84.852
748.3508	23.021	84.827
747.9146	23.023	84.837
747.4782	23.035	84.875
747.0417	23.050	84.888
746.6052	23.063	84.864
746.1686	23.077	84.862
745.7319	23.092	84.863
745.2950	23.107	84.872
744.8582	23.113	84.843
744.4211	23.121	84.846
743.9841	23.127	84.862
743.5468	23.140	84.857
743.1096	23.149	84.859
