Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	21.299	87.488
829.5408	21.309	87.474
829.1221	21.318	87.460
828.7034	21.328	87.446
828.2845	21.337	87.433
827.8656	21.346	87.419
827.4465	21.356	87.405
827.0275	21.365	87.391
826.6082	21.375	87.377
826.1889	21.384	87.364
825.7695	21.393	87.351
825.3500	21.403	87.337
824.9305	21.412	87.324
824.5108	21.421	87.311
824.0911	21.431	87.298
823.6713	21.440	87.284
823.2513	21.449	87.271
822.8313	21.459	87.258
822.4112	21.468	87.244
821.9910	21.477	87.231
821.5707	21.487	87.218
821.1503	21.496	87.205
820.7299	21.505	87.191
820.3093	21.515	87.178
819.8886	21.524	87.165
819.4679	21.534	87.151
819.0471	21.543	87.138
818.6262	21.552	87.125
818.2051	21.562	87.112
817.7841	21.571	87.098
817.3629	21.581	87.085
816.9416	21.590	87.072
816.5202	21.600	87.059
816.0988	21.609	87.045
815.6772	21.619	87.032
815.2556	21.628	87.020
814.8338	21.638	87.008
814.4120	21.647	86.996
813.9901	21.657	86.984
813.5681	21.667	86.972
813.1460	21.676	86.961
812.7238	21.686	86.949
812.3015	21.696	86.937
811.8792	21.705	86.925
811.4567	21.715	86.913
811.0341	21.725	86.901
810.6115	21.734	86.889
810.1888	21.744	86.878
809.7659	21.754	86.866
809.3430	21.764	86.855
808.9200	21.774	86.844
808.4969	21.784	86.833
808.0738	21.794	86.822
807.6505	21.804	86.811
807.2271	21.814	86.800
806.8036	21.824	86.789
806.3802	21.834	86.778
805.9564	21.845	86.767
805.5327	21.855	86.756
805.1089	21.865	86.745
804.6850	21.875	86.734
804.2610	21.885	86.723
803.8369	21.895	86.712
803.4127	21.905	86.701
802.9884	21.915	86.690
802.5640	21.925	86.679
802.1396	21.936	86.667
801.7150	21.946	86.656
801.2903	21.956	86.645
800.8657	21.966	86.634
800.4408	21.976	86.623
800.0159	21.987	86.612
799.5909	21.996	86.599
799.1658	22.006	86.585
798.7406	22.016	86.572
798.3153	22.025	86.558
797.8899	22.035	86.544
797.4644	22.045	86.530
797.0389	22.054	86.516
796.6132	22.064	86.502
796.1875	22.074	86.489
795.7617	22.084	86.475
795.3357	22.093	86.461
794.9097	22.103	86.447
794.4836	22.113	86.434
794.0574	22.122	86.421
793.6310	22.132	86.407
793.2047	22.141	86.394
792.7782	22.151	86.381
792.3516	22.161	86.368
791.9249	22.170	86.354
791.4982	22.180	86.341
791.0714	22.189	86.328
790.6444	22.199	86.315
790.2173	22.209	86.302
789.7902	22.218	86.288
789.3630	22.228	86.276
788.9357	22.238	86.264
788.5083	22.248	86.251
788.0807	22.258	86.239
787.6532	22.268	86.226
787.2256	22.278	86.214
786.7977	22.288	86.202
786.3699	22.299	86.189
785.9419	22.309	86.177
785.5139	22.319	86.165
785.0857	22.329	86.152
784.6575	22.339	86.140
784.2291	22.349	86.129
783.8007	22.360	86.117
