Source : SiO2_50min.P1.10h 59mn 43s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	16.271	99.052
829.5408	16.271	99.030
829.1221	16.251	98.947
828.7034	16.278	98.929
828.2845	16.230	98.879
827.8656	16.288	98.849
827.4465	16.292	98.787
827.0275	16.275	98.706
826.6082	16.294	98.668
826.1889	16.293	98.618
825.7695	16.299	98.597
825.3500	16.277	98.575
824.9305	16.251	98.566
824.5108	16.259	98.531
824.0911	16.253	98.460
823.6713	16.270	98.410
823.2513	16.264	98.391
822.8313	16.275	98.367
822.4112	16.296	98.400
821.9910	16.319	98.453
821.5707	16.307	98.440
821.1503	16.304	98.440
820.7299	16.330	98.433
820.3093	16.343	98.457
819.8886	16.370	98.423
819.4679	16.382	98.402
819.0471	16.407	98.414
818.6262	16.418	98.414
818.2051	16.432	98.368
817.7841	16.445	98.376
817.3629	16.436	98.393
816.9416	16.469	98.419
816.5202	16.482	98.404
816.0988	16.495	98.436
815.6772	16.525	98.379
815.2556	16.533	98.374
814.8338	16.556	98.383
814.4120	16.574	98.358
813.9901	16.585	98.381
813.5681	16.604	98.406
813.1460	16.608	98.372
812.7238	16.610	98.374
812.3015	16.652	98.345
811.8792	16.624	98.393
811.4567	16.633	98.383
811.0341	16.645	98.377
810.6115	16.653	98.456
810.1888	16.653	98.434
809.7659	16.676	98.384
809.3430	16.686	98.380
808.9200	16.705	98.317
808.4969	16.723	98.268
808.0738	16.732	98.235
807.6505	16.740	98.249
807.2271	16.740	98.259
806.8036	16.769	98.211
806.3802	16.786	98.193
805.9564	16.808	98.157
805.5327	16.824	98.123
805.1089	16.845	98.056
804.6850	16.869	98.040
804.2610	16.878	98.010
803.8369	16.897	98.000
803.4127	16.921	97.971
802.9884	16.935	97.958
802.5640	16.950	97.957
802.1396	16.954	97.932
801.7150	16.962	97.952
801.2903	16.981	97.923
800.8657	16.987	97.936
800.4408	16.983	97.911
800.0159	16.998	97.909
799.5909	17.007	97.861
799.1658	17.015	97.868
798.7406	17.034	97.817
798.3153	17.063	97.806
797.8899	17.100	97.746
797.4644	17.113	97.738
797.0389	17.139	97.695
796.6132	17.158	97.660
796.1875	17.162	97.637
795.7617	17.181	97.605
795.3357	17.200	97.561
794.9097	17.220	97.523
794.4836	17.237	97.453
794.0574	17.250	97.449
793.6310	17.270	97.426
793.2047	17.289	97.372
792.7782	17.299	97.346
792.3516	17.313	97.339
791.9249	17.320	97.322
791.4982	17.352	97.292
791.0714	17.367	97.265
790.6444	17.380	97.253
790.2173	17.388	97.230
789.7902	17.402	97.208
789.3630	17.418	97.176
788.9357	17.431	97.179
788.5083	17.438	97.167
788.0807	17.441	97.189
787.6532	17.454	97.169
787.2256	17.451	97.168
786.7977	17.451	97.112
786.3699	17.464	97.104
785.9419	17.474	97.107
785.5139	17.486	97.086
785.0857	17.494	97.061
784.6575	17.509	97.027
784.2291	17.509	97.031
783.8007	17.513	97.015
783.3722	17.522	96.999
782.9435	17.543	96.985
782.5148	17.565	96.958
782.0861	17.570	96.973
781.6573	17.570	96.979
781.2282	17.584	96.969
780.7991	17.597	96.959
780.3698	17.612	96.962
779.9407	17.616	96.949
779.5113	17.622	96.951
779.0818	17.641	96.930
778.6523	17.670	96.899
778.2227	17.693	96.872
777.7930	17.703	96.878
777.3632	17.719	96.884
776.9332	17.735	96.860
776.5032	17.748	96.832
776.0731	17.758	96.827
775.6429	17.770	96.786
775.2126	17.782	96.770
774.7822	17.796	96.751
774.3517	17.804	96.781
773.9212	17.823	96.769
773.4905	17.836	96.766
773.0598	17.853	96.765
772.6289	17.868	96.755
772.1980	17.887	96.732
771.7669	17.895	96.722
771.3358	17.902	96.711
770.9046	17.916	96.693
770.4733	17.932	96.683
770.0419	17.945	96.679
769.6104	17.966	96.683
769.1787	17.977	96.693
768.7471	17.979	96.695
768.3152	18.003	96.690
767.8834	18.025	96.661
767.4514	18.041	96.630
767.0193	18.054	96.612
766.5872	18.070	96.589
766.1549	18.082	96.568
765.7224	18.095	96.583
765.2901	18.110	96.582
764.8575	18.125	96.594
764.4249	18.137	96.587
763.9922	18.158	96.584
763.5593	18.182	96.561
763.1264	18.197	96.574
762.6934	18.212	96.544
762.2603	18.218	96.541
761.8271	18.229	96.542
761.3938	18.241	96.534
760.9604	18.261	96.498
760.5269	18.277	96.496
760.0933	18.301	96.480
759.6597	18.319	96.463
759.2259	18.329	96.470
758.7921	18.339	96.480
758.3581	18.355	96.461
757.9240	18.362	96.453
757.4900	18.376	96.448
757.0556	18.387	96.451
756.6213	18.408	96.449
756.1868	18.425	96.418
755.7523	18.431	96.436
755.3177	18.443	96.435
754.8830	18.452	96.441
754.4482	18.462	96.440
754.0132	18.475	96.442
753.5782	18.486	96.443
753.1432	18.498	96.432
752.7079	18.511	96.438
752.2726	18.522	96.431
751.8373	18.531	96.431
751.4018	18.552	96.391
750.9662	18.567	96.396
750.5306	18.577	96.401
750.0948	18.590	96.382
749.6589	18.603	96.382
749.2230	18.611	96.376
748.7869	18.621	96.381
748.3508	18.643	96.368
