Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	17.180	99.191
829.5408	17.188	99.176
829.1221	17.195	99.161
828.7034	17.203	99.145
828.2845	17.211	99.130
827.8656	17.218	99.115
827.4465	17.226	99.099
827.0275	17.234	99.084
826.6082	17.241	99.069
826.1889	17.249	99.054
825.7695	17.256	99.039
825.3500	17.264	99.025
824.9305	17.271	99.010
824.5108	17.279	98.995
824.0911	17.286	98.981
823.6713	17.294	98.966
823.2513	17.301	98.951
822.8313	17.309	98.937
822.4112	17.316	98.922
821.9910	17.324	98.908
821.5707	17.331	98.893
821.1503	17.339	98.878
820.7299	17.346	98.864
820.3093	17.354	98.849
819.8886	17.361	98.834
819.4679	17.369	98.820
819.0471	17.376	98.805
818.6262	17.384	98.790
818.2051	17.392	98.776
817.7841	17.399	98.761
817.3629	17.407	98.746
816.9416	17.414	98.732
816.5202	17.422	98.717
816.0988	17.430	98.702
815.6772	17.437	98.688
815.2556	17.445	98.675
814.8338	17.453	98.662
814.4120	17.461	98.649
813.9901	17.468	98.636
813.5681	17.476	98.623
813.1460	17.484	98.610
812.7238	17.492	98.597
812.3015	17.500	98.584
811.8792	17.508	98.571
811.4567	17.515	98.558
811.0341	17.523	98.545
810.6115	17.531	98.532
810.1888	17.539	98.519
809.7659	17.547	98.507
809.3430	17.555	98.495
808.9200	17.564	98.483
808.4969	17.572	98.471
808.0738	17.580	98.459
807.6505	17.588	98.447
807.2271	17.596	98.435
806.8036	17.605	98.423
806.3802	17.613	98.411
805.9564	17.621	98.399
805.5327	17.629	98.387
805.1089	17.638	98.375
804.6850	17.646	98.363
804.2610	17.654	98.351
803.8369	17.662	98.339
803.4127	17.671	98.327
802.9884	17.679	98.315
802.5640	17.687	98.303
802.1396	17.696	98.291
801.7150	17.704	98.279
801.2903	17.712	98.267
800.8657	17.721	98.255
800.4408	17.729	98.243
800.0159	17.737	98.231
799.5909	17.745	98.217
799.1658	17.753	98.201
798.7406	17.761	98.186
798.3153	17.768	98.170
797.8899	17.776	98.155
797.4644	17.784	98.139
797.0389	17.792	98.124
796.6132	17.799	98.108
796.1875	17.807	98.093
795.7617	17.815	98.077
795.3357	17.823	98.062
794.9097	17.830	98.046
794.4836	17.838	98.031
794.0574	17.846	98.017
793.6310	17.853	98.002
793.2047	17.861	97.987
792.7782	17.868	97.973
792.3516	17.876	97.958
791.9249	17.884	97.943
791.4982	17.891	97.928
791.0714	17.899	97.914
790.6444	17.907	97.899
790.2173	17.914	97.884
789.7902	17.922	97.869
789.3630	17.930	97.856
788.9357	17.938	97.842
788.5083	17.946	97.828
788.0807	17.954	97.814
787.6532	17.962	97.801
787.2256	17.970	97.787
786.7977	17.978	97.773
786.3699	17.986	97.759
785.9419	17.995	97.746
785.5139	18.003	97.732
785.0857	18.011	97.718
784.6575	18.019	97.705
784.2291	18.028	97.692
783.8007	18.036	97.679
783.3722	18.045	97.667
782.9435	18.053	97.654
782.5148	18.062	97.641
782.0861	18.070	97.628
781.6573	18.079	97.616
781.2282	18.087	97.603
780.7991	18.096	97.590
780.3698	18.104	97.578
779.9407	18.113	97.565
779.5113	18.122	97.551
779.0818	18.131	97.537
778.6523	18.140	97.523
778.2227	18.149	97.508
777.7930	18.158	97.494
777.3632	18.167	97.480
776.9332	18.176	97.465
776.5032	18.185	97.451
776.0731	18.194	97.437
775.6429	18.203	97.422
775.2126	18.213	97.408
774.7822	18.222	97.394
774.3517	18.230	97.380
773.9212	18.238	97.367
773.4905	18.247	97.353
773.0598	18.255	97.340
772.6289	18.264	97.326
772.1980	18.272	97.313
771.7669	18.281	97.299
771.3358	18.289	97.286
770.9046	18.298	97.272
770.4733	18.307	97.259
770.0419	18.315	97.245
769.6104	18.324	97.232
769.1787	18.332	97.218
768.7471	18.341	97.205
768.3152	18.349	97.191
767.8834	18.358	97.178
767.4514	18.367	97.164
767.0193	18.375	97.151
766.5872	18.384	97.137
766.1549	18.393	97.124
765.7224	18.401	97.110
765.2901	18.410	97.097
764.8575	18.419	97.084
764.4249	18.428	97.071
763.9922	18.437	97.058
763.5593	18.446	97.046
763.1264	18.455	97.033
762.6934	18.464	97.020
762.2603	18.473	97.007
761.8271	18.482	96.994
761.3938	18.491	96.982
760.9604	18.500	96.969
760.5269	18.509	96.956
760.0933	18.519	96.942
759.6597	18.528	96.929
759.2259	18.538	96.915
758.7921	18.548	96.901
758.3581	18.558	96.888
757.9240	18.567	96.874
757.4900	18.577	96.860
757.0556	18.587	96.847
756.6213	18.597	96.833
756.1868	18.607	96.819
755.7523	18.616	96.807
755.3177	18.626	96.795
754.8830	18.635	96.782
754.4482	18.645	96.770
754.0132	18.654	96.758
753.5782	18.663	96.746
753.1432	18.673	96.734
752.7079	18.682	96.722
752.2726	18.692	96.710
751.8373	18.701	96.698
751.4018	18.711	96.686
750.9662	18.720	96.673
750.5306	18.730	96.661
750.0948	18.739	96.648
749.6589	18.748	96.636
749.2230	18.758	96.623
748.7869	18.767	96.610
748.3508	18.776	96.598
747.9146	18.786	96.585
747.4782	18.795	96.572
747.0417	18.805	96.560
746.6052	18.814	96.547
746.1686	18.823	96.535
745.7319	18.833	96.522
745.2950	18.842	96.509
744.8582	18.852	96.497
744.4211	18.861	96.484
743.9841	18.871	96.471
743.5468	18.880	96.459
743.1096	18.890	96.446
742.6722	18.899	96.433
742.2347	18.909	96.420
741.7971	18.919	96.405
741.3594	18.928	96.390
740.9215	18.938	96.375
740.4838	18.948	96.360
740.0458	18.958	96.345
739.6077	18.968	96.330
739.1696	18.977	96.315
738.7313	18.987	96.300
738.2930	18.997	96.285
737.8545	19.007	96.271
737.4160	19.016	96.257
736.9773	19.025	96.243
736.5386	19.034	96.229
736.0996	19.044	96.214
735.6608	19.053	96.200
735.2218	19.062	96.186
734.7827	19.071	96.172
734.3434	19.081	96.158
733.9041	19.090	96.144
733.4647	19.100	96.130
733.0252	19.109	96.114
732.5856	19.119	96.099
732.1459	19.129	96.084
731.7061	19.138	96.068
731.2662	19.148	96.053
730.8261	19.158	96.037
730.3861	19.168	96.022
729.9459	19.177	96.007
729.5057	19.187	95.991
729.0653	19.197	95.978
728.6248	19.207	95.967
728.1843	19.218	95.955
727.7436	19.228	95.943
727.3028	19.238	95.932
726.8619	19.249	95.920
726.4210	19.259	95.909
725.9799	19.269	95.897
725.5388	19.279	95.886
725.0975	19.290	95.874
724.6562	19.300	95.862
724.2147	19.311	95.851
723.7732	19.321	95.839
723.3315	19.331	95.827
722.8898	19.342	95.816
722.4479	19.352	95.804
722.0060	19.363	95.792
721.5640	19.373	95.781
721.1218	19.384	95.769
720.6796	19.394	95.757
