Source : SiO2_10nm_TiO2_35nm.R1.11h 20mn 02s
Spectrum : 1

Wavelength	Psi	Delta

829.9594	20.862	54.020
829.5408	20.880	53.838
829.1221	20.837	53.803
828.7034	20.855	53.685
828.2845	20.829	53.674
827.8656	20.866	53.559
827.4465	20.877	53.483
827.0275	20.859	53.415
826.6082	20.861	53.329
826.1889	20.874	53.277
825.7695	20.882	53.230
825.3500	20.875	53.212
824.9305	20.851	53.199
824.5108	20.838	53.111
824.0911	20.822	53.051
823.6713	20.807	52.946
823.2513	20.801	52.940
822.8313	20.811	52.878
822.4112	20.824	52.836
821.9910	20.845	52.832
821.5707	20.828	52.756
821.1503	20.809	52.723
820.7299	20.823	52.647
820.3093	20.835	52.616
819.8886	20.872	52.550
819.4679	20.893	52.465
819.0471	20.905	52.429
818.6262	20.917	52.366
818.2051	20.913	52.243
817.7841	20.917	52.162
817.3629	20.905	52.115
816.9416	20.924	52.079
816.5202	20.928	51.997
816.0988	20.926	51.952
815.6772	20.950	51.841
815.2556	20.953	51.779
814.8338	20.971	51.735
814.4120	20.969	51.645
813.9901	20.970	51.616
813.5681	20.987	51.587
813.1460	20.982	51.510
812.7238	20.972	51.453
812.3015	21.008	51.372
811.8792	20.965	51.349
811.4567	20.961	51.299
811.0341	20.980	51.224
810.6115	20.980	51.216
810.1888	20.982	51.128
809.7659	21.009	51.034
809.3430	21.020	50.927
808.9200	21.043	50.770
808.4969	21.046	50.667
808.0738	21.051	50.572
807.6505	21.055	50.538
807.2271	21.056	50.477
806.8036	21.077	50.380
806.3802	21.093	50.308
805.9564	21.113	50.209
805.5327	21.123	50.116
805.1089	21.137	50.024
804.6850	21.148	49.944
804.2610	21.136	49.876
803.8369	21.151	49.817
803.4127	21.168	49.752
802.9884	21.182	49.671
802.5640	21.204	49.612
802.1396	21.200	49.548
801.7150	21.202	49.497
801.2903	21.220	49.411
800.8657	21.221	49.353
800.4408	21.216	49.275
800.0159	21.225	49.230
799.5909	21.240	49.134
799.1658	21.247	49.068
798.7406	21.261	48.962
798.3153	21.281	48.885
797.8899	21.302	48.778
797.4644	21.307	48.699
797.0389	21.330	48.583
796.6132	21.343	48.478
796.1875	21.344	48.400
795.7617	21.361	48.318
795.3357	21.385	48.209
794.9097	21.400	48.110
794.4836	21.414	48.006
794.0574	21.420	47.949
793.6310	21.428	47.878
793.2047	21.435	47.761
792.7782	21.453	47.666
792.3516	21.462	47.598
791.9249	21.451	47.505
791.4982	21.467	47.406
791.0714	21.483	47.319
790.6444	21.483	47.244
790.2173	21.481	47.161
789.7902	21.501	47.083
789.3630	21.507	46.994
788.9357	21.523	46.916
788.5083	21.532	46.830
788.0807	21.535	46.769
787.6532	21.540	46.694
787.2256	21.530	46.627
786.7977	21.527	46.505
786.3699	21.531	46.430
785.9419	21.545	46.369
785.5139	21.557	46.300
785.0857	21.561	46.203
784.6575	21.569	46.101
784.2291	21.568	46.034
783.8007	21.564	45.945
783.3722	21.574	45.857
782.9435	21.596	45.763
782.5148	21.615	45.687
782.0861	21.611	45.646
781.6573	21.608	45.601
781.2282	21.603	45.536
780.7991	21.619	45.464
780.3698	21.629	45.405
779.9407	21.623	45.341
779.5113	21.625	45.256
779.0818	21.655	45.175
778.6523	21.680	45.079
778.2227	21.692	44.979
777.7930	21.701	44.920
777.3632	21.717	44.865
776.9332	21.733	44.768
776.5032	21.743	44.698
776.0731	21.753	44.618
775.6429	21.767	44.522
775.2126	21.781	44.452
774.7822	21.789	44.379
774.3517	21.785	44.333
773.9212	21.792	44.282
773.4905	21.791	44.235
773.0598	21.807	44.158
772.6289	21.828	44.090
772.1980	21.845	43.997
771.7669	21.845	43.926
771.3358	21.842	43.850
770.9046	21.853	43.775
770.4733	21.869	43.698
770.0419	21.869	43.631
769.6104	21.883	43.557
769.1787	21.893	43.503
768.7471	21.896	43.442
768.3152	21.919	43.375
767.8834	21.937	43.276
767.4514	21.948	43.183
767.0193	21.948	43.089
766.5872	21.964	43.000
766.1549	21.975	42.891
765.7224	21.988	42.834
765.2901	22.001	42.766
764.8575	22.005	42.709
764.4249	22.020	42.625
763.9922	22.026	42.543
763.5593	22.038	42.458
763.1264	22.039	42.392
762.6934	22.046	42.296
762.2603	22.054	42.224
761.8271	22.057	42.147
761.3938	22.064	42.073
760.9604	22.077	41.975
760.5269	22.082	41.887
760.0933	22.098	41.790
759.6597	22.110	41.705
759.2259	22.112	41.631
758.7921	22.121	41.573
758.3581	22.131	41.466
757.9240	22.136	41.374
757.4900	22.145	41.289
757.0556	22.134	41.221
756.6213	22.145	41.139
756.1868	22.153	41.045
755.7523	22.157	40.978
755.3177	22.156	40.905
754.8830	22.162	40.837
754.4482	22.156	40.781
754.0132	22.156	40.698
753.5782	22.160	40.607
753.1432	22.168	40.540
752.7079	22.172	40.468
752.2726	22.174	40.388
751.8373	22.180	40.317
751.4018	22.198	40.204
750.9662	22.202	40.122
750.5306	22.211	40.057
750.0948	22.210	39.949
749.6589	22.213	39.876
749.2230	22.217	39.795
748.7869	22.221	39.714
748.3508	22.235	39.627
747.9146	22.243	39.576
747.4782	22.248	39.503
747.0417	22.258	39.438
746.6052	22.256	39.353
746.1686	22.267	39.249
745.7319	22.280	39.147
745.2950	22.294	39.058
744.8582	22.299	38.968
744.4211	22.298	38.889
743.9841	22.306	38.804
743.5468	22.317	38.709
743.1096	22.319	38.628
742.6722	22.322	38.553
742.2347	22.326	38.481
741.7971	22.330	38.387
741.3594	22.332	38.289
740.9215	22.327	38.220
740.4838	22.335	38.128
740.0458	22.339	38.071
739.6077	22.334	38.009
739.1696	22.332	37.918
738.7313	22.336	37.847
738.2930	22.339	37.755
737.8545	22.342	37.654
737.4160	22.354	37.568
736.9773	22.356	37.488
736.5386	22.351	37.403
736.0996	22.354	37.328
735.6608	22.355	37.247
735.2218	22.359	37.166
734.7827	22.351	37.109
734.3434	22.346	37.022
733.9041	22.356	36.918
733.4647	22.354	36.839
733.0252	22.353	36.768
732.5856	22.358	36.670
732.1459	22.350	36.579
731.7061	22.339	36.487
731.2662	22.342	36.419
730.8261	22.341	36.337
730.3861	22.330	36.264
729.9459	22.333	36.175
729.5057	22.331	36.071
729.0653	22.331	35.963
728.6248	22.322	35.869
728.1843	22.312	35.784
727.7436	22.308	35.707
727.3028	22.305	35.626
726.8619	22.313	35.525
726.4210	22.309	35.444
725.9799	22.303	35.346
725.5388	22.300	35.238
725.0975	22.305	35.123
724.6562	22.298	35.032
724.2147	22.299	34.949
723.7732	22.298	34.854
723.3315	22.289	34.766
722.8898	22.290	34.660
722.4479	22.284	34.546
722.0060	22.282	34.451
721.5640	22.287	34.330
721.1218	22.286	34.231
720.6796	22.290	34.133
720.2373	22.288	34.033
719.7949	22.285	33.947
719.3524	22.281	33.847
718.9097	22.275	33.743
718.4670	22.274	33.640
718.0242	22.291	33.528
717.5813	22.295	33.428
717.1383	22.304	33.319
716.6952	22.297	33.212
716.2520	22.298	33.106
715.8087	22.302	32.978
715.3653	22.304	32.866
714.9218	22.307	32.781
714.4782	22.311	32.676
714.0345	22.321	32.545
713.5907	22.326	32.443
713.1469	22.330	32.324
712.7028	22.330	32.207
712.2588	22.342	32.088
711.8146	22.344	31.979
711.3703	22.351	31.859
710.9259	22.358	31.726
710.4814	22.357	31.612
710.0369	22.365	31.496
709.5922	22.371	31.378
709.1474	22.374	31.260
708.7026	22.367	31.142
708.2576	22.372	31.021
707.8125	22.382	30.907
707.3674	22.391	30.777
706.9221	22.395	30.665
706.4767	22.402	30.558
706.0313	22.400	30.426
705.5857	22.408	30.315
705.1401	22.414	30.187
704.6943	22.418	30.067
704.2484	22.424	29.942
703.8025	22.424	29.832
703.3564	22.423	29.703
702.9103	22.433	29.582
702.4641	22.442	29.456
702.0177	22.448	29.338
701.5712	22.454	29.221
701.1247	22.456	29.122
700.6780	22.456	29.000
700.2313	22.455	28.886
699.7844	22.460	28.771
699.3375	22.459	28.655
698.8904	22.467	28.529
698.4433	22.473	28.410
697.9961	22.485	28.282
697.5488	22.490	28.157
697.1013	22.493	28.036
696.6537	22.494	27.916
696.2061	22.498	27.775
695.7584	22.500	27.654
695.3105	22.508	27.524
694.8626	22.517	27.390
694.4146	22.515	27.263
693.9664	22.521	27.148
693.5182	22.539	27.022
693.0699	22.545	26.911
692.6215	22.549	26.799
692.1729	22.557	26.675
691.7243	22.560	26.556
691.2756	22.568	26.433
690.8267	22.576	26.305
690.3778	22.584	26.182
689.9288	22.591	26.054
689.4797	22.598	25.927
689.0304	22.606	25.798
688.5811	22.615	25.672
688.1317	22.622	25.547
687.6821	22.630	25.431
687.2325	22.638	25.292
686.7828	22.640	25.165
686.3329	22.648	25.033
685.8830	22.653	24.915
685.4330	22.665	24.792
684.9828	22.669	24.668
684.5327	22.668	24.535
684.0823	22.672	24.421
683.6319	22.679	24.285
683.1813	22.681	24.158
682.7307	22.689	24.016
682.2800	22.692	23.892
681.8292	22.698	23.762
681.3782	22.703	23.640
680.9272	22.702	23.505
680.4761	22.700	23.371
680.0248	22.695	23.246
679.5735	22.703	23.119
679.1221	22.706	22.987
678.6705	22.710	22.869
678.2189	22.712	22.740
677.7672	22.709	22.609
677.3154	22.712	22.487
676.8634	22.714	22.355
676.4114	22.712	22.225
675.9592	22.710	22.091
675.5070	22.715	21.963
675.0547	22.708	21.843
674.6022	22.706	21.709
674.1497	22.708	21.581
673.6971	22.706	21.447
673.2443	22.706	21.316
672.7915	22.704	21.184
672.3386	22.702	21.050
671.8855	22.699	20.936
671.4324	22.701	20.806
670.9791	22.700	20.665
670.5258	22.697	20.525
670.0723	22.694	20.395
669.6188	22.693	20.267
669.1651	22.688	20.118
668.7114	22.692	20.002
668.2575	22.685	19.872
667.8035	22.686	19.743
667.3495	22.679	19.609
