Source : Fit
Spectrum : 1

Wavelength	Psi	Delta

829.9594	20.665	54.004
829.5408	20.672	53.940
829.1221	20.679	53.877
828.7034	20.687	53.813
828.2845	20.694	53.749
827.8656	20.701	53.685
827.4465	20.709	53.620
827.0275	20.716	53.556
826.6082	20.723	53.492
826.1889	20.731	53.428
825.7695	20.738	53.364
825.3500	20.745	53.301
824.9305	20.753	53.237
824.5108	20.760	53.173
824.0911	20.767	53.109
823.6713	20.775	53.045
823.2513	20.782	52.981
822.8313	20.789	52.917
822.4112	20.797	52.852
821.9910	20.804	52.788
821.5707	20.811	52.723
821.1503	20.819	52.658
820.7299	20.826	52.593
820.3093	20.833	52.528
819.8886	20.841	52.463
819.4679	20.848	52.398
819.0471	20.855	52.333
818.6262	20.863	52.267
818.2051	20.870	52.202
817.7841	20.877	52.136
817.3629	20.885	52.070
816.9416	20.892	52.004
816.5202	20.899	51.938
816.0988	20.907	51.872
815.6772	20.914	51.806
815.2556	20.922	51.740
814.8338	20.930	51.674
814.4120	20.937	51.608
813.9901	20.945	51.542
813.5681	20.953	51.475
813.1460	20.961	51.409
812.7238	20.969	51.342
812.3015	20.977	51.275
811.8792	20.985	51.209
811.4567	20.992	51.142
811.0341	21.000	51.075
810.6115	21.008	51.007
810.1888	21.016	50.940
809.7659	21.024	50.872
809.3430	21.033	50.804
808.9200	21.041	50.736
808.4969	21.049	50.668
808.0738	21.058	50.600
807.6505	21.066	50.531
807.2271	21.074	50.463
806.8036	21.083	50.394
806.3802	21.091	50.325
805.9564	21.099	50.256
805.5327	21.107	50.187
805.1089	21.116	50.118
804.6850	21.124	50.049
804.2610	21.132	49.979
803.8369	21.141	49.910
803.4127	21.149	49.840
802.9884	21.157	49.770
802.5640	21.165	49.700
802.1396	21.174	49.630
801.7150	21.182	49.560
801.2903	21.190	49.489
800.8657	21.198	49.419
800.4408	21.207	49.348
800.0159	21.215	49.277
799.5909	21.222	49.207
799.1658	21.229	49.136
798.7406	21.236	49.065
798.3153	21.243	48.995
797.8899	21.249	48.923
797.4644	21.256	48.852
797.0389	21.263	48.781
796.6132	21.270	48.710
796.1875	21.276	48.638
795.7617	21.283	48.566
795.3357	21.290	48.495
794.9097	21.297	48.423
794.4836	21.304	48.351
794.0574	21.310	48.280
793.6310	21.317	48.209
793.2047	21.324	48.137
792.7782	21.331	48.065
792.3516	21.338	47.994
791.9249	21.345	47.922
791.4982	21.352	47.850
791.0714	21.358	47.778
790.6444	21.365	47.705
790.2173	21.372	47.633
789.7902	21.379	47.560
789.3630	21.386	47.487
788.9357	21.393	47.413
788.5083	21.401	47.340
788.0807	21.408	47.266
787.6532	21.415	47.192
787.2256	21.422	47.118
786.7977	21.430	47.044
786.3699	21.437	46.970
785.9419	21.444	46.895
785.5139	21.451	46.821
785.0857	21.459	46.746
784.6575	21.466	46.671
784.2291	21.474	46.595
783.8007	21.481	46.519
783.3722	21.489	46.444
782.9435	21.497	46.367
782.5148	21.504	46.291
782.0861	21.512	46.215
781.6573	21.520	46.138
781.2282	21.527	46.062
780.7991	21.535	45.985
780.3698	21.543	45.908
779.9407	21.550	45.831
779.5113	21.558	45.752
779.0818	21.565	45.672
778.6523	21.573	45.593
778.2227	21.580	45.513
777.7930	21.587	45.433
777.3632	21.595	45.353
776.9332	21.602	45.272
776.5032	21.609	45.192
776.0731	21.617	45.111
775.6429	21.624	45.031
775.2126	21.631	44.950
774.7822	21.638	44.869
774.3517	21.645	44.790
773.9212	21.653	44.712
773.4905	21.660	44.632
773.0598	21.667	44.553
772.6289	21.674	44.474
772.1980	21.681	44.394
771.7669	21.688	44.315
771.3358	21.695	44.235
770.9046	21.702	44.155
770.4733	21.709	44.074
770.0419	21.716	43.994
769.6104	21.723	43.914
769.1787	21.730	43.833
768.7471	21.737	43.752
768.3152	21.744	43.671
767.8834	21.751	43.590
767.4514	21.758	43.508
767.0193	21.765	43.427
766.5872	21.772	43.345
766.1549	21.779	43.263
765.7224	21.785	43.181
765.2901	21.792	43.099
764.8575	21.800	43.016
764.4249	21.807	42.933
763.9922	21.814	42.850
763.5593	21.821	42.767
763.1264	21.829	42.683
762.6934	21.836	42.600
762.2603	21.843	42.516
761.8271	21.850	42.432
761.3938	21.857	42.347
760.9604	21.864	42.263
760.5269	21.871	42.178
760.0933	21.879	42.090
759.6597	21.886	42.003
759.2259	21.893	41.915
758.7921	21.900	41.827
758.3581	21.907	41.739
757.9240	21.914	41.651
757.4900	21.921	41.562
757.0556	21.928	41.473
756.6213	21.935	41.385
756.1868	21.942	41.295
755.7523	21.950	41.207
755.3177	21.957	41.120
754.8830	21.964	41.033
754.4482	21.971	40.945
754.0132	21.979	40.857
753.5782	21.986	40.769
753.1432	21.993	40.681
752.7079	22.000	40.593
752.2726	22.007	40.504
751.8373	22.015	40.416
751.4018	22.022	40.327
750.9662	22.028	40.238
750.5306	22.035	40.149
750.0948	22.042	40.060
749.6589	22.049	39.971
749.2230	22.055	39.881
748.7869	22.062	39.792
748.3508	22.069	39.702
747.9146	22.076	39.612
747.4782	22.082	39.521
747.0417	22.089	39.431
746.6052	22.095	39.340
746.1686	22.102	39.249
745.7319	22.108	39.158
745.2950	22.115	39.067
744.8582	22.121	38.976
744.4211	22.128	38.884
743.9841	22.134	38.792
743.5468	22.141	38.700
743.1096	22.147	38.608
742.6722	22.154	38.515
742.2347	22.160	38.422
741.7971	22.165	38.327
741.3594	22.171	38.232
740.9215	22.177	38.137
740.4838	22.182	38.042
740.0458	22.188	37.947
739.6077	22.193	37.851
739.1696	22.199	37.755
738.7313	22.204	37.659
738.2930	22.209	37.563
737.8545	22.215	37.467
737.4160	22.220	37.373
736.9773	22.225	37.278
736.5386	22.231	37.184
736.0996	22.236	37.089
735.6608	22.241	36.994
735.2218	22.246	36.899
734.7827	22.252	36.804
734.3434	22.257	36.708
733.9041	22.262	36.613
733.4647	22.267	36.516
733.0252	22.272	36.418
732.5856	22.276	36.319
732.1459	22.281	36.221
731.7061	22.286	36.122
731.2662	22.290	36.023
730.8261	22.295	35.924
730.3861	22.299	35.825
729.9459	22.304	35.725
729.5057	22.308	35.625
729.0653	22.314	35.526
728.6248	22.320	35.426
728.1843	22.326	35.326
727.7436	22.332	35.225
727.3028	22.338	35.125
726.8619	22.344	35.024
726.4210	22.350	34.923
725.9799	22.355	34.822
725.5388	22.361	34.720
725.0975	22.367	34.619
724.6562	22.373	34.517
724.2147	22.378	34.414
723.7732	22.384	34.312
723.3315	22.390	34.209
722.8898	22.395	34.106
722.4479	22.401	34.003
722.0060	22.406	33.900
721.5640	22.412	33.796
721.1218	22.417	33.692
720.6796	22.422	33.588
720.2373	22.427	33.485
719.7949	22.432	33.381
719.3524	22.437	33.276
718.9097	22.442	33.172
718.4670	22.447	33.067
718.0242	22.452	32.963
717.5813	22.457	32.857
717.1383	22.462	32.752
716.6952	22.466	32.646
716.2520	22.471	32.541
715.8087	22.475	32.436
715.3653	22.479	32.330
714.9218	22.483	32.224
714.4782	22.488	32.117
714.0345	22.492	32.011
713.5907	22.496	31.904
713.1469	22.500	31.797
712.7028	22.504	31.690
712.2588	22.508	31.582
711.8146	22.511	31.475
711.3703	22.515	31.367
710.9259	22.519	31.259
710.4814	22.523	31.150
710.0369	22.527	31.041
709.5922	22.530	30.933
