## SPECTRUM TYPE:
LCE

## DATE:
24/09/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
10:38:43

# END TIME:
10:38:43

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
5

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
43 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 42.494 47.532 518.51251 566.50049 0.000 67.35744 43.0000 8.40 3.10989431217837834E19 3.63456618444964548E21 1.240099 
999.4089 42.494 47.532 518.51245 566.50049 2.229 67.35743 43.0000 8.38 2.89243400194846884E19 3.3804179243779668E21 1.240575 
999.0253 42.494 47.532 518.51245 566.50049 1.460 67.35744 43.0000 8.49 2.7573130388901462E19 3.22250061081910392E21 1.241052 
998.6415 42.494 47.532 518.51245 566.50055 4.567 67.35744 43.0000 8.57 2.60319053578292429E19 3.04237604749767711E21 1.241529 
998.2578 42.494 47.532 518.51251 566.50049 0.523 67.35744 43.0000 8.74 2.42795565020379873E19 2.83757710624281749E21 1.242006 
997.8739 42.494 47.532 518.51251 566.50049 1.226 67.35744 43.0000 8.77 2.22949666012046295E19 2.60563609593370273E21 1.242484 
997.4900 42.494 47.532 518.51251 566.50055 -0.242 67.35744 43.0000 8.64 2.00570250320758702E19 2.34408546618699887E21 1.242962 
997.1060 42.494 47.532 518.51251 566.50055 -0.021 67.35744 43.0000 8.84 1.75446178728635269E19 2.05045794809434866E21 1.243440 
996.7219 42.494 47.532 518.51251 566.50049 -3.596 67.35743 43.0000 8.98 1.47366345003143004E19 1.72228599127241812E21 1.243920 
996.3377 42.494 47.532 518.51245 566.50049 -5.609 67.35744 43.0000 9.00 1.16119609926400082E19 1.35710204533787329E21 1.244399 
995.9535 42.494 47.532 518.51251 566.50055 -2.798 67.35744 43.0000 8.74 8.19171127162883277E18 9.57373871780280664E20 1.244879 
995.5692 42.494 47.532 518.51251 566.50049 1.412 67.35744 43.0000 9.07 4.49699596053407334E18 5.25568633954881241E20 1.245360 
995.1848 42.494 47.532 518.51251 566.50049 -1.122 67.35743 43.0000 9.24 591154419538591744.0000 6.90888334780955361E19 1.245841 
994.8003 42.494 47.532 518.51251 566.50049 0.044 67.35744 43.0000 9.33 3.3780251759696937E18 3.947933542659014E20 1.246322 
994.4158 42.494 47.532 518.51251 566.50049 0.029 67.35743 43.0000 9.12 7.19941632121215386E18 8.41403296256979108E20 1.246804 
994.0311 61.269 95.751 -0.05400 0.53618 0.018 -0.34382 43.0000 9.24 0.5839 0.6501 1.247287 
993.6464 51.568 83.417 0.06399 0.55444 2.084 -0.13025 43.0000 9.26 0.5793 0.6923 1.247770 
993.2617 43.676 69.355 0.19757 0.52439 1.876 0.02592 43.0000 9.22 0.5939 0.7629 1.248253 
992.8768 46.669 66.316 0.29757 0.67840 -1.824 -0.04321 43.0000 9.33 0.6114 0.7436 1.248737 
992.4919 52.722 33.245 0.40501 0.26549 0.971 -0.13379 43.0000 9.23 0.6407 0.7792 1.249221 
992.1069 54.081 59.810 0.28987 0.49824 -11.348 -0.18910 43.0000 9.48 0.6337 0.7815 1.249706 
991.7218 47.339 56.543 0.33627 0.50888 -2.349 -0.04991 43.0000 9.46 0.6609 0.7846 1.250191 
991.3367 45.848 47.914 0.41753 0.46232 0.842 -0.01845 43.0000 9.65 0.6700 0.8418 1.250677 
990.9514 36.899 48.293 0.44728 0.50191 2.548 0.19535 43.0000 9.64 0.7748 0.9667 1.251163 
990.5661 22.509 63.279 0.17150 0.34069 27.231 0.38118 43.0000 9.65 0.7435 0.9773 1.251650 
990.1807 19.465 55.862 0.22235 0.32795 -27.514 0.49052 43.0000 9.80 0.7784 1.0473 1.252137 
989.7953 11.673 95.633 -0.02513 0.25475 -0.870 0.59306 43.0000 9.70 0.7035 0.9186 1.252625 
989.4097 17.800 84.417 0.04554 0.46593 -1.805 0.65392 43.0000 10.10 0.7030 0.8217 1.253113 
989.0241 21.997 90.643 -0.00636 0.56665 2.307 0.58696 43.0000 10.01 0.6925 0.7715 1.253601 
988.6384 33.785 96.880 -0.08558 0.70924 1.879 0.29489 43.0000 9.91 0.6999 0.7763 1.254090 
988.2526 28.193 68.326 0.28839 0.72565 30.051 0.51906 43.0000 10.09 0.7017 0.7800 1.254580 
987.8668 34.430 56.356 0.50641 0.76093 1.762 0.35345 43.0000 10.06 0.7331 0.8384 1.255070 
987.4809 29.061 61.292 0.34645 0.63260 -5066.313 0.44857 43.0000 10.09 0.6677 0.7247 1.255560 
