## SPECTRUM TYPE:
LCE

## DATE:
24/09/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:03:08

# END TIME:
11:03:08

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
17

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
13 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 5.695 226.940 -9.26526 -9.91510 0.000 67.35753 13.0000 5.45 2.77209503814071091E18 6.42816235059239977E19 1.240099 
999.4089 5.695 226.940 -9.26526 -9.91510 1.276 67.35753 13.0000 5.38 2.57825526133240627E18 5.97867144184594432E19 1.240575 
999.0253 5.695 226.940 -9.26526 -9.91510 0.811 67.35754 13.0000 5.58 2.4578114590909399E18 5.69937569718154035E19 1.241052 
998.6415 5.695 226.940 -9.26526 -9.91510 2.583 67.35754 13.0000 5.57 2.32042968022358426E18 5.38080407775902433E19 1.241529 
998.2578 5.695 226.940 -9.26526 -9.91510 0.314 67.35753 13.0000 5.62 2.16422893521312154E18 5.01859284183007887E19 1.242006 
997.8739 5.695 226.940 -9.26526 -9.91510 0.741 67.35753 13.0000 5.63 1.98732672271384576E18 4.60837736803708436E19 1.242484 
997.4900 5.695 226.940 -9.26526 -9.91510 -0.141 67.35753 13.0000 5.59 1.7878412285748183E18 4.14579391463172342E19 1.242962 
997.1060 5.695 226.940 -9.26526 -9.91510 -0.006 67.35753 13.0000 5.68 1.56389063864510054E18 3.62647873986567864E19 1.243440 
996.7219 5.695 226.940 -9.26526 -9.91510 -2.400 67.35753 13.0000 5.74 1.31359272645689344E18 3.04606766218598154E19 1.243920 
996.3377 5.695 226.940 -9.26526 -9.91510 -3.619 67.35754 13.0000 5.77 1.03506595273716531E18 2.40019650003966362E19 1.244399 
995.9535 5.695 226.940 -9.26526 -9.91510 -1.709 67.35754 13.0000 5.74 730191994197901312.0000 1.69322954493085614E19 1.244879 
995.5692 5.695 226.940 -9.26526 -9.91510 0.917 67.35753 13.0000 5.85 400852802428993536.0000 9.29530648559039283E18 1.245360 
995.1848 5.695 226.940 -9.26526 -9.91510 -0.722 67.35753 13.0000 5.95 52694266559856640.0000 1.221918195712E18 1.245841 
994.8003 5.695 226.940 -9.26526 -9.91510 0.026 67.35754 13.0000 6.04 301110124078956544.0000 6.98238976831940198E18 1.246322 
994.4158 5.695 226.940 -9.26526 -9.91510 0.019 67.35753 13.0000 5.93 641740887948263424.0000 1.48812180803435889E19 1.246804 
994.0311 62.821 113.982 -0.26944 0.60568 0.011 -0.47531 13.0000 6.01 0.6160 0.6740 1.247287 
993.6464 51.874 96.968 -0.06738 0.55126 1.124 -0.13587 13.0000 6.09 0.5794 0.6747 1.247770 
993.2617 37.795 71.966 0.14692 0.45127 1.164 0.12195 13.0000 6.10 0.6017 0.8226 1.248253 
992.8768 49.063 76.330 0.14987 0.61621 -0.995 -0.09056 13.0000 6.16 0.5974 0.7269 1.248737 
992.4919 56.523 34.633 0.35679 0.24643 0.556 -0.18448 13.0000 6.08 0.6422 0.7769 1.249221 
992.1069 56.757 65.302 0.21217 0.46133 -8.155 -0.22093 13.0000 6.12 0.6239 0.7539 1.249706 
991.7218 48.102 60.531 0.26559 0.47001 -1.157 -0.05868 13.0000 6.24 0.6489 0.7479 1.250191 
991.3367 46.352 49.082 0.37115 0.42820 0.531 -0.02676 13.0000 6.39 0.6600 0.8015 1.250677 
990.9514 36.043 52.628 0.38172 0.49977 1.682 0.20329 13.0000 6.39 0.7614 0.9179 1.251163 
990.5661 20.630 70.372 0.12724 0.35676 16.888 0.43174 13.0000 6.35 0.7724 0.9401 1.251650 
990.1807 18.258 52.304 0.24262 0.31396 -18.251 0.53592 13.0000 6.42 0.7927 0.9911 1.252137 
